actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
57,PT07M21.00S,2025-12-13T03:18:41.7Z,1,REGULAR,substitution,out,[],1627741,,,1610612744,12,14,2025-12-13T03:18:51Z,570000,False,,,0,,SUB out: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M21.00S,2025-12-13T03:18:41.7Z,1,REGULAR,substitution,out,[],1630538,,,1610612744,12,14,2025-12-13T03:18:51Z,580000,False,,,0,,SUB out: B. Hyland,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M21.00S,2025-12-13T03:18:41.7Z,1,REGULAR,substitution,in,[],1629001,,,1610612744,12,14,2025-12-13T03:18:51Z,590000,False,,,0,,SUB in: D. Melton,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M21.00S,2025-12-13T03:18:41.7Z,1,REGULAR,substitution,in,[],1641740,,,1610612744,12,14,2025-12-13T03:18:51Z,600000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2025-12-13T03:19:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642366,17.821944809461236,42.64705882352941,1610612744,12,14,2025-12-13T03:19:21Z,610000,False,37.0,115.0,1,left,MISS Q. Post 12' floating Shot,[1642366],1610612744.0,GSW,floating,,,Post,Q. Post,,,,,In The Paint (Non-RA),8-16 Center,,,12.07,Missed,,,,,,,,,,,,,,,,
62,PT07M04.00S,2025-12-13T03:19:17.0Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612744,12,14,2025-12-13T03:19:21Z,620000,False,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,,,61.0,1.0,0.0,1.0,,,,,,,,,,,,
63,PT07M04.00S,2025-12-13T03:19:18.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629001,10.5946123521682,49.01960784313725,1610612744,12,14,2025-12-13T03:22:11Z,630000,False,5.0,47.0,1,left,MISS D. Melton putback Layup - blocked,"[1629001, 1628978]",1610612744.0,GSW,putback,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,4.74,Missed,,,,,,,,,,,,,DiVincenzo,1628978.0,,
64,PT07M04.00S,2025-12-13T03:19:18.0Z,1,REGULAR,block,,[],1628978,,,1610612744,12,14,2025-12-13T03:24:57Z,640000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT07M01.00S,2025-12-13T03:19:21.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,14,2025-12-13T03:31:02Z,650000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,
66,PT06M58.00S,2025-12-13T03:19:23.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,71.43561103810775,16.42156862745098,1610612750,12,14,2025-12-13T03:23:10Z,660000,False,-168.0,216.0,1,right,MISS J. Randle 27' running pullup 3PT,[203944],1610612750.0,MIN,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,27.36,Missed,,,,,,,,,,,,,,,,
67,PT06M55.00S,2025-12-13T03:19:26.9Z,1,REGULAR,rebound,defensive,[],1630311,,,1610612744,12,14,2025-12-13T03:19:39Z,670000,False,,,0,,P. Spencer REBOUND (Off:0 Def:1),[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,Above the Break 3,24+ Left Center,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT06M35.00S,2025-12-13T03:19:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630311,15.456636005256241,41.911764705882355,1610612744,12,14,2025-12-13T03:23:28Z,680000,False,40.0,93.0,1,left,MISS P. Spencer 10' pullup Shot,[1630311],1610612744.0,GSW,pullup,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),8-16 Center,,,10.12,Missed,,,,,,,,,,,,,,,,
69,PT06M33.00S,2025-12-13T03:19:48.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,12,14,2025-12-13T03:19:52Z,690000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,
