actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT10M20.00S,2026-04-03T02:13:30.3Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612744,3,4,2026-04-03T02:13:38Z,210000,False,,,0,,K. Porziņģis lost ball TURNOVER (1 TO),"[204001, 1628378]",1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,,,,,,,,Mitchell,1628378.0,,
22,PT10M20.00S,2026-04-03T02:13:30.3Z,1,REGULAR,steal,,[],1628378,,,1610612739,3,4,2026-04-03T02:18:43Z,220000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2026-04-03T02:13:38.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,93.38042049934296,72.79411764705883,1610612739,3,4,2026-04-03T02:15:11Z,230000,False,114.0,10.0,1,right,MISS D. Mitchell 11' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,11.44,Missed,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2026-04-03T02:13:42.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,3,4,2026-04-03T02:13:42Z,240000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Right,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M02.00S,2026-04-03T02:13:48.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641764,8.886333771353483,43.38235294117647,1610612744,5,4,2026-04-03T02:15:41Z,250000,False,33.0,31.0,1,left,B. Podziemski running Layup (2 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,running,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,4.53,Made,,,,,,,,,,,2.0,D. Green,203110.0,1.0,,,,
27,PT09M39.00S,2026-04-03T02:14:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,88.78120893561103,45.588235294117645,1610612739,5,6,2026-04-03T02:16:05Z,270000,False,-22.0,53.0,1,right,E. Mobley driving finger roll Layup (4 PTS),[1630596],1610612739.0,CLE,driving finger roll,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,5.74,Made,,,,,,,,,,,4.0,,,,,,,
28,PT09M29.00S,2026-04-03T02:14:20.7Z,1,REGULAR,3pt,Jump Shot,[],1630611,6.915243101182654,97.30392156862744,1610612744,8,6,2026-04-03T02:14:29Z,280000,False,-237.0,13.0,1,left,G. Santos 3PT  (3 PTS) (D. Melton 1 AST),"[1630611, 1629001]",1610612744.0,GSW,,,,Santos,G. Santos,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,,,,,,,3.0,D. Melton,1629001.0,1.0,,,,
30,PT09M17.00S,2026-04-03T02:14:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,74.85216819973719,85.5392156862745,1610612739,8,6,2026-04-03T02:14:39Z,300000,False,178.0,184.0,1,right,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,25.57,Missed,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2026-04-03T02:14:37.1Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612739,8,6,2026-04-03T02:14:37Z,310000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,
32,PT09M11.00S,2026-04-03T02:14:41.3Z,1,REGULAR,foul,personal,[],1629001,,,1610612739,8,6,2026-04-03T02:14:52Z,320000,False,,,0,,D. Melton personal FOUL (1 PF),"[1629001, 1628378]",1610612744.0,GSW,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Right Center,,,,,,,,201639.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,
34,PT09M11.00S,2026-04-03T02:14:53.6Z,1,REGULAR,substitution,out,[],1630611,,,1610612739,8,6,2026-04-03T02:14:59Z,340000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2026-04-03T02:14:53.6Z,1,REGULAR,substitution,in,[],1627780,,,1610612739,8,6,2026-04-03T02:14:59Z,350000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M05.00S,2026-04-03T02:15:14.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629622,81.8166885676741,37.745098039215684,1610612739,8,8,2026-04-03T02:15:21Z,360000,False,-61.0,118.0,1,right,M. Strus 13' driving floating Jump Shot (2 PTS) (E. Mobley 2 AST),"[1629622, 1630596]",1610612739.0,CLE,driving floating,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,13.33,Made,,,,,,,,,,,2.0,E. Mobley,1630596.0,2.0,,,,
38,PT08M54.00S,2026-04-03T02:15:26.4Z,1,REGULAR,3pt,Jump Shot,[],1629001,32.276609724047304,60.78431372549019,1610612744,8,8,2026-04-03T02:15:32Z,380000,False,-54.0,251.0,1,left,MISS D. Melton 25' 3PT,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
39,PT08M50.00S,2026-04-03T02:15:30.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,8,8,2026-04-03T02:15:32Z,390000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M42.00S,2026-04-03T02:15:38.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612739,8,8,2026-04-03T02:15:43Z,400000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1629001]",1610612739.0,CLE,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,,,,,,Melton,1629001.0,,
41,PT08M42.00S,2026-04-03T02:15:38.2Z,1,REGULAR,steal,,[],1629001,,,1610612744,8,8,2026-04-03T02:21:32Z,410000,False,,,0,,D. Melton STEAL (1 STL),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2026-04-03T02:15:42.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627780,9.017739816031538,50.73529411764706,1610612744,10,8,2026-04-03T02:15:55Z,420000,False,-4.0,32.0,1,left,G. Payton II running Layup (2 PTS) (D. Melton 2 AST),"[1627780, 1629001]",1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,3.25,Made,,,,,,,,,,,2.0,D. Melton,1629001.0,2.0,,,,
44,PT08M25.00S,2026-04-03T02:15:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,92.46057818659659,55.88235294117647,1610612739,10,8,2026-04-03T02:20:39Z,440000,False,29.0,18.0,1,right,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2026-04-03T02:16:02.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,10,8,2026-04-03T02:16:07Z,450000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
46,PT08M17.00S,2026-04-03T02:16:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,94.40999984741211,50.0,1610612739,10,10,2026-04-03T02:16:02Z,460000,False,0.0,0.0,1,right,J. Allen putback Layup (2 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,2.0,,,,,,,
47,PT08M07.00S,2026-04-03T02:16:12.7Z,1,REGULAR,3pt,Jump Shot,[],203110,28.991458607095925,82.35294117647058,1610612744,10,10,2026-04-03T02:16:17Z,470000,False,-162.0,220.0,1,left,MISS D. Green 27' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,27.31,Missed,,,,,,,,,,,,,,,,,,
48,PT08M07.00S,2026-04-03T02:16:12.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612739,10,10,2026-04-03T02:16:17Z,480000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612739.0,CLE,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M46.00S,2026-04-03T02:16:33.8Z,1,REGULAR,turnover,bad pass,[],1629622,,,1610612739,10,10,2026-04-03T02:16:37Z,490000,False,,,0,,M. Strus bad pass TURNOVER (1 TO),"[1629622, 203110]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,,,,,,,,,,Green,203110.0,,
50,PT07M46.00S,2026-04-03T02:16:33.8Z,1,REGULAR,steal,,[],203110,,,1610612744,10,10,2026-04-03T02:30:40Z,500000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2026-04-03T02:16:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629001,11.514454664914586,54.41176470588235,1610612744,10,10,2026-04-03T02:22:15Z,510000,False,-22.0,56.0,1,left,MISS D. Melton running Layup,[1629001],1610612744.0,GSW,running,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,,,,,,,,,,,,,,
52,PT07M36.00S,2026-04-03T02:16:43.7Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,10,10,2026-04-03T02:16:43Z,520000,False,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT07M32.00S,2026-04-03T02:16:47.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641764,13.61695137976347,60.049019607843135,1610612744,10,10,2026-04-03T02:22:50Z,530000,False,-50.0,75.0,1,left,MISS B. Podziemski 9' driving floating Shot,[1641764],1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Left,9.07,Missed,,,,,,,,,,,,,,,,,,
54,PT07M28.00S,2026-04-03T02:16:51.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,10,10,2026-04-03T02:16:56Z,540000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Left,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,,
55,PT07M21.00S,2026-04-03T02:16:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,87.72996057818659,50.0,1610612739,10,12,2026-04-03T04:22:22Z,550000,False,0.0,63.0,1,right,D. Mitchell 6' driving floating Jump Shot (4 PTS) (M. Strus 1 AST),"[1628378, 1629622]",1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,6.28,Made,,,,,,,,,,,4.0,M. Strus,1629622.0,1.0,,,,
57,PT07M05.00S,2026-04-03T02:17:14.8Z,1,REGULAR,3pt,Jump Shot,[],204001,32.40801576872536,72.54901960784314,1610612744,10,12,2026-04-03T02:23:18Z,570000,False,-113.0,252.0,1,left,MISS K. Porziņģis 27' pullup 3PT,[204001],1610612744.0,GSW,pullup,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,27.61,Missed,,,,,,,,,,,,,,,,,,
58,PT07M02.00S,2026-04-03T02:17:17.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,10,12,2026-04-03T02:32:52Z,580000,False,,,0,,J. Allen REBOUND (Off:1 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,,,
59,PT06M56.00S,2026-04-03T02:17:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629622,72.88107752956637,82.84313725490196,1610612739,10,12,2026-04-03T02:24:13Z,590000,False,164.0,202.0,1,right,MISS M. Strus 26' running pullup 3PT,[1629622],1610612739.0,CLE,running pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2026-04-03T02:17:25.6Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,10,12,2026-04-03T02:17:28Z,600000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT06M48.00S,2026-04-03T02:17:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612744,10,12,2026-04-03T02:20:49Z,610000,False,,,0,,M. Strus shooting personal FOUL (1 PF) (Podziemski 2 FT),"[1629622, 1641764]",1610612739.0,CLE,shooting,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,1.0,0.0,Podziemski,1641764.0,,,,,,,,
63,PT06M48.00S,2026-04-03T02:17:47.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,10,12,2026-04-03T02:17:47Z,630000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,out,[],204001,,,1610612744,10,12,2026-04-03T02:20:35Z,640000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,out,[],1629001,,,1610612744,10,12,2026-04-03T02:20:35Z,650000,False,,,0,,SUB out: D. Melton,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,10,12,2026-04-03T02:20:35Z,660000,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,out,[],1628378,,,1610612744,10,12,2026-04-03T02:20:35Z,670000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,in,[],1630611,,,1610612744,10,12,2026-04-03T02:20:35Z,680000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,in,[],1643018,,,1610612744,10,12,2026-04-03T02:20:35Z,690000,False,,,0,,SUB in: L. Cryer,[1643018],1610612744.0,GSW,,,,Cryer,L. Cryer,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,in,[],1642954,,,1610612744,10,12,2026-04-03T02:20:35Z,700000,False,,,0,,SUB in: W. Richard,[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M48.00S,2026-04-03T02:17:50.7Z,1,REGULAR,substitution,in,[],1630241,,,1610612744,10,12,2026-04-03T02:20:35Z,710000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M48.00S,2026-04-03T02:21:08.2Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,10,12,2026-04-03T02:21:08Z,720000,False,,,0,,MISS B. Podziemski Free Throw 1 of 2,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT06M48.00S,2026-04-03T02:21:08.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,10,12,2026-04-03T02:21:08Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,
74,PT06M48.00S,2026-04-03T02:21:21.5Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,11,12,2026-04-03T02:21:21Z,740000,False,,,0,,B. Podziemski Free Throw 2 of 2 (3 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
75,PT06M36.00S,2026-04-03T02:21:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,91.67214191852825,56.372549019607845,1610612739,11,12,2026-04-03T02:21:41Z,750000,False,32.0,26.0,1,right,MISS J. Allen driving finger roll Layup,[1628386],1610612739.0,CLE,driving finger roll,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
76,PT06M34.00S,2026-04-03T02:21:37.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,12,2026-04-03T02:21:37Z,760000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT06M24.00S,2026-04-03T02:21:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630611,35.43035479632063,37.745098039215684,1610612744,11,12,2026-04-03T02:21:52Z,770000,False,61.0,281.0,1,left,MISS G. Santos 28' 3PT,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Above the Break 3,24+ Center,28.71,Missed,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2026-04-03T02:21:49.9Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,11,12,2026-04-03T02:21:52Z,780000,False,,,0,,S. Merrill REBOUND (Off:0 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT06M09.00S,2026-04-03T02:22:02.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,93.11760840998686,97.54901960784314,1610612739,11,15,2026-04-03T02:22:09Z,790000,False,238.0,12.0,1,right,M. Strus 3PT  (5 PTS) (S. Merrill 1 AST),"[1629622, 1630241]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,23.8,Made,,,,,,,,,,,5.0,S. Merrill,1630241.0,1.0,,,,
81,PT05M44.00S,2026-04-03T02:22:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,12.959921156373195,41.42156862745098,1610612744,11,15,2026-04-03T02:22:33Z,810000,False,43.0,69.0,1,left,MISS B. Podziemski 8' driving reverse Layup,[1641764],1610612744.0,GSW,driving reverse,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,8.15,Missed,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2026-04-03T02:22:31.3Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,11,15,2026-04-03T02:22:33Z,820000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,
83,PT05M37.00S,2026-04-03T02:22:33.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.46057818659659,49.26470588235294,1610612739,11,17,2026-04-03T02:26:21Z,830000,False,-4.0,18.0,1,right,J. Allen cutting DUNK (4 PTS) (J. Harden 2 AST),"[1628386, 201935]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,,,,,4.0,J. Harden,201935.0,2.0,,,,
