actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
32,PT08M23.00S,2025-12-23T03:14:21.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,8,2025-12-23T03:14:22Z,310000,False,,,0,,D. Green REBOUND (Off:1 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,
33,PT08M19.00S,2025-12-23T03:14:25.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,70.64717477003943,14.460784313725492,1610612744,4,8,2025-12-23T03:16:27Z,320000,False,-178.0,223.0,1,right,MISS S. Curry 28' running 3PT,[201939],1610612744.0,GSW,running,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,28.55,Missed,,,,,,,,,,,,,,,,
34,PT08M19.00S,2025-12-23T03:14:25.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,8,2025-12-23T03:14:32Z,330000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT08M19.00S,2025-12-23T03:14:30.6Z,1,REGULAR,foul,personal,[],1642366,,,1610612753,4,8,2025-12-23T03:14:42Z,340000,False,,,0,,Q. Post personal FOUL (1 PF),"[1642366, 1628976]",1610612744.0,GSW,,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,201638.0,,,,,,,,,,,,,,1.0,0.0,Carter Jr.,1628976.0,,
37,PT08M19.00S,2025-12-23T03:14:39.7Z,1,REGULAR,substitution,out,[],202710,,,1610612753,4,8,2025-12-23T03:14:47Z,360000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M19.00S,2025-12-23T03:14:39.7Z,1,REGULAR,substitution,out,[],1642366,,,1610612753,4,8,2025-12-23T03:14:47Z,370000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M19.00S,2025-12-23T03:14:39.7Z,1,REGULAR,substitution,in,[],1641764,,,1610612753,4,8,2025-12-23T03:14:47Z,380000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M19.00S,2025-12-23T03:14:39.7Z,1,REGULAR,substitution,in,[],1627780,,,1610612753,4,8,2025-12-23T03:14:47Z,390000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M06.00S,2025-12-23T03:15:13.9Z,1,REGULAR,2pt,Jump Shot,[],1630217,16.376478318002626,78.67647058823529,1610612753,4,10,2025-12-23T03:15:18Z,400000,False,-143.0,101.0,1,left,D. Bane 17' pullup Jump Shot (5 PTS),[1630217],1610612753.0,ORL,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Left,,,17.56,Made,,,,,5.0,,,,,,,,,,,
42,PT07M51.00S,2025-12-23T03:15:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,94.56307490144546,43.38235294117647,1610612744,6,10,2025-12-23T03:17:32Z,410000,False,-33.0,-1.0,1,right,S. Curry cutting Layup (2 PTS) (G. Payton II 1 AST),"[201939, 1627780]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,3.31,Made,,,,,2.0,G. Payton II,1627780.0,1.0,,,,,,,,
