actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
48,PT07M57.00S,2025-12-21T01:48:57.7Z,1,REGULAR,substitution,out,[],1642366,,,1610612744,11,15,2025-12-21T01:50:12Z,480000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M57.00S,2025-12-21T01:48:57.7Z,1,REGULAR,substitution,in,[],1641764,,,1610612744,11,15,2025-12-21T01:50:12Z,490000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M57.00S,2025-12-21T01:48:57.7Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,11,15,2025-12-21T01:50:12Z,500000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M43.00S,2025-12-21T01:50:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,92.9862023653088,54.90196078431373,1610612744,13,15,2025-12-21T01:50:48Z,510000,False,25.0,13.0,1,right,B. Podziemski cutting Layup (2 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,cutting,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.79,Made,2.0,,,,,,,,,,,,,D. Green,203110.0,1.0,,
53,PT07M34.00S,2025-12-21T01:50:50.5Z,1,REGULAR,turnover,lost ball,[],1626220,,,1610612756,13,15,2025-12-21T01:51:00Z,530000,False,,,0,,R. O'Neale lost ball TURNOVER (1 TO),"[1626220, 203110]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Green,203110.0,,,,,
54,PT07M34.00S,2025-12-21T01:50:50.5Z,1,REGULAR,steal,,[],203110,,,1610612744,13,15,2025-12-21T03:06:45Z,540000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
55,PT07M27.00S,2025-12-21T01:50:57.3Z,1,REGULAR,turnover,bad pass,[],1627780,,,1610612744,13,15,2025-12-21T04:18:26Z,550000,False,,,0,,G. Payton II bad pass TURNOVER (1 TO),"[1627780, 1631109]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Williams,1631109.0,,,,,
56,PT07M27.00S,2025-12-21T01:50:57.3Z,1,REGULAR,steal,,[],1631109,,,1610612756,13,15,2025-12-21T02:01:56Z,560000,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2025-12-21T01:51:03.0Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612756,13,15,2025-12-21T01:51:27Z,570000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 1627780]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1.0,Payton II,1627780.0,,,,,
58,PT07M22.00S,2025-12-21T01:51:03.0Z,1,REGULAR,steal,,[],1627780,,,1610612744,13,15,2025-12-21T01:51:05Z,580000,False,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2025-12-21T01:51:34.1Z,1,REGULAR,violation,kicked ball,[],1628415,,,1610612744,13,15,2025-12-21T01:53:04Z,600000,False,,,0,,D. Brooks kicked ball VIOLATION,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,,,,2003.0,,,,,,,,,,,,
62,PT07M08.00S,2025-12-21T01:51:45.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203110,91.67214191852825,50.98039215686274,1610612744,15,15,2025-12-21T01:51:52Z,620000,False,5.0,26.0,1,right,D. Green driving Layup (4 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.63,Made,4.0,,,,,,,,,,,,,S. Curry,201939.0,2.0,,
64,PT06M59.00S,2025-12-21T01:51:54.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,15.325229960578188,36.51960784313725,1610612756,15,15,2025-12-21T01:52:01Z,640000,False,67.0,92.0,1,left,MISS D. Booker 11' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,11.37,Missed,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2025-12-21T01:51:58.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,15,2025-12-21T01:52:01Z,650000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,,,
66,PT06M54.00S,2025-12-21T01:51:59.1Z,1,REGULAR,turnover,lost ball,[],203110,,,1610612744,15,15,2025-12-21T01:52:05Z,660000,False,,,0,,D. Green lost ball TURNOVER (1 TO),"[203110, 1631221]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Gillespie,1631221.0,,,,,
67,PT06M54.00S,2025-12-21T01:51:59.1Z,1,REGULAR,steal,,[],1631221,,,1610612756,15,15,2025-12-21T01:52:02Z,670000,False,,,0,,C. Gillespie STEAL (1 STL),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2025-12-21T01:52:04.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,30.436925098554536,26.96078431372549,1610612756,15,18,2025-12-21T01:54:15Z,680000,False,115.0,234.0,1,left,D. Brooks 26' 3PT  (5 PTS) (C. Gillespie 1 AST),"[1628415, 1631221]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,26.05,Made,5.0,,,,,,,,,,,,,C. Gillespie,1631221.0,1.0,,
70,PT06M41.00S,2025-12-21T01:52:11.3Z,1,REGULAR,3pt,Jump Shot,[],1641764,76.16622864651774,12.254901960784313,1610612744,15,18,2025-12-21T01:55:13Z,700000,False,-189.0,172.0,1,right,MISS B. Podziemski 25' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,,
71,PT06M37.00S,2025-12-21T01:52:15.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,15,18,2025-12-21T01:52:17Z,710000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,
72,PT06M29.00S,2025-12-21T01:52:23.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,7.966491458607096,27.696078431372552,1610612756,15,20,2025-12-21T01:52:31Z,720000,False,112.0,22.0,1,left,D. Brooks 11' pullup Jump Shot (7 PTS),[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,11.37,Made,7.0,,,,,,,,,,,,,,,,,
73,PT06M10.00S,2025-12-21T01:52:42.9Z,1,REGULAR,2pt,Jump Shot,[],1641764,90.75229960578186,31.862745098039213,1610612744,17,20,2025-12-21T01:52:54Z,730000,False,-91.0,34.0,1,right,B. Podziemski 9' pullup bank Jump Shot (4 PTS),[1641764],1610612744.0,GSW,pullup bank,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Left,9.7,Made,4.0,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2025-12-21T01:52:51.0Z,1,REGULAR,foul,personal,['2freethrow'],1630541,,,1610612756,17,20,2025-12-21T01:53:03Z,740000,False,,,0,,M. Moody shooting personal FOUL (2 PF) (Booker 2 FT),"[1630541, 1626164]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,Mid-Range,8-16 Right,,,,,,,,202053.0,2.0,0.0,Booker,1626164.0,,,,,,,,
76,PT06M05.00S,2025-12-21T01:53:15.8Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,17,21,2025-12-21T01:53:15Z,760000,False,,,0,,D. Booker Free Throw 1 of 2 (7 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
77,PT06M05.00S,2025-12-21T01:53:16.7Z,1,REGULAR,substitution,out,[],1630541,,,1610612756,17,21,2025-12-21T01:53:26Z,770000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M05.00S,2025-12-21T01:53:16.7Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,17,21,2025-12-21T01:53:26Z,780000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M05.00S,2025-12-21T01:53:16.7Z,1,REGULAR,substitution,in,[],1629001,,,1610612756,17,21,2025-12-21T01:53:26Z,790000,False,,,0,,SUB in: D. Melton,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M05.00S,2025-12-21T01:53:16.7Z,1,REGULAR,substitution,in,[],1630692,,,1610612756,17,21,2025-12-21T01:53:26Z,800000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2025-12-21T01:53:39.3Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,17,22,2025-12-21T01:53:39Z,810000,False,,,0,,D. Booker Free Throw 2 of 2 (8 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
82,PT05M41.00S,2025-12-21T01:54:04.1Z,1,REGULAR,3pt,Jump Shot,[],1641764,68.54467805519053,29.901960784313726,1610612744,20,22,2025-12-21T01:54:13Z,820000,False,-100.0,243.0,1,right,B. Podziemski 26' 3PT step back (7 PTS) (D. Melton 1 AST),"[1641764, 1629001]",1610612744.0,GSW,step back,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,26.31,Made,7.0,,,,,,,,,,,,,D. Melton,1629001.0,1.0,,
84,PT05M21.00S,2025-12-21T01:54:23.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,26.363337713534822,15.686274509803921,1610612756,20,25,2025-12-21T01:54:41Z,840000,False,172.0,195.0,1,left,D. Booker 26' 3PT  (11 PTS) (D. Brooks 2 AST),"[1626164, 1628415]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,26.0,Made,11.0,,,,,,,,,,,,,D. Brooks,1628415.0,2.0,,
86,PT05M15.00S,2025-12-21T01:54:36.7Z,1,REGULAR,foul,offensive,[],1627780,,,1610612744,20,25,2025-12-21T02:09:01Z,860000,False,,,0,,G. Payton II offensive FOUL (1 PF),"[1627780, 1630692]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Center,,,,,,,,2003.0,1.0,0.0,Goodwin,1630692.0,,,,,,,,
89,PT05M15.00S,2025-12-21T01:54:36.7Z,1,REGULAR,turnover,offensive foul,[],1627780,,,1610612744,20,25,2025-12-21T01:54:36Z,880000,False,,,0,,G. Payton II offensive foul TURNOVER (2 TO),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Center,,,,,,,,2003.0,,,,,2.0,,,,,,,
