actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M40.00S,2026-03-28T02:12:47.7Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,5,2,2026-03-28T02:12:50Z,190000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M34.00S,2026-03-28T02:12:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642267,88.2227332457293,56.372549019607845,1610612764,5,2,2026-03-28T02:19:14Z,200000,False,32.0,58.0,1,right,MISS B. Carrington 6' fadeaway Shot,[1642267],1610612764.0,WAS,fadeaway,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,6.64,Missed,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-03-28T02:12:56.7Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,5,2,2026-03-28T02:19:35Z,210000,False,,,0,,A. Sarr REBOUND (Off:1 Def:0),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,
22,PT10M26.00S,2026-03-28T02:13:01.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642259,88.48554533508542,70.58823529411765,1610612764,5,4,2026-03-28T02:20:31Z,220000,False,103.0,56.0,1,right,A. Sarr 11' turnaround fadeaway Jump Shot (2 PTS),[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,11.7,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2026-03-28T02:13:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,8.459264126149804,50.0,1610612744,5,4,2026-03-28T02:21:01Z,230000,False,0.0,27.0,1,left,MISS K. Porziņģis pullup Shot,[204001],1610612744.0,GSW,pullup,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2026-03-28T02:13:23.9Z,1,REGULAR,rebound,offensive,[],1642954,,,1610612744,5,4,2026-03-28T02:13:23Z,240000,False,,,0,,W. Richard REBOUND (Off:1 Def:0),[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,Restricted Area,0-8 Center,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,
25,PT10M03.00S,2026-03-28T02:13:24.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],204001,35.528909329829176,50.245098039215684,1610612744,8,4,2026-03-28T02:13:29Z,250000,False,-1.0,281.0,1,left,K. Porziņģis 28' 3PT  (8 PTS) (G. Santos 2 AST),"[204001, 1630611]",1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,28.15,Made,8.0,G. Santos,1630611.0,2.0,,,,,,,,,,,,,,
27,PT09M46.00S,2026-03-28T02:13:41.4Z,1,REGULAR,3pt,Jump Shot,[],1642259,68.9060446780552,75.98039215686275,1610612764,8,4,2026-03-28T02:13:46Z,270000,False,130.0,240.0,1,right,MISS A. Sarr 27' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2026-03-28T02:13:42.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612744,8,4,2026-03-28T02:13:46Z,280000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M37.00S,2026-03-28T02:13:50.5Z,1,REGULAR,3pt,Jump Shot,[],1641764,33.55781865965835,51.470588235294116,1610612744,8,4,2026-03-28T02:22:39Z,290000,False,-7.0,263.0,1,left,MISS B. Podziemski 26' pullup 3PT,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Center,26.3,Missed,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2026-03-28T02:13:52.5Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,8,4,2026-03-28T02:23:26Z,300000,False,,,0,,L. Black REBOUND (Off:0 Def:1),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,Above the Break 3,24+ Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M27.00S,2026-03-28T02:13:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,91.63929040735874,47.79411764705882,1610612764,8,4,2026-03-28T02:14:10Z,310000,False,-11.0,26.0,1,right,MISS B. Coulibaly driving Layup,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
32,PT09M26.00S,2026-03-28T02:14:00.8Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,8,4,2026-03-28T02:24:04Z,320000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:2),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,
33,PT09M22.00S,2026-03-28T02:14:06.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642954,17.132063074901453,3.67647058823529,1610612744,8,4,2026-03-28T02:24:24Z,330000,False,232.0,109.0,1,left,MISS W. Richard 25' running 3PT,[1642954],1610612744.0,GSW,running,,,Richard,W. Richard,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
34,PT09M21.00S,2026-03-28T02:14:07.5Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,8,4,2026-03-28T02:33:20Z,340000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,
153,PT09M19.00S,2026-03-28T02:14:10.0Z,1,REGULAR,turnover,out-of-bounds,[],1642259,,,1610612764,8,4,2026-03-28T02:33:48Z,345000,False,,,0,,A. Sarr lost ball out-of-bounds TURNOVER (1 TO),[1642259],1610612764.0,WAS,lost ball,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,202026.0,,,,,,,,
36,PT09M19.00S,2026-03-28T02:14:41.6Z,1,REGULAR,foul,personal,['1freethrow'],1642259,,,1610612744,8,4,2026-03-28T02:33:48Z,360000,False,,,0,,A. Sarr away-from-play personal FOUL (1 PF) (Porziņģis 1 FT),"[1642259, 204001]",1610612764.0,WAS,away-from-play,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,202027.0,1.0,0.0,Porziņģis,204001.0,,,,
39,PT09M19.00S,2026-03-28T02:15:14.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],204001,,,1610612744,8,4,2026-03-28T02:33:48Z,390000,False,,,0,,MISS K. Porziņģis away-from-play Free Throw 1 of 1,[204001],1610612744.0,GSW,away-from-play,,,Porziņģis,K. Porziņģis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT09M19.00S,2026-03-28T02:15:14.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,8,4,2026-03-28T02:16:07Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,
41,PT09M17.00S,2026-03-28T02:16:12.8Z,1,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",204001,19.23455978975032,93.87254901960785,1610612744,11,4,2026-03-28T02:33:48Z,410000,False,-219.0,128.0,1,left,K. Porziņģis 25' 3PT  (11 PTS) (D. Green 2 AST),"[204001, 203110]",1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,25.42,Made,11.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,
43,PT09M05.00S,2026-03-28T02:16:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642848,81.12680683311433,51.22549019607843,1610612764,11,4,2026-03-28T02:27:24Z,430000,False,6.0,125.0,1,right,MISS T. Johnson 12' driving floating Shot,[1642848],1610612764.0,WAS,driving floating,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,12.5,Missed,,,,,,,,,,,,,,,,,,
44,PT08M59.00S,2026-03-28T02:16:31.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612744,11,4,2026-03-28T02:27:24Z,440000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:2),[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,
45,PT08M51.00S,2026-03-28T02:16:39.2Z,1,REGULAR,2pt,Jump Shot,[],1641764,15.029566360052556,69.8529411764706,1610612744,13,4,2026-03-28T02:28:08Z,450000,False,-99.0,89.0,1,left,B. Podziemski 13' driving floating Jump Shot (2 PTS) (D. Green 3 AST),"[1641764, 203110]",1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Left,13.32,Made,2.0,D. Green,203110.0,3.0,,,,,,,,,,,,,,
47,PT08M41.00S,2026-03-28T02:17:03.0Z,1,REGULAR,3pt,Jump Shot,[],1641731,66.40932982917215,58.33333333333333,1610612764,13,4,2026-03-28T02:28:41Z,470000,False,42.0,263.0,1,right,MISS B. Coulibaly 26' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,26.66,Missed,,,,,,,,,,,,,,,,,,
48,PT08M40.00S,2026-03-28T02:17:04.0Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,13,4,2026-03-28T02:28:41Z,480000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:3),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Center,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,
49,PT08M30.00S,2026-03-28T02:17:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641764,8.196452036793687,51.470588235294116,1610612744,13,4,2026-03-28T02:17:18Z,490000,False,-7.0,25.0,1,left,MISS B. Podziemski driving floating Shot,[1641764],1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.56,Missed,,,,,,,,,,,,,,,,,,
50,PT08M29.00S,2026-03-28T02:17:11.2Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,13,4,2026-03-28T02:29:15Z,500000,False,,,0,,A. Sarr REBOUND (Off:1 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,
51,PT08M27.00S,2026-03-28T02:17:14.7Z,1,REGULAR,turnover,out-of-bounds,[],1642848,,,1610612764,13,4,2026-03-28T02:17:29Z,510000,False,,,0,,T. Johnson lost ball out-of-bounds TURNOVER (1 TO),[1642848],1610612764.0,WAS,lost ball,,,Johnson,T. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,,1627963.0,,,,,,,,
53,PT08M27.00S,2026-03-28T02:17:33.8Z,1,REGULAR,substitution,out,[],1630611,,,1610612744,13,4,2026-03-28T02:17:41Z,530000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M27.00S,2026-03-28T02:17:33.8Z,1,REGULAR,substitution,in,[],1643018,,,1610612744,13,4,2026-03-28T02:17:41Z,540000,False,,,0,,SUB in: L. Cryer,[1643018],1610612744.0,GSW,,,,Cryer,L. Cryer,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M14.00S,2026-03-28T02:17:46.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1643018,30.27266754270697,19.85294117647058,1610612744,13,4,2026-03-28T02:17:51Z,550000,False,151.0,232.0,1,left,MISS L. Cryer 27' 3PT,[1643018],1610612744.0,GSW,,,,Cryer,L. Cryer,,,,,Above the Break 3,24+ Right Center,27.67,Missed,,,,,,,,,,,,,,,,,,
56,PT08M10.00S,2026-03-28T02:17:50.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,13,4,2026-03-28T02:17:51Z,560000,False,,,0,,A. Sarr REBOUND (Off:1 Def:3),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,,55.0,4.0,3.0,1.0,,,,,,,,,
57,PT08M04.00S,2026-03-28T02:17:56.5Z,1,REGULAR,3pt,Jump Shot,[],1641731,76.39618922470433,12.009803921568633,1610612764,13,4,2026-03-28T02:18:01Z,570000,False,-190.0,169.0,1,right,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,25.46,Missed,,,,,,,,,,,,,,,,,,
58,PT08M01.00S,2026-03-28T02:17:59.5Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,13,4,2026-03-28T02:18:01Z,580000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:4),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,,,,,57.0,4.0,4.0,0.0,,,,,,,,,
59,PT07M53.00S,2026-03-28T02:18:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641764,16.737844940867276,45.34313725490197,1610612744,13,4,2026-03-28T02:18:16Z,590000,False,23.0,105.0,1,left,MISS B. Podziemski 10' driving floating Shot,[1641764],1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,10.74,Missed,,,,,,,,,,,,,,,,,,
60,PT07M50.00S,2026-03-28T02:18:10.4Z,1,REGULAR,rebound,offensive,[],1641764,,,1610612744,13,4,2026-03-28T02:18:16Z,600000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:4),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,59.0,5.0,4.0,1.0,,,,,,,,,
61,PT07M42.00S,2026-03-28T02:18:18.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],204001,12.00722733245729,71.32352941176471,1610612744,13,4,2026-03-28T02:18:25Z,610000,False,-107.0,60.0,1,left,MISS K. Porziņģis 12' turnaround Shot,[204001],1610612744.0,GSW,turnaround,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,12.25,Missed,,,,,,,,,,,,,,,,,,
62,PT07M39.00S,2026-03-28T02:18:21.5Z,1,REGULAR,rebound,offensive,[],1642954,,,1610612744,13,4,2026-03-28T02:35:15Z,620000,False,,,0,,W. Richard REBOUND (Off:2 Def:0),[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,Mid-Range,8-16 Left,,,,,,,,61.0,2.0,0.0,2.0,,,,,,,,,
63,PT07M38.00S,2026-03-28T02:18:22.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641764,24.490801576872528,90.93137254901961,1610612744,13,4,2026-03-28T02:18:29Z,630000,False,-205.0,178.0,1,left,MISS B. Podziemski 27' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,27.11,Missed,,,,,,,,,,,,,,,,,,
64,PT07M35.00S,2026-03-28T02:18:25.5Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,13,4,2026-03-28T02:18:29Z,640000,False,,,0,,A. Sarr REBOUND (Off:1 Def:4),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,,,63.0,5.0,4.0,1.0,,,,,,,,,
65,PT07M31.00S,2026-03-28T02:18:29.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642259,72.84822601839684,15.196078431372555,1610612764,13,4,2026-03-28T02:35:48Z,650000,False,-174.0,203.0,1,right,MISS A. Sarr 26' running pullup 3PT,[1642259],1610612764.0,WAS,running pullup,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,26.71,Missed,,,,,,,,,,,,,,,,,,
66,PT07M28.00S,2026-03-28T02:18:32.5Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,13,4,2026-03-28T02:18:36Z,660000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:5),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,,,,,65.0,6.0,5.0,1.0,,,,,,,,,
67,PT07M22.00S,2026-03-28T02:18:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642954,7.539421813403408,52.69607843137255,1610612744,15,4,2026-03-28T02:18:43Z,670000,False,-13.0,18.0,1,left,W. Richard cutting Layup (2 PTS) (D. Green 4 AST),"[1642954, 203110]",1610612744.0,GSW,cutting,,,Richard,W. Richard,,,,,Restricted Area,0-8 Center,2.28,Made,2.0,D. Green,203110.0,4.0,,,,,,,,,,,,,,
69,PT07M22.00S,2026-03-28T02:18:56.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,15,4,2026-03-28T02:18:56Z,690000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M22.00S,2026-03-28T02:20:58.0Z,1,REGULAR,substitution,out,[],1641764,,,1610612764,15,4,2026-03-28T02:21:26Z,700000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M22.00S,2026-03-28T02:20:58.0Z,1,REGULAR,substitution,out,[],1642954,,,1610612764,15,4,2026-03-28T02:21:26Z,710000,False,,,0,,SUB out: W. Richard,[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M22.00S,2026-03-28T02:20:58.0Z,1,REGULAR,substitution,in,[],1627780,,,1610612764,15,4,2026-03-28T02:21:26Z,720000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M22.00S,2026-03-28T02:20:58.0Z,1,REGULAR,substitution,in,[],1630311,,,1610612764,15,4,2026-03-28T02:21:26Z,730000,False,,,0,,SUB in: P. Spencer,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M11.00S,2026-03-28T02:21:51.0Z,1,REGULAR,3pt,Jump Shot,[],1642848,71.92838370565046,14.215686274509807,1610612764,15,4,2026-03-28T02:21:56Z,740000,False,-179.0,211.0,1,right,MISS T. Johnson 27' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Left Center,27.69,Missed,,,,,,,,,,,,,,,,,,
75,PT07M07.00S,2026-03-28T02:21:54.2Z,1,REGULAR,rebound,offensive,[],1641778,,,1610612764,15,4,2026-03-28T02:21:54Z,750000,False,,,0,,L. Black REBOUND (Off:1 Def:1),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,Above the Break 3,24+ Left Center,,,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,
76,PT07M03.00S,2026-03-28T02:21:58.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642848,84.1491458607096,52.450980392156865,1610612764,15,6,2026-03-28T02:22:05Z,760000,False,12.0,96.0,1,right,T. Johnson 9' fadeaway Jump Shot (2 PTS) (B. Coulibaly 1 AST),"[1642848, 1641731]",1610612764.0,WAS,fadeaway,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.73,Made,2.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,,,,,
77,PT06M40.00S,2026-03-28T02:22:22.5Z,1,REGULAR,3pt,Jump Shot,[],204001,36.711563731931676,54.16666666666667,1610612744,15,6,2026-03-28T02:22:28Z,770000,False,-21.0,293.0,1,left,MISS K. Porziņģis 29' 3PT,[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,29.33,Missed,,,,,,,,,,,,,,,,,,
78,PT06M39.00S,2026-03-28T02:22:23.5Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,15,6,2026-03-28T02:43:50Z,780000,False,,,0,,L. Black REBOUND (Off:1 Def:2),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,Above the Break 3,24+ Center,,,,,,,,77.0,3.0,2.0,1.0,,,,,,,,,
81,PT06M27.00S,2026-03-28T02:22:35.2Z,1,REGULAR,3pt,Jump Shot,[],1641731,69.69448094612352,76.7156862745098,1610612764,15,6,2026-03-28T02:40:09Z,810000,False,134.0,232.0,1,right,MISS B. Coulibaly 26' pullup 3PT,[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
82,PT06M25.00S,2026-03-28T02:22:37.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,15,6,2026-03-28T02:22:43Z,820000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,81.0,,,,,,,,,,,,
