actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
26,PT10M24.00S,2022-02-26T01:13:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,5.732588699080158,48.529411764705884,1610612750,6,1,2022-02-26T01:14:04Z,260000,7.0,1.0,1,left,J. Vanderbilt cutting DUNK (2 PTS) (D. Russell 1 AST),"[1629020, 1626156]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.75,Made,,,,,,,2.0,,,,D. Russell,1626156.0,1.0,,,,,,
28,PT09M58.00S,2022-02-26T01:14:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,93.64323258869908,47.05882352941176,1610612755,6,1,2022-02-26T01:14:28Z,280000,-15.0,7.0,1,right,MISS M. Thybulle cutting Layup,[1629680],1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,1.64,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M55.00S,2022-02-26T01:14:26.5Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612755,6,1,2022-02-26T01:14:28Z,290000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,28.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
30,PT09M55.00S,2022-02-26T01:14:26.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629680,94.40999984741211,50.0,1610612755,6,3,2022-02-26T01:14:32Z,300000,0.0,0.0,1,right,M. Thybulle tip Layup (2 PTS),[1629680],1610612755.0,PHI,tip,,,Thybulle,M. Thybulle,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
31,PT09M51.00S,2022-02-26T01:14:30.6Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,6,3,2022-02-26T01:14:35Z,310000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 203954]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,1.0,Embiid,203954.0,,,
32,PT09M51.00S,2022-02-26T01:14:30.6Z,1,REGULAR,steal,,[],203954,,,1610612755,6,3,2022-02-26T01:14:32Z,320000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M47.00S,2022-02-26T01:14:37.9Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612755,6,3,2022-02-26T01:14:46Z,330000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Embiid 2 FT),"[201976, 203954]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,,,,2530.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,
35,PT09M47.00S,2022-02-26T01:15:01.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203954,,,1610612755,6,4,2022-02-26T01:15:01Z,350000,,,0,,J. Embiid Free Throw 1 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
36,PT09M47.00S,2022-02-26T01:15:21.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203954,,,1610612755,6,5,2022-02-26T01:15:21Z,360000,,,0,,J. Embiid Free Throw 2 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
37,PT09M31.00S,2022-02-26T01:15:42.1Z,1,REGULAR,foul,personal,[],1630178,,,1610612750,6,5,2022-02-26T01:15:55Z,370000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1626156]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,2530.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,
39,PT09M27.00S,2022-02-26T01:16:07.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,23.209592641261498,11.519607843137255,1610612750,6,5,2022-02-26T01:16:31Z,390000,192.0,166.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2022-02-26T01:16:11.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,5,2022-02-26T01:16:31Z,400000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,39.0,,,,,,,2.0,2.0,0.0,,,,,,,,,
41,PT09M07.00S,2022-02-26T01:16:26.8Z,1,REGULAR,2pt,Jump Shot,[],1630178,85.49605781865965,15.196078431372548,1610612755,6,7,2022-02-26T01:16:35Z,410000,-174.0,84.0,1,right,T. Maxey 19' step back Jump Shot (2 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,19.31,Made,,,,,,,2.0,,,,,,,,,,,,
42,PT08M54.00S,2022-02-26T01:16:40.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,14.536793692509855,81.12745098039215,1610612750,6,7,2022-02-26T01:16:45Z,420000,-156.0,84.0,1,left,MISS K. Towns 17' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,17.69,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M51.00S,2022-02-26T01:16:43.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,7,2022-02-26T01:16:45Z,430000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,42.0,,,,,,,3.0,3.0,0.0,,,,,,,,,
44,PT08M43.00S,2022-02-26T01:16:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.85479632063075,48.77450980392157,1610612755,6,9,2022-02-26T01:16:58Z,440000,-6.0,15.0,1,right,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,1.59,Made,,,,,,,2.0,,,,,,,,,,,,
45,PT08M43.00S,2022-02-26T01:16:55.4Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612755,6,9,2022-02-26T01:17:11Z,450000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Harden 1 FT),"[1630162, 201935]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,,,,1627962.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,
47,PT08M43.00S,2022-02-26T01:17:19.9Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612755,6,10,2022-02-26T01:17:19Z,470000,,,0,,J. Harden Free Throw 1 of 1 (3 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
48,PT08M32.00S,2022-02-26T01:17:32.5Z,1,REGULAR,3pt,Jump Shot,[],201976,28.203022339027594,24.019607843137255,1610612750,6,10,2022-02-26T01:17:44Z,480000,130.0,213.0,1,left,MISS P. Beverley 24' step back 3PT,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,24.91,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M31.00S,2022-02-26T01:17:33.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,10,2022-02-26T01:17:44Z,490000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,
50,PT08M31.00S,2022-02-26T01:17:39.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,6,10,2022-02-26T01:17:39Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M19.00S,2022-02-26T01:17:56.2Z,1,REGULAR,3pt,Jump Shot,[],201935,68.80749014454665,61.51960784313726,1610612755,6,10,2022-02-26T01:18:00Z,510000,58.0,241.0,1,right,MISS J. Harden 24' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,,
52,PT08M16.00S,2022-02-26T01:17:59.2Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,6,10,2022-02-26T01:18:00Z,520000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,51.0,,,,,,,2.0,2.0,0.0,,,,,,,,,
53,PT08M06.00S,2022-02-26T01:18:09.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,20.71287779237845,18.137254901960784,1610612750,6,10,2022-02-26T01:18:50Z,530000,159.0,142.0,1,left,MISS A. Edwards 21' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,21.35,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M02.00S,2022-02-26T01:18:13.4Z,1,REGULAR,rebound,offensive,[],201976,,,1610612750,6,10,2022-02-26T01:18:18Z,540000,,,0,,P. Beverley REBOUND (Off:1 Def:0),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,53.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
55,PT08M00.00S,2022-02-26T01:18:14.9Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612750,6,10,2022-02-26T01:18:22Z,550000,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1630178]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,1.0,Maxey,1630178.0,,,
56,PT08M00.00S,2022-02-26T01:18:14.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,6,10,2022-02-26T01:18:17Z,560000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M55.00S,2022-02-26T01:18:23.3Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612755,6,10,2022-02-26T01:18:31Z,570000,,,0,,P. Beverley shooting personal FOUL (2 PF) (Embiid 2 FT),"[201976, 203954]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,,,,1626300.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,,
59,PT07M55.00S,2022-02-26T01:18:51.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203954,,,1610612755,6,11,2022-02-26T01:18:51Z,590000,,,0,,J. Embiid Free Throw 1 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
60,PT07M55.00S,2022-02-26T01:19:09.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203954,,,1610612755,6,12,2022-02-26T01:19:09Z,600000,,,0,,J. Embiid Free Throw 2 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
61,PT07M37.00S,2022-02-26T01:19:32.4Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,6,12,2022-02-26T01:19:41Z,610000,,,0,,A. Edwards step out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,step,,,Edwards,A. Edwards,,,,,,,,1627962.0,,,,,,,,,,,,1.0,,,,,
62,PT07M26.00S,2022-02-26T01:19:56.1Z,1,REGULAR,foul,technical,['1freethrow'],1626156,,,1610612755,6,12,2022-02-26T01:20:07Z,620000,,,0,,D. Russell defensive-3-second technical FOUL (1 Tech),[1626156],1610612750.0,MIN,defensive-3-second,,,Russell,D. Russell,,,,,,,,2530.0,0.0,1.0,,,,,,,,,,,,,,,
63,PT07M26.00S,2022-02-26T01:20:13.0Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,6,13,2022-02-26T01:20:13Z,630000,,,0,,T. Maxey technical Free Throw 1 of 1 (3 PTS),[1630178],1610612755.0,PHI,technical,,,Maxey,T. Maxey,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
64,PT07M19.00S,2022-02-26T01:20:32.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,80.76544021024968,47.30392156862745,1610612755,6,13,2022-02-26T01:20:39Z,640000,-13.0,128.0,1,right,MISS J. Embiid 12' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,12.9,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M16.00S,2022-02-26T01:20:35.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,6,13,2022-02-26T01:20:39Z,650000,,,0,,P. Beverley REBOUND (Off:1 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,64.0,,,,,,,2.0,1.0,1.0,,,,,,,,,
66,PT07M05.00S,2022-02-26T01:20:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629020,13.485545335085414,49.01960784313725,1610612750,6,13,2022-02-26T01:21:13Z,660000,5.0,74.0,1,left,MISS J. Vanderbilt 7' floating Shot,[1629020],1610612750.0,MIN,floating,,,Vanderbilt,J. Vanderbilt,,,,,7.45,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M02.00S,2022-02-26T01:20:51.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,13,2022-02-26T01:20:54Z,670000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,66.0,,,,,,,4.0,4.0,0.0,,,,,,,,,
68,PT06M55.00S,2022-02-26T01:20:57.4Z,1,REGULAR,3pt,Jump Shot,[],202699,72.48685939553219,19.607843137254903,1610612755,6,16,2022-02-26T01:21:03Z,680000,-152.0,206.0,1,right,T. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.61,Made,,,,,,,3.0,,,,J. Harden,201935.0,1.0,,,,,,
70,PT06M51.00S,2022-02-26T01:21:06.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,6,16,2022-02-26T01:21:07Z,700000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M51.00S,2022-02-26T01:23:40.6Z,1,REGULAR,substitution,out,[],201976,,,1610612750,6,16,2022-02-26T01:23:51Z,710000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M51.00S,2022-02-26T01:23:40.6Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,6,16,2022-02-26T01:23:51Z,720000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2022-02-26T01:24:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,20.05584756898817,48.03921568627451,1610612750,8,16,2022-02-26T01:24:19Z,730000,10.0,136.0,1,left,D. Russell 13' floating Jump Shot (6 PTS),[1626156],1610612750.0,MIN,floating,,,Russell,D. Russell,,,,,13.64,Made,,,,,,,6.0,,,,,,,,,,,,
74,PT06M20.00S,2022-02-26T01:24:30.0Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,8,16,2022-02-26T01:24:36Z,740000,,,0,,J. Embiid lost ball out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,lost ball,,,Embiid,J. Embiid,,,,,,,,2530.0,,,,,,,,,,,,1.0,,,,,
75,PT06M03.00S,2022-02-26T01:24:58.0Z,1,REGULAR,foul,personal,[],201935,,,1610612750,8,16,2022-02-26T01:25:20Z,750000,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1630183]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,2530.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,
77,PT05M58.00S,2022-02-26T01:25:19.5Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,8,16,2022-02-26T01:25:23Z,770000,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1630178]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,1.0,Maxey,1630178.0,,,
78,PT05M58.00S,2022-02-26T01:25:19.5Z,1,REGULAR,steal,,[],1630178,,,1610612755,8,16,2022-02-26T01:25:22Z,780000,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2022-02-26T01:25:27.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,79.71419185282524,48.28431372549019,1610612755,8,16,2022-02-26T01:26:02Z,790000,-9.0,138.0,1,right,MISS T. Maxey 13' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,13.85,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M49.00S,2022-02-26T01:25:29.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,8,16,2022-02-26T01:25:32Z,800000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,79.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
81,PT05M39.00S,2022-02-26T01:25:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,19.793035479632064,65.19607843137256,1610612750,10,16,2022-02-26T01:25:45Z,810000,-76.0,134.0,1,left,K. Towns 15' step back Jump Shot (2 PTS),[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,15.37,Made,,,,,,,2.0,,,,,,,,,,,,
82,PT05M16.00S,2022-02-26T01:26:01.9Z,1,REGULAR,3pt,Jump Shot,[],202699,70.77858081471747,24.019607843137255,1610612755,10,16,2022-02-26T01:26:06Z,820000,-130.0,222.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2022-02-26T01:26:04.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,10,16,2022-02-26T01:26:06Z,830000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,82.0,,,,,,,2.0,2.0,0.0,,,,,,,,,
84,PT05M03.00S,2022-02-26T01:26:18.2Z,1,REGULAR,foul,offensive,[],1629020,,,1610612750,10,16,2022-02-26T01:26:27Z,840000,,,0,,J. Vanderbilt offensive FOUL (1 PF),"[1629020, 201935]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,2530.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,
86,PT05M03.00S,2022-02-26T01:26:18.2Z,1,REGULAR,turnover,offensive foul,[],1629020,,,1610612750,10,16,2022-02-26T01:26:18Z,860000,,,0,,J. Vanderbilt offensive foul TURNOVER (1 TO),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,2530.0,,,,,,,,,,,,1.0,,,,,
87,PT05M03.00S,2022-02-26T01:26:26.4Z,1,REGULAR,substitution,out,[],1629020,,,1610612755,10,16,2022-02-26T01:26:34Z,870000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M03.00S,2022-02-26T01:26:26.4Z,1,REGULAR,substitution,out,[],201935,,,1610612755,10,16,2022-02-26T01:26:34Z,880000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
