actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
19,PT10M24.00S,2021-12-07T01:12:36.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,32.53942181340342,59.31372549019608,1610612750,4,3,2021-12-07T01:12:42Z,190000,-47.0,253.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2021-12-07T01:12:38.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,4,3,2021-12-07T01:12:42Z,200000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,
21,PT10M22.00S,2021-12-07T01:12:41.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,4,3,2021-12-07T01:12:41Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2021-12-07T01:12:58.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,93.11760840998686,96.07843137254902,1610612737,4,6,2021-12-07T01:13:04Z,220000,230.0,12.0,1,right,T. Young 3PT  (3 PTS) (C. Capela 1 AST),"[1629027, 203991]",1610612737.0,ATL,,,,Young,T. Young,,,,,23.07,Made,,,,,,,,3.0,C. Capela,203991.0,1.0,,,,,,,,
24,PT09M56.00S,2021-12-07T01:13:12.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,26.231931668856767,43.627450980392155,1610612750,6,6,2021-12-07T01:13:16Z,240000,32.0,194.0,1,left,A. Edwards 19' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,19.67,Made,,,,,,,,2.0,,,,,,,,,,,
25,PT09M48.00S,2021-12-07T01:13:21.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,69.99014454664915,25.98039215686275,1610612737,6,9,2021-12-07T01:13:28Z,250000,-120.0,230.0,1,right,K. Huerter 25' 3PT  (3 PTS),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,25.91,Made,,,,,,,,3.0,,,,,,,,,,,
26,PT09M35.00S,2021-12-07T01:13:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.754927726675426,54.166666666666664,1610612750,6,9,2021-12-07T01:13:40Z,260000,-21.0,30.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,3.63,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2021-12-07T01:13:35.7Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,6,9,2021-12-07T01:13:35Z,270000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M28.00S,2021-12-07T01:13:40.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627789,73.66951379763469,81.37254901960785,1610612737,6,12,2021-12-07T01:13:48Z,280000,157.0,195.0,1,right,T. Luwawu-Cabarrot 25' 3PT  (6 PTS) (T. Young 2 AST),"[1627789, 1629027]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,25.03,Made,,,,,,,,6.0,T. Young,1629027.0,2.0,,,,,,,,
30,PT09M09.00S,2021-12-07T01:14:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.305519053876477,68.38235294117648,1610612750,6,12,2021-12-07T01:14:12Z,300000,-92.0,232.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M01.00S,2021-12-07T01:14:10.3Z,1,REGULAR,rebound,offensive,[],1630195,,,1610612750,6,12,2021-12-07T01:14:12Z,310000,,,0,,L. Bolmaro REBOUND (Off:1 Def:0),[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,
32,PT09M01.00S,2021-12-07T01:14:09.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630195,5.590000152587891,50.0,1610612750,6,12,2021-12-07T01:14:15Z,320000,0.0,0.0,1,left,MISS L. Bolmaro tip Layup,[1630195],1610612750.0,MIN,tip,,,Bolmaro,L. Bolmaro,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M01.00S,2021-12-07T01:14:09.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,12,2021-12-07T01:14:15Z,330000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT08M57.00S,2021-12-07T01:14:19.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628381,94.95729303547962,72.54901960784314,1610612737,6,12,2021-12-07T01:14:49Z,340000,113.0,-5.0,1,right,MISS J. Collins 11' turnaround Shot - blocked,"[1628381, 1630162]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,11.28,Missed,Edwards,1630162.0,,,,,,,,,,,,,,,,,
35,PT08M57.00S,2021-12-07T01:14:19.1Z,1,REGULAR,block,,[],1630162,,,1610612737,6,12,2021-12-07T01:14:22Z,350000,,,0,,A. Edwards BLOCK (2 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M57.00S,2021-12-07T01:14:19.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,6,12,2021-12-07T01:14:49Z,360000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,
36,PT08M54.00S,2021-12-07T01:14:47.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,6,12,2021-12-07T01:14:47Z,370000,,,0,,Jump Ball J. Collins vs. A. Edwards: Tip to T. Young,"[1629027, 1628381, 1630162]",1610612737.0,ATL,heldball,T. Young,1629027.0,Young,T. Young,Collins,1628381.0,Edwards,1630162.0,,,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2021-12-07T01:14:58.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627789,72.22404730617609,78.18627450980392,1610612737,6,12,2021-12-07T01:15:13Z,400000,141.0,209.0,1,right,MISS T. Luwawu-Cabarrot 25' 3PT,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2021-12-07T01:15:00.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,6,12,2021-12-07T01:15:13Z,410000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,
53,PT08M42.00S,2021-12-07T01:15:19.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,6,12,2021-12-07T01:17:13Z,425000,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,202027.0,,,,,,,,,,,,
43,PT08M35.00S,2021-12-07T01:15:24.1Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612750,6,12,2021-12-07T01:15:40Z,430000,,,0,,J. Collins shooting personal FOUL (1 PF) (Edwards 2 FT),"[1628381, 1630162]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,,,,,,202041.0,,,,,,,,1.0,0.0,Edwards,1630162.0,
45,PT08M35.00S,2021-12-07T01:15:48.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630162,,,1610612750,7,12,2021-12-07T01:17:13Z,450000,,,0,,A. Edwards Free Throw 1 of 2 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,3.0,,,,,,,,,,,
46,PT08M35.00S,2021-12-07T01:16:03.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630162,,,1610612750,8,12,2021-12-07T01:17:13Z,460000,,,0,,A. Edwards Free Throw 2 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,4.0,,,,,,,,,,,
47,PT08M22.00S,2021-12-07T01:16:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.64323258869908,49.754901960784316,1610612737,8,14,2021-12-07T01:16:26Z,470000,-1.0,7.0,1,right,C. Capela cutting DUNK (2 PTS) (T. Young 3 AST),"[203991, 1629027]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,0.74,Made,,,,,,,,2.0,T. Young,1629027.0,3.0,,,,,,,,
49,PT08M04.00S,2021-12-07T01:16:35.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,5.863994743758213,50.73529411764706,1610612750,8,14,2021-12-07T01:16:46Z,490000,-4.0,3.0,1,left,MISS J. Vanderbilt DUNK,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,0.45,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M01.00S,2021-12-07T01:16:37.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,8,14,2021-12-07T01:16:37Z,500000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M58.00S,2021-12-07T01:16:43.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,8,14,2021-12-07T01:16:43Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M56.00S,2021-12-07T01:17:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,95.74572930354796,95.09803921568627,1610612737,8,17,2021-12-07T01:17:21Z,520000,225.0,-13.0,1,right,K. Huerter 3PT  (6 PTS) (T. Young 4 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,22.58,Made,,,,,,,,6.0,T. Young,1629027.0,4.0,,,,,,,,
55,PT07M37.00S,2021-12-07T01:17:30.7Z,1,REGULAR,2pt,Jump Shot,[],1626157,6.521024967148489,73.77450980392157,1610612750,8,17,2021-12-07T01:18:39Z,540000,-119.0,9.0,1,left,MISS K. Towns 11' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,11.92,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M33.00S,2021-12-07T01:17:34.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,8,17,2021-12-07T01:17:35Z,550000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT07M26.00S,2021-12-07T01:17:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,81.02825229960578,92.15686274509804,1610612737,8,17,2021-12-07T01:17:46Z,560000,211.0,126.0,1,right,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2021-12-07T01:17:42.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,8,17,2021-12-07T01:17:46Z,570000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT07M12.00S,2021-12-07T01:17:55.3Z,1,REGULAR,3pt,Jump Shot,[],1627752,19.530223390275953,92.15686274509804,1610612750,11,17,2021-12-07T01:17:59Z,580000,-211.0,131.0,1,left,T. Prince 24' 3PT  (5 PTS) (A. Edwards 1 AST),"[1627752, 1630162]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,24.82,Made,,,,,,,,5.0,A. Edwards,1630162.0,1.0,,,,,,,,
61,PT06M55.00S,2021-12-07T01:18:12.5Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,11,17,2021-12-07T01:18:18Z,600000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630195]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,1.0,Bolmaro,1630195.0,,,,,
62,PT06M55.00S,2021-12-07T01:18:12.5Z,1,REGULAR,steal,,[],1630195,,,1610612750,11,17,2021-12-07T01:18:14Z,610000,,,0,,L. Bolmaro STEAL (1 STL),[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M50.00S,2021-12-07T01:18:16.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630195,6.176084099868594,54.6798406862745,1610612750,13,17,2021-12-07T01:18:31Z,620000,-23.0,6.0,1,left,L. Bolmaro running Layup (2 PTS) (K. Towns 1 AST),"[1630195, 1626157]",1610612750.0,MIN,running,,,Bolmaro,L. Bolmaro,,,,,2.41,Made,,,,,,,,2.0,K. Towns,1626157.0,1.0,,,,,,,,
65,PT06M43.00S,2021-12-07T01:18:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.24901445466492,49.26470588235294,1610612737,13,17,2021-12-07T01:18:35Z,640000,-4.0,11.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,1.16,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M43.00S,2021-12-07T01:18:24.1Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,13,17,2021-12-07T01:18:35Z,650000,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,65.0,2.0,1.0,1.0,,,,,,,,,,,,,
67,PT06M38.00S,2021-12-07T01:18:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,89.30683311432325,45.34313725490196,1610612737,13,17,2021-12-07T01:19:27Z,660000,-23.0,48.0,1,right,MISS J. Collins putback Layup,[1628381],1610612737.0,ATL,putback,,,Collins,J. Collins,,,,,5.34,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2021-12-07T01:18:32.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,13,17,2021-12-07T01:19:27Z,670000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,67.0,3.0,2.0,1.0,,,,,,,,,,,,,
69,PT06M34.00S,2021-12-07T01:18:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,13,17,2021-12-07T01:18:33Z,680000,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2021-12-07T01:18:34.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,13,17,2021-12-07T01:18:34Z,690000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,
71,PT06M34.00S,2021-12-07T01:18:36.2Z,1,REGULAR,foul,personal,[],1628989,,,1610612750,13,17,2021-12-07T01:18:51Z,700000,,,0,,K. Huerter take personal FOUL (1 PF),"[1628989, 1627752]",1610612737.0,ATL,take,,,Huerter,K. Huerter,,,,,,,,,,,,,1627963.0,,,,,,,,1.0,0.0,Prince,1627752.0,
73,PT06M34.00S,2021-12-07T01:18:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,17,2021-12-07T01:18:51Z,720000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2021-12-07T01:21:13.5Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,13,17,2021-12-07T01:21:40Z,730000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M34.00S,2021-12-07T01:21:13.5Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,13,17,2021-12-07T01:21:40Z,740000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M16.00S,2021-12-07T01:21:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,8.09789750328515,65.68627450980392,1610612750,13,17,2021-12-07T01:22:02Z,750000,-78.0,24.0,1,left,MISS J. McDaniels 8' floating Shot,[1630183],1610612750.0,MIN,floating,,,McDaniels,J. McDaniels,,,,,8.19,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2021-12-07T01:21:58.6Z,1,REGULAR,rebound,offensive,[],1630195,,,1610612750,13,17,2021-12-07T01:21:58Z,760000,,,0,,L. Bolmaro REBOUND (Off:2 Def:0),[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,76.0,2.0,0.0,2.0,,,,,,,,,,,,,
78,PT06M11.00S,2021-12-07T01:21:58.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630195,5.590000152587891,50.0,1610612750,13,17,2021-12-07T01:21:58Z,770000,0.0,0.0,1,left,MISS L. Bolmaro tip Layup,[1630195],1610612750.0,MIN,tip,,,Bolmaro,L. Bolmaro,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2021-12-07T01:21:59.3Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,13,17,2021-12-07T01:21:59Z,780000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,
80,PT06M06.00S,2021-12-07T01:22:03.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627789,92.85479632063075,95.09803921568627,1610612737,13,20,2021-12-07T01:22:14Z,790000,225.0,15.0,1,right,T. Luwawu-Cabarrot 3PT  (9 PTS) (K. Huerter 1 AST),"[1627789, 1628989]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,22.6,Made,,,,,,,,9.0,K. Huerter,1628989.0,1.0,,,,,,,,
82,PT05M46.00S,2021-12-07T01:22:24.4Z,1,REGULAR,3pt,Jump Shot,[],1627752,30.962549277266753,65.44117647058823,1610612750,13,20,2021-12-07T01:22:28Z,810000,-77.0,239.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M43.00S,2021-12-07T01:22:26.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,13,20,2021-12-07T01:22:26Z,820000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,,,,,
84,PT05M38.00S,2021-12-07T01:22:35.5Z,1,REGULAR,foul,personal,['2freethrow'],1630195,,,1610612737,13,20,2021-12-07T01:22:44Z,830000,,,0,,L. Bolmaro shooting personal FOUL (1 PF) (Young 2 FT),"[1630195, 1629027]",1610612750.0,MIN,shooting,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,202041.0,,,,,,,,1.0,0.0,Young,1629027.0,
86,PT05M38.00S,2021-12-07T01:23:03.4Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,13,21,2021-12-07T01:23:03Z,850000,,,0,,T. Young Free Throw 1 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,,4.0,,,,,,,,,,,
87,PT05M38.00S,2021-12-07T01:23:04.2Z,1,REGULAR,substitution,out,[],1627752,,,1610612737,13,21,2021-12-07T01:23:12Z,860000,,,0,,SUB out: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M38.00S,2021-12-07T01:23:04.2Z,1,REGULAR,substitution,out,[],203991,,,1610612737,13,21,2021-12-07T01:23:12Z,870000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M38.00S,2021-12-07T01:23:04.2Z,1,REGULAR,substitution,in,[],1629020,,,1610612737,13,21,2021-12-07T01:23:12Z,880000,,,0,,SUB in: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M38.00S,2021-12-07T01:23:04.2Z,1,REGULAR,substitution,in,[],201568,,,1610612737,13,21,2021-12-07T01:23:12Z,890000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M38.00S,2021-12-07T01:23:25.7Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,13,22,2021-12-07T01:23:25Z,900000,,,0,,T. Young Free Throw 2 of 2 (5 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,,,,,,,5.0,,,,,,,,,,,
