actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
36,PT09M15.00S,2021-10-24T00:14:36.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,3.7614980289093296,4.901960784313726,1610612740,8,3,2021-10-24T00:14:41Z,360000,225.0,-17.0,1,left,D. Graham 3PT  (3 PTS) (H. Jones 1 AST),"[1628984, 1630529]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,22.61,Made,,,,,,,,,,,3.0,H. Jones,1630529.0,1.0,,,,
38,PT08M58.00S,2021-10-24T00:14:53.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,77.7431011826544,42.40196078431372,1610612750,8,3,2021-10-24T00:14:57Z,380000,-38.0,157.0,1,right,MISS D. Russell 16' fadeaway Shot,[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,
39,PT08M56.00S,2021-10-24T00:14:55.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,3,2021-10-24T00:14:57Z,390000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M52.00S,2021-10-24T00:14:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629638,3.3672798948751645,2.696078431372549,1610612740,8,6,2021-10-24T00:15:09Z,400000,237.0,-21.0,1,left,N. Alexander-Walker 3PT  (3 PTS) (D. Graham 1 AST),"[1629638, 1628984]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,23.74,Made,,,,,,,,,,,3.0,D. Graham,1628984.0,1.0,,,,
42,PT08M34.00S,2021-10-24T00:15:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,70.77858081471747,20.588235294117645,1610612750,8,6,2021-10-24T00:15:22Z,420000,-147.0,222.0,1,right,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,26.65,Missed,,,,,,,,,,,,,,,,,,
43,PT08M32.00S,2021-10-24T00:15:18.2Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612750,8,6,2021-10-24T00:15:22Z,430000,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT08M27.00S,2021-10-24T00:15:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,91.5407358738502,50.245098039215684,1610612750,8,6,2021-10-24T00:15:36Z,440000,1.0,27.0,1,right,MISS K. Towns Layup,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,2.7,Missed,,,,,,,,,,,,,,,,,,
45,PT08M24.00S,2021-10-24T00:15:27.0Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,8,6,2021-10-24T00:15:36Z,450000,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
46,PT08M23.00S,2021-10-24T00:15:27.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630162,85.89027595269383,56.372549019607845,1610612750,8,6,2021-10-24T00:15:41Z,460000,32.0,80.0,1,right,MISS A. Edwards 8' Jump Shot,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,8.62,Missed,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2021-10-24T00:15:30.2Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612750,8,6,2021-10-24T00:15:41Z,470000,,,0,,D. Russell REBOUND (Off:1 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,46.0,3.0,2.0,1.0,,,,,,,,,,,,,,
48,PT08M18.00S,2021-10-24T00:15:33.2Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,8,6,2021-10-24T00:15:45Z,480000,,,0,,D. Russell bad pass TURNOVER (2 TO),"[1626156, 1629638]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,2.0,,,,,,,,,,,Alexander-Walker,1629638.0
49,PT08M18.00S,2021-10-24T00:15:33.2Z,1,REGULAR,steal,,[],1629638,,,1610612740,8,6,2021-10-24T00:15:36Z,490000,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M02.00S,2021-10-24T00:15:48.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629638,16.507884362680684,49.26470588235294,1610612740,8,8,2021-10-24T00:15:55Z,500000,4.0,103.0,1,left,N. Alexander-Walker 10' driving floating Jump Shot (5 PTS),[1629638],1610612740.0,NOP,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,10.28,Made,,,,,,,,,,,5.0,,,,,,,
51,PT07M50.00S,2021-10-24T00:16:00.5Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,8,8,2021-10-24T00:16:05Z,510000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1627742]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,1.0,,,,,,,,,,,Ingram,1627742.0
52,PT07M50.00S,2021-10-24T00:16:00.5Z,1,REGULAR,steal,,[],1627742,,,1610612740,8,8,2021-10-24T00:16:02Z,520000,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M46.00S,2021-10-24T00:16:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,9.017739816031538,51.470588235294116,1610612740,8,8,2021-10-24T00:16:14Z,540000,-7.0,32.0,1,left,MISS B. Ingram running Layup - blocked,"[1627742, 1630162]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,3.31,Missed,,,,,,,,,,,,,,,Edwards,1630162.0,,
153,PT07M46.00S,2021-10-24T00:16:05.4Z,1,REGULAR,block,,[],1630162,,,1610612740,8,8,2021-10-24T00:31:31Z,545000,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M42.00S,2021-10-24T00:16:09.4Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,8,8,2021-10-24T00:16:14Z,550000,,,0,,N. Alexander-Walker REBOUND (Off:5 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,54.0,5.0,0.0,5.0,,,,,,,,,,,,,,
56,PT07M41.00S,2021-10-24T00:16:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629638,6.258212877792378,47.794117647058826,1610612740,8,10,2021-10-24T00:16:19Z,560000,11.0,6.0,1,left,N. Alexander-Walker putback Layup (7 PTS),[1629638],1610612740.0,NOP,putback,,,Alexander-Walker,N. Alexander-Walker,,,,,1.27,Made,,,,,,,,,,,7.0,,,,,,,
57,PT07M26.00S,2021-10-24T00:16:25.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,96.00854139290408,95.83333333333334,1610612750,8,10,2021-10-24T00:16:30Z,570000,229.0,-15.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,22.97,Missed,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2021-10-24T00:16:28.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,10,2021-10-24T00:16:30Z,580000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M19.00S,2021-10-24T00:16:34.4Z,1,REGULAR,foul,personal,[],1630162,,,1610612740,8,10,2021-10-24T00:16:51Z,600000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1628984]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,202041.0,,1.0,1.0,Graham,1628984.0,,,,,,,,
62,PT07M11.00S,2021-10-24T00:16:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,8.229303547963205,41.911764705882355,1610612740,8,12,2021-10-24T00:17:08Z,620000,40.0,25.0,1,left,J. Valanciunas driving bank Jump Shot (2 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,driving bank,,,Valanciunas,J. Valanciunas,,,,,4.75,Made,,,,,,,,,,,2.0,D. Graham,1628984.0,2.0,,,,
64,PT06M57.00S,2021-10-24T00:17:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,90.75229960578186,50.73529411764706,1610612750,8,12,2021-10-24T00:33:07Z,640000,4.0,34.0,1,right,MISS A. Edwards cutting Layup,[1630162],1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,3.46,Missed,,,,,,,,,,,,,,,,,,
65,PT06M57.00S,2021-10-24T00:17:12.3Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,8,12,2021-10-24T00:26:32Z,650000,,,0,,A. Edwards REBOUND (Off:2 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,64.0,3.0,1.0,2.0,,,,,,,,,,,,,,
66,PT06M56.00S,2021-10-24T00:17:21.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626157,92.85479632063075,49.50980392156863,1610612750,10,12,2021-10-24T00:25:50Z,660000,-2.0,15.0,1,right,K. Towns DUNK (7 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,1.49,Made,,,,,,,,,,,7.0,A. Edwards,1630162.0,1.0,,,,
67,PT06M42.00S,2021-10-24T00:17:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,10.726018396846255,49.26470588235294,1610612740,10,12,2021-10-24T00:34:08Z,670000,4.0,48.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,4.84,Missed,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2021-10-24T00:17:30.4Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612750,10,12,2021-10-24T00:19:45Z,680000,,,0,,J. Okogie REBOUND (Off:1 Def:1),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,67.0,2.0,1.0,1.0,,,,,,,,,,,,,,
69,PT06M41.00S,2021-10-24T00:17:38.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,10,12,2021-10-24T00:17:38Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M41.00S,2021-10-24T00:18:17.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,10,12,2021-10-24T00:18:17Z,700000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2021-10-24T00:20:45.3Z,1,REGULAR,substitution,out,[],1630529,,,1610612750,10,12,2021-10-24T00:20:47Z,710000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2021-10-24T00:20:45.3Z,1,REGULAR,substitution,in,[],1630230,,,1610612750,10,12,2021-10-24T00:20:47Z,720000,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M24.00S,2021-10-24T00:20:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,90.88370565045992,50.73529411764706,1610612750,12,12,2021-10-24T00:35:04Z,730000,4.0,33.0,1,right,K. Towns cutting Layup (9 PTS) (J. Okogie 2 AST),"[1626157, 1629006]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,3.34,Made,,,,,,,,,,,9.0,J. Okogie,1629006.0,2.0,,,,
78,PT06M24.00S,2021-10-24T00:20:52.6Z,1,REGULAR,foul,personal,['1freethrow'],202685,,,1610612750,12,12,2021-10-24T00:21:03Z,750000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Towns 1 FT),"[202685, 1626157]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,202041.0,,1.0,0.0,Towns,1626157.0,,,,,,,,
80,PT06M24.00S,2021-10-24T00:21:16.5Z,1,REGULAR,freethrow,1 of 1,[],1626157,,,1610612750,13,12,2021-10-24T00:24:21Z,770000,,,0,,K. Towns Free Throw 1 of 1 (10 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
81,PT06M07.00S,2021-10-24T00:21:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,18.347568988173457,47.05882352941176,1610612740,13,12,2021-10-24T00:35:40Z,780000,15.0,120.0,1,left,MISS B. Ingram 12' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,12.09,Missed,,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2021-10-24T00:21:39.2Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,13,12,2021-10-24T00:21:41Z,790000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT05M58.00S,2021-10-24T00:21:43.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,72.35545335085413,16.666666666666664,1610612750,13,12,2021-10-24T00:21:51Z,800000,-167.0,207.0,1,right,MISS D. Russell 26' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,
87,PT05M55.00S,2021-10-24T00:21:46.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,12,2021-10-24T00:21:51Z,810000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT05M47.00S,2021-10-24T00:21:54.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,27.283180026281208,82.1078431372549,1610612740,13,12,2021-10-24T00:21:59Z,820000,-161.0,204.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
