actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
30,PT10M09.00S,2022-02-25T01:12:50.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,93.64323258869908,50.0,1610612750,2,2,2022-02-25T01:12:58Z,300000,0.0,7.0,1,right,J. Vanderbilt putback Layup (2 PTS),[1629020],1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,,,,0.73,Made,,,,,,,,,,,,2.0,,,,
31,PT09M57.00S,2022-02-25T01:13:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,31.61957950065703,50.73529411764706,1610612763,2,5,2022-02-25T01:16:17Z,310000,-4.0,245.0,1,left,D. Bane 24' 3PT  (3 PTS) (J. Morant 2 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,24.47,Made,,,,,,,,,,,,3.0,J. Morant,1629630.0,2.0,
33,PT09M40.00S,2022-02-25T01:13:17.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629020,87.07293035479631,49.26470588235294,1610612750,2,5,2022-02-25T01:13:23Z,330000,-4.0,69.0,1,right,MISS J. Vanderbilt 6' turnaround Hook,[1629020],1610612750.0,MIN,turnaround,,,Vanderbilt,J. Vanderbilt,,,,,,,,6.91,Missed,,,,,,,,,,,,,,,,
34,PT09M37.00S,2022-02-25T01:13:20.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,5,2022-02-25T01:13:23Z,340000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT09M32.00S,2022-02-25T01:13:25.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630217,21.895532194480946,48.03921568627451,1610612763,2,5,2022-02-25T01:13:33Z,350000,10.0,153.0,1,left,MISS D. Bane 15' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,15.36,Missed,,,,,,,,,,,,,,,,
36,PT09M29.00S,2022-02-25T01:13:28.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,5,2022-02-25T01:13:33Z,360000,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,35.0,3.0,3.0,0.0,,,,,,,,,,,,
37,PT09M15.00S,2022-02-25T01:13:42.8Z,1,REGULAR,3pt,Jump Shot,[],201976,67.88764783180025,36.029411764705884,1610612750,5,5,2022-02-25T01:13:47Z,370000,-70.0,249.0,1,right,P. Beverley 25' 3PT  (3 PTS) (A. Edwards 1 AST),"[201976, 1630162]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,25.9,Made,,,,,,,,,,,,3.0,A. Edwards,1630162.0,1.0,
39,PT09M03.00S,2022-02-25T01:13:57.6Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612763,5,5,2022-02-25T01:14:05Z,390000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Morant 2 FT),"[1629020, 1629630]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,2003.0,1.0,0.0,Morant,1629630.0,,,,,,,
41,PT09M03.00S,2022-02-25T01:14:22.4Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,5,5,2022-02-25T01:14:22Z,410000,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,Missed,,,,,,,,,,,,,,,,
42,PT09M03.00S,2022-02-25T01:14:22.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,5,5,2022-02-25T01:14:22Z,420000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,
43,PT09M03.00S,2022-02-25T01:14:38.7Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,5,6,2022-02-25T01:14:38Z,430000,,,0,,J. Morant Free Throw 2 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,Made,,,,,,,,,,,,1.0,,,,
44,PT08M39.00S,2022-02-25T01:15:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,93.77463863337714,48.77450980392157,1610612750,7,6,2022-02-25T01:15:10Z,440000,-6.0,6.0,1,right,K. Towns cutting DUNK (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,0.86,Made,,,,,,,,,,,,2.0,D. Russell,1626156.0,1.0,
46,PT08M21.00S,2022-02-25T01:15:27.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1628991,12.828515111695138,40.68627450980392,1610612763,7,8,2022-02-25T01:15:47Z,460000,47.0,68.0,1,left,J. Jackson Jr. 8' bank Jump Shot (2 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,bank,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,8.25,Made,,,,,,,,,,,,2.0,S. Adams,203500.0,1.0,
48,PT08M21.00S,2022-02-25T01:15:32.4Z,1,REGULAR,violation,defensive goaltending,[],1629020,,,1610612763,7,8,2022-02-25T01:19:08Z,480000,,,0,,J. Vanderbilt defensive goaltending VIOLATION,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,1193.0,,,,,,,,,,,
49,PT08M21.00S,2022-02-25T01:15:42.8Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612763,7,8,2022-02-25T01:15:51Z,490000,,,0,,K. Towns shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[1626157, 1628991]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,,,,1193.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,
51,PT08M21.00S,2022-02-25T01:15:54.1Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,7,9,2022-02-25T01:15:54Z,510000,,,0,,J. Jackson Jr. Free Throw 1 of 1 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,,,,3.0,,,,
52,PT08M08.00S,2022-02-25T01:16:13.4Z,1,REGULAR,foul,personal,[],1630533,,,1610612750,7,9,2022-02-25T01:16:22Z,520000,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1626156]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,2003.0,1.0,0.0,Russell,1626156.0,,,,,,,
54,PT08M03.00S,2022-02-25T01:16:32.5Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612750,7,9,2022-02-25T01:16:36Z,540000,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1630533]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,1.0,Williams,1630533.0,,,,,,,,,,,,,,,,,,
55,PT08M03.00S,2022-02-25T01:16:32.5Z,1,REGULAR,steal,,[],1630533,,,1610612763,7,9,2022-02-25T01:16:34Z,550000,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M57.00S,2022-02-25T01:16:38.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629630,5.206964520367937,51.470588235294116,1610612763,7,9,2022-02-25T01:22:03Z,560000,-7.0,-4.0,1,left,MISS J. Morant running Layup,[1629630],1610612763.0,MEM,running,,,Morant,J. Morant,,,,,,,,0.82,Missed,,,,,,,,,,,,,,,,
57,PT07M55.00S,2022-02-25T01:16:40.0Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,7,9,2022-02-25T01:16:47Z,570000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,
58,PT07M43.00S,2022-02-25T01:16:52.7Z,1,REGULAR,3pt,Jump Shot,[],201976,81.02825229960578,92.64705882352942,1610612750,7,9,2022-02-25T01:16:57Z,580000,213.0,126.0,1,right,MISS P. Beverley 24' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,24.75,Missed,,,,,,,,,,,,,,,,
59,PT07M40.00S,2022-02-25T01:16:55.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,7,9,2022-02-25T01:16:57Z,590000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,
60,PT07M26.00S,2022-02-25T01:17:12.0Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612763,7,9,2022-02-25T01:17:21Z,600000,,,0,,J. Vanderbilt shooting personal FOUL (2 PF) (Williams 2 FT),"[1629020, 1630533]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,1193.0,2.0,0.0,Williams,1630533.0,,,,,,,
62,PT07M26.00S,2022-02-25T01:17:40.6Z,1,REGULAR,freethrow,1 of 2,[],1630533,,,1610612763,7,10,2022-02-25T01:17:40Z,620000,,,0,,Z. Williams Free Throw 1 of 2 (3 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,Made,,,,,,,,,,,,3.0,,,,
63,PT07M26.00S,2022-02-25T01:17:58.7Z,1,REGULAR,freethrow,2 of 2,[],1630533,,,1610612763,7,11,2022-02-25T01:17:58Z,630000,,,0,,Z. Williams Free Throw 2 of 2 (4 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,Made,,,,,,,,,,,,4.0,,,,
64,PT07M05.00S,2022-02-25T01:18:20.9Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,7,11,2022-02-25T01:18:25Z,640000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1630217]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,,,,,
65,PT07M05.00S,2022-02-25T01:18:20.9Z,1,REGULAR,steal,,[],1630217,,,1610612763,7,11,2022-02-25T01:18:22Z,650000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M01.00S,2022-02-25T01:18:24.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630217,29.25427069645204,71.56862745098039,1610612763,7,11,2022-02-25T01:23:19Z,660000,-108.0,222.0,1,left,MISS D. Bane 24' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,,,,24.72,Missed,,,,,,,,,,,,,,,,
67,PT06M59.00S,2022-02-25T01:18:26.2Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,7,11,2022-02-25T01:18:43Z,670000,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,,
68,PT06M59.00S,2022-02-25T01:18:30.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629630,5.590000152587891,50.0,1610612763,7,11,2022-02-25T01:18:52Z,680000,0.0,0.0,1,left,MISS J. Morant tip Layup,[1629630],1610612763.0,MEM,tip,,,Morant,J. Morant,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
69,PT06M57.00S,2022-02-25T01:18:32.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,7,11,2022-02-25T01:20:06Z,690000,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,68.0,4.0,4.0,0.0,,,,,,,,,,,,
70,PT06M54.00S,2022-02-25T01:18:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612750,7,11,2022-02-25T01:18:43Z,700000,,,0,,D. Bane shooting personal FOUL (1 PF) (Russell 2 FT),"[1630217, 1626156]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,,,,,,,,,,1193.0,1.0,0.0,Russell,1626156.0,,,,,,,
72,PT06M54.00S,2022-02-25T01:18:48.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,7,11,2022-02-25T01:18:48Z,720000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M54.00S,2022-02-25T01:21:03.8Z,1,REGULAR,substitution,out,[],1628991,,,1610612750,7,11,2022-02-25T01:21:36Z,730000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M54.00S,2022-02-25T01:21:03.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612750,7,11,2022-02-25T01:21:36Z,740000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M54.00S,2022-02-25T01:21:03.8Z,1,REGULAR,substitution,in,[],1629001,,,1610612750,7,11,2022-02-25T01:21:36Z,750000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M54.00S,2022-02-25T01:21:03.8Z,1,REGULAR,substitution,in,[],203937,,,1610612750,7,11,2022-02-25T01:21:36Z,760000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M54.00S,2022-02-25T01:21:51.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626156,,,1610612750,7,11,2022-02-25T01:21:51Z,770000,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,Missed,,,,,,,,,,,,,,,,
78,PT06M54.00S,2022-02-25T01:21:51.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,7,11,2022-02-25T01:21:51Z,780000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,
79,PT06M54.00S,2022-02-25T01:22:05.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626156,,,1610612750,8,11,2022-02-25T01:22:05Z,790000,,,0,,D. Russell Free Throw 2 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,Made,,,,,,,,,,,,1.0,,,,
80,PT06M36.00S,2022-02-25T01:22:26.3Z,1,REGULAR,3pt,Jump Shot,[],1630533,22.158344283837057,87.25490196078431,1610612763,8,14,2022-02-25T01:22:31Z,800000,-186.0,156.0,1,left,Z. Williams 24' 3PT  (7 PTS) (D. Melton 1 AST),"[1630533, 1629001]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,24.29,Made,,,,,,,,,,,,7.0,D. Melton,1629001.0,1.0,
82,PT06M18.00S,2022-02-25T01:22:44.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,80.6340341655716,91.42156862745098,1610612750,8,14,2022-02-25T01:22:49Z,820000,207.0,130.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,24.43,Missed,,,,,,,,,,,,,,,,
83,PT06M15.00S,2022-02-25T01:22:47.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,8,14,2022-02-25T01:22:49Z,830000,,,0,,J. Morant REBOUND (Off:1 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,82.0,3.0,2.0,1.0,,,,,,,,,,,,
84,PT06M12.00S,2022-02-25T01:22:50.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630533,5.995400788436268,50.245098039215684,1610612763,8,16,2022-02-25T01:25:16Z,840000,-1.0,4.0,1,left,Z. Williams running alley-oop DUNK (9 PTS) (D. Melton 2 AST),"[1630533, 1629001]",1610612763.0,MEM,running alley-oop,,,Williams,Z. Williams,,,,,,,,0.41,Made,,,,,,,,,,,,9.0,D. Melton,1629001.0,2.0,
86,PT05M55.00S,2022-02-25T01:23:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,85.62746386333771,45.588235294117645,1610612750,10,16,2022-02-25T01:23:15Z,860000,-22.0,83.0,1,right,D. Russell 8' driving floating bank Jump Shot (3 PTS),[1626156],1610612750.0,MIN,driving floating bank,,,Russell,D. Russell,,,,,,,,8.55,Made,,,,,,,,,,,,3.0,,,,
87,PT05M40.00S,2022-02-25T01:23:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629001,29.38567674113009,70.09803921568627,1610612763,10,16,2022-02-25T01:23:27Z,870000,-100.0,224.0,1,left,MISS D. Melton 24' step back 3PT,[1629001],1610612763.0,MEM,step back,,,Melton,D. Melton,,,,,,,,24.52,Missed,,,,,,,,,,,,,,,,
88,PT05M37.00S,2022-02-25T01:23:24.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,10,16,2022-02-25T01:23:27Z,880000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,87.0,3.0,2.0,1.0,,,,,,,,,,,,
