actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
36,PT08M58.00S,2022-04-08T00:15:17.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,4.02431011826544,95.58823529411765,1610612750,4,2,2022-04-08T00:15:28Z,360000,-228.0,-15.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M55.00S,2022-04-08T00:15:20.7Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,4,2,2022-04-08T00:15:34Z,370000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
38,PT08M52.00S,2022-04-08T00:15:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,6.521024967148489,50.73529411764706,1610612750,4,2,2022-04-08T00:17:30Z,380000,-4.0,9.0,1,left,MISS K. Towns putback Layup,[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,0.95,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2022-04-08T00:15:26.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,4,2,2022-04-08T00:15:31Z,390000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
40,PT08M48.00S,2022-04-08T00:15:26.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629020,5.590000152587891,50.0,1610612750,6,2,2022-04-08T00:15:37Z,400000,0.0,0.0,1,left,J. Vanderbilt tip Layup (2 PTS),[1629020],1610612750.0,MIN,tip,,,Vanderbilt,J. Vanderbilt,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
41,PT08M36.00S,2022-04-08T00:15:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630563,73.3245729303548,84.29074754901961,1610612759,6,2,2022-04-08T00:17:47Z,410000,171.0,198.0,1,right,MISS J. Primo 26' 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2022-04-08T00:15:39.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,6,2,2022-04-08T00:15:43Z,420000,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
43,PT08M25.00S,2022-04-08T00:15:49.5Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612750,6,2,2022-04-08T00:15:56Z,430000,,,0,,K. Towns lost ball TURNOVER (1 TO),"[1626157, 1630170]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,1.0,Vassell,1630170.0,,,,,,,,,,,
44,PT08M25.00S,2022-04-08T00:15:49.5Z,1,REGULAR,steal,,[],1630170,,,1610612759,6,2,2022-04-08T00:15:51Z,440000,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M21.00S,2022-04-08T00:15:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630170,93.64323258869908,50.49019607843137,1610612759,6,2,2022-04-08T00:16:02Z,450000,2.0,7.0,1,right,MISS D. Vassell running Layup,[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2022-04-08T00:15:54.6Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,6,2,2022-04-08T00:19:54Z,460000,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
47,PT08M16.00S,2022-04-08T00:15:58.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629640,94.40999984741211,50.0,1610612759,6,4,2022-04-08T00:20:47Z,470000,0.0,0.0,1,right,K. Johnson putback Layup (2 PTS),[1629640],1610612759.0,SAS,putback,,,Johnson,K. Johnson,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
48,PT08M12.00S,2022-04-08T00:16:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,7.440867279894875,48.03921568627451,1610612750,8,4,2022-04-08T00:16:09Z,480000,10.0,17.0,1,left,A. Edwards driving Layup (6 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,2.0,Made,,,,,6.0,,,,,,,,,,,,,,
49,PT07M57.00S,2022-04-08T00:16:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,86.72798948751642,62.85615808823529,1610612759,8,6,2022-04-08T00:21:31Z,490000,64.0,72.0,1,right,T. Jones 9' pullup Jump Shot (2 PTS),[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,9.68,Made,,,,,2.0,,,,,,,,,,,,,,
50,PT07M49.00S,2022-04-08T00:16:29.3Z,1,REGULAR,foul,personal,[],1630200,,,1610612750,8,6,2022-04-08T00:21:48Z,500000,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 201976]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Beverley,201976.0,,,,,,
52,PT07M45.00S,2022-04-08T00:16:47.1Z,1,REGULAR,3pt,Jump Shot,[],1626157,12.483574244415237,3.8985906862745026,1610612750,11,6,2022-04-08T00:22:17Z,520000,231.0,65.0,1,left,K. Towns 3PT  (3 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,23.94,Made,,,,,3.0,,,,,,,,,P. Beverley,201976.0,1.0,,,
54,PT07M23.00S,2022-04-08T00:17:08.2Z,1,REGULAR,turnover,bad pass,[],1630200,,,1610612759,11,6,2022-04-08T00:22:37Z,540000,,,0,,T. Jones bad pass TURNOVER (1 TO),"[1630200, 1629020]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,
55,PT07M23.00S,2022-04-08T00:17:08.2Z,1,REGULAR,steal,,[],1629020,,,1610612750,11,6,2022-04-08T00:17:10Z,550000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M18.00S,2022-04-08T00:17:13.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630162,5.075558475689881,94.85294117647058,1610612750,14,6,2022-04-08T00:17:24Z,560000,-224.0,-5.0,1,left,A. Edwards 3PT step back (9 PTS) (J. Vanderbilt 1 AST),"[1630162, 1629020]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,22.44,Made,,,,,9.0,,,,,,,,,J. Vanderbilt,1629020.0,1.0,,,
58,PT07M16.00S,2022-04-08T00:17:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,14,6,2022-04-08T00:17:21Z,580000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M02.00S,2022-04-08T00:20:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.51182654402102,50.0,1610612759,14,8,2022-04-08T00:20:30Z,590000,0.0,8.0,1,right,J. Poeltl cutting Layup (2 PTS) (J. Primo 1 AST),"[1627751, 1630563]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,0.85,Made,,,,,2.0,,,,,,,,,J. Primo,1630563.0,1.0,,,
61,PT06M46.00S,2022-04-08T00:20:39.4Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,14,8,2022-04-08T00:23:46Z,610000,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1629640]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,1.0,Johnson,1629640.0,,,,,,,,,,,
62,PT06M46.00S,2022-04-08T00:20:39.4Z,1,REGULAR,steal,,[],1629640,,,1610612759,14,8,2022-04-08T00:20:41Z,620000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M43.00S,2022-04-08T00:20:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630200,93.64323258869908,50.49019607843137,1610612759,14,10,2022-04-08T00:20:48Z,630000,2.0,7.0,1,right,T. Jones running Layup (4 PTS) (K. Johnson 1 AST),"[1630200, 1629640]",1610612759.0,SAS,running,,,Jones,T. Jones,,,,,0.77,Made,,,,,4.0,,,,,,,,,K. Johnson,1629640.0,1.0,,,
65,PT06M36.00S,2022-04-08T00:20:50.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,6.521024967148489,95.34313725490196,1610612750,14,10,2022-04-08T00:20:59Z,650000,-227.0,9.0,1,left,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2022-04-08T00:20:53.2Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,14,10,2022-04-08T00:20:59Z,660000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
67,PT06M31.00S,2022-04-08T00:20:56.5Z,1,REGULAR,foul,personal,[],1627736,,,1610612759,14,10,2022-04-08T00:21:05Z,670000,,,0,,M. Beasley take personal FOUL (1 PF),"[1627736, 1630200]",1610612750.0,MIN,take,,,Beasley,M. Beasley,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Jones,1630200.0,,,,,,
69,PT06M31.00S,2022-04-08T00:21:15.9Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,14,10,2022-04-08T00:21:26Z,690000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M31.00S,2022-04-08T00:21:15.9Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,14,10,2022-04-08T00:21:26Z,700000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M20.00S,2022-04-08T00:21:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,93.51182654402102,48.03921568627451,1610612759,14,12,2022-04-08T00:21:47Z,710000,-10.0,8.0,1,right,D. Vassell cutting Layup (2 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,cutting,,,Vassell,D. Vassell,,,,,1.3,Made,,,,,2.0,,,,,,,,,J. Poeltl,1627751.0,1.0,,,
73,PT06M07.00S,2022-04-08T00:21:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,6.389618922470433,50.49019607843137,1610612750,16,12,2022-04-08T00:22:00Z,730000,-2.0,8.0,1,left,P. Beverley driving Layup (2 PTS),[201976],1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,0.8,Made,,,,,2.0,,,,,,,,,,,,,,
74,PT05M55.00S,2022-04-08T00:22:07.3Z,1,REGULAR,2pt,Jump Shot,[],1626196,76.74113009198423,37.47702205882353,1610612759,16,12,2022-04-08T00:26:07Z,740000,-63.0,166.0,1,right,MISS J. Richardson 17' pullup Shot - blocked,"[1626196, 201976]",1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,17.75,Missed,,,,,,,,,,,,,,,,,Beverley,201976.0,
75,PT05M55.00S,2022-04-08T00:22:07.3Z,1,REGULAR,block,,[],201976,,,1610612759,16,12,2022-04-08T00:22:09Z,750000,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M53.00S,2022-04-08T00:22:09.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,12,2022-04-08T00:22:12Z,760000,,,0,,K. Towns REBOUND (Off:1 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,74.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
77,PT05M47.00S,2022-04-08T00:22:16.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629020,8.40998685939553,54.021139705882355,1610612750,16,12,2022-04-08T00:26:21Z,770000,-20.0,27.0,1,left,MISS J. Vanderbilt running Layup,[1629020],1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,3.33,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2022-04-08T00:22:18.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,16,12,2022-04-08T00:22:20Z,780000,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,77.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
79,PT05M36.00S,2022-04-08T00:22:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.85479632063075,50.49019607843137,1610612759,16,14,2022-04-08T00:22:30Z,790000,2.0,15.0,1,right,J. Poeltl cutting Layup (4 PTS) (J. Richardson 1 AST),"[1627751, 1626196]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,1.49,Made,,,,,4.0,,,,,,,,,J. Richardson,1626196.0,1.0,,,
81,PT05M21.00S,2022-04-08T00:22:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612750,16,14,2022-04-08T00:26:13Z,810000,,,0,,K. Towns flagrant-type-1 personal FOUL (1 PF) (Primo 2 FT),"[1626157, 1630563]",1610612750.0,MIN,flagrant-type-1,,,Towns,K. Towns,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Primo,1630563.0,,,,,,
83,PT05M21.00S,2022-04-08T00:22:43.4Z,1,REGULAR,turnover,,[],1626157,,,1610612750,16,14,2022-04-08T00:26:00Z,830000,,,0,,K. Towns TURNOVER (2 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,2.0,,,1627963.0,,,,,,,,,,
84,PT05M21.00S,2022-04-08T00:23:00.1Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,16,14,2022-04-08T00:23:03Z,840000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2022-04-08T00:23:00.1Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,16,14,2022-04-08T00:23:03Z,850000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M21.00S,2022-04-08T00:23:11.0Z,1,REGULAR,instantreplay,request,[],0,,,1610612759,16,14,2022-04-08T00:25:28Z,860000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,1830.0,,,,,,,,,,Common Foul to Flagrant 1
87,PT05M21.00S,2022-04-08T00:26:14.5Z,1,REGULAR,freethrow,1 of 2,[],1630563,,,1610612759,16,15,2022-04-08T00:26:14Z,870000,,,0,,J. Primo flagrant Free Throw 1 of 2 (3 PTS),[1630563],1610612759.0,SAS,flagrant,,,Primo,J. Primo,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
88,PT05M21.00S,2022-04-08T00:26:14.5Z,1,REGULAR,freethrow,2 of 2,[],1630563,,,1610612759,16,15,2022-04-08T00:26:20Z,880000,,,0,,MISS J. Primo flagrant Free Throw 2 of 2,[1630563],1610612759.0,SAS,flagrant,,,Primo,J. Primo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
