actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M34.00S,2022-03-02T01:12:42.6Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,3,2,2022-03-02T01:12:44Z,170000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M32.00S,2022-03-02T01:12:44.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201976,23.209592641261498,14.460784313725492,1610612750,6,2,2022-03-02T01:12:50Z,180000,178.0,166.0,1,left,P. Beverley 24' 3PT  (3 PTS) (D. Russell 1 AST),"[201976, 1626156]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,24.3,Made,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
20,PT10M24.00S,2022-03-02T01:12:54.7Z,1,REGULAR,turnover,out-of-bounds,[],1627780,,,1610612744,6,2,2022-03-02T01:13:01Z,200000,,,0,,G. Payton II lost ball out-of-bounds TURNOVER (1 TO),[1627780],1610612744.0,GSW,lost ball,,,Payton II,G. Payton II,,,,,,,,,,,,,,,2534.0,1.0,,,,,,,,,
21,PT10M20.00S,2022-03-02T01:13:07.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,6,2,2022-03-02T01:13:07Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-03-02T01:13:27.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,14.536793692509855,51.9607843137255,1610612750,6,2,2022-03-02T01:14:25Z,220000,-10.0,84.0,1,left,MISS J. McDaniels 8' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,8.47,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M03.00S,2022-03-02T01:13:30.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,6,2,2022-03-02T01:13:32Z,230000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M52.00S,2022-03-02T01:13:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,93.16688567674113,46.22395833333333,1610612744,6,4,2022-03-02T01:13:51Z,240000,-19.0,12.0,1,right,G. Payton II reverse Layup (2 PTS) (K. Looney 2 AST),"[1627780, 1626172]",1610612744.0,GSW,reverse,,,Payton II,G. Payton II,,,,,2.22,Made,2.0,K. Looney,1626172.0,2.0,,,,,,,,,,,,,,,
26,PT09M37.00S,2022-03-02T01:13:56.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,22.158344283837057,44.6078431372549,1610612750,6,4,2022-03-02T01:14:00Z,260000,27.0,156.0,1,left,MISS D. Russell 15' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,15.81,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2022-03-02T01:13:57.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,6,4,2022-03-02T01:14:00Z,270000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,
28,PT09M31.00S,2022-03-02T01:14:03.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,73.9323258869908,14.950980392156863,1610612744,6,7,2022-03-02T01:14:11Z,280000,-175.0,193.0,1,right,A. Wiggins 26' 3PT  (5 PTS) (M. Moody 1 AST),"[203952, 1630541]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.03,Made,5.0,M. Moody,1630541.0,1.0,,,,,,,,,,,,,,,
30,PT09M14.00S,2022-03-02T01:14:19.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,7.046649145860711,62.99019607843137,1610612750,8,7,2022-03-02T01:14:25Z,300000,-65.0,14.0,1,left,K. Towns 6' driving Hook (5 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,6.64,Made,5.0,,,,,,,,,,,,,,,,,,
31,PT08M52.00S,2022-03-02T01:14:41.1Z,1,REGULAR,3pt,Jump Shot,[],203952,73.27529566360053,80.88235294117648,1610612744,8,10,2022-03-02T01:14:45Z,310000,154.0,199.0,1,right,A. Wiggins 25' 3PT step back (8 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,25.16,Made,8.0,,,,,,,,,,,,,,,,,,
32,PT08M35.00S,2022-03-02T01:14:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,10.463206307490145,38.48039215686275,1610612750,10,10,2022-03-02T01:15:06Z,320000,58.0,46.0,1,left,K. Towns 7' driving bank Jump Shot (7 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,driving bank,,,Towns,K. Towns,,,,,7.37,Made,7.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,,,,
34,PT08M27.00S,2022-03-02T01:15:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,93.51182654402102,56.86274509803921,1610612744,10,12,2022-03-02T01:15:11Z,340000,34.0,8.0,1,right,M. Moody Layup (2 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,3.53,Made,2.0,,,,,,,,,,,,,,,,,,
35,PT08M14.00S,2022-03-02T01:15:19.4Z,1,REGULAR,3pt,Jump Shot,[],201976,7.440867279894875,94.11764705882352,1610612750,10,12,2022-03-02T01:15:26Z,350000,-221.0,17.0,1,left,MISS P. Beverley 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,22.13,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M10.00S,2022-03-02T01:15:23.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,10,12,2022-03-02T01:15:26Z,360000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,
37,PT08M10.00S,2022-03-02T01:15:28.5Z,1,REGULAR,foul,offensive,[],203952,,,1610612744,10,12,2022-03-02T01:15:39Z,370000,,,0,,A. Wiggins offensive FOUL (1 PF),"[203952, 1630183]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,203593.0,,1.0,0.0,McDaniels,1630183.0,,,,,
39,PT08M10.00S,2022-03-02T01:15:28.5Z,1,REGULAR,turnover,offensive foul,[],203952,,,1610612744,10,12,2022-03-02T01:15:28Z,390000,,,0,,A. Wiggins offensive foul TURNOVER (1 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,203593.0,1.0,,,,,,,,,
40,PT08M00.00S,2022-03-02T01:15:57.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,31.61957950065703,54.65686274509803,1610612750,10,12,2022-03-02T01:16:03Z,400000,-23.0,245.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,24.58,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M57.00S,2022-03-02T01:16:00.1Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,10,12,2022-03-02T01:16:03Z,410000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT07M49.00S,2022-03-02T01:16:08.2Z,1,REGULAR,3pt,Jump Shot,[],201939,68.67608409986859,70.58823529411765,1610612744,10,12,2022-03-02T01:16:13Z,420000,103.0,242.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M46.00S,2022-03-02T01:16:11.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,10,12,2022-03-02T01:16:13Z,430000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
44,PT07M44.00S,2022-03-02T01:16:15.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,10,12,2022-03-02T01:16:15Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M39.00S,2022-03-02T01:16:39.2Z,1,REGULAR,2pt,Jump Shot,[],1626157,22.026938239159,50.0,1610612750,10,12,2022-03-02T01:16:44Z,450000,0.0,155.0,1,left,MISS K. Towns 15' turnaround fadeaway Shot,[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,15.46,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M36.00S,2022-03-02T01:16:42.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,10,12,2022-03-02T01:16:44Z,460000,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M28.00S,2022-03-02T01:16:50.9Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,10,12,2022-03-02T01:16:55Z,470000,,,0,,A. Wiggins lost ball TURNOVER (2 TO),"[203952, 201976]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,2.0,,,,,Beverley,201976.0,,,
48,PT07M28.00S,2022-03-02T01:16:50.9Z,1,REGULAR,steal,,[],201976,,,1610612750,10,12,2022-03-02T01:16:52Z,480000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2022-03-02T01:16:55.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626156,8.935611038107753,49.24172794117647,1610612750,12,12,2022-03-02T01:17:46Z,490000,4.0,31.0,1,left,D. Russell running Layup (2 PTS),[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,3.17,Made,2.0,,,,,,,,,,,,,,,,,,
50,PT07M25.00S,2022-03-02T01:16:59.7Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612750,12,12,2022-03-02T01:17:23Z,500000,,,0,,K. Looney shooting personal FOUL (1 PF) (Russell 1 FT),"[1626172, 1626156]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,203593.0,,1.0,0.0,Russell,1626156.0,,,,,
52,PT07M25.00S,2022-03-02T01:17:35.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1626156,,,1610612750,13,12,2022-03-02T01:17:35Z,520000,,,0,,D. Russell Free Throw 1 of 1 (3 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
53,PT07M12.00S,2022-03-02T01:17:55.6Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612744,13,12,2022-03-02T01:18:04Z,530000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Moody 2 FT),"[201976, 1630541]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,,,,,,,,,,,202007.0,,1.0,0.0,Moody,1630541.0,,,,,
55,PT07M12.00S,2022-03-02T01:18:25.8Z,1,REGULAR,freethrow,1 of 2,[],1630541,,,1610612744,13,13,2022-03-02T01:18:42Z,550000,,,0,,M. Moody Free Throw 1 of 2 (3 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2022-03-02T01:18:25.8Z,1,REGULAR,freethrow,2 of 2,[],1630541,,,1610612744,13,13,2022-03-02T01:18:42Z,560000,,,0,,MISS M. Moody Free Throw 2 of 2,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M11.00S,2022-03-02T01:18:26.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,13,13,2022-03-02T01:18:42Z,570000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,
58,PT07M07.00S,2022-03-02T01:18:48.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,13,2022-03-02T01:18:48Z,580000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2022-03-02T01:22:10.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.61957950065703,38.72549019607843,1610612750,13,13,2022-03-02T01:22:16Z,590000,56.0,245.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2022-03-02T01:22:14.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,13,13,2022-03-02T01:22:16Z,600000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,,,
61,PT06M51.00S,2022-03-02T01:22:25.2Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612744,13,13,2022-03-02T01:22:33Z,610000,,,0,,K. Towns shooting personal FOUL (1 PF) (Payton II 2 FT),"[1626157, 1627780]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,,,,,2534.0,,1.0,0.0,Payton II,1627780.0,,,,,
63,PT06M51.00S,2022-03-02T01:22:49.5Z,1,REGULAR,freethrow,1 of 2,[],1627780,,,1610612744,13,14,2022-03-02T01:23:05Z,630000,,,0,,G. Payton II Free Throw 1 of 2 (3 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2022-03-02T01:22:49.5Z,1,REGULAR,freethrow,2 of 2,[],1627780,,,1610612744,13,14,2022-03-02T01:23:05Z,640000,,,0,,MISS G. Payton II Free Throw 2 of 2,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2022-03-02T01:22:51.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,13,14,2022-03-02T01:23:05Z,650000,,,0,,J. McDaniels REBOUND (Off:1 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,,,,
66,PT06M41.00S,2022-03-02T01:23:12.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,18.74178712220762,92.15686274509804,1610612750,13,14,2022-03-02T01:23:18Z,660000,-211.0,124.0,1,left,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.44,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M37.00S,2022-03-02T01:23:16.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,13,14,2022-03-02T01:23:18Z,670000,,,0,,A. Wiggins REBOUND (Off:0 Def:4),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,66.0,4.0,4.0,0.0,,,,,,,,,,,
68,PT06M26.00S,2022-03-02T01:23:26.3Z,1,REGULAR,3pt,Jump Shot,[],1630541,82.3915900131406,93.40533088235294,1610612744,13,17,2022-03-02T01:23:34Z,680000,217.0,113.0,1,right,M. Moody 24' 3PT  (6 PTS) (A. Wiggins 1 AST),"[1630541, 203952]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,24.47,Made,6.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,,
70,PT06M20.00S,2022-03-02T01:23:35.4Z,1,REGULAR,turnover,out-of-bounds,[],201976,,,1610612750,13,17,2022-03-02T01:23:42Z,700000,,,0,,P. Beverley bad pass out-of-bounds TURNOVER (1 TO),[201976],1610612750.0,MIN,bad pass,,,Beverley,P. Beverley,,,,,,,,,,,,,,,2534.0,1.0,,,,,,,,,
71,PT06M20.00S,2022-03-02T01:23:38.2Z,1,REGULAR,substitution,out,[],1626156,,,1610612744,13,17,2022-03-02T01:23:46Z,710000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M20.00S,2022-03-02T01:23:38.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612744,13,17,2022-03-02T01:23:46Z,720000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M07.00S,2022-03-02T01:24:02.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,69.07030223390277,32.1078431372549,1610612744,13,17,2022-03-02T01:24:10Z,730000,-89.0,238.0,1,right,MISS S. Curry 25' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2022-03-02T01:24:04.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,13,17,2022-03-02T01:24:35Z,740000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,
75,PT06M05.00S,2022-03-02T01:24:08.6Z,1,REGULAR,foul,personal,[],1627780,,,1610612750,13,17,2022-03-02T01:24:32Z,750000,,,0,,G. Payton II loose ball personal FOUL (1 PF),"[1627780, 1630183]",1610612744.0,GSW,loose ball,,,Payton II,G. Payton II,,,,,,,,,,,,,,,202007.0,,1.0,0.0,McDaniels,1630183.0,,,,,
77,PT06M05.00S,2022-03-02T01:24:19.0Z,1,REGULAR,substitution,out,[],1627780,,,1610612750,13,17,2022-03-02T01:24:24Z,770000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M05.00S,2022-03-02T01:24:19.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612750,13,17,2022-03-02T01:24:24Z,780000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M56.00S,2022-03-02T01:24:38.2Z,1,REGULAR,3pt,Jump Shot,[],201976,27.020367936925098,78.18627450980392,1610612750,16,17,2022-03-02T01:24:45Z,790000,-141.0,201.0,1,left,P. Beverley 24' 3PT  (6 PTS) (M. Beasley 1 AST),"[201976, 1627736]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,24.59,Made,6.0,M. Beasley,1627736.0,1.0,,,,,,,,,,,,,,,
81,PT05M40.00S,2022-03-02T01:24:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612744,16,17,2022-03-02T01:25:01Z,810000,,,0,,K. Towns shooting personal FOUL (2 PF) (Curry 2 FT),"[1626157, 201939]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,,,,,202007.0,,2.0,0.0,Curry,201939.0,,,,,
83,PT05M40.00S,2022-03-02T01:25:19.8Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,16,18,2022-03-02T01:25:19Z,830000,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
84,PT05M40.00S,2022-03-02T01:25:33.5Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,16,19,2022-03-02T01:25:33Z,840000,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
85,PT05M29.00S,2022-03-02T01:25:46.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,6.915243101182654,95.58823529411765,1610612750,16,19,2022-03-02T01:25:54Z,850000,-228.0,13.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M26.00S,2022-03-02T01:25:49.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,16,19,2022-03-02T01:25:54Z,860000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,
87,PT05M26.00S,2022-03-02T01:25:53.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,16,19,2022-03-02T01:25:53Z,870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M26.00S,2022-03-02T01:25:58.5Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,16,19,2022-03-02T01:26:10Z,880000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M26.00S,2022-03-02T01:25:58.5Z,1,REGULAR,substitution,in,[],1629669,,,1610612750,16,19,2022-03-02T01:26:10Z,890000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M24.00S,2022-03-02T01:26:28.2Z,1,REGULAR,foul,personal,[],1629673,,,1610612750,16,19,2022-03-02T01:26:35Z,900000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 201976]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,202007.0,,1.0,0.0,Beverley,201976.0,,,,,
92,PT05M13.00S,2022-03-02T01:26:56.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626157,8.360709592641262,62.5,1610612750,16,19,2022-03-02T01:27:01Z,920000,-62.0,26.0,1,left,MISS K. Towns 6' driving floating Shot,[1626157],1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,6.77,Missed,,,,,,,,,,,,,,,,,,,
