actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
23,PT10M31.00S,2022-03-19T21:12:57.4Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,2,2022-03-19T21:13:04Z,230000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT10M21.00S,2022-03-19T21:13:09.1Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,0,2,2022-03-19T21:20:47Z,240000,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,1627961.0,,,,,,,,,,,,,,1.0,,,,,,
25,PT10M05.00S,2022-03-19T21:13:32.7Z,1,REGULAR,turnover,lost ball,[],1626171,,,1610612749,0,2,2022-03-19T21:13:40Z,250000,,,0,,B. Portis lost ball TURNOVER (1 TO),"[1626171, 201976]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,1.0,Beverley,201976.0,,,,
26,PT10M05.00S,2022-03-19T21:13:32.7Z,1,REGULAR,steal,,[],201976,,,1610612750,0,2,2022-03-19T21:13:34Z,260000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2022-03-19T21:13:42.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,74.72076215505913,14.460784313725492,1610612750,0,2,2022-03-19T21:13:50Z,270000,-178.0,185.0,1,right,MISS P. Beverley 25' pullup 3PT,[201976],1610612750.0,MIN,pullup,,,Beverley,P. Beverley,,,,,,,,,,25.66,Missed,,,,,,,,,,,,,,
28,PT09M51.00S,2022-03-19T21:13:47.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,2,2022-03-19T21:13:50Z,280000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT09M40.00S,2022-03-19T21:13:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,7.966491458607096,44.85294117647059,1610612749,0,2,2022-03-19T21:18:36Z,290000,26.0,22.0,1,left,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,,,,,,3.41,Missed,,,,,,,,,,,,,,
30,PT09M37.00S,2022-03-19T21:14:00.6Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,0,2,2022-03-19T21:14:03Z,300000,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,
31,PT09M37.00S,2022-03-19T21:14:00.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201572,5.590000152587891,50.0,1610612749,0,4,2022-03-19T21:19:03Z,310000,0.0,0.0,1,left,B. Lopez tip Layup (2 PTS),[201572],1610612749.0,MIL,tip,,,Lopez,B. Lopez,,,,,,,,,,0.0,Made,,,,,,,2.0,,,,,,,
32,PT09M26.00S,2022-03-19T21:14:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.64323258869908,48.529411764705884,1610612750,2,4,2022-03-19T21:14:18Z,320000,-7.0,7.0,1,right,K. Towns driving Layup (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,,,1.04,Made,,,,,,,2.0,,,,D. Russell,1626156.0,1.0,
34,PT09M26.00S,2022-03-19T21:14:16.0Z,1,REGULAR,foul,personal,['1freethrow'],201572,,,1610612750,2,4,2022-03-19T21:14:27Z,340000,,,0,,B. Lopez shooting personal FOUL (1 PF) (Towns 1 FT),"[201572, 1626157]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,1627961.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
36,PT09M26.00S,2022-03-19T21:14:50.4Z,1,REGULAR,freethrow,1 of 1,[],1626157,,,1610612750,2,4,2022-03-19T21:14:50Z,360000,,,0,,MISS K. Towns Free Throw 1 of 1,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,Missed,,,,,,,,,,,,,,
37,PT09M24.00S,2022-03-19T21:14:52.4Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,2,4,2022-03-19T21:14:54Z,370000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,
38,PT09M15.00S,2022-03-19T21:15:00.7Z,1,REGULAR,3pt,Jump Shot,[],203114,29.911300919842315,27.941176470588236,1610612749,2,7,2022-03-19T21:15:40Z,380000,110.0,229.0,1,left,K. Middleton 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[203114, 201950]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,25.39,Made,,,,,,,3.0,,,,J. Holiday,201950.0,1.0,
40,PT09M05.00S,2022-03-19T21:15:13.5Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612750,2,7,2022-03-19T21:15:35Z,400000,,,0,,B. Portis shooting personal FOUL (1 PF) (Vanderbilt 2 FT),"[1626171, 1629020]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,203592.0,1.0,0.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,
42,PT09M05.00S,2022-03-19T21:15:44.5Z,1,REGULAR,freethrow,1 of 2,[],1629020,,,1610612750,3,7,2022-03-19T21:15:44Z,420000,,,0,,J. Vanderbilt Free Throw 1 of 2 (1 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
43,PT09M05.00S,2022-03-19T21:15:44.5Z,1,REGULAR,freethrow,2 of 2,[],1629020,,,1610612750,3,7,2022-03-19T21:16:05Z,430000,,,0,,MISS J. Vanderbilt Free Throw 2 of 2,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,Missed,,,,,,,,,,,,,,
44,PT09M03.00S,2022-03-19T21:15:46.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,3,7,2022-03-19T21:16:05Z,440000,,,0,,B. Portis REBOUND (Off:2 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,43.0,3.0,1.0,2.0,,,,,,,,,,
45,PT08M51.00S,2022-03-19T21:16:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.802233902759525,59.80392156862745,1610612749,3,10,2022-03-19T21:16:19Z,450000,-49.0,256.0,1,left,G. Allen 26' 3PT  (3 PTS) (B. Lopez 1 AST),"[1628960, 201572]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,26.05,Made,,,,,,,3.0,,,,B. Lopez,201572.0,1.0,
47,PT08M30.00S,2022-03-19T21:16:34.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.33311432325887,63.725490196078425,1610612750,6,10,2022-03-19T21:23:10Z,470000,69.0,236.0,1,right,D. Russell 24' 3PT pullup (3 PTS) (J. Vanderbilt 1 AST),"[1626156, 1629020]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,24.56,Made,,,,,,,3.0,,,,J. Vanderbilt,1629020.0,1.0,
48,PT08M14.00S,2022-03-19T21:16:50.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,6.258212877792378,3.431372549019608,1610612749,6,13,2022-03-19T21:16:55Z,480000,233.0,6.0,1,left,G. Allen 3PT  (6 PTS) (K. Middleton 1 AST),"[1628960, 203114]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,23.29,Made,,,,,,,6.0,,,,K. Middleton,203114.0,1.0,
51,PT07M58.00S,2022-03-19T21:17:06.9Z,1,REGULAR,3pt,Jump Shot,[],1629020,76.95466491458606,10.53921568627451,1610612750,6,13,2022-03-19T21:17:11Z,500000,-197.0,164.0,1,right,MISS J. Vanderbilt 25' 3PT,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,25.66,Missed,,,,,,,,,,,,,,
52,PT07M56.00S,2022-03-19T21:17:08.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,6,13,2022-03-19T21:17:11Z,510000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M50.00S,2022-03-19T21:17:14.9Z,1,REGULAR,3pt,Jump Shot,[],201950,26.757555847568987,86.76470588235294,1610612749,6,13,2022-03-19T21:24:04Z,520000,-184.0,199.0,1,left,MISS J. Holiday 27' pullup 3PT,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,,,,,,27.09,Missed,,,,,,,,,,,,,,
54,PT07M48.00S,2022-03-19T21:17:16.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,6,13,2022-03-19T21:17:32Z,530000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,
55,PT07M37.00S,2022-03-19T21:17:28.8Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,6,13,2022-03-19T21:17:41Z,540000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,203592.0,,,,,,,,,,,,,,1.0,,,,,,
56,PT07M26.00S,2022-03-19T21:17:48.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,30.831143232588698,64.70588235294117,1610612749,6,13,2022-03-19T21:24:54Z,550000,-74.0,237.0,1,left,MISS G. Allen 24' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,,,,,,24.84,Missed,,,,,,,,,,,,,,
57,PT07M24.00S,2022-03-19T21:17:50.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,6,13,2022-03-19T21:20:33Z,560000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,
67,PT07M24.00S,2022-03-19T21:17:58.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,6,13,2022-03-19T21:19:09Z,565000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M12.00S,2022-03-19T21:18:09.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,67.795252956636,59.14522058823529,1610612750,6,13,2022-03-19T21:26:13Z,570000,46.0,250.0,1,right,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,25.43,Missed,,,,,,,,,,,,,,
59,PT07M10.00S,2022-03-19T21:18:11.3Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612750,6,13,2022-03-19T21:26:13Z,580000,,,0,,D. Russell REBOUND (Off:1 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,
60,PT07M07.00S,2022-03-19T21:18:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,93.51182654402102,49.26470588235294,1610612750,8,13,2022-03-19T21:18:25Z,590000,-4.0,8.0,1,right,A. Edwards driving reverse Layup (2 PTS) (D. Russell 2 AST),"[1630162, 1626156]",1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,,,,,,0.93,Made,,,,,,,2.0,,,,D. Russell,1626156.0,2.0,
62,PT06M53.00S,2022-03-19T21:18:29.1Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612749,8,13,2022-03-19T21:18:37Z,610000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1630162]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,
63,PT06M53.00S,2022-03-19T21:18:29.1Z,1,REGULAR,steal,,[],1630162,,,1610612750,8,13,2022-03-19T21:18:31Z,620000,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2022-03-19T21:18:42.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,70.38436268068331,70.83333333333334,1610612750,11,13,2022-03-19T21:29:25Z,640000,104.0,226.0,1,right,A. Edwards 24' 3PT running pullup (5 PTS),[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,,,,,,24.88,Made,,,,,,,5.0,,,,,,,
99,PT06M45.00S,2022-03-19T21:18:45.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612749,11,13,2022-03-19T21:28:22Z,645000,,,0,,,[],,,overturned,,,,,,,,,201639.0,,,,,,,,,,,,,,,,,,,,Changed to 3-pt FG
66,PT06M37.00S,2022-03-19T21:18:48.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,11,13,2022-03-19T21:27:57Z,650000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2022-03-19T21:20:55.6Z,1,REGULAR,substitution,out,[],201950,,,1610612749,11,13,2022-03-19T21:21:31Z,660000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2022-03-19T21:20:55.6Z,1,REGULAR,substitution,out,[],201572,,,1610612749,11,13,2022-03-19T21:21:31Z,670000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M37.00S,2022-03-19T21:20:55.6Z,1,REGULAR,substitution,in,[],201588,,,1610612749,11,13,2022-03-19T21:21:31Z,680000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M37.00S,2022-03-19T21:20:55.6Z,1,REGULAR,substitution,in,[],201586,,,1610612749,11,13,2022-03-19T21:21:31Z,690000,,,0,,SUB in: S. Ibaka,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M26.00S,2022-03-19T21:22:02.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,31.225361366622867,61.029411764705884,1610612749,11,13,2022-03-19T21:22:06Z,700000,-55.0,241.0,1,left,MISS G. Allen 24' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,24.72,Missed,,,,,,,,,,,,,,
73,PT06M23.00S,2022-03-19T21:22:05.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,11,13,2022-03-19T21:22:06Z,710000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,
74,PT06M15.00S,2022-03-19T21:22:13.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,76.69185282522996,87.25490196078431,1610612750,14,13,2022-03-19T21:22:17Z,720000,186.0,167.0,1,right,A. Edwards 24' 3PT  (8 PTS) (D. Russell 3 AST),"[1630162, 1626156]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,24.99,Made,,,,,,,8.0,,,,D. Russell,1626156.0,3.0,
76,PT05M54.00S,2022-03-19T21:22:34.8Z,1,REGULAR,3pt,Jump Shot,[],201586,17.16491458607096,92.64705882352942,1610612749,14,13,2022-03-19T21:22:40Z,740000,-213.0,109.0,1,left,MISS S. Ibaka 3PT,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,23.94,Missed,,,,,,,,,,,,,,
77,PT05M52.00S,2022-03-19T21:22:36.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,14,13,2022-03-19T21:22:40Z,750000,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,
78,PT05M43.00S,2022-03-19T21:22:45.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,74.19513797634691,83.08823529411765,1610612750,14,13,2022-03-19T21:22:51Z,760000,165.0,190.0,1,right,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,25.2,Missed,,,,,,,,,,,,,,
79,PT05M39.00S,2022-03-19T21:22:49.8Z,1,REGULAR,rebound,defensive,[],201586,,,1610612749,14,13,2022-03-19T21:22:51Z,770000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,
80,PT05M34.00S,2022-03-19T21:22:55.2Z,1,REGULAR,2pt,Jump Shot,[],203114,6.964520367936927,74.2110906862745,1610612749,14,15,2022-03-19T21:32:11Z,780000,-121.0,13.0,1,left,K. Middleton 12' driving floating Jump Shot (5 PTS),[203114],1610612749.0,MIL,driving floating,,,Middleton,K. Middleton,,,,,,,,,,12.18,Made,,,,,,,5.0,,,,,,,
81,PT05M11.00S,2022-03-19T21:23:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201976,91.93495400788436,64.4607843137255,1610612750,14,15,2022-03-19T21:23:23Z,790000,72.0,23.0,1,right,MISS P. Beverley 7' driving Hook,[201976],1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,,,,,,7.6,Missed,,,,,,,,,,,,,,
82,PT05M07.00S,2022-03-19T21:23:22.1Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,14,15,2022-03-19T21:23:23Z,800000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,
83,PT05M02.00S,2022-03-19T21:23:25.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203114,29.517082785808146,20.34313725490196,1610612749,14,15,2022-03-19T21:32:44Z,810000,148.0,225.0,1,left,MISS K. Middleton 26' running pullup 3PT,[203114],1610612749.0,MIL,running pullup,,,Middleton,K. Middleton,,,,,,,,,,26.95,Missed,,,,,,,,,,,,,,
84,PT05M00.00S,2022-03-19T21:23:27.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,15,2022-03-19T21:23:35Z,820000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,
85,PT04M54.00S,2022-03-19T21:23:34.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.49342969776609,40.68627450980392,1610612750,14,15,2022-03-19T21:23:39Z,830000,-47.0,253.0,1,right,MISS K. Towns 25' pullup 3PT,[1626157],1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,,,,,,25.74,Missed,,,,,,,,,,,,,,
86,PT04M51.00S,2022-03-19T21:23:37.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,14,15,2022-03-19T21:23:39Z,840000,,,0,,B. Portis REBOUND (Off:2 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,85.0,4.0,2.0,2.0,,,,,,,,,,
87,PT04M44.00S,2022-03-19T21:23:44.3Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,14,15,2022-03-19T21:23:55Z,850000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1626157]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,1.0,Towns,1626157.0,,,,
