actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT11M16.00S,2022-03-08T01:12:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629234,91.01511169513797,47.794117647058826,1610612757,1,0,2022-03-08T01:16:52Z,170000,-11.0,32.0,1,right,MISS D. Eubanks cutting Layup,[1629234],1610612757.0,POR,cutting,,,Eubanks,D. Eubanks,,,,,,,,,,Missed,,,3.38,,,,,,,,,,,,
18,PT11M14.00S,2022-03-08T01:12:36.6Z,1,REGULAR,rebound,offensive,[],1630570,,,1610612757,1,0,2022-03-08T01:16:52Z,180000,,,0,,T. Watford REBOUND (Off:1 Def:0),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,17.0,,1.0,0.0,1.0,,,,,,,,,
19,PT11M11.00S,2022-03-08T01:12:40.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628404,83.919185282523,49.754901960784316,1610612757,1,2,2022-03-08T01:12:57Z,190000,-1.0,99.0,1,right,J. Hart 9' floating Jump Shot (2 PTS) (T. Watford 1 AST),"[1628404, 1630570]",1610612757.0,POR,floating,,,Hart,J. Hart,,,,,,,,,,Made,2.0,,9.87,,,,T. Watford,1630570.0,1.0,,,,,,
20,PT10M59.00S,2022-03-08T01:12:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.863994743758213,50.49019607843137,1610612750,1,2,2022-03-08T01:15:45Z,200000,-2.0,3.0,1,left,MISS J. Vanderbilt reverse Layup,[1629020],1610612750.0,MIN,reverse,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,Missed,,,0.36,,,,,,,,,,,,
21,PT10M59.00S,2022-03-08T01:12:51.8Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,1,2,2022-03-08T01:13:02Z,210000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,20.0,,1.0,0.0,1.0,,,,,,,,,
22,PT10M55.00S,2022-03-08T01:12:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,5.732588699080158,50.0,1610612750,3,2,2022-03-08T01:13:06Z,220000,0.0,1.0,1,left,J. Vanderbilt Layup (2 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,Made,2.0,,0.14,,,,,,,,,,,,
23,PT10M40.00S,2022-03-08T01:13:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,94.03745072273325,50.0,1610612757,3,4,2022-03-08T01:13:14Z,230000,0.0,4.0,1,right,C. Elleby driving Layup (2 PTS) (T. Watford 2 AST),"[1629604, 1630570]",1610612757.0,POR,driving,,,Elleby,C. Elleby,,,,,,,,,,Made,2.0,,0.35,,,,T. Watford,1630570.0,2.0,,,,,,
24,PT10M30.00S,2022-03-08T01:13:20.7Z,1,REGULAR,2pt,Jump Shot,[],1626157,28.728646517739815,34.55882352941176,1610612750,3,4,2022-03-08T01:13:25Z,240000,77.0,218.0,1,left,MISS K. Towns 23' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,,23.08,,,,,,,,,,,,
25,PT10M26.00S,2022-03-08T01:13:24.7Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612757,3,4,2022-03-08T01:13:25Z,250000,,,0,,B. Williams REBOUND (Off:0 Def:2),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,24.0,,2.0,2.0,0.0,,,,,,,,,
26,PT10M20.00S,2022-03-08T01:13:30.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,92.59198423127464,62.00980392156863,1610612757,3,4,2022-03-08T01:18:09Z,260000,60.0,17.0,1,right,MISS D. Eubanks 6' Hook,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,Missed,,,6.24,,,,,,,,,,,,
27,PT10M18.00S,2022-03-08T01:13:32.3Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,3,4,2022-03-08T01:13:34Z,270000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,26.0,,1.0,1.0,0.0,,,,,,,,,
28,PT10M12.00S,2022-03-08T01:13:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,5.995400788436268,50.98039215686274,1610612750,5,4,2022-03-08T01:13:42Z,280000,-5.0,4.0,1,left,P. Beverley driving Layup (3 PTS),[201976],1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,,,,,,Made,3.0,,0.63,,,,,,,,,,,,
29,PT09M48.00S,2022-03-08T01:14:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629234,84.05059132720105,43.38235294117647,1610612757,5,4,2022-03-08T01:18:41Z,290000,-33.0,97.0,1,right,MISS D. Eubanks 10' floating Shot,[1629234],1610612757.0,POR,floating,,,Eubanks,D. Eubanks,,,,,,,,,,Missed,,,10.29,,,,,,,,,,,,
30,PT09M46.00S,2022-03-08T01:14:04.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,5,4,2022-03-08T01:14:06Z,300000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,29.0,,2.0,1.0,1.0,,,,,,,,,
31,PT09M40.00S,2022-03-08T01:14:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,10.726018396846255,95.34313725490196,1610612750,5,4,2022-03-08T01:14:15Z,310000,-227.0,48.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,Missed,,,23.18,,,,,,,,,,,,
32,PT09M38.00S,2022-03-08T01:14:12.3Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,5,4,2022-03-08T01:14:15Z,320000,,,0,,T. Watford REBOUND (Off:1 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,31.0,,2.0,1.0,1.0,,,,,,,,,
33,PT09M20.00S,2022-03-08T01:14:31.1Z,1,REGULAR,2pt,Jump Shot,[],1628404,85.49605781865965,29.65686274509804,1610612757,5,4,2022-03-08T01:14:36Z,330000,-102.0,84.0,1,right,MISS J. Hart 13' turnaround fadeaway Shot,[1628404],1610612757.0,POR,turnaround fadeaway,,,Hart,J. Hart,,,,,,,,,,Missed,,,13.18,,,,,,,,,,,,
34,PT09M16.00S,2022-03-08T01:14:35.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,5,4,2022-03-08T01:14:36Z,340000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,33.0,,3.0,2.0,1.0,,,,,,,,,
35,PT09M09.00S,2022-03-08T01:14:45.1Z,1,REGULAR,foul,personal,['2freethrow'],1630570,,,1610612750,5,4,2022-03-08T01:14:53Z,350000,,,0,,T. Watford shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1630570, 1630183]",1610612757.0,POR,shooting,,,Watford,T. Watford,,,,,1662.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,
37,PT09M09.00S,2022-03-08T01:15:06.4Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,6,4,2022-03-08T01:15:06Z,370000,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
38,PT09M09.00S,2022-03-08T01:15:20.5Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,7,4,2022-03-08T01:15:20Z,380000,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
39,PT09M01.00S,2022-03-08T01:15:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612757,7,4,2022-03-08T01:15:39Z,390000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Watford 2 FT),"[1629020, 1630570]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,1662.0,1.0,0.0,Watford,1630570.0,,,,,,,,,,,,,,,,
41,PT09M01.00S,2022-03-08T01:15:56.4Z,1,REGULAR,freethrow,1 of 2,[],1630570,,,1610612757,7,5,2022-03-08T01:15:56Z,410000,,,0,,T. Watford Free Throw 1 of 2 (1 PTS),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
42,PT09M01.00S,2022-03-08T01:16:10.4Z,1,REGULAR,freethrow,2 of 2,[],1630570,,,1610612757,7,6,2022-03-08T01:16:10Z,420000,,,0,,T. Watford Free Throw 2 of 2 (2 PTS),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
43,PT08M46.00S,2022-03-08T01:16:30.5Z,1,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612750,7,6,2022-03-08T01:16:36Z,430000,,,0,,D. Eubanks shooting personal FOUL (1 PF) (Towns 2 FT),"[1629234, 1626157]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,1662.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
45,PT08M46.00S,2022-03-08T01:17:00.2Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,8,6,2022-03-08T01:17:00Z,450000,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
46,PT08M46.00S,2022-03-08T01:17:22.5Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,9,6,2022-03-08T01:17:22Z,460000,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
47,PT08M29.00S,2022-03-08T01:17:41.4Z,1,REGULAR,2pt,Jump Shot,[],1630314,76.5604467805519,50.98039215686274,1610612757,9,6,2022-03-08T01:17:46Z,470000,5.0,168.0,1,right,MISS B. Williams 16' pullup Shot - blocked,"[1630314, 201976]",1610612757.0,POR,pullup,,,Williams,B. Williams,,,,,,,,,,Missed,,,16.79,,,,,,,Beverley,201976.0,,,,
48,PT08M29.00S,2022-03-08T01:17:41.4Z,1,REGULAR,block,,[],201976,,,1610612757,9,6,2022-03-08T01:17:43Z,480000,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M26.00S,2022-03-08T01:17:44.4Z,1,REGULAR,rebound,offensive,[],1630314,,,1610612757,9,6,2022-03-08T01:17:46Z,490000,,,0,,B. Williams REBOUND (Off:1 Def:2),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,47.0,,3.0,2.0,1.0,,,,,,,,,
50,PT08M22.00S,2022-03-08T01:17:50.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,9,6,2022-03-08T01:18:04Z,500000,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M10.00S,2022-03-08T01:18:16.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201976,6.915243101182654,58.333333333333336,1610612750,9,6,2022-03-08T01:18:22Z,510000,-42.0,13.0,1,left,MISS P. Beverley driving Layup - blocked,"[201976, 1630314]",1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,,,,,,Missed,,,4.35,,,,,,,Williams,1630314.0,,,,
52,PT08M10.00S,2022-03-08T01:18:16.4Z,1,REGULAR,block,,[],1630314,,,1610612750,9,6,2022-03-08T01:18:18Z,520000,,,0,,B. Williams BLOCK (1 BLK),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M08.00S,2022-03-08T01:18:18.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,9,6,2022-03-08T01:18:22Z,530000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,
54,PT08M08.00S,2022-03-08T01:18:21.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,9,6,2022-03-08T01:18:21Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M05.00S,2022-03-08T01:18:33.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626157,20.844283837056505,89.4607843137255,1610612750,12,6,2022-03-08T01:18:40Z,550000,-197.0,143.0,1,left,K. Towns 24' 3PT  (5 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,5.0,,24.39,,,,P. Beverley,201976.0,1.0,,,,,,
57,PT07M56.00S,2022-03-08T01:18:43.7Z,1,REGULAR,turnover,out-of-bounds,[],1630314,,,1610612757,12,6,2022-03-08T01:18:54Z,570000,,,0,,B. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630314],1610612757.0,POR,lost ball,,,Williams,B. Williams,,,,,1662.0,,,,,,,,,,,,,,,,,1.0,,,
58,PT07M44.00S,2022-03-08T01:18:59.7Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,12,6,2022-03-08T01:19:07Z,580000,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,2002.0,,,,,,,,,,,,,,,,,1.0,,,
60,PT07M28.00S,2022-03-08T01:19:33.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629234,88.78120893561103,54.65686274509803,1610612757,12,6,2022-03-08T01:19:38Z,590000,23.0,53.0,1,right,MISS D. Eubanks Hook,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,Missed,,,5.79,,,,,,,,,,,,
61,PT07M25.00S,2022-03-08T01:19:36.8Z,1,REGULAR,rebound,offensive,[],1630570,,,1610612757,12,6,2022-03-08T01:19:38Z,600000,,,0,,T. Watford REBOUND (Off:2 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,60.0,,3.0,1.0,2.0,,,,,,,,,
62,PT07M25.00S,2022-03-08T01:19:37.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630570,94.40999984741211,50.0,1610612757,12,6,2022-03-08T01:19:37Z,610000,0.0,0.0,1,right,MISS T. Watford tip Layup,[1630570],1610612757.0,POR,tip,,,Watford,T. Watford,,,,,,,,,,Missed,,,0.0,,,,,,,,,,,,
63,PT07M24.00S,2022-03-08T01:19:37.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,12,6,2022-03-08T01:19:37Z,620000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:3),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,62.0,,4.0,3.0,1.0,,,,,,,,,
64,PT07M14.00S,2022-03-08T01:19:48.2Z,1,REGULAR,3pt,Jump Shot,[],1627736,26.888961892247043,20.833333333333336,1610612750,12,6,2022-03-08T01:19:54Z,630000,146.0,200.0,1,left,MISS M. Beasley 24' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,Missed,,,24.77,,,,,,,,,,,,
65,PT07M11.00S,2022-03-08T01:19:51.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,12,6,2022-03-08T01:19:54Z,640000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,64.0,,1.0,0.0,1.0,,,,,,,,,
66,PT07M11.00S,2022-03-08T01:19:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,6.389618922470433,49.01960784313725,1610612750,14,6,2022-03-08T01:19:57Z,650000,5.0,8.0,1,left,K. Towns putback Layup (7 PTS),[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,,,,,,Made,7.0,,0.9,,,,,,,,,,,,
67,PT07M11.00S,2022-03-08T01:19:57.2Z,1,REGULAR,foul,personal,['1freethrow'],1630570,,,1610612750,14,6,2022-03-08T01:20:05Z,660000,,,0,,T. Watford shooting personal FOUL (2 PF) (Towns 1 FT),"[1630570, 1626157]",1610612757.0,POR,shooting,,,Watford,T. Watford,,,,,1628171.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
69,PT07M11.00S,2022-03-08T01:20:27.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626157,,,1610612750,15,6,2022-03-08T01:20:27Z,680000,,,0,,K. Towns Free Throw 1 of 1 (8 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
70,PT07M08.00S,2022-03-08T01:20:34.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,15,6,2022-03-08T01:20:34Z,690000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M08.00S,2022-03-08T01:23:10.5Z,1,REGULAR,substitution,out,[],1630570,,,1610612757,15,6,2022-03-08T01:23:25Z,700000,,,0,,SUB out: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M08.00S,2022-03-08T01:23:10.5Z,1,REGULAR,substitution,in,[],1630535,,,1610612757,15,6,2022-03-08T01:23:25Z,710000,,,0,,SUB in: G. Brown III,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M01.00S,2022-03-08T01:23:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630535,93.38042049934296,4.166666666666666,1610612757,15,6,2022-03-08T01:23:51Z,720000,-229.0,10.0,1,right,MISS G. Brown III 3PT,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,Missed,,,22.94,,,,,,,,,,,,
75,PT06M58.00S,2022-03-08T01:23:41.8Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,15,6,2022-03-08T01:23:41Z,730000,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,74.0,,1.0,0.0,1.0,,,,,,,,,
76,PT06M56.00S,2022-03-08T01:23:43.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628404,70.25295663600527,25.98039215686275,1610612757,15,6,2022-03-08T01:23:54Z,740000,-120.0,227.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,Missed,,,25.69,,,,,,,,,,,,
77,PT06M54.00S,2022-03-08T01:23:45.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,15,6,2022-03-08T01:23:54Z,750000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,
78,PT06M54.00S,2022-03-08T01:23:49.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,15,6,2022-03-08T01:23:49Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M43.00S,2022-03-08T01:24:14.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628404,69.20170827858082,67.15686274509804,1610612757,15,6,2022-03-08T01:24:23Z,770000,86.0,237.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,Missed,,,25.21,,,,,,,,,,,,
80,PT06M37.00S,2022-03-08T01:24:20.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,15,6,2022-03-08T01:24:23Z,780000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:4),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,79.0,,5.0,4.0,1.0,,,,,,,,,
81,PT06M31.00S,2022-03-08T01:24:26.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,13.354139290407357,4.6568627450980395,1610612750,15,6,2022-03-08T01:24:32Z,790000,227.0,73.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,Missed,,,23.82,,,,,,,,,,,,
82,PT06M26.00S,2022-03-08T01:24:31.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,15,6,2022-03-08T01:24:32Z,800000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,81.0,,1.0,0.0,1.0,,,,,,,,,
83,PT06M18.00S,2022-03-08T01:24:38.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201976,31.35676741130092,50.73529411764706,1610612750,15,6,2022-03-08T01:26:36Z,810000,-4.0,242.0,1,left,MISS P. Beverley 24' step back 3PT,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,,,,,,Missed,,,24.23,,,,,,,,,,,,
84,PT06M16.00S,2022-03-08T01:24:40.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,15,6,2022-03-08T01:24:44Z,820000,,,0,,K. Towns REBOUND (Off:2 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,83.0,,2.0,0.0,2.0,,,,,,,,,
85,PT06M15.00S,2022-03-08T01:24:42.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626157,6.652431011826544,70.83333333333334,1610612750,15,6,2022-03-08T01:26:56Z,830000,-104.0,10.0,1,left,MISS K. Towns 10' floating Shot,[1626157],1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,,,,,,Missed,,,10.47,,,,,,,,,,,,
86,PT06M13.00S,2022-03-08T01:24:44.5Z,1,REGULAR,rebound,defensive,[],1630535,,,1610612757,15,6,2022-03-08T01:24:47Z,840000,,,0,,G. Brown III REBOUND (Off:0 Def:1),[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,85.0,,1.0,1.0,0.0,,,,,,,,,
