actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
74,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,in,[],1630537,,,1610612750,13,14,2021-11-30T01:21:50Z,740000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M10.00S,2021-11-30T01:21:59.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,7.966491458607096,65.19607843137256,1610612750,13,14,2021-11-30T01:22:03Z,750000,-76.0,22.0,1,left,MISS K. Towns 7' turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,7.92,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2021-11-30T01:22:02.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,13,14,2021-11-30T01:22:03Z,760000,,,0,,D. Sabonis REBOUND (Off:0 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,75.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
77,PT04M55.00S,2021-11-30T01:22:16.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,13,14,2021-11-30T01:22:16Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M45.00S,2021-11-30T01:22:44.1Z,1,REGULAR,2pt,Jump Shot,[],203200,70.25295663600527,40.44117647058824,1610612754,13,16,2021-11-30T01:22:53Z,780000,-48.0,227.0,1,right,J. Holiday 23' pullup Jump Shot (5 PTS) (C. LeVert 1 AST),"[203200, 1627747]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,23.21,Made,,,,,,,,,,,,,5.0,C. LeVert,1627747.0,1.0,,,
80,PT04M28.00S,2021-11-30T01:23:01.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.750985545335087,63.48039215686274,1610612750,13,16,2021-11-30T01:23:05Z,800000,-67.0,246.0,1,left,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M25.00S,2021-11-30T01:23:04.0Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,13,16,2021-11-30T01:23:05Z,810000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT04M21.00S,2021-11-30T01:23:08.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,94.82588699080158,4.6568627450980395,1610612754,13,19,2021-11-30T01:24:59Z,820000,-227.0,-4.0,1,right,C. Duarte 3PT running (3 PTS) (C. LeVert 2 AST),"[1630537, 1627747]",1610612754.0,IND,running,,,Duarte,C. Duarte,,,,,22.67,Made,,,,,,,,,,,,,3.0,C. LeVert,1627747.0,2.0,,,
84,PT04M09.00S,2021-11-30T01:23:19.4Z,1,REGULAR,turnover,bad pass,[],1630195,,,1610612750,13,19,2021-11-30T01:23:26Z,840000,,,0,,L. Bolmaro bad pass TURNOVER (1 TO),"[1630195, 1627763]",1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,,,,,,
85,PT04M09.00S,2021-11-30T01:23:19.4Z,1,REGULAR,steal,,[],1627763,,,1610612754,13,19,2021-11-30T01:23:21Z,850000,,,0,,M. Brogdon STEAL (2 STL),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
