actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
31,PT09M08.00S,2022-11-16T03:14:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,8.492115637319317,48.529411764705884,1610612759,4,13,2022-11-16T03:15:16Z,310000,False,7.0,27.0,1,left,J. Poeltl cutting Layup (4 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,2.83,Made,4.0,,,,,K. Johnson,1629640.0,1.0,,,,,,,,
33,PT09M07.00S,2022-11-16T03:15:08.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,4,13,2022-11-16T03:15:08Z,330000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2022-11-16T03:18:06.5Z,1,REGULAR,3pt,Jump Shot,[],203081,74.72076215505913,86.76470588235294,1610612757,4,13,2022-11-16T03:18:10Z,340000,False,184.0,185.0,1,right,MISS D. Lillard 26' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,26.09,Missed,,,,,,,,,,,,,,,,
35,PT08M48.00S,2022-11-16T03:18:09.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,13,2022-11-16T03:18:10Z,350000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT08M35.00S,2022-11-16T03:18:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.389618922470433,49.754901960784316,1610612759,4,15,2022-11-16T03:19:41Z,360000,False,1.0,8.0,1,left,J. Poeltl reverse Layup (6 PTS) (K. Johnson 2 AST),"[1627751, 1629640]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,0.77,Made,6.0,,,,,K. Johnson,1629640.0,2.0,,,,,,,,
38,PT08M26.00S,2022-11-16T03:18:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,92.32917214191852,48.77450980392157,1610612757,4,15,2022-11-16T03:22:35Z,380000,False,-6.0,20.0,1,right,MISS D. Lillard finger roll Layup - blocked,"[203081, 1631110]",1610612757.0,POR,finger roll,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,2.05,Missed,,,,,,,,,,,Sochan,1631110.0,,,,
39,PT08M26.00S,2022-11-16T03:18:32.3Z,1,REGULAR,block,,[],1631110,,,1610612757,4,15,2022-11-16T03:18:34Z,390000,False,,,0,,J. Sochan BLOCK (1 BLK),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M24.00S,2022-11-16T03:18:34.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,15,2022-11-16T03:18:38Z,400000,False,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,
41,PT08M14.00S,2022-11-16T03:18:47.0Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612759,4,15,2022-11-16T03:18:59Z,410000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Poeltl 2 FT),"[203994, 1627751]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,202053.0,,,,,,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0
43,PT08M14.00S,2022-11-16T03:19:11.8Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,4,16,2022-11-16T03:19:42Z,430000,False,,,0,,J. Poeltl Free Throw 1 of 2 (7 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
44,PT08M14.00S,2022-11-16T03:19:12.4Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,4,16,2022-11-16T03:19:14Z,440000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M14.00S,2022-11-16T03:19:12.4Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,4,16,2022-11-16T03:19:14Z,450000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M14.00S,2022-11-16T03:19:18.7Z,1,REGULAR,substitution,out,[],1629014,,,1610612759,4,16,2022-11-16T03:19:28Z,460000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M14.00S,2022-11-16T03:19:18.7Z,1,REGULAR,substitution,out,[],203994,,,1610612759,4,16,2022-11-16T03:19:28Z,470000,False,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M14.00S,2022-11-16T03:19:18.7Z,1,REGULAR,substitution,in,[],1631101,,,1610612759,4,16,2022-11-16T03:19:28Z,480000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2022-11-16T03:19:18.7Z,1,REGULAR,substitution,in,[],1629234,,,1610612759,4,16,2022-11-16T03:19:28Z,490000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M14.00S,2022-11-16T03:19:11.8Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,4,16,2022-11-16T03:19:42Z,500000,False,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
51,PT08M11.00S,2022-11-16T03:19:14.8Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,4,16,2022-11-16T03:19:42Z,510000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT07M58.00S,2022-11-16T03:19:54.7Z,1,REGULAR,3pt,Jump Shot,[],1631101,91.40932982917214,3.6764705882352944,1610612757,7,16,2022-11-16T03:19:59Z,520000,False,-232.0,28.0,1,right,S. Sharpe 3PT  (3 PTS) (J. Hart 1 AST),"[1631101, 1628404]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,,,23.33,Made,3.0,,,,,J. Hart,1628404.0,1.0,,,,,,,,
54,PT07M36.00S,2022-11-16T03:20:15.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,10.068988173455978,38.48039215686275,1610612759,7,18,2022-11-16T03:20:20Z,540000,False,58.0,42.0,1,left,J. Sochan 7' turnaround bank Hook (2 PTS) (J. Poeltl 2 AST),"[1631110, 1627751]",1610612759.0,SAS,turnaround bank,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,7.13,Made,2.0,,,,,J. Poeltl,1627751.0,2.0,,,,,,,,
56,PT07M26.00S,2022-11-16T03:20:26.3Z,1,REGULAR,3pt,Jump Shot,[],203924,72.09264126149803,14.950980392156863,1610612757,10,18,2022-11-16T03:20:30Z,560000,False,-175.0,210.0,1,right,J. Grant 27' 3PT  (7 PTS) (D. Lillard 1 AST),"[203924, 203081]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,27.33,Made,7.0,,,,,D. Lillard,203081.0,1.0,,,,,,,,
58,PT07M09.00S,2022-11-16T03:20:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630170,6.258212877792378,95.83333333333334,1610612759,10,18,2022-11-16T03:20:51Z,580000,False,-229.0,6.0,1,left,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,22.93,Missed,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-11-16T03:20:48.8Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,10,18,2022-11-16T03:20:51Z,590000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Left Corner 3,24+ Left,,,,,,58.0,1.0,0.0,1.0,,,,,,,,,,,
60,PT07M03.00S,2022-11-16T03:20:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,5.590000152587891,50.0,1610612759,10,20,2022-11-16T03:20:49Z,600000,False,0.0,0.0,1,left,K. Bates-Diop tip Layup (2 PTS),[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
61,PT06M48.00S,2022-11-16T03:21:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.03745072273325,48.03921568627451,1610612757,12,20,2022-11-16T03:21:07Z,610000,False,-10.0,4.0,1,right,D. Lillard driving Layup (2 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,1.04,Made,2.0,,,,,,,,,,,,,,,
62,PT06M38.00S,2022-11-16T03:21:13.7Z,1,REGULAR,2pt,Jump Shot,[],1630170,22.28975032851511,70.83333333333334,1610612759,12,20,2022-11-16T03:21:34Z,620000,False,-104.0,157.0,1,left,MISS D. Vassell 18' Jump Shot,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,,,18.84,Missed,,,,,,,,,,,,,,,,
63,PT06M36.00S,2022-11-16T03:21:15.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,12,20,2022-11-16T03:21:20Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,62.0,,,,,,,,,,,,,,
65,PT06M36.00S,2022-11-16T03:21:20.1Z,1,REGULAR,substitution,out,[],1630170,,,1610612757,12,20,2022-11-16T03:21:24Z,650000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2022-11-16T03:21:20.1Z,1,REGULAR,substitution,in,[],203926,,,1610612757,12,20,2022-11-16T03:21:24Z,660000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2022-11-16T03:21:46.5Z,1,REGULAR,3pt,Jump Shot,[],1631101,82.47371879106439,5.392156862745098,1610612757,12,20,2022-11-16T03:21:50Z,670000,False,-223.0,112.0,1,right,MISS S. Sharpe 24' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,24.96,Missed,,,,,,,,,,,,,,,,
68,PT06M17.00S,2022-11-16T03:21:48.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,20,2022-11-16T03:21:50Z,680000,False,,,0,,K. Johnson REBOUND (Off:0 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,67.0,3.0,3.0,0.0,,,,,,,,,,,
69,PT06M05.00S,2022-11-16T03:22:05.7Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,12,20,2022-11-16T03:22:11Z,690000,False,,,0,,K. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1629640],1610612759.0,SAS,bad pass,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,202053.0,1.0,,,,,,,,,,,,,,,,,,
70,PT05M51.00S,2022-11-16T03:22:24.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,64.33968462549278,45.83333333333333,1610612757,12,20,2022-11-16T03:22:33Z,700000,False,-21.0,283.0,1,right,MISS D. Lillard 28' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,28.35,Missed,,,,,,,,,,,,,,,,
71,PT05M45.00S,2022-11-16T03:22:30.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,12,20,2022-11-16T03:37:27Z,710000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,
74,PT05M41.00S,2022-11-16T03:22:37.8Z,1,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612759,12,20,2022-11-16T03:22:50Z,740000,False,,,0,,D. Eubanks shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629234, 1627751]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0
76,PT05M41.00S,2022-11-16T03:23:01.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627751,,,1610612759,12,21,2022-11-16T03:37:34Z,760000,False,,,0,,J. Poeltl Free Throw 1 of 2 (8 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
77,PT05M41.00S,2022-11-16T03:23:02.0Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,12,21,2022-11-16T03:23:07Z,770000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M41.00S,2022-11-16T03:23:02.0Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,12,21,2022-11-16T03:23:07Z,780000,False,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M41.00S,2022-11-16T03:23:19.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627751,,,1610612759,12,22,2022-11-16T03:37:34Z,790000,False,,,0,,J. Poeltl Free Throw 2 of 2 (9 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
80,PT05M20.00S,2022-11-16T03:23:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.32917214191852,46.07843137254902,1610612757,12,22,2022-11-16T03:23:45Z,800000,False,-20.0,20.0,1,right,MISS J. Hart driving Layup,[1628404],1610612757.0,POR,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,2.77,Missed,,,,,,,,,,,,,,,,
81,PT05M18.00S,2022-11-16T03:23:43.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,12,22,2022-11-16T03:23:45Z,810000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,80.0,3.0,2.0,1.0,,,,,,,,,,,
82,PT05M06.00S,2022-11-16T03:23:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,6.783837056504599,53.431372549019606,1610612759,12,22,2022-11-16T03:24:04Z,820000,False,-17.0,11.0,1,left,MISS D. McDermott reverse Layup - blocked,"[203926, 1631101]",1610612759.0,SAS,reverse,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,,2.06,Missed,,,,,,,,,,,Sharpe,1631101.0,,,,
85,PT05M06.00S,2022-11-16T03:23:55.9Z,1,REGULAR,block,,[],1631101,,,1610612759,12,22,2022-11-16T03:24:04Z,825000,False,,,0,,S. Sharpe BLOCK (1 BLK),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M05.00S,2022-11-16T03:23:56.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,12,22,2022-11-16T03:24:04Z,830000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,
84,PT05M00.00S,2022-11-16T03:24:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203924,93.11760840998686,47.794117647058826,1610612757,14,22,2022-11-16T03:24:08Z,840000,False,-11.0,12.0,1,right,J. Grant running Layup (9 PTS),[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,1.64,Made,9.0,,,,,,,,,,,,,,,
86,PT04M46.00S,2022-11-16T03:24:17.4Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,14,22,2022-11-16T03:24:23Z,850000,False,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (2 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,202053.0,2.0,,,,,,,,,,,,,,,,,,
87,PT04M46.00S,2022-11-16T03:24:19.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612757,14,22,2022-11-16T03:24:23Z,860000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
