actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT11M18.00S,2022-10-27T02:13:25.1Z,1,REGULAR,freethrow,3 of 3,"['fastbreak', 'fromturnover']",200768,,,1610612748,0,2,2022-10-27T02:13:58Z,160000,,,0,,K. Lowry Free Throw 3 of 3 (2 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
17,PT11M00.00S,2022-10-27T02:14:13.9Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612757,0,2,2022-10-27T02:14:24Z,170000,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 1628389]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,
18,PT11M00.00S,2022-10-27T02:14:13.9Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,2,2022-10-27T02:14:17Z,180000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2022-10-27T02:14:22.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],200768,19.92444152431012,31.372549019607842,1610612748,0,2,2022-10-27T02:15:27Z,190000,93.0,135.0,1,left,MISS K. Lowry 16' fadeaway Shot,[200768],1610612748.0,MIA,fadeaway,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right Center,16.38,Missed,,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2022-10-27T02:14:26.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,2,2022-10-27T02:15:01Z,200000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M47.00S,2022-10-27T02:14:27.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628389,11.12023653088042,38.48039215686275,1610612748,0,2,2022-10-27T02:15:46Z,210000,58.0,52.0,1,left,MISS B. Adebayo 7' putback Layup,[1628389],1610612748.0,MIA,putback,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.76,Missed,,,,,,,,,,,,,,,,,,
22,PT10M47.00S,2022-10-27T02:14:27.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,2,2022-10-27T02:15:27Z,220000,,,0,,B. Adebayo REBOUND (Off:2 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,2.0,0.0,2.0,,,,,,,,,,,,,,
23,PT10M47.00S,2022-10-27T02:14:36.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628389,8.886333771353483,43.627450980392155,1610612748,0,4,2022-10-27T02:15:11Z,230000,32.0,31.0,1,left,B. Adebayo floating Jump Shot (2 PTS),[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,,,,,,,,,,,,,2.0,,,,,
24,PT10M47.00S,2022-10-27T02:14:43.6Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612748,0,4,2022-10-27T02:14:53Z,240000,,,0,,A. Simons shooting personal FOUL (1 PF) (Adebayo 1 FT),"[1629014, 1628389]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1179.0,1.0,0.0,Adebayo,1628389.0,,,,,,
26,PT10M47.00S,2022-10-27T02:15:01.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1628389,,,1610612748,0,4,2022-10-27T02:15:01Z,260000,,,0,,MISS B. Adebayo Free Throw 1 of 1,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M43.00S,2022-10-27T02:15:02.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,4,2022-10-27T02:15:02Z,270000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M25.00S,2022-10-27T02:15:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,85.10183968462549,54.41176470588235,1610612757,2,4,2022-10-27T02:15:51Z,280000,22.0,88.0,1,right,J. Hart 9' turnaround fadeaway Jump Shot (2 PTS),[1628404],1610612757.0,POR,turnaround fadeaway,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,9.02,Made,,,,,,,,,,,,,2.0,,,,,
29,PT10M25.00S,2022-10-27T02:15:28.9Z,1,REGULAR,foul,personal,['1freethrow'],202710,,,1610612757,2,4,2022-10-27T02:15:43Z,290000,,,0,,J. Butler shooting personal FOUL (1 PF) (Hart 1 FT),"[202710, 1628404]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,201246.0,1.0,0.0,Hart,1628404.0,,,,,,
31,PT10M25.00S,2022-10-27T02:15:51.3Z,1,REGULAR,freethrow,1 of 1,[],1628404,,,1610612757,3,4,2022-10-27T02:15:51Z,310000,,,0,,J. Hart Free Throw 1 of 1 (3 PTS),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
84,PT10M14.00S,2022-10-27T02:15:57.4Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,3,4,2022-10-27T02:25:01Z,315000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1628404]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Hart,1628404.0,,,,,,,,,,,
85,PT10M14.00S,2022-10-27T02:15:57.4Z,1,REGULAR,steal,,[],1628404,,,1610612757,3,4,2022-10-27T02:25:01Z,317500,,,0,,J. Hart STEAL (1 STL),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT10M07.00S,2022-10-27T02:16:10.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203081,76.42904073587385,89.95098039215686,1610612757,6,4,2022-10-27T02:25:05Z,340000,200.0,169.0,1,right,D. Lillard 26' 3PT running (3 PTS) (J. Hart 1 AST),"[203081, 1628404]",1610612757.0,POR,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.18,Made,,,,,,,,,,,,,3.0,J. Hart,1628404.0,1.0,,
36,PT09M53.00S,2022-10-27T02:16:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,8.09789750328515,55.14705882352941,1610612748,6,6,2022-10-27T02:16:35Z,360000,-26.0,24.0,1,left,C. Martin reverse Layup (2 PTS) (B. Adebayo 1 AST),"[1628997, 1628389]",1610612748.0,MIA,reverse,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,3.49,Made,,,,,,,,,,,,,2.0,B. Adebayo,1628389.0,1.0,,
38,PT09M45.00S,2022-10-27T02:16:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,91.27792378449409,50.73529411764706,1610612757,8,6,2022-10-27T02:16:40Z,380000,4.0,29.0,1,right,J. Hart driving Layup (5 PTS),[1628404],1610612757.0,POR,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,,,,,,5.0,,,,,
39,PT09M23.00S,2022-10-27T02:16:57.2Z,1,REGULAR,turnover,traveling,[],202710,,,1610612748,8,6,2022-10-27T02:17:07Z,390000,,,0,,J. Butler traveling TURNOVER (1 TO),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,1628487.0,,,,,,,,,,
40,PT09M07.00S,2022-10-27T02:17:27.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203994,91.14651773981603,55.392156862745104,1610612757,10,6,2022-10-27T02:17:34Z,400000,27.0,31.0,1,right,J. Nurkic driving floating Jump Shot (2 PTS) (J. Hart 2 AST),"[203994, 1628404]",1610612757.0,POR,driving floating,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,4.09,Made,,,,,,,,,,,,,2.0,J. Hart,1628404.0,2.0,,
42,PT08M45.00S,2022-10-27T02:17:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628997,34.510512483574246,35.78431372549019,1610612748,10,9,2022-10-27T02:17:56Z,420000,71.0,272.0,1,left,C. Martin 28' 3PT pullup (5 PTS) (K. Lowry 1 AST),"[1628997, 200768]",1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,28.1,Made,,,,,,,,,,,,,5.0,K. Lowry,200768.0,1.0,,
44,PT08M32.00S,2022-10-27T02:18:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,90.09526938239159,55.88235294117647,1610612757,12,9,2022-10-27T02:18:11Z,440000,29.0,41.0,1,right,J. Grant driving Layup (2 PTS) (D. Lillard 1 AST),"[203924, 203081]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,5.01,Made,,,,,,,,,,,,,2.0,D. Lillard,203081.0,1.0,,
45,PT08M21.00S,2022-10-27T02:18:12.3Z,1,REGULAR,2pt,Jump Shot,[],1629639,6.652431011826544,76.9607843137255,1610612748,12,9,2022-10-27T02:18:19Z,450000,-135.0,10.0,1,left,MISS T. Herro 13' fadeaway Shot,[1629639],1610612748.0,MIA,fadeaway,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,13.52,Missed,,,,,,,,,,,,,,,,,,
46,PT08M18.00S,2022-10-27T02:18:15.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,12,9,2022-10-27T02:18:19Z,460000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M14.00S,2022-10-27T02:18:20.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629014,82.9993429697766,79.41176470588235,1610612757,12,9,2022-10-27T02:26:04Z,470000,147.0,107.0,1,right,MISS A. Simons 18' running pullup Shot,[1629014],1610612757.0,POR,running pullup,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right,18.21,Missed,,,,,,,,,,,,,,,,,,
48,PT08M09.00S,2022-10-27T02:18:25.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,12,9,2022-10-27T02:18:28Z,480000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M54.00S,2022-10-27T02:18:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,33.196452036793694,38.48039215686275,1610612748,12,9,2022-10-27T02:18:45Z,490000,58.0,260.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,26.58,Missed,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2022-10-27T02:18:43.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,12,9,2022-10-27T02:18:45Z,500000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M49.00S,2022-10-27T02:18:45.0Z,1,REGULAR,turnover,lost ball,[],203081,,,1610612757,12,9,2022-10-27T02:18:56Z,510000,,,0,,D. Lillard lost ball TURNOVER (1 TO),"[203081, 1628997]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Martin,1628997.0,,,,,,,,,,,
52,PT07M49.00S,2022-10-27T02:18:45.0Z,1,REGULAR,steal,,[],1628997,,,1610612748,12,9,2022-10-27T02:18:48Z,520000,,,0,,C. Martin STEAL (2 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2022-10-27T02:18:49.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,28.991458607095925,21.568627450980394,1610612748,12,9,2022-10-27T02:19:03Z,530000,142.0,220.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2022-10-27T02:18:53.8Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,12,9,2022-10-27T02:18:53Z,540000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,53.0,1.0,0.0,1.0,,,,,,,,,,,,,,
55,PT07M32.00S,2022-10-27T02:19:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202710,8.015768725361369,55.181525735294116,1610612748,12,9,2022-10-27T02:28:21Z,550000,-26.0,23.0,1,left,MISS J. Butler driving Layup - blocked,"[202710, 203994]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.45,Missed,,,,,,,,,,,,,,,,,Nurkic,203994.0
56,PT07M32.00S,2022-10-27T02:19:02.1Z,1,REGULAR,block,,[],203994,,,1610612748,12,9,2022-10-27T02:19:04Z,560000,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M28.00S,2022-10-27T02:19:06.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,12,9,2022-10-27T02:19:21Z,570000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Left,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M27.00S,2022-10-27T02:19:07.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203924,90.09526938239159,48.77450980392157,1610612757,14,9,2022-10-27T02:19:29Z,580000,-6.0,41.0,1,right,J. Grant running alley-oop DUNK (4 PTS) (J. Hart 3 AST),"[203924, 1628404]",1610612757.0,POR,running alley-oop,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,4.11,Made,,,,,,,,,,,,,4.0,J. Hart,1628404.0,3.0,,
60,PT07M11.00S,2022-10-27T02:19:28.8Z,1,REGULAR,foul,personal,['2freethrow'],1629014,,,1610612748,14,9,2022-10-27T02:19:48Z,600000,,,0,,A. Simons shooting personal FOUL (2 PF) (Adebayo 2 FT),"[1629014, 1628389]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201246.0,2.0,0.0,Adebayo,1628389.0,,,,,,
62,PT07M11.00S,2022-10-27T02:19:59.6Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,14,10,2022-10-27T02:19:59Z,620000,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
63,PT07M11.00S,2022-10-27T02:20:01.6Z,1,REGULAR,substitution,out,[],1629014,,,1610612748,14,10,2022-10-27T02:20:06Z,630000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M11.00S,2022-10-27T02:20:01.6Z,1,REGULAR,substitution,in,[],1626159,,,1610612748,14,10,2022-10-27T02:20:06Z,640000,,,0,,SUB in: J. Winslow,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M11.00S,2022-10-27T02:20:24.1Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,14,11,2022-10-27T02:20:24Z,650000,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,,,,,4.0,,,,,
66,PT06M55.00S,2022-10-27T02:20:42.4Z,1,REGULAR,3pt,Jump Shot,[],203081,72.7496714848883,84.06862745098039,1610612757,14,11,2022-10-27T02:20:47Z,660000,170.0,204.0,1,right,MISS D. Lillard 26' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2022-10-27T02:20:47.4Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,14,11,2022-10-27T02:20:47Z,670000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,66.0,2.0,1.0,1.0,,,,,,,,,,,,,,
68,PT06M40.00S,2022-10-27T02:20:57.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,4.812746386333772,62.99019607843137,1610612748,14,11,2022-10-27T02:21:05Z,680000,-65.0,-7.0,1,left,MISS T. Herro 6' turnaround Shot,[1629639],1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,6.54,Missed,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2022-10-27T02:21:00.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,14,11,2022-10-27T02:21:05Z,690000,,,0,,B. Adebayo REBOUND (Off:3 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,68.0,3.0,0.0,3.0,,,,,,,,,,,,,,
70,PT06M36.00S,2022-10-27T02:21:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,6.915243101182654,54.90196078431373,1610612748,14,11,2022-10-27T02:21:28Z,700000,-25.0,13.0,1,left,MISS B. Adebayo putback Layup,[1628389],1610612748.0,MIA,putback,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2022-10-27T02:21:03.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,14,11,2022-10-27T02:21:03Z,710000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M30.00S,2022-10-27T02:21:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203924,90.62089356110381,52.450980392156865,1610612757,14,11,2022-10-27T02:22:06Z,720000,12.0,36.0,1,right,MISS J. Grant running Layup,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
73,PT06M25.00S,2022-10-27T02:21:11.8Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,14,11,2022-10-27T02:21:11Z,730000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,72.0,3.0,2.0,1.0,,,,,,,,,,,,,,
136,PT06M25.00S,2022-10-27T02:21:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,93.47897503285151,50.98039215686275,1610612757,14,11,2022-10-27T02:34:16Z,735000,5.0,9.0,1,right,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
137,PT06M25.00S,2022-10-27T02:21:09.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,14,11,2022-10-27T02:34:16Z,737500,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,136.0,4.0,2.0,2.0,,,,,,,,,,,,,,
74,PT06M25.00S,2022-10-27T02:21:11.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.40999984741211,50.0,1610612757,14,11,2022-10-27T02:34:16Z,740000,0.0,0.0,1,right,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2022-10-27T02:21:12.5Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612757,14,11,2022-10-27T02:21:12Z,750000,,,0,,J. Hart REBOUND (Off:1 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,,,74.0,2.0,1.0,1.0,,,,,,,,,,,,,,
76,PT06M24.00S,2022-10-27T02:21:18.7Z,1,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612757,14,11,2022-10-27T02:24:47Z,760000,,,0,,C. Martin shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1628997, 203994]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,201246.0,1.0,0.0,Nurkic,203994.0,,,,,,
78,PT06M24.00S,2022-10-27T02:21:48.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,14,11,2022-10-27T02:21:48Z,780000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M24.00S,2022-10-27T02:23:56.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612757,14,11,2022-10-27T02:24:11Z,790000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
