actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT10M45.00S,2023-01-20T03:12:57.6Z,1,REGULAR,foul,personal,[],201935,,,1610612757,0,0,2023-01-20T03:13:07Z,150000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 203081]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,1146.0,1.0,0.0,Lillard,203081.0,,,,,,,,,
17,PT10M42.00S,2023-01-20T03:13:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,92.06636005256242,44.36274509803921,1610612757,0,0,2023-01-20T03:13:29Z,170000,False,-28.0,22.0,1,right,MISS J. Grant Layup - blocked,"[203924, 200782]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,Tucker,200782.0,,,,,,,
18,PT10M42.00S,2023-01-20T03:13:21.3Z,1,REGULAR,block,,[],200782,,,1610612757,0,0,2023-01-20T03:16:57Z,180000,False,,,0,,P. Tucker BLOCK (1 BLK),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2023-01-20T03:13:21.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2023-01-20T03:13:29Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M40.00S,2023-01-20T03:13:35.2Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,0,0,2023-01-20T03:13:39Z,210000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629001]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Melton,1629001.0,,,,
22,PT10M40.00S,2023-01-20T03:13:35.2Z,1,REGULAR,steal,,[],1629001,,,1610612755,0,0,2023-01-20T03:13:36Z,220000,False,,,0,,D. Melton STEAL (1 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
23,PT10M31.00S,2023-01-20T03:13:43.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,17.69053876478318,94.11764705882352,1610612755,0,3,2023-01-20T03:13:48Z,230000,False,-221.0,114.0,1,left,D. Melton 24' 3PT  (3 PTS) (J. Harden 1 AST),"[1629001, 201935]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,24.82,Made,,,,,,,,,,,,,,,3.0,J. Harden,201935.0,1.0
25,PT10M12.00S,2023-01-20T03:14:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.1688567674113,49.26470588235294,1610612757,2,3,2023-01-20T03:14:07Z,250000,False,-4.0,2.0,1,right,D. Lillard driving reverse Layup (2 PTS),[203081],1610612757.0,POR,driving reverse,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,0.44,Made,,,,,,,,,,,,,,,2.0,,,
26,PT09M55.00S,2023-01-20T03:14:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629001,6.258212877792378,94.6078431372549,1610612755,2,3,2023-01-20T03:14:23Z,260000,False,-223.0,6.0,1,left,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2023-01-20T03:14:21.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,3,2023-01-20T03:14:23Z,270000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Left Corner 3,24+ Left,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M43.00S,2023-01-20T03:14:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,93.11760840998686,55.63725490196079,1610612757,2,3,2023-01-20T03:14:35Z,280000,False,28.0,12.0,1,right,MISS D. Lillard driving floating bank Shot,[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2023-01-20T03:14:33.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,3,2023-01-20T03:14:35Z,290000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M36.00S,2023-01-20T03:14:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,6.915243101182654,48.03921568627451,1610612755,2,5,2023-01-20T03:14:44Z,300000,False,10.0,13.0,1,left,J. Embiid running Layup (2 PTS),[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,,,,,,,,,2.0,,,
31,PT09M27.00S,2023-01-20T03:14:46.9Z,1,REGULAR,3pt,Jump Shot,[],203081,82.21090670170827,93.62745098039215,1610612757,2,5,2023-01-20T03:14:50Z,310000,False,218.0,115.0,1,right,MISS D. Lillard 24' step back 3PT,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,24.64,Missed,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2023-01-20T03:14:48.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,2,5,2023-01-20T03:14:50Z,320000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M19.00S,2023-01-20T03:14:57.8Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612755,2,5,2023-01-20T03:15:06Z,330000,False,,,0,,J. Grant shooting personal FOUL (1 PF) (Harden 2 FT),"[203924, 201935]",1610612757.0,POR,shooting,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,1627526.0,1.0,0.0,Harden,201935.0,,,,,,,,,
35,PT09M19.00S,2023-01-20T03:15:24.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201935,,,1610612755,2,6,2023-01-20T03:15:24Z,350000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
36,PT09M19.00S,2023-01-20T03:15:42.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201935,,,1610612755,2,7,2023-01-20T03:15:42Z,360000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
37,PT08M58.00S,2023-01-20T03:16:09.8Z,1,REGULAR,turnover,traveling,[],203924,,,1610612757,2,7,2023-01-20T03:16:16Z,370000,False,,,0,,J. Grant traveling TURNOVER (1 TO),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,,1146.0,,,,,,,1.0,,,,,,
38,PT08M48.00S,2023-01-20T03:16:26.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,18.478975032851512,50.98039215686274,1610612755,2,7,2023-01-20T03:16:30Z,380000,False,-5.0,121.0,1,left,MISS T. Harris 12' turnaround fadeaway Shot,[202699],1610612755.0,PHI,turnaround fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,12.13,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2023-01-20T03:16:29.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,2,7,2023-01-20T03:16:30Z,390000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M39.00S,2023-01-20T03:16:34.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203994,92.85479632063075,95.58823529411765,1610612757,2,7,2023-01-20T03:16:42Z,400000,False,228.0,15.0,1,right,MISS J. Nurkic running 3PT,[203994],1610612757.0,POR,running,,,Nurkic,J. Nurkic,,,,,Right Corner 3,24+ Right,22.84,Missed,,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2023-01-20T03:16:35.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,2,7,2023-01-20T03:16:42Z,410000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M31.00S,2023-01-20T03:16:44.9Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612755,2,7,2023-01-20T03:16:52Z,420000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Embiid 2 FT),"[203994, 203954]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,1.0,0.0,Embiid,203954.0,,,,,,,,,
44,PT08M31.00S,2023-01-20T03:17:13.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,2,8,2023-01-20T03:17:13Z,440000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
45,PT08M31.00S,2023-01-20T03:17:31.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,2,9,2023-01-20T03:17:31Z,450000,False,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
46,PT08M22.00S,2023-01-20T03:17:44.6Z,1,REGULAR,3pt,Jump Shot,[],203081,67.36202365308804,81.61764705882352,1610612757,2,9,2023-01-20T03:17:49Z,460000,False,158.0,254.0,1,right,MISS D. Lillard 29' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,29.94,Missed,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2023-01-20T03:17:46.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,9,2023-01-20T03:17:49Z,470000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT08M11.00S,2023-01-20T03:17:57.8Z,1,REGULAR,violation,kicked ball,[],203994,,,1610612755,2,9,2023-01-20T03:18:02Z,480000,False,,,0,,J. Nurkic kicked ball VIOLATION,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,1146.0,,,,,,,,,,,,,
49,PT08M02.00S,2023-01-20T03:18:19.2Z,1,REGULAR,2pt,Jump Shot,[],203954,21.369908015768726,58.82352941176471,1610612755,2,11,2023-01-20T03:18:23Z,490000,False,-44.0,148.0,1,left,J. Embiid 15' Jump Shot (6 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.48,Made,,,,,,,,,,,,,,,6.0,J. Harden,201935.0,2.0
51,PT07M49.00S,2023-01-20T03:18:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,92.32917214191852,3.1862745098039214,1610612757,2,11,2023-01-20T03:18:36Z,510000,False,-234.0,20.0,1,right,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,23.49,Missed,,,,,,,,,,,,,,,,,,
52,PT07M46.00S,2023-01-20T03:18:35.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,2,11,2023-01-20T03:18:36Z,520000,False,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M37.00S,2023-01-20T03:18:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,12.302890932982917,37.254901960784316,1610612755,2,11,2023-01-20T03:18:59Z,530000,False,64.0,63.0,1,left,MISS T. Harris 8' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,8.97,Missed,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2023-01-20T03:18:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,11,2023-01-20T03:18:59Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,53.0,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2023-01-20T03:18:52.9Z,1,REGULAR,foul,personal,[],203994,,,1610612755,2,11,2023-01-20T03:18:58Z,550000,False,,,0,,J. Nurkic loose ball personal FOUL (2 PF),"[203994, 200782]",1610612757.0,POR,loose ball,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right,,,,,,,1627526.0,2.0,0.0,Tucker,200782.0,,,,,,,,,
57,PT07M35.00S,2023-01-20T03:19:00.8Z,1,REGULAR,substitution,out,[],203994,,,1610612755,2,11,2023-01-20T03:19:05Z,570000,False,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M35.00S,2023-01-20T03:19:00.8Z,1,REGULAR,substitution,in,[],1629234,,,1610612755,2,11,2023-01-20T03:19:05Z,580000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2023-01-20T03:19:36.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629001,23.603810775295663,12.745098039215685,1610612755,2,11,2023-01-20T03:25:31Z,590000,False,186.0,169.0,1,left,MISS D. Melton 25' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
60,PT07M21.00S,2023-01-20T03:19:37.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,11,2023-01-20T03:25:31Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,59.0,,,,,,,,,,,,,,,,,
78,PT07M21.00S,2023-01-20T03:19:59.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,2,11,2023-01-20T03:23:59Z,635000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,1146.0,,,,,,,,,,,,,
62,PT07M14.00S,2023-01-20T03:20:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203081,87.72996057818659,41.911764705882355,1610612757,2,11,2023-01-20T03:29:17Z,642500,False,-40.0,63.0,1,right,MISS D. Lillard 7' driving finger roll Layup,[203081],1610612757.0,POR,driving finger roll,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,7.47,Missed,,,,,,,,,,,,,,,,,,
63,PT07M13.00S,2023-01-20T03:20:01.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,11,2023-01-20T03:26:56Z,646250,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,
222,PT07M09.00S,2023-01-20T03:20:07.4Z,1,REGULAR,violation,kicked ball,[],1629234,,,1610612755,2,11,2023-01-20T03:49:26Z,648125,False,,,0,,D. Eubanks kicked ball VIOLATION,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,1146.0,,,,,,,,,,,,,
65,PT07M02.00S,2023-01-20T03:20:14.4Z,1,REGULAR,3pt,Jump Shot,[],202699,21.50131406044678,10.53921568627451,1610612755,2,11,2023-01-20T03:20:25Z,650000,False,197.0,150.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,24.76,Missed,,,,,,,,,,,,,,,,,,
66,PT07M00.00S,2023-01-20T03:20:16.6Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,2,11,2023-01-20T03:20:16Z,660000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT06M52.00S,2023-01-20T03:20:24.1Z,1,REGULAR,2pt,Layup,['fastbreak'],203924,82.47371879106439,32.59803921568628,1610612757,4,11,2023-01-20T03:30:18Z,670000,False,-87.0,112.0,1,right,J. Grant 14' running Layup (2 PTS),[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,14.2,Made,,,,,,,,,,,,,,,2.0,,,
68,PT06M35.00S,2023-01-20T03:20:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.389618922470433,51.9607843137255,1610612755,4,13,2023-01-20T03:20:49Z,680000,False,-10.0,8.0,1,left,J. Embiid driving reverse Layup (8 PTS) (J. Harden 3 AST),"[203954, 201935]",1610612755.0,PHI,driving reverse,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,,,,,,,8.0,J. Harden,201935.0,3.0
69,PT06M14.00S,2023-01-20T03:21:02.9Z,1,REGULAR,2pt,Jump Shot,[],1629234,89.96386333771353,89.2156862745098,1610612757,6,13,2023-01-20T03:21:06Z,690000,False,196.0,42.0,1,right,D. Eubanks 20' Jump Shot (2 PTS) (J. Hart 1 AST),"[1629234, 1628404]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right,20.05,Made,,,,,,,,,,,,,,,2.0,J. Hart,1628404.0,1.0
71,PT06M04.00S,2023-01-20T03:21:12.8Z,1,REGULAR,3pt,Jump Shot,[],202699,13.748357424441524,3.431372549019608,1610612755,6,13,2023-01-20T03:21:17Z,710000,False,233.0,77.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,24.51,Missed,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2023-01-20T03:21:15.8Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,6,13,2023-01-20T03:21:17Z,720000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Right Corner 3,24+ Right,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
73,PT05M51.00S,2023-01-20T03:21:26.0Z,1,REGULAR,2pt,Jump Shot,[],203081,81.42247043363994,20.588235294117645,1610612757,6,13,2023-01-20T03:21:30Z,730000,False,-147.0,122.0,1,right,MISS D. Lillard 19' pullup Shot,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,19.12,Missed,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2023-01-20T03:21:29.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,6,13,2023-01-20T03:21:30Z,740000,False,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left Center,,,73.0,3.0,3.0,0.0,,,,,,,,,,,,,,
75,PT05M39.00S,2023-01-20T03:21:36.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.376478318002626,43.38235294117647,1610612755,6,15,2023-01-20T03:21:46Z,750000,False,33.0,101.0,1,left,J. Embiid 10' Jump Shot (10 PTS) (J. Harden 4 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,10.67,Made,,,,,,,,,,,,,,,10.0,J. Harden,201935.0,4.0
77,PT05M39.00S,2023-01-20T03:21:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,6,15,2023-01-20T03:21:44Z,770000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2023-01-20T03:24:47.6Z,1,REGULAR,substitution,out,[],203081,,,1610612757,6,15,2023-01-20T03:24:54Z,780000,False,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M39.00S,2023-01-20T03:24:47.6Z,1,REGULAR,substitution,out,[],1628404,,,1610612757,6,15,2023-01-20T03:24:54Z,790000,False,,,0,,SUB out: J. Hart,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2023-01-20T03:24:47.6Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,6,15,2023-01-20T03:24:54Z,800000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2023-01-20T03:24:47.6Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,6,15,2023-01-20T03:24:54Z,810000,False,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
