actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M34.00S,2022-11-03T02:17:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.9060446780552,52.94117647058824,1610612763,0,4,2022-11-03T02:17:20Z,160000,15.0,5.0,1,right,MISS J. Morant driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.55,Missed,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2022-11-03T02:17:14.7Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,4,2022-11-03T02:17:14Z,170000,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M26.00S,2022-11-03T02:17:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.389618922470433,50.49019607843137,1610612757,0,4,2022-11-03T02:17:27Z,180000,-2.0,8.0,1,left,MISS J. Grant running Layup - blocked,"[203924, 1630583]",1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.8,Missed,,,,,,,,,Aldama,1630583.0,,,,,,,,
19,PT10M26.00S,2022-11-03T02:17:20.4Z,1,REGULAR,block,,[],1630583,,,1610612757,0,4,2022-11-03T02:17:24Z,190000,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2022-11-03T02:17:24.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,4,2022-11-03T02:17:27Z,200000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M18.00S,2022-11-03T02:17:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,91.40932982917214,64.2156862745098,1610612763,0,4,2022-11-03T02:17:38Z,210000,71.0,28.0,1,right,MISS D. Bane 7' driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2022-11-03T02:17:31.7Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,0,4,2022-11-03T02:17:31Z,220000,,,0,,S. Aldama REBOUND (Off:2 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,21.0,3.0,1.0,2.0,,,,,,,,,,,,,
23,PT10M15.00S,2022-11-03T02:17:31.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630583,94.40999984741211,50.0,1610612763,0,4,2022-11-03T02:21:45Z,230000,0.0,0.0,1,right,MISS S. Aldama tip Layup,[1630583],1610612763.0,MEM,tip,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2022-11-03T02:17:32.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,4,2022-11-03T02:21:45Z,240000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M12.00S,2022-11-03T02:17:35.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631101,6.389618922470433,47.30392156862745,1610612757,0,4,2022-11-03T02:22:45Z,250000,13.0,8.0,1,left,MISS S. Sharpe running reverse Layup,[1631101],1610612757.0,POR,running reverse,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.55,Missed,,,,,,,,,,,,,,,,,,
26,PT10M10.00S,2022-11-03T02:17:37.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,4,2022-11-03T02:17:43Z,260000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,
27,PT09M59.00S,2022-11-03T02:17:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.72339027595268,47.794117647058826,1610612763,0,6,2022-11-03T02:17:52Z,270000,-11.0,16.0,1,right,J. Morant driving Layup (4 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.93,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2022-11-03T02:18:02.6Z,1,REGULAR,2pt,Jump Shot,[],1631101,26.62614980289093,62.254901960784316,1610612757,0,6,2022-11-03T02:18:07Z,280000,-61.0,198.0,1,left,MISS S. Sharpe 20' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,20.71,Missed,,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2022-11-03T02:18:05.6Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,6,2022-11-03T02:18:07Z,290000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT09M34.00S,2022-11-03T02:18:15.2Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612763,0,6,2022-11-03T02:18:23Z,300000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Adams 2 FT),"[203994, 203500]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Adams,203500.0,,,
32,PT09M34.00S,2022-11-03T02:18:41.9Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,0,6,2022-11-03T02:18:41Z,320000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2022-11-03T02:18:41.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,0,6,2022-11-03T02:18:41Z,330000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,
34,PT09M34.00S,2022-11-03T02:18:59.4Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,0,7,2022-11-03T02:18:59Z,340000,,,0,,S. Adams Free Throw 2 of 2 (1 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
35,PT09M20.00S,2022-11-03T02:19:16.5Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612757,0,7,2022-11-03T02:19:25Z,350000,,,0,,S. Adams shooting personal FOUL (1 PF) (Nurkic 2 FT),"[203500, 203994]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Nurkic,203994.0,,,
37,PT09M20.00S,2022-11-03T02:19:42.1Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,1,7,2022-11-03T02:19:42Z,370000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
38,PT09M20.00S,2022-11-03T02:19:55.9Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,2,7,2022-11-03T02:19:55Z,380000,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
39,PT09M09.00S,2022-11-03T02:20:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,93.64323258869908,48.529411764705884,1610612763,2,9,2022-11-03T02:20:30Z,390000,-7.0,7.0,1,right,S. Adams cutting Layup (3 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,1.04,Made,3.0,,,,,J. Morant,1629630.0,1.0,,,,,,,,,,
41,PT09M09.00S,2022-11-03T02:20:14.0Z,1,REGULAR,foul,personal,['1freethrow'],1631101,,,1610612763,2,9,2022-11-03T02:20:20Z,410000,,,0,,S. Sharpe shooting personal FOUL (1 PF) (Adams 1 FT),"[1631101, 203500]",1610612757.0,POR,shooting,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Adams,203500.0,,,
43,PT09M09.00S,2022-11-03T02:20:35.9Z,1,REGULAR,freethrow,1 of 1,[],203500,,,1610612763,2,10,2022-11-03T02:20:35Z,430000,,,0,,S. Adams Free Throw 1 of 1 (4 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M53.00S,2022-11-03T02:20:52.0Z,1,REGULAR,2pt,Hook,[],203994,20.844283837056505,67.15686274509804,1610612757,2,10,2022-11-03T02:20:56Z,440000,-86.0,143.0,1,left,MISS J. Nurkic 16' turnaround Hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Left Center,16.71,Missed,,,,,,,,,,,,,,,,,,
45,PT08M52.00S,2022-11-03T02:20:53.0Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,10,2022-11-03T02:20:56Z,450000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,16-24 Left Center,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT08M47.00S,2022-11-03T02:20:58.7Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,2,10,2022-11-03T02:21:05Z,460000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1631101]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Sharpe,1631101.0
47,PT08M47.00S,2022-11-03T02:20:58.7Z,1,REGULAR,steal,,[],1631101,,,1610612757,2,10,2022-11-03T02:21:00Z,470000,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M41.00S,2022-11-03T02:21:04.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631101,8.09789750328515,48.77450980392157,1610612757,2,10,2022-11-03T02:25:48Z,480000,6.0,24.0,1,left,MISS S. Sharpe running pullup Shot,[1631101],1610612757.0,POR,running pullup,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,2.44,Missed,,,,,,,,,,,,,,,,,,
49,PT08M36.00S,2022-11-03T02:21:09.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,10,2022-11-03T02:27:49Z,490000,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,
52,PT08M25.00S,2022-11-03T02:21:20.2Z,1,REGULAR,2pt,Jump Shot,[],1629630,78.53153745072274,51.470588235294116,1610612763,2,12,2022-11-03T02:21:24Z,520000,7.0,149.0,1,right,J. Morant 14' step back Jump Shot (6 PTS),[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,Mid-Range,8-16 Center,14.95,Made,6.0,,,,,,,,,,,,,,,,,
53,PT08M24.00S,2022-11-03T02:21:24.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,2,12,2022-11-03T02:21:24Z,530000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M02.00S,2022-11-03T02:25:08.6Z,1,REGULAR,3pt,Jump Shot,[],203994,32.013797634691194,33.82352941176471,1610612757,5,12,2022-11-03T02:25:16Z,540000,81.0,248.0,1,left,J. Nurkic 26' 3PT  (5 PTS) (J. Grant 1 AST),"[203994, 203924]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,26.12,Made,5.0,,,,,J. Grant,203924.0,1.0,,,,,,,,,,
56,PT07M45.00S,2022-11-03T02:25:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,68.80749014454665,27.696078431372552,1610612763,5,12,2022-11-03T02:25:30Z,560000,-112.0,241.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
57,PT07M43.00S,2022-11-03T02:25:27.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,5,12,2022-11-03T02:25:30Z,570000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,
58,PT07M37.00S,2022-11-03T02:25:34.2Z,1,REGULAR,3pt,Jump Shot,[],203924,28.991458607095925,24.264705882352942,1610612757,5,12,2022-11-03T02:25:38Z,580000,129.0,220.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
59,PT07M33.00S,2022-11-03T02:25:38.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,5,12,2022-11-03T02:25:38Z,590000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT07M28.00S,2022-11-03T02:25:43.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630217,93.64323258869908,53.431372549019606,1610612763,5,12,2022-11-03T02:32:03Z,600000,17.0,7.0,1,right,MISS D. Bane running Layup,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
61,PT07M28.00S,2022-11-03T02:25:43.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,5,12,2022-11-03T02:33:07Z,610000,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,
114,PT07M28.00S,2022-11-03T02:25:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,92.55913272010513,50.73529411764706,1610612763,5,12,2022-11-03T02:32:54Z,625000,4.0,17.0,1,right,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,1.78,Missed,,,,,,,,,,,,,,,,,,
115,PT07M27.00S,2022-11-03T02:25:46.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,5,12,2022-11-03T02:32:45Z,632500,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,114.0,,,,,,,,,,,,,,,,
65,PT07M10.00S,2022-11-03T02:26:16.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,5.863994743758213,50.49019607843137,1610612757,7,12,2022-11-03T02:26:22Z,650000,-2.0,3.0,1,left,J. Nurkic cutting DUNK (7 PTS) (A. Simons 1 AST),"[203994, 1629014]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.36,Made,7.0,,,,,A. Simons,1629014.0,1.0,,,,,,,,,,
67,PT06M44.00S,2022-11-03T02:26:42.4Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,7,12,2022-11-03T02:26:47Z,670000,,,0,,D. Bane bad pass out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,bad pass,,,Bane,D. Bane,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,2534.0,,,,,1.0,,
68,PT06M44.00S,2022-11-03T02:26:46.0Z,1,REGULAR,substitution,out,[],1630583,,,1610612757,7,12,2022-11-03T02:26:50Z,680000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M44.00S,2022-11-03T02:26:46.0Z,1,REGULAR,substitution,in,[],1631223,,,1610612757,7,12,2022-11-03T02:26:50Z,690000,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M38.00S,2022-11-03T02:27:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,7.966491458607096,38.970588235294116,1610612757,9,12,2022-11-03T02:27:08Z,700000,55.0,22.0,1,left,J. Nurkic cutting Layup (9 PTS) (J. Hart 1 AST),"[203994, 1628404]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,9.0,,,,,J. Hart,1628404.0,1.0,,,,,,,,,,
72,PT06M38.00S,2022-11-03T02:27:06.7Z,1,REGULAR,foul,personal,['1freethrow'],1631223,,,1610612757,9,12,2022-11-03T02:27:13Z,720000,,,0,,D. Roddy shooting personal FOUL (1 PF) (Nurkic 1 FT),"[1631223, 203994]",1610612763.0,MEM,shooting,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Nurkic,203994.0,,,
74,PT06M38.00S,2022-11-03T02:27:33.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203994,,,1610612757,10,12,2022-11-03T02:27:33Z,740000,,,0,,J. Nurkic Free Throw 1 of 1 (10 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
75,PT06M26.00S,2022-11-03T02:27:47.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,93.64323258869908,50.73529411764706,1610612763,10,14,2022-11-03T02:27:52Z,750000,4.0,7.0,1,right,S. Adams cutting DUNK (6 PTS) (J. Morant 2 AST),"[203500, 1629630]",1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.82,Made,6.0,,,,,J. Morant,1629630.0,2.0,,,,,,,,,,
77,PT06M10.00S,2022-11-03T02:28:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,6.389618922470433,45.83333333333333,1610612757,10,14,2022-11-03T02:28:09Z,770000,21.0,8.0,1,left,MISS J. Hart driving Layup - blocked,"[1628404, 203500]",1610612757.0,POR,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,Adams,203500.0,,,,,,,,
78,PT06M10.00S,2022-11-03T02:28:04.9Z,1,REGULAR,block,,[],203500,,,1610612757,10,14,2022-11-03T02:28:07Z,780000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M10.00S,2022-11-03T02:28:04.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,10,14,2022-11-03T02:28:09Z,790000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,77.0,,,,,,,,,,,,,,,,
81,PT06M10.00S,2022-11-03T02:28:09.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612757,10,14,2022-11-03T02:28:15Z,810000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M10.00S,2022-11-03T02:28:09.6Z,1,REGULAR,substitution,in,[],1626145,,,1610612757,10,14,2022-11-03T02:28:15Z,820000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M59.00S,2022-11-03T02:28:34.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,5.338370565045992,47.794117647058826,1610612757,12,14,2022-11-03T02:28:37Z,830000,11.0,-2.0,1,left,S. Sharpe driving Layup (2 PTS) (J. Hart 2 AST),"[1631101, 1628404]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,,,,,J. Hart,1628404.0,2.0,,,,,,,,,,
84,PT05M40.00S,2022-11-03T02:28:52.6Z,1,REGULAR,3pt,Jump Shot,[],1628415,90.22667542706965,96.32352941176471,1610612763,12,14,2022-11-03T02:28:56Z,840000,232.0,39.0,1,right,MISS D. Brooks 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,23.49,Missed,,,,,,,,,,,,,,,,,,
85,PT05M38.00S,2022-11-03T02:28:54.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,12,14,2022-11-03T02:28:56Z,850000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Right Corner 3,24+ Right,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,
