actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
255,PT02M38.00S,2023-03-28T02:55:54.3Z,2,REGULAR,3pt,Jump Shot,[],1629642,6.521024967148489,4.6568627450980395,1610612757,35,51,2023-03-28T02:56:00Z,2520000,False,227.0,9.0,1,left,MISS N. Little 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,,,,,,,,,,,,,,
256,PT02M36.00S,2023-03-28T02:55:56.3Z,2,REGULAR,rebound,offensive,[],1631133,,,1610612757,35,51,2023-03-28T02:56:00Z,2530000,False,,,0,,J. Walker REBOUND (Off:1 Def:0),[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,,,,,,,255.0,1.0,0.0,1.0,,,,,,,,,,
257,PT02M34.00S,2023-03-28T02:55:59.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629642,6.783837056504599,51.225490196078425,1610612757,35,51,2023-03-28T02:56:06Z,2540000,False,-6.0,11.0,1,left,MISS N. Little cutting DUNK - blocked,"[1629642, 202685]",1610612757.0,POR,cutting,,,Little,N. Little,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,Valanciunas,202685.0
258,PT02M34.00S,2023-03-28T02:55:59.3Z,2,REGULAR,block,,[],202685,,,1610612757,35,51,2023-03-28T02:56:01Z,2550000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
259,PT02M34.00S,2023-03-28T02:55:59.3Z,2,REGULAR,rebound,defensive,[],203468,,,1610612740,35,51,2023-03-28T02:56:06Z,2560000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,257.0,1.0,1.0,0.0,,,,,,,,,,
261,PT02M21.00S,2023-03-28T02:56:11.7Z,2,REGULAR,3pt,Jump Shot,[],1627742,67.49342969776609,33.57843137254902,1610612740,35,54,2023-03-28T02:56:28Z,2580000,False,-82.0,253.0,1,right,B. Ingram 26' 3PT  (18 PTS) (C. McCollum 6 AST),"[1627742, 203468]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,26.61,Made,18.0,C. McCollum,203468.0,6.0,,,,,,,,,,,,,,
263,PT01M59.00S,2023-03-28T02:56:33.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631133,9.674770039421814,48.77450980392157,1610612757,35,54,2023-03-28T02:57:00Z,2600000,False,6.0,38.0,1,left,MISS J. Walker pullup Shot - blocked,"[1631133, 202685]",1610612757.0,POR,pullup,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,Valanciunas,202685.0
264,PT01M59.00S,2023-03-28T02:56:33.4Z,2,REGULAR,block,,[],202685,,,1610612757,35,54,2023-03-28T02:56:35Z,2610000,False,,,0,,J. Valanciunas BLOCK (2 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
265,PT01M57.00S,2023-03-28T02:56:35.4Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,35,54,2023-03-28T02:56:38Z,2620000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:9),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,263.0,10.0,9.0,1.0,,,,,,,,,,
266,PT01M46.00S,2023-03-28T02:56:49.2Z,2,REGULAR,turnover,out-of-bounds,[],202685,,,1610612740,35,54,2023-03-28T02:56:55Z,2630000,False,,,0,,J. Valanciunas bad pass out-of-bounds TURNOVER (3 TO),[202685],1610612740.0,NOP,bad pass,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627962.0,,,,,3.0,,,,
267,PT01M46.00S,2023-03-28T02:56:51.3Z,2,REGULAR,substitution,out,[],1629642,,,1610612757,35,54,2023-03-28T02:57:03Z,2640000,False,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT01M46.00S,2023-03-28T02:56:51.3Z,2,REGULAR,substitution,out,[],1631133,,,1610612757,35,54,2023-03-28T02:57:03Z,2650000,False,,,0,,SUB out: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT01M46.00S,2023-03-28T02:56:51.3Z,2,REGULAR,substitution,in,[],1629234,,,1610612757,35,54,2023-03-28T02:57:03Z,2660000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT01M46.00S,2023-03-28T02:56:51.3Z,2,REGULAR,substitution,in,[],1628995,,,1610612757,35,54,2023-03-28T02:57:03Z,2670000,False,,,0,,SUB in: K. Knox II,[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT01M36.00S,2023-03-28T02:57:21.2Z,2,REGULAR,foul,offensive,[],1629234,,,1610612757,35,54,2023-03-28T02:57:28Z,2680000,False,,,0,,D. Eubanks offensive FOUL (1 PF),"[1629234, 1630529]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627962.0,1.0,0.0,Jones,1630529.0,,,,,
273,PT01M36.00S,2023-03-28T02:57:21.2Z,2,REGULAR,turnover,offensive foul,[],1629234,,,1610612757,35,54,2023-03-28T02:57:21Z,2700000,False,,,0,,D. Eubanks offensive foul TURNOVER (2 TO),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627962.0,,,,,2.0,,,,
274,PT01M21.00S,2023-03-28T02:57:49.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,80.76544021024968,6.372549019607843,1610612740,35,57,2023-03-28T02:57:54Z,2710000,False,-218.0,128.0,1,right,J. Richardson 25' 3PT  (8 PTS) (B. Ingram 3 AST),"[1626196, 1627742]",1610612740.0,NOP,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,25.3,Made,8.0,B. Ingram,1627742.0,3.0,,,,,,,,,,,,,,
276,PT01M06.00S,2023-03-28T02:58:04.1Z,2,REGULAR,3pt,Jump Shot,[],1628995,5.338370565045992,95.58823529411765,1610612757,35,57,2023-03-28T02:58:08Z,2730000,False,-228.0,-2.0,1,left,MISS K. Knox II 3PT,[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
277,PT01M04.00S,2023-03-28T02:58:06.1Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,35,57,2023-03-28T02:58:08Z,2740000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:10),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,,,,,276.0,11.0,10.0,1.0,,,,,,,,,,
278,PT00M59.50S,2023-03-28T02:58:14.4Z,2,REGULAR,foul,personal,[],1631101,,,1610612740,35,57,2023-03-28T02:58:34Z,2750000,False,,,0,,S. Sharpe personal FOUL (4 PF),"[1631101, 203468]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1627964.0,4.0,0.0,McCollum,203468.0,,,,,
280,PT00M53.40S,2023-03-28T02:58:40.9Z,2,REGULAR,3pt,Jump Shot,[],203468,91.5407358738502,3.431372549019608,1610612740,35,57,2023-03-28T02:58:49Z,2770000,False,-233.0,27.0,1,right,MISS C. McCollum 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Left Corner 3,24+ Left,23.44,Missed,,,,,,,,,,,,,,,,,,
281,PT00M52.30S,2023-03-28T02:58:42.0Z,2,REGULAR,rebound,defensive,[],1628995,,,1610612757,35,57,2023-03-28T02:58:49Z,2780000,False,,,0,,K. Knox II REBOUND (Off:1 Def:3),[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,Left Corner 3,24+ Left,,,,,,,280.0,4.0,3.0,1.0,,,,,,,,,,
282,PT00M52.30S,2023-03-28T02:58:49.4Z,2,REGULAR,foul,technical,['1freethrow'],1629642,,,1610612757,35,57,2023-03-28T02:59:10Z,2790000,False,,,0,,N. Little technical FOUL (1 Tech),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627962.0,1.0,1.0,,,,,,,
283,PT00M52.30S,2023-03-28T02:59:18.0Z,2,REGULAR,freethrow,1 of 1,[],1627742,,,1610612757,35,57,2023-03-28T02:59:18Z,2800000,False,,,0,,MISS B. Ingram technical Free Throw 1 of 1,[1627742],1610612740.0,NOP,technical,,,Ingram,B. Ingram,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
284,PT00M52.30S,2023-03-28T02:59:18.0Z,2,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612757,35,57,2023-03-28T02:59:18Z,2810000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,283.0,,,,,,,,,,,,,
285,PT00M52.30S,2023-03-28T02:59:18.9Z,2,REGULAR,substitution,out,[],1631101,,,1610612757,35,57,2023-03-28T02:59:24Z,2820000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT00M52.30S,2023-03-28T02:59:18.9Z,2,REGULAR,substitution,in,[],1629680,,,1610612757,35,57,2023-03-28T02:59:24Z,2830000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT00M41.30S,2023-03-28T03:00:02.9Z,2,REGULAR,3pt,Jump Shot,[],1629629,33.85348226018397,47.30392156862745,1610612757,35,57,2023-03-28T03:00:07Z,2840000,False,13.0,266.0,1,left,MISS C. Reddish 26' pullup 3PT,[1629629],1610612757.0,POR,pullup,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Center,26.6,Missed,,,,,,,,,,,,,,,,,,
288,PT00M38.40S,2023-03-28T03:00:05.8Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,35,57,2023-03-28T03:00:07Z,2850000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:11),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,287.0,12.0,11.0,1.0,,,,,,,,,,
289,PT00M30.80S,2023-03-28T03:00:13.5Z,2,REGULAR,2pt,Jump Shot,[],1627742,74.45795006570303,49.754901960784316,1610612740,35,57,2023-03-28T03:00:30Z,2860000,False,-1.0,188.0,1,right,MISS B. Ingram 18' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,18.76,Missed,,,,,,,,,,,,,,,,,,
290,PT00M28.40S,2023-03-28T03:00:15.9Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,35,57,2023-03-28T03:00:30Z,2870000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:11),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,289.0,13.0,11.0,2.0,,,,,,,,,,
291,PT00M28.40S,2023-03-28T03:00:25.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629629,,,1610612740,35,57,2023-03-28T03:00:30Z,2880000,False,,,0,,C. Reddish personal FOUL (1 PF) (Valanciunas 2 FT),"[1629629, 202685]",1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2715.0,1.0,0.0,Valanciunas,202685.0,,,,,
293,PT00M28.40S,2023-03-28T03:00:52.9Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],202685,,,1610612740,35,57,2023-03-28T03:00:52Z,2900000,False,,,0,,MISS J. Valanciunas Free Throw 1 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
294,PT00M28.40S,2023-03-28T03:00:52.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,35,57,2023-03-28T03:00:52Z,2910000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,293.0,,,,,,,,,,,,,
295,PT00M28.40S,2023-03-28T03:01:18.5Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],202685,,,1610612740,35,58,2023-03-28T03:01:18Z,2920000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
296,PT00M06.50S,2023-03-28T03:01:42.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627853,7.835085413929041,44.36274509803921,1610612757,35,58,2023-03-28T03:01:51Z,2930000,False,28.0,21.0,1,left,MISS R. Arcidiacono driving Layup - blocked,"[1627853, 203468]",1610612757.0,POR,driving,,,Arcidiacono,R. Arcidiacono,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,,,,,,,,,,,,,McCollum,203468.0
297,PT00M06.50S,2023-03-28T03:01:42.3Z,2,REGULAR,block,,[],203468,,,1610612757,35,58,2023-03-28T03:01:45Z,2940000,False,,,0,,C. McCollum BLOCK (2 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
298,PT00M06.20S,2023-03-28T03:01:42.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,35,58,2023-03-28T03:01:51Z,2950000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,296.0,,,,,,,,,,,,,
300,PT00M04.30S,2023-03-28T03:02:01.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629234,39.10972404730618,20.34313725490196,1610612757,35,58,2023-03-28T03:02:07Z,2970000,False,148.0,315.0,1,left,MISS D. Eubanks 34' 3PT,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,34.83,Missed,,,,,,,,,,,,,,,,,,
301,PT00M01.70S,2023-03-28T03:02:04.3Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,35,58,2023-03-28T03:02:04Z,2980000,False,,,0,,B. Ingram REBOUND (Off:0 Def:4),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,300.0,4.0,4.0,0.0,,,,,,,,,,
302,PT00M00.00S,2023-03-28T03:02:06.7Z,2,REGULAR,3pt,Jump Shot,[],1627742,55.53547963206308,46.568627450980394,1610612740,35,58,2023-03-28T03:02:15Z,2990000,False,-17.0,365.0,1,right,MISS B. Ingram 36' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,36.59,Missed,,,,,,,,,,,,,,,,,,
