actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
34,PT09M09.00S,2022-10-25T02:15:19.1Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612757,2,6,2022-10-25T02:15:28Z,340000,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Lillard 2 FT),"[1629008, 203081]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,1201.0,1.0,0.0,Lillard,203081.0,,,,,,,,,
36,PT09M09.00S,2022-10-25T02:15:43.4Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,3,6,2022-10-25T02:16:03Z,360000,,,0,,D. Lillard Free Throw 1 of 2 (3 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
37,PT09M09.00S,2022-10-25T02:15:43.4Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,3,6,2022-10-25T02:16:03Z,370000,,,0,,MISS D. Lillard Free Throw 2 of 2,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2022-10-25T02:15:45.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,6,2022-10-25T02:16:03Z,380000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M52.00S,2022-10-25T02:16:13.8Z,1,REGULAR,3pt,Jump Shot,[],1627750,27.54599211563732,80.14705882352942,1610612743,3,9,2022-10-25T02:16:19Z,390000,-151.0,206.0,1,left,J. Murray 25' 3PT  (3 PTS) (N. Jokic 2 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.56,Made,,,,,,,,,,3.0,,,,N. Jokic,203999.0,2.0,,
41,PT08M40.00S,2022-10-25T02:16:25.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,66.83639947437582,50.245098039215684,1610612757,3,9,2022-10-25T02:16:31Z,410000,1.0,259.0,1,right,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,25.92,Missed,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2022-10-25T02:16:27.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,9,2022-10-25T02:16:31Z,420000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT08M33.00S,2022-10-25T02:16:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,18.873193166885677,94.36274509803921,1610612743,3,12,2022-10-25T02:16:49Z,430000,-222.0,125.0,1,left,M. Porter Jr. 25' 3PT running pullup (5 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.45,Made,,,,,,,,,,5.0,,,,A. Gordon,203932.0,1.0,,
45,PT08M21.00S,2022-10-25T02:16:46.4Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,3,12,2022-10-25T02:17:19Z,450000,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (1 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,,,,,
46,PT08M02.00S,2022-10-25T02:17:15.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627750,22.552562417871222,24.264705882352942,1610612743,3,14,2022-10-25T02:31:02Z,460000,129.0,159.0,1,left,J. Murray 20' step back Jump Shot (5 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,20.49,Made,,,,,,,,,,5.0,,,,,,,,
47,PT08M00.00S,2022-10-25T02:17:20.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,3,14,2022-10-25T02:17:20Z,470000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M41.00S,2022-10-25T02:20:34.4Z,1,REGULAR,3pt,Jump Shot,[],203924,71.43561103810775,19.852941176470587,1610612757,3,14,2022-10-25T02:20:39Z,480000,-151.0,216.0,1,right,MISS J. Grant 26' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,26.34,Missed,,,,,,,,,,,,,,,,,,
49,PT07M38.00S,2022-10-25T02:20:36.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,14,2022-10-25T02:20:36Z,490000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,48.0,4.0,4.0,0.0,,,,,,,,,,,,,,
50,PT07M28.00S,2022-10-25T02:20:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,9.149145860709593,43.872549019607845,1610612743,3,14,2022-10-25T02:21:03Z,500000,31.0,34.0,1,left,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 1629014]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,Simons,1629014.0
51,PT07M28.00S,2022-10-25T02:20:47.3Z,1,REGULAR,block,,[],1629014,,,1610612743,3,14,2022-10-25T02:20:49Z,510000,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M25.00S,2022-10-25T02:20:50.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,3,14,2022-10-25T02:21:03Z,520000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M22.00S,2022-10-25T02:20:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203924,93.24901445466492,51.225490196078425,1610612757,5,14,2022-10-25T02:21:13Z,530000,6.0,11.0,1,right,J. Grant running Layup (2 PTS),[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,,,,2.0,,,,,,,,
55,PT07M13.00S,2022-10-25T02:21:04.9Z,1,REGULAR,turnover,traveling,[],203484,,,1610612743,5,14,2022-10-25T02:21:25Z,550000,,,0,,K. Caldwell-Pope traveling TURNOVER (1 TO),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,,,,,101284.0,,,,,,1.0,,,,,,,
56,PT06M58.00S,2022-10-25T02:21:27.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,93.38042049934296,45.588235294117645,1610612757,5,14,2022-10-25T02:21:41Z,560000,-22.0,10.0,1,right,MISS J. Nurkic turnaround Hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2022-10-25T02:21:29.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,14,2022-10-25T02:21:41Z,570000,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT06M50.00S,2022-10-25T02:21:39.3Z,1,REGULAR,foul,offensive,[],203932,,,1610612743,5,14,2022-10-25T02:31:42Z,580000,,,0,,A. Gordon offensive FOUL (1 PF),"[203932, 1628404]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1201.0,1.0,0.0,Hart,1628404.0,,,,,,,,,
60,PT06M50.00S,2022-10-25T02:21:39.3Z,1,REGULAR,turnover,offensive foul,[],203932,,,1610612743,5,14,2022-10-25T02:21:39Z,600000,,,0,,A. Gordon offensive foul TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1201.0,,,,,,1.0,,,,,,,
61,PT06M39.00S,2022-10-25T02:21:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,71.56701708278581,75.24509803921569,1610612757,8,14,2022-10-25T02:22:07Z,610000,126.0,215.0,1,right,A. Simons 24' 3PT  (3 PTS) (D. Lillard 1 AST),"[1629014, 203081]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,24.91,Made,,,,,,,,,,3.0,,,,D. Lillard,203081.0,1.0,,
63,PT06M14.00S,2022-10-25T02:22:24.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,21.632720105124836,92.8921568627451,1610612743,8,17,2022-10-25T02:22:31Z,630000,-214.0,151.0,1,left,J. Murray 26' 3PT pullup (8 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,26.22,Made,,,,,,,,,,8.0,,,,,,,,
64,PT06M03.00S,2022-10-25T02:22:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.11760840998686,48.28431372549019,1610612757,8,17,2022-10-25T02:22:42Z,640000,-9.0,12.0,1,right,MISS D. Lillard driving Layup,[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
65,PT06M01.00S,2022-10-25T02:22:38.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,8,17,2022-10-25T02:22:42Z,650000,,,0,,N. Jokic REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,64.0,5.0,5.0,0.0,,,,,,,,,,,,,,
66,PT05M56.00S,2022-10-25T02:22:43.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,5.469776609724048,49.26470588235294,1610612743,8,19,2022-10-25T02:22:53Z,660000,4.0,-1.0,1,left,A. Gordon running DUNK (6 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,6.0,,,,J. Murray,1627750.0,1.0,,
68,PT05M41.00S,2022-10-25T02:22:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.03745072273325,50.245098039215684,1610612757,10,19,2022-10-25T02:23:04Z,680000,1.0,4.0,1,right,D. Lillard cutting Layup (5 PTS) (J. Nurkic 1 AST),"[203081, 203994]",1610612757.0,POR,cutting,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,,,,,,5.0,,,,J. Nurkic,203994.0,1.0,,
70,PT05M30.00S,2022-10-25T02:23:09.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,32.40801576872536,47.549019607843135,1610612743,10,19,2022-10-25T02:36:58Z,700000,12.0,252.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.24,Missed,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2022-10-25T02:23:09.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,10,19,2022-10-25T02:23:16Z,710000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT05M20.00S,2022-10-25T02:23:21.4Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612757,10,19,2022-10-25T02:23:28Z,720000,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,1201.0,,,,,,,,,,,,,
73,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,10,19,2022-10-25T02:23:38Z,730000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612757,10,19,2022-10-25T02:23:38Z,740000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,out,[],1627750,,,1610612757,10,19,2022-10-25T02:23:38Z,750000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,10,19,2022-10-25T02:23:38Z,760000,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,in,[],1628971,,,1610612757,10,19,2022-10-25T02:23:38Z,770000,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2022-10-25T02:23:24.0Z,1,REGULAR,substitution,in,[],1631128,,,1610612757,10,19,2022-10-25T02:23:38Z,780000,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2022-10-25T02:23:53.2Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612757,10,19,2022-10-25T02:24:06Z,790000,,,0,,A. Gordon shooting personal FOUL (2 PF) (Nurkic 2 FT),"[203932, 203994]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,2.0,0.0,Nurkic,203994.0,,,,,,,,,
81,PT05M14.00S,2022-10-25T02:24:22.6Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,10,19,2022-10-25T02:24:22Z,810000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2022-10-25T02:24:22.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,10,19,2022-10-25T02:24:22Z,820000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2022-10-25T02:24:23.2Z,1,REGULAR,substitution,out,[],203932,,,1610612757,10,19,2022-10-25T02:24:29Z,830000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2022-10-25T02:24:23.2Z,1,REGULAR,substitution,in,[],201145,,,1610612757,10,19,2022-10-25T02:24:29Z,840000,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2022-10-25T02:24:44.3Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,11,19,2022-10-25T02:24:44Z,850000,,,0,,J. Nurkic Free Throw 2 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
86,PT04M50.00S,2022-10-25T02:25:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,10.463206307490145,47.794117647058826,1610612743,11,19,2022-10-25T02:25:21Z,860000,11.0,46.0,1,left,MISS J. Green driving Layup,[201145],1610612743.0,DEN,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
