actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT10M34.00S,2023-02-27T02:15:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,13.61695137976347,2.2058823529411766,1610612745,2,2,2023-02-27T02:15:55Z,150000,False,239.0,75.0,1,left,MISS J. Smith Jr. 25' running 3PT,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,25.06,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2023-02-27T02:15:19.7Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,2,2,2023-02-27T02:15:19Z,160000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M26.00S,2023-02-27T02:15:25.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630578,8.886333771353483,42.40196078431372,1610612745,2,2,2023-02-27T02:15:34Z,170000,False,38.0,31.0,1,left,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.9,Missed,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2023-02-27T02:15:26.1Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,2,2,2023-02-27T02:15:34Z,180000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M18.00S,2023-02-27T02:15:37.2Z,1,REGULAR,foul,personal,[],1630231,,,1610612757,2,2,2023-02-27T02:15:42Z,190000,False,,,0,,K. Martin Jr. personal FOUL (1 PF),"[1630231, 1629234]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,200832.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,
21,PT10M11.00S,2023-02-27T02:16:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.43166885676742,47.30392156862745,1610612757,4,2,2023-02-27T02:16:08Z,210000,False,-13.0,0.0,1,right,D. Lillard driving finger roll Layup (2 PTS),[203081],1610612757.0,POR,driving finger roll,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M51.00S,2023-02-27T02:16:22.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,8.229303547963205,45.83333333333333,1610612745,4,2,2023-02-27T02:16:31Z,220000,False,21.0,25.0,1,left,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
23,PT09M50.00S,2023-02-27T02:16:23.8Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,4,2,2023-02-27T02:16:31Z,230000,False,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M49.00S,2023-02-27T02:16:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,6.652431011826544,47.30392156862745,1610612745,4,4,2023-02-27T02:16:37Z,240000,False,13.0,10.0,1,left,J. Tate putback Layup (2 PTS),[1630256],1610612745.0,HOU,putback,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,2.0,,,,,,,,,,,,,
25,PT09M34.00S,2023-02-27T02:16:39.4Z,1,REGULAR,3pt,Jump Shot,[],203081,77.08607095926413,88.72549019607843,1610612757,7,4,2023-02-27T02:16:45Z,250000,False,194.0,163.0,1,right,D. Lillard 25' 3PT step back (5 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.3,Made,,,,,5.0,,,,,,,,,,,,,
26,PT09M11.00S,2023-02-27T02:17:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631102,19.793035479632064,49.01960784313725,1610612745,7,4,2023-02-27T02:17:15Z,260000,False,5.0,134.0,1,left,MISS T. Washington Jr. 13' driving floating Shot,[1631102],1610612745.0,HOU,driving floating,,,Washington Jr.,T. Washington Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.37,Missed,,,,,,,,,,,,,,,,,,
27,PT09M08.00S,2023-02-27T02:17:06.1Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,7,4,2023-02-27T02:17:08Z,270000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M00.00S,2023-02-27T02:17:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,74.45795006570303,83.08823529411765,1610612757,7,4,2023-02-27T02:17:21Z,280000,False,165.0,188.0,1,right,MISS M. Thybulle 25' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,25.01,Missed,,,,,,,,,,,,,,,,,,
29,PT09M00.00S,2023-02-27T02:17:13.2Z,1,REGULAR,rebound,offensive,[],203924,,,1610612757,7,4,2023-02-27T02:17:21Z,290000,False,,,0,,J. Grant REBOUND (Off:1 Def:0),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT08M58.00S,2023-02-27T02:17:18.9Z,1,REGULAR,foul,offensive,[],203924,,,1610612757,7,4,2023-02-27T02:17:28Z,300000,False,,,0,,J. Grant charge offensive FOUL (1 PF),"[203924, 1630256]",1610612757.0,POR,charge,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,1.0,0.0,Tate,1630256.0,,,,,,,,
32,PT08M58.00S,2023-02-27T02:17:18.9Z,1,REGULAR,turnover,offensive foul,[],203924,,,1610612757,7,4,2023-02-27T02:17:18Z,320000,False,,,0,,J. Grant offensive foul TURNOVER (1 TO),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,,,,,1.0,,,,,,,
33,PT08M48.00S,2023-02-27T02:17:43.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631102,23.866622864651774,12.5,1610612745,7,4,2023-02-27T02:17:47Z,330000,False,188.0,172.0,1,left,MISS T. Washington Jr. 25' 3PT,[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2023-02-27T02:17:45.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,7,4,2023-02-27T02:17:45Z,340000,False,,,0,,A. Sengun REBOUND (Off:2 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,33.0,2.0,0.0,2.0,,,,,,,,,,,,,,
35,PT08M42.00S,2023-02-27T02:17:48.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631102,7.835085413929041,2.696078431372549,1610612745,7,4,2023-02-27T02:17:52Z,350000,False,237.0,21.0,1,left,MISS T. Washington Jr. 3PT,[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Right Corner 3,24+ Right,23.74,Missed,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2023-02-27T02:17:49.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,7,4,2023-02-27T02:17:52Z,360000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M34.00S,2023-02-27T02:17:56.8Z,1,REGULAR,3pt,Jump Shot,[],203081,65.25952693823915,41.17647058823529,1610612757,7,4,2023-02-27T02:18:01Z,370000,False,-44.0,274.0,1,right,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,27.76,Missed,,,,,,,,,,,,,,,,,,
38,PT08M32.00S,2023-02-27T02:17:58.8Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,7,4,2023-02-27T02:18:01Z,380000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:2),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M21.00S,2023-02-27T02:18:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,5.863994743758213,51.225490196078425,1610612745,7,6,2023-02-27T02:18:21Z,390000,False,-6.0,3.0,1,left,J. Tate driving Layup (4 PTS),[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,4.0,,,,,,,,,,,,,
40,PT08M11.00S,2023-02-27T02:18:20.9Z,1,REGULAR,3pt,Jump Shot,[],203081,70.38436268068331,76.9607843137255,1610612757,10,6,2023-02-27T02:18:31Z,400000,False,135.0,226.0,1,right,D. Lillard 26' 3PT pullup (8 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.31,Made,,,,,8.0,,,,,,,,,,,,,
41,PT07M46.00S,2023-02-27T02:18:44.4Z,1,REGULAR,3pt,Jump Shot,[],1631102,32.276609724047304,24.509803921568626,1610612745,10,6,2023-02-27T02:18:52Z,410000,False,127.0,251.0,1,left,MISS T. Washington Jr. 28' 3PT,[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Above the Break 3,24+ Right Center,28.14,Missed,,,,,,,,,,,,,,,,,,
42,PT07M41.00S,2023-02-27T02:18:49.4Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,10,6,2023-02-27T02:21:34Z,420000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:3),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT07M40.00S,2023-02-27T02:18:51.0Z,1,REGULAR,turnover,lost ball,[],203924,,,1610612757,10,6,2023-02-27T02:19:01Z,430000,False,,,0,,J. Grant lost ball TURNOVER (2 TO),"[203924, 1630231]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Martin Jr.,1630231.0,,,,,
44,PT07M40.00S,2023-02-27T02:18:51.0Z,1,REGULAR,steal,,[],1630231,,,1610612745,10,6,2023-02-27T02:24:17Z,440000,False,,,0,,K. Martin Jr. STEAL (1 STL),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
45,PT07M37.00S,2023-02-27T02:18:53.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630231,8.623521681997373,53.18627450980392,1610612745,10,6,2023-02-27T02:24:32Z,450000,False,-16.0,29.0,1,left,MISS K. Martin Jr. driving DUNK - blocked,"[1630231, 1629234]",1610612745.0,HOU,driving,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,Eubanks,1629234.0,,,
46,PT07M37.00S,2023-02-27T02:18:53.7Z,1,REGULAR,block,,[],1629234,,,1610612745,10,6,2023-02-27T02:18:55Z,460000,False,,,0,,D. Eubanks BLOCK (1 BLK),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M35.00S,2023-02-27T02:18:55.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,10,6,2023-02-27T02:19:05Z,470000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT07M30.00S,2023-02-27T02:19:01.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203924,91.5407358738502,52.450980392156865,1610612757,10,6,2023-02-27T02:25:48Z,480000,False,12.0,27.0,1,right,MISS J. Grant running finger roll Layup,[203924],1610612757.0,POR,running finger roll,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2023-02-27T02:19:02.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,10,6,2023-02-27T02:19:11Z,490000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M23.00S,2023-02-27T02:19:08.9Z,1,REGULAR,turnover,lost ball,[],1631102,,,1610612745,10,6,2023-02-27T02:19:17Z,500000,False,,,0,,T. Washington Jr. lost ball TURNOVER (1 TO),"[1631102, 1629680]",1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,
51,PT07M23.00S,2023-02-27T02:19:08.9Z,1,REGULAR,steal,,[],1629680,,,1610612757,10,6,2023-02-27T02:19:39Z,510000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
52,PT07M20.00S,2023-02-27T02:19:11.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203924,95.0886990801577,50.73529411764706,1610612757,12,6,2023-02-27T02:19:24Z,520000,False,4.0,-6.0,1,right,J. Grant running DUNK (4 PTS) (C. Reddish 1 AST),"[203924, 1629629]",1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,4.0,,,,,,,,,,,C. Reddish,1629629.0,1.0
54,PT07M02.00S,2023-02-27T02:19:29.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,11.95795006570303,52.93734681372549,1610612745,12,8,2023-02-27T02:27:06Z,540000,False,-15.0,60.0,1,left,A. Sengun 6' turnaround Hook (4 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,6.17,Made,,,,,4.0,,,,,,,,,,,,,
55,PT06M43.00S,2023-02-27T02:19:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1630231,,,1610612757,12,8,2023-02-27T02:19:57Z,550000,False,,,0,,K. Martin Jr. shooting personal FOUL (2 PF) (Eubanks 2 FT),"[1630231, 1629234]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,2.0,0.0,Eubanks,1629234.0,,,,,,,,
57,PT06M43.00S,2023-02-27T02:20:00.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,12,8,2023-02-27T02:20:05Z,570000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M43.00S,2023-02-27T02:22:58.0Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612757,12,8,2023-02-27T02:22:58Z,580000,False,,,0,,MISS D. Eubanks Free Throw 1 of 2,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT06M43.00S,2023-02-27T02:22:58.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,12,8,2023-02-27T02:22:58Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,
60,PT06M43.00S,2023-02-27T02:23:11.4Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612757,13,8,2023-02-27T02:23:11Z,600000,False,,,0,,D. Eubanks Free Throw 2 of 2 (1 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
61,PT06M23.00S,2023-02-27T02:23:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,12.220762155059134,50.81571691176471,1610612745,13,10,2023-02-27T02:28:34Z,610000,False,-4.0,62.0,1,left,J. Tate 6' driving floating Jump Shot (6 PTS),[1630256],1610612745.0,HOU,driving floating,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,6.25,Made,,,,,6.0,,,,,,,,,,,,,
62,PT06M04.00S,2023-02-27T02:23:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,86.67871222076215,47.30392156862745,1610612757,15,10,2023-02-27T02:24:02Z,620000,False,-13.0,73.0,1,right,D. Lillard 7' driving floating Jump Shot (10 PTS),[203081],1610612757.0,POR,driving floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,7.39,Made,,,,,10.0,,,,,,,,,,,,,
63,PT05M48.00S,2023-02-27T02:24:08.1Z,1,REGULAR,2pt,Jump Shot,[],1631095,21.632720105124836,49.50980392156863,1610612745,15,12,2023-02-27T02:24:13Z,630000,False,2.0,151.0,1,left,J. Smith Jr. 15' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Center,15.08,Made,,,,,2.0,,,,,,,,,,,A. Sengun,1630578.0,1.0
65,PT05M35.00S,2023-02-27T02:24:21.6Z,1,REGULAR,3pt,Jump Shot,[],203081,63.6826544021025,22.058823529411764,1610612757,18,12,2023-02-27T02:24:25Z,650000,False,-140.0,289.0,1,right,D. Lillard 32' 3PT pullup (13 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,32.09,Made,,,,,13.0,,,,,,,,,,,,,
66,PT05M17.00S,2023-02-27T02:24:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630231,18.2161629434954,95.83333333333334,1610612745,18,12,2023-02-27T02:24:44Z,660000,False,-229.0,119.0,1,left,MISS K. Martin Jr. 25' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,,,,,,,,,,,,,,,,,
67,PT05M13.00S,2023-02-27T02:24:44.1Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,18,12,2023-02-27T02:24:44Z,670000,False,,,0,,A. Sengun REBOUND (Off:3 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,66.0,3.0,0.0,3.0,,,,,,,,,,,,,,
68,PT05M13.00S,2023-02-27T02:24:43.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630578,5.590000152587891,50.0,1610612745,18,14,2023-02-27T02:24:43Z,680000,False,0.0,0.0,1,left,A. Sengun tip DUNK (6 PTS),[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,6.0,,,,,,,,,,,,,
69,PT05M04.00S,2023-02-27T02:24:52.7Z,1,REGULAR,3pt,Jump Shot,[],203081,70.64717477003943,22.30392156862745,1610612757,18,14,2023-02-27T02:24:57Z,690000,False,-138.0,223.0,1,right,MISS D. Lillard 26' step back 3PT,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
70,PT05M01.00S,2023-02-27T02:24:55.7Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,18,14,2023-02-27T02:24:57Z,700000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:3),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,,,69.0,3.0,3.0,0.0,,,,,,,,,,,,,,
71,PT04M54.00S,2023-02-27T02:25:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,5.863994743758213,55.14705882352941,1610612745,18,16,2023-02-27T02:25:17Z,710000,False,-26.0,3.0,1,left,J. Tate driving floating bank Jump Shot (8 PTS) (K. Martin Jr. 1 AST),"[1630256, 1630231]",1610612745.0,HOU,driving floating bank,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,8.0,,,,,,,,,,,K. Martin Jr.,1630231.0,1.0
73,PT04M31.00S,2023-02-27T02:25:27.9Z,1,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612757,18,16,2023-02-27T02:25:34Z,730000,False,,,0,,J. Tate shooting personal FOUL (1 PF) (Grant 2 FT),"[1630256, 203924]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1628953.0,1.0,0.0,Grant,203924.0,,,,,,,,
75,PT04M31.00S,2023-02-27T02:25:52.5Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,19,16,2023-02-27T02:25:52Z,750000,False,,,0,,J. Grant Free Throw 1 of 2 (5 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
76,PT04M31.00S,2023-02-27T02:25:53.3Z,1,REGULAR,substitution,out,[],1629629,,,1610612757,19,16,2023-02-27T02:25:59Z,760000,False,,,0,,SUB out: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
