actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M28.00S,2023-03-25T02:13:18.2Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,3,2,2023-03-25T02:13:21Z,170000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M07.00S,2023-03-25T02:13:40.5Z,1,REGULAR,2pt,Jump Shot,[],1627853,7.966491458607096,78.67647058823529,1610612757,3,2,2023-03-25T02:13:50Z,180000,False,-143.0,22.0,1,left,MISS R. Arcidiacono 14' pullup Shot - blocked,"[1627853, 1630172]",1610612757.0,POR,pullup,,,Arcidiacono,R. Arcidiacono,,,,,Mid-Range,8-16 Left,14.51,Missed,,,,,,,,,,,,,Williams,1630172.0,,,,
19,PT10M07.00S,2023-03-25T02:13:40.5Z,1,REGULAR,block,,[],1630172,,,1610612757,3,2,2023-03-25T02:13:43Z,190000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M05.00S,2023-03-25T02:13:42.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,3,2,2023-03-25T02:13:50Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,18.0,,,,,,,,,
21,PT10M05.00S,2023-03-25T02:13:48.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,3,2,2023-03-25T02:13:55Z,210000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,201245.0,,,,,,,,,,,,,
22,PT09M56.00S,2023-03-25T02:14:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,91.67214191852825,52.450980392156865,1610612741,3,2,2023-03-25T02:14:25Z,220000,False,12.0,26.0,1,right,MISS N. Vucevic cutting Layup,[202696],1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2023-03-25T02:14:22.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,3,2,2023-03-25T02:14:25Z,230000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M51.00S,2023-03-25T02:14:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627853,31.882391590013142,20.588235294117645,1610612757,3,2,2023-03-25T02:14:34Z,240000,False,147.0,247.0,1,left,MISS R. Arcidiacono 28' running 3PT,[1627853],1610612757.0,POR,running,,,Arcidiacono,R. Arcidiacono,,,,,Above the Break 3,24+ Right Center,28.77,Missed,,,,,,,,,,,,,,,,,,
25,PT09M47.00S,2023-03-25T02:14:29.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,3,2,2023-03-25T02:14:34Z,250000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,
26,PT09M34.00S,2023-03-25T02:14:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,91.67214191852825,51.71568627450981,1610612741,3,4,2023-03-25T02:14:46Z,260000,False,9.0,26.0,1,right,Z. LaVine driving Layup (2 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M20.00S,2023-03-25T02:14:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,7.046649145860711,54.166666666666664,1610612757,5,4,2023-03-25T02:15:01Z,270000,False,-21.0,14.0,1,left,S. Sharpe driving Layup (5 PTS) (R. Arcidiacono 1 AST),"[1631101, 1627853]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,2.49,Made,5.0,R. Arcidiacono,1627853.0,1.0,,,,,,,,,,,,,,
28,PT09M00.00S,2023-03-25T02:15:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,90.75229960578186,52.94117647058824,1610612741,5,4,2023-03-25T02:15:20Z,280000,False,15.0,34.0,1,right,MISS Z. LaVine driving finger roll Layup,[203897],1610612741.0,CHI,driving finger roll,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2023-03-25T02:15:19.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,5,4,2023-03-25T02:15:20Z,290000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,
30,PT08M56.00S,2023-03-25T02:15:19.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,94.40999984741211,50.0,1610612741,5,6,2023-03-25T02:15:19Z,300000,False,0.0,0.0,1,right,N. Vucevic tip Layup (4 PTS),[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
31,PT08M42.00S,2023-03-25T02:15:33.7Z,1,REGULAR,2pt,Jump Shot,[],1629234,22.158344283837057,42.15686274509804,1610612757,7,6,2023-03-25T02:15:39Z,310000,False,39.0,156.0,1,left,D. Eubanks 16' Jump Shot (2 PTS) (R. Arcidiacono 2 AST),"[1629234, 1627853]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,8-16 Center,16.07,Made,2.0,R. Arcidiacono,1627853.0,2.0,,,,,,,,,,,,,,
33,PT08M25.00S,2023-03-25T02:15:52.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,67.36202365308804,59.068627450980394,1610612741,7,9,2023-03-25T02:15:56Z,330000,False,45.0,254.0,1,right,P. Williams 25' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1630172, 202696]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,25.83,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
35,PT08M03.00S,2023-03-25T02:16:13.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,31.09395532194481,30.14705882352941,1610612757,7,9,2023-03-25T02:16:18Z,350000,False,99.0,240.0,1,left,MISS S. Sharpe 25' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,25.95,Missed,,,,,,,,,,,,,,,,,,
36,PT08M00.00S,2023-03-25T02:16:16.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,9,2023-03-25T02:16:18Z,360000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,,
38,PT07M48.00S,2023-03-25T02:16:44.7Z,1,REGULAR,3pt,Jump Shot,[],203897,87.20433639947439,95.34313725490196,1610612741,7,12,2023-03-25T02:16:49Z,380000,False,227.0,68.0,1,right,Z. LaVine 3PT step back (5 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,23.66,Made,5.0,,,,,,,,,,,,,,,,,
39,PT07M28.00S,2023-03-25T02:17:04.4Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612757,7,12,2023-03-25T02:17:20Z,390000,False,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Thybulle 2 FT),"[202696, 1629680]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,,,,,,,,,,1.0,0.0,Thybulle,1629680.0
41,PT07M28.00S,2023-03-25T02:17:30.2Z,1,REGULAR,freethrow,1 of 2,[],1629680,,,1610612757,7,12,2023-03-25T02:17:52Z,410000,False,,,0,,MISS M. Thybulle Free Throw 1 of 2,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT07M28.00S,2023-03-25T02:17:30.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,7,12,2023-03-25T02:17:52Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,
43,PT07M28.00S,2023-03-25T02:17:30.2Z,1,REGULAR,freethrow,2 of 2,[],1629680,,,1610612757,7,12,2023-03-25T02:17:52Z,430000,False,,,0,,MISS M. Thybulle Free Throw 2 of 2,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
44,PT07M25.00S,2023-03-25T02:17:33.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,12,2023-03-25T02:17:52Z,440000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,43.0,4.0,3.0,1.0,,,,,,
45,PT07M17.00S,2023-03-25T02:17:58.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203897,92.46057818659659,49.01960784313725,1610612741,7,14,2023-03-25T02:18:07Z,450000,False,-5.0,18.0,1,right,Z. LaVine driving DUNK (7 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,1.9,Made,7.0,,,,,,,,,,,,,,,,,
46,PT07M08.00S,2023-03-25T02:18:09.7Z,1,REGULAR,foul,personal,[],203897,,,1610612757,7,14,2023-03-25T02:18:19Z,460000,False,,,0,,Z. LaVine personal FOUL (1 PF),"[203897, 1630570]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,204058.0,,,,,,,,,,1.0,0.0,Watford,1630570.0
48,PT06M57.00S,2023-03-25T02:18:38.5Z,1,REGULAR,3pt,Jump Shot,[],1629680,26.757555847568987,15.686274509803921,1610612757,10,14,2023-03-25T02:18:43Z,480000,False,172.0,199.0,1,left,M. Thybulle 26' 3PT  (3 PTS) (S. Sharpe 1 AST),"[1629680, 1631101]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,26.28,Made,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,,,
50,PT06M43.00S,2023-03-25T02:18:55.0Z,1,REGULAR,foul,offensive,[],202696,,,1610612741,10,14,2023-03-25T02:19:03Z,500000,False,,,0,,N. Vucevic offensive FOUL (2 PF),"[202696, 1627853]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right,,,,,,,204058.0,,,,,,,,,,2.0,0.0,Arcidiacono,1627853.0
52,PT06M43.00S,2023-03-25T02:18:55.0Z,1,REGULAR,turnover,offensive foul,[],202696,,,1610612741,10,14,2023-03-25T02:18:55Z,520000,False,,,0,,N. Vucevic offensive foul TURNOVER (2 TO),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right,,,,,,,204058.0,2.0,,,,,,,,,,,,
53,PT06M43.00S,2023-03-25T02:19:04.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,10,14,2023-03-25T02:19:04Z,530000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,out,[],1627853,,,1610612757,10,14,2023-03-25T02:21:45Z,540000,False,,,0,,SUB out: R. Arcidiacono,[1627853],1610612757.0,POR,,,,Arcidiacono,R. Arcidiacono,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,out,[],1629680,,,1610612757,10,14,2023-03-25T02:21:45Z,550000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,out,[],202696,,,1610612757,10,14,2023-03-25T02:21:45Z,560000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,in,[],1630553,,,1610612757,10,14,2023-03-25T02:21:45Z,570000,False,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,in,[],1629629,,,1610612757,10,14,2023-03-25T02:21:45Z,580000,False,,,0,,SUB in: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M43.00S,2023-03-25T02:21:24.2Z,1,REGULAR,substitution,in,[],203083,,,1610612757,10,14,2023-03-25T02:21:45Z,590000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M29.00S,2023-03-25T02:22:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631101,8.754927726675426,48.28431372549019,1610612757,12,14,2023-03-25T02:22:09Z,600000,False,9.0,30.0,1,left,S. Sharpe driving Layup (7 PTS),[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,3.1,Made,7.0,,,,,,,,,,,,,,,,,
62,PT06M15.00S,2023-03-25T02:22:19.1Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612741,12,14,2023-03-25T02:22:23Z,610000,False,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 1630553]",1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Johnson,1630553.0,,,,,,,,,,
63,PT06M15.00S,2023-03-25T02:22:19.1Z,1,REGULAR,steal,,[],1630553,,,1610612757,12,14,2023-03-25T02:22:20Z,620000,False,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
64,PT06M10.00S,2023-03-25T02:22:24.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630553,13.485545335085414,46.07843137254902,1610612757,12,14,2023-03-25T02:25:01Z,630000,False,20.0,74.0,1,left,MISS K. Johnson 7' running Layup - blocked,"[1630553, 203083]",1610612757.0,POR,running,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.68,Missed,,,,,,,,,,,,,Drummond,203083.0,,,,
65,PT06M10.00S,2023-03-25T02:22:24.6Z,1,REGULAR,block,,[],203083,,,1610612757,12,14,2023-03-25T02:22:26Z,640000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2023-03-25T02:22:27.6Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612757,12,14,2023-03-25T02:22:37Z,650000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,64.0,1.0,0.0,1.0,,,,,,
67,PT06M06.00S,2023-03-25T02:22:28.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631101,25.837713534822605,12.254901960784313,1610612757,12,14,2023-03-25T02:22:41Z,660000,False,189.0,190.0,1,left,MISS S. Sharpe 26' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2023-03-25T02:22:31.2Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,12,14,2023-03-25T02:22:31Z,670000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,67.0,2.0,1.0,1.0,,,,,,
69,PT05M50.00S,2023-03-25T02:22:43.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630570,17.296320630749015,93.38235294117648,1610612757,12,14,2023-03-25T02:22:48Z,680000,False,-217.0,110.0,1,left,MISS T. Watford 24' 3PT,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Left Center,24.32,Missed,,,,,,,,,,,,,,,,,,
70,PT05M47.00S,2023-03-25T02:22:46.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,12,14,2023-03-25T02:22:48Z,690000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
71,PT05M37.00S,2023-03-25T02:22:56.8Z,1,REGULAR,2pt,Jump Shot,[],203897,76.16622864651774,36.27450980392157,1610612741,12,14,2023-03-25T02:23:02Z,700000,False,-69.0,172.0,1,right,MISS Z. LaVine 18' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,18.47,Missed,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2023-03-25T02:22:59.8Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,12,14,2023-03-25T02:23:02Z,710000,False,,,0,,T. Watford REBOUND (Off:0 Def:2),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,
73,PT05M26.00S,2023-03-25T02:23:07.8Z,1,REGULAR,3pt,Jump Shot,[],1629629,5.732588699080158,94.36274509803921,1610612757,12,14,2023-03-25T02:23:12Z,720000,False,-222.0,1.0,1,left,MISS C. Reddish 3PT - blocked,"[1629629, 201976]",1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Left Corner 3,24+ Left,22.18,Missed,,,,,,,,,,,,,Beverley,201976.0,,,,
74,PT05M26.00S,2023-03-25T02:23:07.8Z,1,REGULAR,block,,[],201976,,,1610612757,12,14,2023-03-25T02:23:10Z,730000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2023-03-25T02:23:10.8Z,1,REGULAR,rebound,offensive,[],1629629,,,1610612757,12,14,2023-03-25T02:23:12Z,740000,False,,,0,,C. Reddish REBOUND (Off:1 Def:0),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Left Corner 3,24+ Left,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,
76,PT05M23.00S,2023-03-25T02:23:12.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629629,6.783837056504599,52.450980392156865,1610612757,12,14,2023-03-25T02:26:27Z,750000,False,-12.0,11.0,1,left,MISS C. Reddish driving floating Shot - blocked,"[1629629, 1630172]",1610612757.0,POR,driving floating,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,Williams,1630172.0,,,,
77,PT05M23.00S,2023-03-25T02:23:12.0Z,1,REGULAR,block,,[],1630172,,,1610612757,12,14,2023-03-25T02:23:14Z,760000,False,,,0,,P. Williams BLOCK (2 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M19.00S,2023-03-25T02:23:16.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,12,14,2023-03-25T02:23:17Z,770000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,
79,PT05M10.00S,2023-03-25T02:23:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,89.43823915900131,57.84313725490197,1610612741,12,14,2023-03-25T02:23:29Z,780000,False,39.0,47.0,1,right,MISS Z. LaVine 6' driving reverse Layup - blocked,"[203897, 1629234]",1610612741.0,CHI,driving reverse,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,Eubanks,1629234.0,,,,
80,PT05M10.00S,2023-03-25T02:23:24.9Z,1,REGULAR,block,,[],1629234,,,1610612741,12,14,2023-03-25T02:23:27Z,790000,False,,,0,,D. Eubanks BLOCK (1 BLK),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT05M07.00S,2023-03-25T02:23:27.9Z,1,REGULAR,rebound,offensive,[],203897,,,1610612741,12,14,2023-03-25T02:23:29Z,800000,False,,,0,,Z. LaVine REBOUND (Off:1 Def:0),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,79.0,1.0,0.0,1.0,,,,,,
