actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
33,PT08M57.00S,2023-03-02T03:15:49.5Z,1,REGULAR,3pt,Jump Shot,[],203924,22.026938239159,10.049019607843137,1610612757,6,5,2023-03-02T03:15:53Z,330000,False,200.0,155.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,,
34,PT08M54.00S,2023-03-02T03:15:52.5Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,6,5,2023-03-02T03:15:53Z,340000,False,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Above the Break 3,24+ Right Center,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M49.00S,2023-03-02T03:15:58.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626195,91.67214191852825,53.18627450980392,1610612740,6,5,2023-03-02T03:16:11Z,350000,False,16.0,26.0,1,right,MISS W. Hernangomez cutting DUNK - blocked,"[1626195, 1629234]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,Eubanks,1629234.0,,,
36,PT08M49.00S,2023-03-02T03:15:58.5Z,1,REGULAR,block,,[],1629234,,,1610612740,6,5,2023-03-02T03:16:01Z,360000,False,,,0,,D. Eubanks BLOCK (1 BLK),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M45.00S,2023-03-02T03:16:02.5Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,6,5,2023-03-02T03:16:11Z,370000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,
38,PT08M38.00S,2023-03-02T03:16:08.7Z,1,REGULAR,3pt,Jump Shot,[],203924,15.325229960578188,4.6568627450980395,1610612757,9,5,2023-03-02T03:16:15Z,380000,False,227.0,92.0,1,left,J. Grant 24' 3PT  (3 PTS) (M. Thybulle 1 AST),"[203924, 1629680]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right,24.45,Made,3.0,,,,,,,,,,,,,,,M. Thybulle,1629680.0,1.0
40,PT08M12.00S,2023-03-02T03:16:34.7Z,1,REGULAR,2pt,Jump Shot,[],1626196,79.188567674113,57.35294117647059,1610612740,9,7,2023-03-02T03:16:39Z,400000,False,37.0,143.0,1,right,J. Richardson 14' pullup Jump Shot (2 PTS),[1626196],1610612740.0,NOP,pullup,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Center,14.78,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M00.00S,2023-03-02T03:16:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.17411300919842,72.54901960784314,1610612757,9,7,2023-03-02T03:16:52Z,410000,False,-113.0,231.0,1,left,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
42,PT07M57.00S,2023-03-02T03:16:49.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,9,7,2023-03-02T03:16:52Z,420000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,
43,PT07M51.00S,2023-03-02T03:16:56.0Z,1,REGULAR,3pt,Jump Shot,[],1627742,71.17279894875165,20.34313725490196,1610612740,9,7,2023-03-02T03:19:23Z,430000,False,-148.0,218.0,1,right,MISS B. Ingram 26' running pullup 3PT,[1627742],1610612740.0,NOP,running pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
44,PT07M47.00S,2023-03-02T03:17:00.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,9,7,2023-03-02T03:17:06Z,440000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Left Center,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,
45,PT07M37.00S,2023-03-02T03:17:09.6Z,1,REGULAR,3pt,Jump Shot,[],1629680,9.674770039421814,3.1862745098039214,1610612757,12,7,2023-03-02T03:17:13Z,450000,False,234.0,38.0,1,left,M. Thybulle 3PT  (7 PTS) (J. Grant 1 AST),"[1629680, 203924]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,23.72,Made,7.0,,,,,,,,,,,,,,,J. Grant,203924.0,1.0
47,PT07M20.00S,2023-03-02T03:17:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,79.84559789750328,34.55882352941176,1610612740,12,9,2023-03-02T03:17:31Z,470000,False,-77.0,137.0,1,right,B. Ingram 15' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,15.73,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M12.00S,2023-03-02T03:17:38.9Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,12,9,2023-03-02T03:17:46Z,490000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M12.00S,2023-03-02T03:17:38.9Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,12,9,2023-03-02T03:17:46Z,500000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M06.00S,2023-03-02T03:18:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,18.2161629434954,37.5,1610612757,14,9,2023-03-02T03:20:34Z,510000,False,62.0,119.0,1,left,J. Grant 13' fadeaway Jump Shot (5 PTS),[203924],1610612757.0,POR,fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,13.41,Made,5.0,,,,,,,,,,,,,,,,,
52,PT06M53.00S,2023-03-02T03:18:14.5Z,1,REGULAR,2pt,Jump Shot,[],203468,93.38042049934296,30.14705882352941,1610612740,14,9,2023-03-02T03:18:19Z,520000,False,-99.0,10.0,1,right,MISS C. McCollum 9' floating Shot,[203468],1610612740.0,NOP,floating,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,9.98,Missed,,,,,,,,,,,,,,,,,,
53,PT06M50.00S,2023-03-02T03:18:17.7Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,14,9,2023-03-02T03:18:17Z,530000,False,,,0,,C. McCollum REBOUND (Off:1 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,
54,PT06M49.00S,2023-03-02T03:18:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612740,14,9,2023-03-02T03:20:03Z,540000,False,,,0,,D. Eubanks shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[1629234, 1626195]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,,,,1627524.0,1.0,0.0,Hernangomez,1626195.0,,,,,,,,
56,PT06M49.00S,2023-03-02T03:18:38.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,14,9,2023-03-02T03:18:38Z,560000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M49.00S,2023-03-02T03:21:34.1Z,1,REGULAR,substitution,out,[],203924,,,1610612740,14,9,2023-03-02T03:21:51Z,570000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2023-03-02T03:21:34.1Z,1,REGULAR,substitution,in,[],1629629,,,1610612740,14,9,2023-03-02T03:21:51Z,580000,False,,,0,,SUB in: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2023-03-02T03:22:09.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626195,,,1610612740,14,10,2023-03-02T03:22:09Z,590000,False,,,0,,W. Hernangomez Free Throw 1 of 2 (1 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2023-03-02T03:22:25.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626195,,,1610612740,14,11,2023-03-02T03:22:25Z,600000,False,,,0,,W. Hernangomez Free Throw 2 of 2 (2 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M37.00S,2023-03-02T03:22:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,18.873193166885677,48.03921568627451,1610612757,16,11,2023-03-02T03:22:45Z,610000,False,10.0,125.0,1,left,D. Lillard 12' floating Jump Shot (2 PTS),[203081],1610612757.0,POR,floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,12.53,Made,2.0,,,,,,,,,,,,,,,,,
62,PT06M21.00S,2023-03-02T03:22:57.7Z,1,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612740,16,11,2023-03-02T03:23:09Z,620000,False,,,0,,D. Eubanks shooting personal FOUL (2 PF) (McCollum 2 FT),"[1629234, 203468]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201638.0,2.0,0.0,McCollum,203468.0,,,,,,,,
64,PT06M21.00S,2023-03-02T03:23:23.7Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,16,12,2023-03-02T03:23:23Z,640000,False,,,0,,C. McCollum Free Throw 1 of 2 (3 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2023-03-02T03:23:24.4Z,1,REGULAR,substitution,out,[],1629234,,,1610612740,16,12,2023-03-02T03:23:31Z,650000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M21.00S,2023-03-02T03:23:24.4Z,1,REGULAR,substitution,out,[],1626195,,,1610612740,16,12,2023-03-02T03:23:31Z,660000,False,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M21.00S,2023-03-02T03:23:24.4Z,1,REGULAR,substitution,in,[],1630570,,,1610612740,16,12,2023-03-02T03:23:31Z,670000,False,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2023-03-02T03:23:24.4Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,16,12,2023-03-02T03:23:31Z,680000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M21.00S,2023-03-02T03:23:44.3Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,16,13,2023-03-02T03:23:44Z,690000,False,,,0,,C. McCollum Free Throw 2 of 2 (4 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2023-03-02T03:23:56.3Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612757,16,13,2023-03-02T03:24:04Z,700000,False,,,0,,J. Hayes shooting personal FOUL (1 PF) (Lillard 2 FT),"[1629637, 203081]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,Mid-Range,8-16 Right,,,,,,,,2715.0,1.0,0.0,Lillard,203081.0,,,,,,,,
72,PT06M11.00S,2023-03-02T03:24:22.1Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,17,13,2023-03-02T03:24:22Z,720000,False,,,0,,D. Lillard Free Throw 1 of 2 (3 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
73,PT06M11.00S,2023-03-02T03:24:33.0Z,1,REGULAR,substitution,out,[],203468,,,1610612757,17,13,2023-03-02T03:24:36Z,730000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2023-03-02T03:24:33.0Z,1,REGULAR,substitution,in,[],1630184,,,1610612757,17,13,2023-03-02T03:24:36Z,740000,False,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2023-03-02T03:24:38.0Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,18,13,2023-03-02T03:24:38Z,750000,False,,,0,,D. Lillard Free Throw 2 of 2 (4 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
77,PT05M53.00S,2023-03-02T03:25:02.2Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,18,13,2023-03-02T03:25:10Z,770000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M53.00S,2023-03-02T03:25:02.2Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,18,13,2023-03-02T03:25:10Z,780000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M49.00S,2023-03-02T03:25:20.7Z,1,REGULAR,turnover,bad pass,[],1626196,,,1610612740,18,13,2023-03-02T03:25:26Z,790000,False,,,0,,J. Richardson bad pass TURNOVER (1 TO),"[1626196, 1629680]",1610612740.0,NOP,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,
80,PT05M49.00S,2023-03-02T03:25:20.7Z,1,REGULAR,steal,,[],1629680,,,1610612757,18,13,2023-03-02T03:25:23Z,800000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2023-03-02T03:25:24.4Z,1,REGULAR,turnover,bad pass,[],1631101,,,1610612757,18,13,2023-03-02T03:25:30Z,810000,False,,,0,,S. Sharpe bad pass TURNOVER (1 TO),"[1631101, 1630530]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Murphy III,1630530.0,,,,,
82,PT05M45.00S,2023-03-02T03:25:24.4Z,1,REGULAR,steal,,[],1630530,,,1610612740,18,13,2023-03-02T03:28:17Z,820000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
83,PT05M44.00S,2023-03-02T03:25:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,91.5407358738502,54.41176470588235,1610612740,18,15,2023-03-02T04:15:44Z,830000,False,22.0,27.0,1,right,B. Ingram Layup (4 PTS) (T. Murphy III 1 AST),"[1627742, 1630530]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.49,Made,4.0,,,,,,,,,,,,,,,T. Murphy III,1630530.0,1.0
