actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
19,PT10M25.00S,2026-03-26T23:12:55.7Z,1,REGULAR,foul,personal,[],1628370,,,1610612753,3,3,2026-03-26T23:13:04Z,190000,False,,,0,,M. Monk personal FOUL (1 PF),"[1628370, 1630217]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,16-24 Right Center,1148.0,,,,,,,,,,,,,,1.0,0.0,Bane,1630217.0,,
21,PT10M14.00S,2026-03-26T23:13:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,12.171484888304862,48.77450980392157,1610612753,5,3,2026-03-26T23:13:34Z,210000,False,6.0,62.0,1,left,W. Carter Jr. 6' driving Hook (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,6.22,Made,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,
23,PT09M59.00S,2026-03-26T23:13:38.4Z,1,REGULAR,3pt,Jump Shot,[],1642875,68.15045992115637,63.23529411764706,1610612758,5,3,2026-03-26T23:13:42Z,230000,False,66.0,247.0,1,right,MISS M. Raynaud 25' 3PT,[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Center,,,25.56,Missed,,,,,,,,,,,,,,,,
24,PT09M57.00S,2026-03-26T23:13:40.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,3,2026-03-26T23:13:42Z,240000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,
25,PT09M53.00S,2026-03-26T23:13:45.1Z,1,REGULAR,turnover,bad pass,[],1641783,,,1610612753,5,3,2026-03-26T23:13:52Z,250000,False,,,0,,T. da Silva bad pass TURNOVER (1 TO),"[1641783, 1628370]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,Monk,1628370.0
26,PT09M53.00S,2026-03-26T23:13:45.1Z,1,REGULAR,steal,,[],1628370,,,1610612758,5,3,2026-03-26T23:13:47Z,260000,False,,,0,,M. Monk STEAL (1 STL),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2026-03-26T23:13:51.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630173,95.0886990801577,56.61764705882353,1610612758,5,5,2026-03-26T23:15:15Z,270000,False,33.0,-6.0,1,right,P. Achiuwa running Layup (2 PTS) (M. Monk 2 AST),"[1630173, 1628370]",1610612758.0,SAC,running,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,3.37,Made,,,,,,,2.0,M. Monk,1628370.0,2.0,,,,,,
29,PT09M26.00S,2026-03-26T23:14:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.886333771353483,55.392156862745104,1610612753,7,5,2026-03-26T23:14:17Z,290000,False,-27.0,31.0,1,left,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,4.11,Made,,,,,,,2.0,,,,,,,,,
31,PT09M08.00S,2026-03-26T23:14:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642269,93.51182654402102,48.77450980392157,1610612758,7,5,2026-03-26T23:16:18Z,310000,False,-6.0,8.0,1,right,MISS D. Carter driving Layup,[1642269],1610612758.0,SAC,driving,,,Carter,D. Carter,,,,,Restricted Area,0-8 Center,,,1.05,Missed,,,,,,,,,,,,,,,,
32,PT09M07.00S,2026-03-26T23:14:31.5Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,7,5,2026-03-26T23:16:18Z,320000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,
33,PT09M07.00S,2026-03-26T23:14:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,91.67214191852825,49.754901960784316,1610612758,7,7,2026-03-26T23:16:22Z,330000,False,-1.0,26.0,1,right,P. Achiuwa putback Layup (4 PTS),[1630173],1610612758.0,SAC,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,2.58,Made,,,,,,,4.0,,,,,,,,,
34,PT09M00.00S,2026-03-26T23:14:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630591,29.6484888304862,72.79411764705883,1610612753,10,7,2026-03-26T23:16:54Z,340000,False,-114.0,226.0,1,left,J. Suggs 25' 3PT pullup (3 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,25.33,Made,,,,,,,3.0,,,,,,,,,
35,PT08M46.00S,2026-03-26T23:14:52.0Z,1,REGULAR,2pt,Jump Shot,[],201942,76.03482260183968,53.67647058823529,1610612758,10,7,2026-03-26T23:17:08Z,350000,False,18.0,173.0,1,right,MISS D. DeRozan 17' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,,,17.38,Missed,,,,,,,,,,,,,,,,
36,PT08M45.00S,2026-03-26T23:14:53.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,10,7,2026-03-26T23:17:45Z,360000,False,,,0,,P. Achiuwa REBOUND (Off:2 Def:0),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Center,,,,,,,35.0,2.0,0.0,2.0,,,,,,,,,,
37,PT08M44.00S,2026-03-26T23:14:57.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,94.40999984741211,50.0,1610612758,10,7,2026-03-26T23:17:53Z,370000,False,0.0,0.0,1,right,MISS P. Achiuwa tip Layup,[1630173],1610612758.0,SAC,tip,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
38,PT08M42.00S,2026-03-26T23:14:59.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,7,2026-03-26T23:17:53Z,380000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M32.00S,2026-03-26T23:15:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.229303547963205,48.77450980392157,1610612753,12,7,2026-03-26T23:15:12Z,390000,False,6.0,25.0,1,left,P. Banchero driving Layup (4 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,2.56,Made,,,,,,,4.0,,,,,,,,,
40,PT08M15.00S,2026-03-26T23:15:22.8Z,1,REGULAR,2pt,Jump Shot,[],201942,82.47371879106439,30.88235294117647,1610612758,12,9,2026-03-26T23:15:27Z,400000,False,-96.0,112.0,1,right,D. DeRozan 14' pullup Jump Shot (2 PTS) (D. Carter 1 AST),"[201942, 1642269]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,14.74,Made,,,,,,,2.0,D. Carter,1642269.0,1.0,,,,,,
41,PT08M06.00S,2026-03-26T23:15:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630217,18.347568988173457,3.9215686274509802,1610612753,12,9,2026-03-26T23:15:37Z,410000,False,230.0,120.0,1,left,MISS D. Bane 25' 3PT,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,25.98,Missed,,,,,,,,,,,,,,,,
42,PT08M03.00S,2026-03-26T23:15:35.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,12,9,2026-03-26T23:15:37Z,420000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M01.00S,2026-03-26T23:15:38.9Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612758,12,9,2026-03-26T23:15:45Z,430000,False,,,0,,P. Achiuwa bad pass out-of-bounds TURNOVER (1 TO),[1630173],1610612758.0,SAC,bad pass,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Right,1148.0,1.0,,,,,,,,,,,,,,,,,,
44,PT08M01.00S,2026-03-26T23:15:45.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612753,12,9,2026-03-26T23:15:49Z,440000,False,,,0,,SUB out: D. Bane,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2026-03-26T23:15:45.9Z,1,REGULAR,substitution,in,[],1641724,,,1610612753,12,9,2026-03-26T23:15:49Z,450000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M47.00S,2026-03-26T23:16:06.8Z,1,REGULAR,foul,personal,[],1628370,,,1610612753,12,9,2026-03-26T23:16:15Z,460000,False,,,0,,M. Monk personal FOUL (2 PF),"[1628370, 1641783]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,1193.0,,,,,,,,,,,,,,2.0,0.0,da Silva,1641783.0,,
48,PT07M47.00S,2026-03-26T23:16:28.7Z,1,REGULAR,substitution,out,[],1628370,,,1610612753,12,9,2026-03-26T23:16:45Z,480000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M47.00S,2026-03-26T23:16:28.7Z,1,REGULAR,substitution,in,[],1631342,,,1610612753,12,9,2026-03-26T23:16:45Z,490000,False,,,0,,SUB in: D. Plowden,[1631342],1610612758.0,SAC,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M38.00S,2026-03-26T23:17:11.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631094,32.013797634691194,35.049019607843135,1610612753,12,9,2026-03-26T23:20:15Z,500000,False,75.0,248.0,1,left,MISS P. Banchero 25' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,25.94,Missed,,,,,,,,,,,,,,,,
51,PT07M36.00S,2026-03-26T23:17:15.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,12,9,2026-03-26T23:17:15Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,50.0,,,,,,,,,,,,,
53,PT07M29.00S,2026-03-26T23:17:39.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1641783,15.062417871222076,68.38235294117648,1610612753,14,9,2026-03-26T23:17:43Z,530000,False,-92.0,89.0,1,left,T. da Silva 12' pullup Jump Shot (5 PTS),[1641783],1610612753.0,ORL,pullup,,,da Silva,T. da Silva,,,,,Mid-Range,8-16 Left,,,12.8,Made,,,,,,,5.0,,,,,,,,,
54,PT07M07.00S,2026-03-26T23:18:04.6Z,1,REGULAR,2pt,Jump Shot,[],201942,93.9060446780552,14.460784313725492,1610612758,14,11,2026-03-26T23:18:18Z,540000,False,-178.0,5.0,1,right,D. DeRozan 17' pullup Jump Shot (4 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,,,17.78,Made,,,,,,,4.0,,,,,,,,,
55,PT07M07.00S,2026-03-26T23:18:08.8Z,1,REGULAR,foul,personal,['1freethrow'],1641783,,,1610612758,14,11,2026-03-26T23:18:21Z,550000,False,,,0,,T. da Silva shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1641783, 201942]",1610612753.0,ORL,shooting,,,da Silva,T. da Silva,,,,,Mid-Range,16-24 Left,1193.0,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,
57,PT07M07.00S,2026-03-26T23:18:37.7Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612758,14,11,2026-03-26T23:18:41Z,570000,False,,,0,,MISS D. DeRozan Free Throw 1 of 1,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
58,PT07M05.00S,2026-03-26T23:18:39.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,14,11,2026-03-26T23:18:41Z,580000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,57.0,4.0,4.0,0.0,,,,,,,,,,
59,PT06M58.00S,2026-03-26T23:19:07.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,14,11,2026-03-26T23:19:07Z,590000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2026-03-26T23:22:06.5Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,14,11,2026-03-26T23:22:15Z,600000,False,,,0,,Jump Ball J. Suggs vs. D. Plowden: Tip to W. Carter Jr.,"[1628976, 1630591, 1631342]",1610612753.0,ORL,heldball,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Suggs,1630591.0,Plowden,1631342.0,,,,,,,,,,,,,,,,,,,,,,
65,PT06M50.00S,2026-03-26T23:22:13.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,9.543363994743759,53.67647058823529,1610612753,14,11,2026-03-26T23:22:39Z,630000,False,-18.0,37.0,1,left,MISS W. Carter Jr. turnaround Hook,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,4.15,Missed,,,,,,,,,,,,,,,,
66,PT06M48.00S,2026-03-26T23:22:15.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,14,11,2026-03-26T23:22:39Z,640000,False,,,0,,P. Achiuwa REBOUND (Off:2 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,65.0,3.0,1.0,2.0,,,,,,,,,,
67,PT06M33.00S,2026-03-26T23:22:28.4Z,1,REGULAR,3pt,Jump Shot,[],1642269,67.49342969776609,24.019607843137255,1610612758,14,14,2026-03-26T23:22:33Z,650000,False,-130.0,253.0,1,right,D. Carter 28' 3PT  (6 PTS) (D. DeRozan 1 AST),"[1642269, 201942]",1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Left Center,,,28.45,Made,,,,,,,6.0,D. DeRozan,201942.0,1.0,,,,,,
69,PT06M19.00S,2026-03-26T23:22:44.7Z,1,REGULAR,3pt,Jump Shot,[],1641724,27.54599211563732,15.931372549019606,1610612753,14,14,2026-03-26T23:23:14Z,670000,False,170.0,206.0,1,left,MISS J. Howard 26' step back 3PT,[1641724],1610612753.0,ORL,step back,,,Howard,J. Howard,,,,,Above the Break 3,24+ Right Center,,,26.76,Missed,,,,,,,,,,,,,,,,
70,PT06M17.00S,2026-03-26T23:22:46.7Z,1,REGULAR,rebound,defensive,[],1642269,,,1610612758,14,14,2026-03-26T23:23:14Z,680000,False,,,0,,D. Carter REBOUND (Off:0 Def:1),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Right Center,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,
71,PT06M12.00S,2026-03-26T23:22:50.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642875,91.5407358738502,46.81372549019608,1610612758,14,14,2026-03-26T23:23:39Z,690000,False,-16.0,27.0,1,right,MISS M. Raynaud running Layup,[1642875],1610612758.0,SAC,running,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,3.13,Missed,,,,,,,,,,,,,,,,
72,PT06M10.00S,2026-03-26T23:22:52.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,14,14,2026-03-26T23:23:39Z,700000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,
73,PT06M03.00S,2026-03-26T23:22:58.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1631094,26.49474375821288,54.41176470588235,1610612753,16,14,2026-03-26T23:24:07Z,710000,False,-22.0,197.0,1,left,P. Banchero 19' running pullup Jump Shot (6 PTS),[1631094],1610612753.0,ORL,running pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,19.78,Made,,,,,,,6.0,,,,,,,,,
74,PT05M45.00S,2026-03-26T23:23:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,91.67214191852825,48.28431372549019,1610612758,16,16,2026-03-26T23:23:26Z,720000,False,-9.0,26.0,1,right,P. Achiuwa driving Layup (6 PTS),[1630173],1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,2.72,Made,,,,,,,6.0,,,,,,,,,
75,PT05M27.00S,2026-03-26T23:23:34.8Z,1,REGULAR,3pt,Jump Shot,[],1641724,8.229303547963205,97.30392156862744,1610612753,19,16,2026-03-26T23:23:41Z,730000,False,-237.0,25.0,1,left,J. Howard 3PT  (3 PTS) (J. Suggs 2 AST),"[1641724, 1630591]",1610612753.0,ORL,,,,Howard,J. Howard,,,,,Left Corner 3,24+ Left,,,23.78,Made,,,,,,,3.0,J. Suggs,1630591.0,2.0,,,,,,
77,PT05M13.00S,2026-03-26T23:23:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,87.20433639947439,50.0,1610612758,19,18,2026-03-26T23:23:57Z,750000,False,0.0,68.0,1,right,M. Raynaud 6' floating Jump Shot (2 PTS) (D. DeRozan 2 AST),"[1642875, 201942]",1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,6.78,Made,,,,,,,2.0,D. DeRozan,201942.0,2.0,,,,,,
79,PT04M57.00S,2026-03-26T23:24:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,4.681340341655716,53.431372549019606,1610612753,21,18,2026-03-26T23:24:11Z,770000,False,-17.0,-8.0,1,left,W. Carter Jr. driving DUNK (4 PTS) (J. Howard 1 AST),"[1628976, 1641724]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,1.92,Made,,,,,,,4.0,J. Howard,1641724.0,1.0,,,,,,
81,PT04M35.00S,2026-03-26T23:24:26.2Z,1,REGULAR,2pt,Jump Shot,[],201942,72.88107752956637,72.30392156862744,1610612758,21,18,2026-03-26T23:24:29Z,790000,False,112.0,202.0,1,right,MISS D. DeRozan 23' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,23.11,Missed,,,,,,,,,,,,,,,,
82,PT04M33.00S,2026-03-26T23:24:28.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,21,18,2026-03-26T23:24:29Z,800000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,81.0,5.0,5.0,0.0,,,,,,,,,,
83,PT04M24.00S,2026-03-26T23:24:38.8Z,1,REGULAR,foul,personal,['2freethrow'],1631342,,,1610612753,21,18,2026-03-26T23:24:54Z,810000,False,,,0,,D. Plowden shooting personal FOUL (1 PF) (da Silva 2 FT),"[1631342, 1641783]",1610612758.0,SAC,shooting,,,Plowden,D. Plowden,,,,,Restricted Area,0-8 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,da Silva,1641783.0,,
85,PT04M24.00S,2026-03-26T23:25:07.1Z,1,REGULAR,freethrow,1 of 2,[],1641783,,,1610612753,22,18,2026-03-26T23:25:07Z,830000,False,,,0,,T. da Silva Free Throw 1 of 2 (6 PTS),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,
86,PT04M24.00S,2026-03-26T23:25:07.6Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,22,18,2026-03-26T23:25:37Z,840000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M24.00S,2026-03-26T23:25:07.6Z,1,REGULAR,substitution,out,[],1630173,,,1610612753,22,18,2026-03-26T23:25:37Z,850000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
