actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M00.00S,2026-01-11T20:13:25.1Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,7,0,2026-01-11T20:13:26Z,190000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M56.00S,2026-01-11T20:13:28.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,28.728646517739815,78.18627450980392,1610612753,10,0,2026-01-11T20:13:33Z,200000,False,-141.0,218.0,1,left,D. Bane 25' 3PT running (5 PTS) (A. Black 2 AST),"[1630217, 1641710]",1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,25.92,Made,5.0,A. Black,1641710.0,2.0,,,,,,,,,,,,,,
22,PT09M56.00S,2026-01-11T20:13:34.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,0,2026-01-11T20:13:34Z,220000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M42.00S,2026-01-11T20:16:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,92.59198423127464,45.09803921568628,1610612740,10,0,2026-01-11T20:17:03Z,240000,False,-25.0,17.0,1,right,MISS D. Queen driving Layup,[1642852],1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2026-01-11T20:16:49.3Z,1,REGULAR,rebound,defensive,[],1642869,,,1610612753,10,0,2026-01-11T20:16:49Z,250000,False,,,0,,N. Penda REBOUND (Off:0 Def:1),[1642869],1610612753.0,ORL,,,,Penda,N. Penda,,,,,Restricted Area,0-8 Center,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,
28,PT09M33.00S,2026-01-11T20:16:56.5Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,10,0,2026-01-11T20:48:55Z,260000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1642852]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1.0,Queen,1642852.0,,,,
29,PT09M33.00S,2026-01-11T20:16:56.5Z,1,REGULAR,steal,,[],1642852,,,1610612740,10,0,2026-01-11T20:30:46Z,270000,False,,,0,,D. Queen STEAL (1 STL),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2026-01-11T20:17:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,65.91655716162943,24.509803921568626,1610612740,10,0,2026-01-11T20:17:15Z,280000,False,-127.0,268.0,1,right,MISS T. Murphy III 29' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,29.67,Missed,,,,,,,,,,,,,,,,,,
31,PT09M15.00S,2026-01-11T20:17:14.4Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,10,0,2026-01-11T20:17:15Z,290000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT08M53.00S,2026-01-11T20:17:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641710,12.697109067017081,35.294117647058826,1610612753,12,0,2026-01-11T20:17:43Z,300000,False,74.0,67.0,1,left,A. Black 9' turnaround fadeaway Jump Shot (2 PTS),[1641710],1610612753.0,ORL,turnaround fadeaway,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Right,9.94,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M45.00S,2026-01-11T20:17:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,93.9060446780552,45.83333333333333,1610612740,12,2,2026-01-11T20:17:49Z,310000,False,-21.0,5.0,1,right,T. Murphy III driving Layup (2 PTS) (J. Fears 1 AST),"[1630530, 1642847]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,2.13,Made,2.0,J. Fears,1642847.0,1.0,,,,,,,,,,,,,,
34,PT08M24.00S,2026-01-11T20:18:05.0Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,12,2,2026-01-11T20:18:09Z,320000,False,,,0,,P. Banchero bad pass TURNOVER (2 TO),"[1631094, 1629627]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,2.0,Williamson,1629627.0,,,,
35,PT08M24.00S,2026-01-11T20:18:05.0Z,1,REGULAR,steal,,[],1629627,,,1610612740,12,2,2026-01-11T20:18:07Z,330000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2026-01-11T20:18:10.7Z,1,REGULAR,foul,personal,['2freethrow'],1642869,,,1610612740,12,2,2026-01-11T20:18:43Z,340000,False,,,0,,N. Penda shooting personal FOUL (1 PF) (Williamson 2 FT),"[1642869, 1629627]",1610612753.0,ORL,shooting,,,Penda,N. Penda,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,,,,,,,,,,1.0,0.0,Williamson,1629627.0
38,PT08M21.00S,2026-01-11T20:18:44.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629627,,,1610612740,12,2,2026-01-11T20:23:00Z,360000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT08M21.00S,2026-01-11T20:18:44.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,12,2,2026-01-11T20:23:00Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,
40,PT08M21.00S,2026-01-11T20:18:44.3Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629627,,,1610612740,12,3,2026-01-11T20:23:00Z,380000,False,,,0,,Z. Williamson Free Throw 2 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2026-01-11T20:19:14.4Z,1,REGULAR,turnover,bad pass,[],1641710,,,1610612753,12,3,2026-01-11T20:19:18Z,390000,False,,,0,,A. Black bad pass TURNOVER (1 TO),"[1641710, 1642852]",1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,Queen,1642852.0,,,,
43,PT08M06.00S,2026-01-11T20:19:14.4Z,1,REGULAR,steal,,[],1642852,,,1610612740,12,3,2026-01-11T20:19:16Z,400000,False,,,0,,D. Queen STEAL (2 STL),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2026-01-11T20:19:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642847,93.51182654402102,44.6078431372549,1610612740,12,5,2026-01-11T20:19:29Z,410000,False,-27.0,8.0,1,right,J. Fears running Layup (2 PTS) (T. Murphy III 1 AST),"[1642847, 1630530]",1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,2.83,Made,2.0,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,,
46,PT07M46.00S,2026-01-11T20:19:33.9Z,1,REGULAR,3pt,Jump Shot,[],1629048,7.046649145860711,4.166666666666666,1610612753,12,5,2026-01-11T20:19:38Z,430000,False,229.0,14.0,1,left,MISS G. Bitadze 3PT,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Right Corner 3,24+ Right,22.96,Missed,,,,,,,,,,,,,,,,,,
47,PT07M42.00S,2026-01-11T20:19:37.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,12,5,2026-01-11T20:19:38Z,440000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,
48,PT07M37.00S,2026-01-11T20:19:44.2Z,1,REGULAR,turnover,traveling,[],1642852,,,1610612740,12,5,2026-01-11T20:19:51Z,450000,False,,,0,,D. Queen traveling TURNOVER (1 TO),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202041.0,,,,,,,1.0,,,,,,
49,PT07M23.00S,2026-01-11T20:20:07.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,17.821944809461236,95.09803921568627,1610612753,12,5,2026-01-11T20:25:22Z,460000,False,-225.0,115.0,1,left,MISS D. Bane 25' pullup 3PT,[1630217],1610612753.0,ORL,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
50,PT07M21.00S,2026-01-11T20:20:10.0Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,12,5,2026-01-11T20:20:10Z,470000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,
51,PT07M20.00S,2026-01-11T20:20:11.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631094,16.770696452036795,70.58823529411765,1610612753,14,5,2026-01-11T20:20:18Z,480000,False,-103.0,105.0,1,left,P. Banchero 14' Jump Shot (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,14.71,Made,2.0,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2026-01-11T20:20:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,89.04402102496715,49.50980392156863,1610612740,14,7,2026-01-11T20:20:34Z,490000,False,-2.0,50.0,1,right,D. Queen driving floating Jump Shot (2 PTS),[1642852],1610612740.0,NOP,driving floating,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,5.06,Made,2.0,,,,,,,,,,,,,,,,,
53,PT06M42.00S,2026-01-11T20:20:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641710,18.610381077529567,50.73529411764706,1610612753,16,7,2026-01-11T20:20:52Z,500000,False,-4.0,122.0,1,left,A. Black 12' Jump Shot (4 PTS) (D. Bane 1 AST),"[1641710, 1630217]",1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,12.25,Made,4.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
55,PT06M28.00S,2026-01-11T20:21:03.0Z,1,REGULAR,turnover,bad pass,[],1642852,,,1610612740,16,7,2026-01-11T20:21:10Z,520000,False,,,0,,D. Queen bad pass TURNOVER (2 TO),"[1642852, 1641710]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,2.0,Black,1641710.0,,,,
56,PT06M28.00S,2026-01-11T20:21:03.0Z,1,REGULAR,steal,,[],1641710,,,1610612753,16,7,2026-01-11T20:24:46Z,530000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M23.00S,2026-01-11T20:21:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,6.521024967148489,50.73529411764706,1610612753,18,7,2026-01-11T20:21:41Z,540000,False,-4.0,9.0,1,left,P. Banchero running Layup (4 PTS) (A. Black 3 AST),"[1631094, 1641710]",1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.95,Made,4.0,A. Black,1641710.0,3.0,,,,,,,,,,,,,,
58,PT06M23.00S,2026-01-11T20:21:19.9Z,1,REGULAR,foul,personal,['1freethrow'],1629627,,,1610612753,18,7,2026-01-11T20:22:04Z,550000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Banchero 1 FT),"[1629627, 1631094]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,203054.0,,,,,,,,,,1.0,0.0,Banchero,1631094.0
60,PT06M23.00S,2026-01-11T20:21:37.4Z,1,REGULAR,substitution,out,[],1630217,,,1610612753,18,7,2026-01-11T20:22:03Z,570000,False,,,0,,SUB out: D. Bane,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M23.00S,2026-01-11T20:21:37.4Z,1,REGULAR,substitution,out,[],1642852,,,1610612753,18,7,2026-01-11T20:22:03Z,580000,False,,,0,,SUB out: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M23.00S,2026-01-11T20:21:37.4Z,1,REGULAR,substitution,in,[],1641783,,,1610612753,18,7,2026-01-11T20:22:03Z,590000,False,,,0,,SUB in: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2026-01-11T20:21:37.4Z,1,REGULAR,substitution,in,[],1642274,,,1610612753,18,7,2026-01-11T20:22:03Z,600000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M23.00S,2026-01-11T20:22:05.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1631094,,,1610612753,19,7,2026-01-11T20:22:05Z,610000,False,,,0,,P. Banchero Free Throw 1 of 1 (5 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2026-01-11T20:22:11.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,93.77463863337714,48.77450980392157,1610612740,19,9,2026-01-11T20:22:17Z,620000,False,-6.0,6.0,1,right,T. Murphy III driving DUNK (4 PTS) (Z. Williamson 1 AST),"[1630530, 1629627]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.86,Made,4.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,
66,PT05M53.00S,2026-01-11T20:22:24.8Z,1,REGULAR,3pt,Jump Shot,[],1641710,23.99802890932983,12.745098039215685,1610612753,19,9,2026-01-11T20:22:29Z,630000,False,186.0,173.0,1,left,MISS A. Black 25' pullup 3PT,[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
67,PT05M50.00S,2026-01-11T20:22:28.0Z,1,REGULAR,rebound,offensive,[],1642869,,,1610612753,19,9,2026-01-11T20:22:28Z,640000,False,,,0,,N. Penda REBOUND (Off:1 Def:1),[1642869],1610612753.0,ORL,,,,Penda,N. Penda,,,,,Above the Break 3,24+ Right Center,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,
68,PT05M45.00S,2026-01-11T20:22:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631094,5.732588699080158,56.61764705882353,1610612753,19,9,2026-01-11T20:28:49Z,650000,False,-33.0,1.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
69,PT05M45.00S,2026-01-11T20:22:34.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,19,9,2026-01-11T20:22:41Z,660000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,68.0,,,,,,,,,,,,
71,PT05M32.00S,2026-01-11T20:23:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,92.72339027595268,53.431372549019606,1610612740,19,9,2026-01-11T20:23:11Z,680000,False,17.0,16.0,1,right,MISS Y. Missi driving Layup,[1642274],1610612740.0,NOP,driving,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
73,PT05M29.00S,2026-01-11T20:23:08.4Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,19,9,2026-01-11T20:23:11Z,700000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,71.0,1.0,0.0,1.0,,,,,,,,,
74,PT05M26.00S,2026-01-11T20:23:11.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,65.65374507227332,55.14705882352941,1610612740,19,9,2026-01-11T20:23:17Z,710000,False,26.0,270.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,27.16,Missed,,,,,,,,,,,,,,,,,,
75,PT05M21.00S,2026-01-11T20:23:16.5Z,1,REGULAR,rebound,defensive,[],1642869,,,1610612753,19,9,2026-01-11T20:23:17Z,720000,False,,,0,,N. Penda REBOUND (Off:1 Def:2),[1642869],1610612753.0,ORL,,,,Penda,N. Penda,,,,,Above the Break 3,24+ Center,,,,,,,,74.0,3.0,2.0,1.0,,,,,,,,,
76,PT05M03.00S,2026-01-11T20:23:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642869,10.726018396846255,52.20588235294118,1610612753,19,9,2026-01-11T20:31:30Z,730000,False,-11.0,48.0,1,left,MISS N. Penda driving floating Shot,[1642869],1610612753.0,ORL,driving floating,,,Penda,N. Penda,,,,,In The Paint (Non-RA),0-8 Center,4.95,Missed,,,,,,,,,,,,,,,,,,
77,PT04M59.00S,2026-01-11T20:23:38.7Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,19,9,2026-01-11T20:23:40Z,740000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,76.0,2.0,1.0,1.0,,,,,,,,,
78,PT04M59.00S,2026-01-11T20:23:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,5.590000152587891,50.0,1610612753,21,9,2026-01-11T20:23:38Z,750000,False,0.0,0.0,1,left,G. Bitadze tip Layup (4 PTS),[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
79,PT04M47.00S,2026-01-11T20:23:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.9862023653088,45.83333333333333,1610612740,21,9,2026-01-11T20:23:55Z,760000,False,-21.0,13.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,,
80,PT04M43.00S,2026-01-11T20:23:54.0Z,1,REGULAR,rebound,offensive,[],1642847,,,1610612740,21,9,2026-01-11T20:23:54Z,770000,False,,,0,,J. Fears REBOUND (Off:1 Def:0),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,,,79.0,1.0,0.0,1.0,,,,,,,,,
81,PT04M40.00S,2026-01-11T20:23:58.3Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612740,21,9,2026-01-11T20:24:33Z,780000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Williamson 2 FT),"[1629048, 1629627]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,203054.0,,,,,,,,,,1.0,0.0,Williamson,1629627.0
83,PT04M40.00S,2026-01-11T20:24:34.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629627,,,1610612740,21,10,2026-01-11T20:24:34Z,800000,False,,,0,,Z. Williamson Free Throw 1 of 2 (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2026-01-11T20:24:35.9Z,1,REGULAR,substitution,out,[],1629048,,,1610612740,21,10,2026-01-11T20:24:54Z,810000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M40.00S,2026-01-11T20:24:35.9Z,1,REGULAR,substitution,out,[],1631121,,,1610612740,21,10,2026-01-11T20:24:54Z,820000,False,,,0,,SUB out: B. McGowens,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M40.00S,2026-01-11T20:24:35.9Z,1,REGULAR,substitution,in,[],1628371,,,1610612740,21,10,2026-01-11T20:24:54Z,830000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M40.00S,2026-01-11T20:24:35.9Z,1,REGULAR,substitution,in,[],1642877,,,1610612740,21,10,2026-01-11T20:24:54Z,840000,False,,,0,,SUB in: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
