actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
42,PT09M08.00S,2025-01-01T02:18:39.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630559,14.241130091984232,41.91176470588235,1610612747,7,12,2025-01-01T02:18:49Z,420000,False,40.0,81.0,1,left,MISS A. Reaves 9' running Layup - blocked,"[1630559, 1629636]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,9.09,Missed,,,,,,,,,,,,,,,,,Garland,1629636.0
43,PT09M08.00S,2025-01-01T02:18:39.8Z,1,REGULAR,block,,[],1629636,,,1610612747,7,12,2025-01-01T02:18:42Z,430000,False,,,0,,D. Garland BLOCK (1 BLK),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
44,PT09M08.00S,2025-01-01T02:18:39.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,7,12,2025-01-01T02:18:49Z,440000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,42.0,,,,,,,,,1.0,1.0,0.0,,,,,
45,PT09M05.00S,2025-01-01T02:18:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1631108,,,1610612739,7,12,2025-01-01T02:18:56Z,450000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1631108, 1628378]",1610612747.0,LAL,shooting,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627529.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,
47,PT09M05.00S,2025-01-01T02:19:15.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628378,,,1610612739,7,13,2025-01-01T02:19:15Z,470000,False,,,0,,D. Mitchell Free Throw 1 of 2 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
48,PT09M05.00S,2025-01-01T02:19:37.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628378,,,1610612739,7,14,2025-01-01T02:19:37Z,480000,False,,,0,,D. Mitchell Free Throw 2 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
49,PT08M50.00S,2025-01-01T02:19:56.8Z,1,REGULAR,foul,personal,[],1629731,,,1610612747,7,14,2025-01-01T02:20:06Z,490000,False,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 1629060]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,16-24 Left,,,,,202056.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,,,
51,PT08M43.00S,2025-01-01T02:20:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,9.641918528252305,52.450980392156865,1610612747,9,14,2025-01-01T02:20:22Z,510000,False,-12.0,38.0,1,left,A. Davis driving Layup (4 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.0,Made,4.0,,,,,,,,,,,,,,,,,
52,PT08M30.00S,2025-01-01T02:20:32.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,87.9599211563732,49.754901960784316,1610612739,9,16,2025-01-01T02:20:36Z,520000,False,-1.0,61.0,1,right,J. Allen 6' turnaround Hook (2 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.07,Made,2.0,,,,,,,D. Garland,1629636.0,2.0,,,,,,,,
54,PT08M19.00S,2025-01-01T02:20:42.8Z,1,REGULAR,3pt,Jump Shot,[],2544,32.24375821287779,29.411764705882348,1610612747,12,16,2025-01-01T02:21:28Z,540000,False,103.0,251.0,1,left,L. James 27' 3PT pullup (8 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Right Center,27.09,Made,8.0,,,,,,,,,,,,,,,,,
55,PT08M07.00S,2025-01-01T02:20:54.8Z,1,REGULAR,3pt,Jump Shot,[],1629731,85.46320630749014,94.6078431372549,1610612739,12,16,2025-01-01T02:20:58Z,550000,False,223.0,84.0,1,right,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,23.83,Missed,,,,,,,,,,,,,,,,,,
56,PT08M04.00S,2025-01-01T02:20:57.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,12,16,2025-01-01T02:20:58Z,560000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,,,,55.0,,,,,,,,,2.0,2.0,0.0,,,,,
57,PT08M01.00S,2025-01-01T02:21:00.8Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,12,16,2025-01-01T02:21:04Z,570000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1630596]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Mobley,1630596.0,,
58,PT08M01.00S,2025-01-01T02:21:00.8Z,1,REGULAR,steal,,[],1630596,,,1610612739,12,16,2025-01-01T02:21:03Z,580000,False,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
59,PT07M56.00S,2025-01-01T02:21:06.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628378,70.3515111695138,81.61764705882354,1610612739,12,16,2025-01-01T02:21:13Z,590000,False,158.0,226.0,1,right,MISS D. Mitchell 27' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,27.6,Missed,,,,,,,,,,,,,,,,,,
60,PT07M52.00S,2025-01-01T02:21:10.0Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612739,12,16,2025-01-01T02:21:13Z,600000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,59.0,,,,,,,,,1.0,0.0,1.0,,,,,
61,PT07M45.00S,2025-01-01T02:21:16.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,88.48554533508542,47.05882352941176,1610612739,12,18,2025-01-01T02:21:21Z,610000,False,-15.0,56.0,1,right,E. Mobley turnaround Hook (7 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,7.0,,,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,
63,PT07M23.00S,2025-01-01T02:21:38.5Z,1,REGULAR,turnover,bad pass,[],1629060,,,1610612747,12,18,2025-01-01T02:21:41Z,630000,False,,,0,,R. Hachimura bad pass TURNOVER (1 TO),"[1629060, 1629636]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1.0,Garland,1629636.0,,
64,PT07M23.00S,2025-01-01T02:21:38.5Z,1,REGULAR,steal,,[],1629636,,,1610612739,12,18,2025-01-01T02:21:40Z,640000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
65,PT07M19.00S,2025-01-01T02:21:42.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629636,67.59198423127464,50.245098039215684,1610612739,12,18,2025-01-01T02:21:48Z,650000,False,1.0,252.0,1,right,MISS D. Garland 25' running pullup 3PT,[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
66,PT07M17.00S,2025-01-01T02:21:44.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,18,2025-01-01T02:21:48Z,660000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,65.0,,,,,,,,,1.0,1.0,0.0,,,,,
67,PT07M11.00S,2025-01-01T02:21:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,9.904730617608408,49.50980392156863,1610612747,12,18,2025-01-01T03:17:28Z,670000,False,2.0,41.0,1,left,MISS R. Hachimura driving finger roll Layup,[1629060],1610612747.0,LAL,driving finger roll,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,,
68,PT07M09.00S,2025-01-01T02:21:55.5Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,12,18,2025-01-01T03:17:28Z,680000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:0),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,67.0,,,,,,,,,1.0,0.0,1.0,,,,,
69,PT07M09.00S,2025-01-01T02:21:59.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629060,5.590000152587891,50.0,1610612747,12,18,2025-01-01T03:17:40Z,690000,False,0.0,0.0,1,left,MISS R. Hachimura putback Layup - blocked,"[1629060, 1628386]",1610612747.0,LAL,putback,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,Allen,1628386.0
70,PT07M09.00S,2025-01-01T02:21:59.3Z,1,REGULAR,block,,[],1628386,,,1610612747,12,18,2025-01-01T02:22:00Z,700000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT07M07.00S,2025-01-01T02:22:01.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,12,18,2025-01-01T03:17:40Z,710000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,69.0,,,,,,,,,1.0,1.0,0.0,,,,,
72,PT07M03.00S,2025-01-01T02:22:03.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,88.87976346911958,53.67647058823529,1610612739,12,18,2025-01-01T03:18:35Z,720000,False,18.0,52.0,1,right,MISS D. Mitchell running Layup,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.52,Missed,,,,,,,,,,,,,,,,,,
73,PT06M58.00S,2025-01-01T02:22:08.2Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,12,18,2025-01-01T03:18:35Z,730000,False,,,0,,D. Wade REBOUND (Off:1 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,72.0,,,,,,,,,2.0,1.0,1.0,,,,,
74,PT06M52.00S,2025-01-01T02:22:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629731,91.11366622864652,55.14705882352941,1610612739,12,20,2025-01-01T02:22:15Z,740000,False,26.0,31.0,1,right,D. Wade driving Layup (2 PTS) (D. Mitchell 2 AST),"[1629731, 1628378]",1610612739.0,CLE,driving,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,4.03,Made,2.0,,,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,
76,PT06M52.00S,2025-01-01T02:22:15.9Z,1,REGULAR,foul,personal,['1freethrow'],203076,,,1610612739,12,20,2025-01-01T02:22:23Z,760000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Wade 1 FT),"[203076, 1629731]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,202056.0,1.0,0.0,Wade,1629731.0,,,,,,,,,,,
78,PT06M52.00S,2025-01-01T02:22:25.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,12,20,2025-01-01T02:27:36Z,780000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,out,[],1629060,,,1610612739,12,20,2025-01-01T02:27:36Z,790000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,12,20,2025-01-01T02:27:36Z,800000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,12,20,2025-01-01T02:27:36Z,810000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,in,[],1627827,,,1610612739,12,20,2025-01-01T02:27:36Z,820000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,in,[],1629622,,,1610612739,12,20,2025-01-01T02:27:36Z,830000,False,,,0,,SUB in: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M52.00S,2025-01-01T02:25:07.3Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,12,20,2025-01-01T02:27:36Z,840000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M52.00S,2025-01-01T02:25:32.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629731,,,1610612739,12,21,2025-01-01T02:25:32Z,850000,False,,,0,,D. Wade Free Throw 1 of 1 (3 PTS),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
86,PT06M40.00S,2025-01-01T02:25:48.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,6.4881734559789805,49.01960784313726,1610612747,14,21,2025-01-01T02:25:52Z,860000,False,5.0,8.0,1,left,A. Davis cutting DUNK (6 PTS) (M. Christie 1 AST),"[203076, 1631108]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.98,Made,6.0,,,,,,,M. Christie,1631108.0,1.0,,,,,,,,
88,PT06M21.00S,2025-01-01T02:26:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612739,14,21,2025-01-01T02:26:13Z,880000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Allen 2 FT),"[1627827, 1628386]",1610612747.0,LAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627529.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,
90,PT06M21.00S,2025-01-01T02:26:33.9Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,14,22,2025-01-01T02:26:33Z,900000,False,,,0,,J. Allen Free Throw 1 of 2 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
