actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
22,PT09M39.00S,2025-02-28T03:43:44.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,72.32260183968462,23.529411764705884,1610612750,9,3,2025-02-28T03:44:16Z,220000,False,-132.0,208.0,1,right,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
23,PT09M35.00S,2025-02-28T03:43:48.9Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,9,3,2025-02-28T03:43:55Z,230000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT09M30.00S,2025-02-28T03:43:54.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,27.644546649145866,78.43137254901961,1610612747,9,3,2025-02-28T03:45:11Z,240000,False,-142.0,207.0,1,left,MISS L. Dončić 25' running 3PT,[1629029],1610612747.0,LAL,running,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2025-02-28T03:43:58.2Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612747,9,3,2025-02-28T03:44:16Z,250000,False,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,
26,PT09M26.00S,2025-02-28T03:44:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612747,9,3,2025-02-28T03:44:06Z,260000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Dončić 2 FT),"[1629675, 1629029]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627961.0,1.0,0.0,Dončić,1629029.0,,,,
28,PT09M26.00S,2025-02-28T03:44:27.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629029,,,1610612747,10,3,2025-02-28T03:44:27Z,280000,False,,,0,,L. Dončić Free Throw 1 of 2 (3 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
29,PT09M26.00S,2025-02-28T03:44:43.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629029,,,1610612747,11,3,2025-02-28T03:44:43Z,290000,False,,,0,,L. Dončić Free Throw 2 of 2 (4 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2025-02-28T03:44:55.0Z,1,REGULAR,3pt,Jump Shot,[],201144,68.24901445466492,73.2843137254902,1610612750,11,6,2025-02-28T03:45:36Z,300000,False,116.0,246.0,1,right,M. Conley 27' 3PT pullup (3 PTS),[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,27.21,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M00.00S,2025-02-28T03:45:11.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,35.134691195795014,63.970588235294116,1610612747,11,6,2025-02-28T03:45:17Z,310000,False,-70.0,278.0,1,left,MISS L. Dončić 28' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,28.65,Missed,,,,,,,,,,,,,,,,,,
32,PT08M56.00S,2025-02-28T03:45:15.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,11,6,2025-02-28T03:45:17Z,320000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT08M46.00S,2025-02-28T03:45:25.6Z,1,REGULAR,3pt,Jump Shot,[],1641740,94.26741130091985,4.166666666666657,1610612750,11,6,2025-02-28T03:45:56Z,330000,False,-229.0,1.0,1,right,MISS J. Clark 3PT,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
34,PT08M44.00S,2025-02-28T03:45:27.6Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,11,6,2025-02-28T03:46:11Z,340000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,
36,PT08M39.00S,2025-02-28T03:45:48.4Z,1,REGULAR,substitution,out,[],1629637,,,1610612750,11,6,2025-02-28T03:46:00Z,360000,False,,,0,,SUB out: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2025-02-28T03:45:48.4Z,1,REGULAR,substitution,in,[],1627827,,,1610612750,11,6,2025-02-28T03:46:00Z,370000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2025-02-28T03:46:14.1Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612750,11,6,2025-02-28T03:46:22Z,380000,False,,,0,,MIN 5-second-violation Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627961.0,,,,,,,,
39,PT08M29.00S,2025-02-28T03:46:37.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629060,12.401445466491452,97.30392156862744,1610612747,11,6,2025-02-28T03:46:43Z,390000,False,-237.0,64.0,1,left,MISS R. Hachimura 24' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Left Corner 3,24+ Left,24.5,Missed,,,,,,,,,,,,,,,,,,
40,PT08M27.00S,2025-02-28T03:46:39.5Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,11,6,2025-02-28T03:47:02Z,400000,False,,,0,,L. James REBOUND (Off:1 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Left Corner 3,24+ Left,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,
41,PT08M25.00S,2025-02-28T03:46:44.3Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,11,6,2025-02-28T03:47:05Z,410000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 201144]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,,,,,,,Conley,201144.0,,
42,PT08M25.00S,2025-02-28T03:46:44.3Z,1,REGULAR,steal,,[],201144,,,1610612750,11,6,2025-02-28T03:46:46Z,420000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2025-02-28T03:46:54.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630162,85.85742444152432,83.57843137254902,1610612750,11,8,2025-02-28T03:46:59Z,430000,False,168.0,80.0,1,right,A. Edwards 18' step back Jump Shot (2 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right,18.62,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
45,PT08M03.00S,2025-02-28T03:47:03.2Z,1,REGULAR,3pt,Jump Shot,[],2544,36.0545335085414,61.51960784313725,1610612747,14,8,2025-02-28T03:47:38Z,450000,False,-58.0,286.0,1,left,L. James 29' 3PT bank (5 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,bank,,,James,L. James,,,,,Above the Break 3,24+ Center,29.21,Made,5.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
47,PT07M48.00S,2025-02-28T03:47:18.5Z,1,REGULAR,3pt,Jump Shot,[],1629675,68.11760840998686,31.127450980392155,1610612750,14,8,2025-02-28T03:47:23Z,470000,False,-94.0,247.0,1,right,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,26.46,Missed,,,,,,,,,,,,,,,,,,
48,PT07M44.00S,2025-02-28T03:47:22.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,14,8,2025-02-28T03:47:23Z,480000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,
49,PT07M37.00S,2025-02-28T03:47:29.2Z,1,REGULAR,3pt,Jump Shot,[],2544,26.856110381077528,19.117647058823522,1610612747,14,8,2025-02-28T03:47:34Z,490000,False,154.0,200.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,,
50,PT07M34.00S,2025-02-28T03:47:32.9Z,1,REGULAR,rebound,offensive,[],1630559,,,1610612747,14,8,2025-02-28T03:47:32Z,500000,False,,,0,,A. Reaves REBOUND (Off:1 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,
51,PT07M24.00S,2025-02-28T03:47:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,8.590670170827863,50.245098039215684,1610612747,16,8,2025-02-28T03:47:48Z,510000,False,-1.0,28.0,1,left,L. Dončić driving Layup (6 PTS),[1629029],1610612747.0,LAL,driving,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,2.83,Made,6.0,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2025-02-28T03:49:45.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641740,90.32522996057818,54.16666666666667,1610612750,16,8,2025-02-28T03:50:02Z,540000,False,21.0,38.0,1,right,MISS J. Clark driving finger roll Layup,[1641740],1610612750.0,MIN,driving finger roll,,,Clark,J. Clark,,,,,Restricted Area,0-8 Center,4.37,Missed,,,,,,,,,,,,,,,,,,
55,PT06M57.00S,2025-02-28T03:49:47.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,16,8,2025-02-28T03:49:53Z,550000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,
56,PT06M47.00S,2025-02-28T03:50:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,20.154402102496718,36.51960784313726,1610612747,18,8,2025-02-28T03:50:26Z,560000,False,67.0,137.0,1,left,L. Dončić 15' pullup Jump Shot (8 PTS),[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,15.27,Made,8.0,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2025-02-28T03:50:08.6Z,1,REGULAR,foul,personal,['1freethrow'],1641740,,,1610612747,18,8,2025-02-28T03:53:11Z,570000,False,,,0,,J. Clark shooting personal FOUL (1 PF) (Dončić 1 FT),"[1641740, 1629029]",1610612750.0,MIN,shooting,,,Clark,J. Clark,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,201638.0,1.0,0.0,Dončić,1629029.0,,,,
59,PT06M47.00S,2025-02-28T03:50:16.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,18,8,2025-02-28T03:50:26Z,590000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M47.00S,2025-02-28T03:52:59.2Z,1,REGULAR,substitution,out,[],201144,,,1610612747,18,8,2025-02-28T03:53:10Z,600000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2025-02-28T03:52:59.2Z,1,REGULAR,substitution,out,[],1641740,,,1610612747,18,8,2025-02-28T03:53:10Z,610000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2025-02-28T03:52:59.2Z,1,REGULAR,substitution,in,[],1628978,,,1610612747,18,8,2025-02-28T03:53:10Z,620000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2025-02-28T03:52:59.2Z,1,REGULAR,substitution,in,[],1629638,,,1610612747,18,8,2025-02-28T03:53:10Z,630000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M47.00S,2025-02-28T03:53:24.8Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612747,19,8,2025-02-28T03:53:24Z,640000,False,,,0,,L. Dončić Free Throw 1 of 1 (9 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2025-02-28T03:53:40.7Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612750,19,8,2025-02-28T03:53:55Z,650000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 2544]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,,,,,,,,James,2544.0,,
66,PT06M31.00S,2025-02-28T03:53:40.7Z,1,REGULAR,steal,,[],2544,,,1610612747,19,8,2025-02-28T03:53:42Z,660000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2025-02-28T03:53:52.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,25.804862023653087,90.68627450980392,1610612747,19,8,2025-02-28T03:53:58Z,670000,False,-203.0,190.0,1,left,MISS L. Dončić 27' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,27.84,Missed,,,,,,,,,,,,,,,,,,
68,PT06M13.00S,2025-02-28T03:53:56.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,19,8,2025-02-28T03:53:58Z,680000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,
69,PT06M02.00S,2025-02-28T03:54:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,87.9599211563732,39.4607843137255,1610612750,19,10,2025-02-28T03:54:28Z,690000,False,-53.0,61.0,1,right,N. Alexander-Walker 8' driving floating Jump Shot (2 PTS) (D. DiVincenzo 1 AST),"[1629638, 1628978]",1610612750.0,MIN,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,8.04,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
71,PT05M48.00S,2025-02-28T03:54:22.0Z,1,REGULAR,3pt,Jump Shot,[],2544,26.19908015768725,86.02941176470588,1610612747,22,10,2025-02-28T03:54:28Z,710000,False,-180.0,194.0,1,left,L. James 26' 3PT  (8 PTS) (L. Dončić 3 AST),"[2544, 1629029]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,26.46,Made,8.0,L. Dončić,1629029.0,3.0,,,,,,,,,,,,,,
73,PT05M37.00S,2025-02-28T03:54:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,68.64323258869908,29.166666666666657,1610612750,22,10,2025-02-28T03:55:04Z,730000,False,-104.0,242.0,1,right,MISS D. DiVincenzo 26' pullup 3PT,[1628978],1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,26.38,Missed,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2025-02-28T03:54:35.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,22,10,2025-02-28T03:54:41Z,740000,False,,,0,,L. Dončić REBOUND (Off:0 Def:3),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,,,73.0,3.0,3.0,0.0,,,,,,,,,
76,PT05M34.00S,2025-02-28T03:54:42.5Z,1,REGULAR,substitution,out,[],2544,,,1610612747,22,10,2025-02-28T03:54:49Z,760000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2025-02-28T03:54:42.5Z,1,REGULAR,substitution,out,[],1629675,,,1610612747,22,10,2025-02-28T03:54:49Z,770000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M34.00S,2025-02-28T03:54:42.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612747,22,10,2025-02-28T03:54:49Z,780000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2025-02-28T03:54:42.5Z,1,REGULAR,substitution,in,[],1630545,,,1610612747,22,10,2025-02-28T03:54:49Z,790000,False,,,0,,SUB in: T. Shannon Jr.,[1630545],1610612750.0,MIN,,,,Shannon Jr.,T. Shannon Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2025-02-28T03:55:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629060,29.878449408672807,23.529411764705884,1610612747,22,10,2025-02-28T03:55:16Z,800000,False,132.0,228.0,1,left,MISS R. Hachimura 26' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
81,PT05M22.00S,2025-02-28T03:55:14.6Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612747,22,10,2025-02-28T03:55:14Z,810000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,,
82,PT05M16.00S,2025-02-28T03:55:19.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,25.410643889618925,87.25490196078431,1610612747,22,10,2025-02-28T03:55:27Z,820000,False,-186.0,186.0,1,left,MISS D. Finney-Smith 26' 3PT,[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
83,PT05M12.00S,2025-02-28T03:55:23.8Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612747,22,10,2025-02-28T03:55:27Z,830000,False,,,0,,L. Dončić REBOUND (Off:1 Def:3),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,
84,PT05M11.00S,2025-02-28T03:55:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,9.247700394218143,49.50980392156863,1610612747,24,10,2025-02-28T03:55:57Z,840000,False,2.0,34.0,1,left,L. Dončić driving finger roll Layup (11 PTS),[1629029],1610612747.0,LAL,driving finger roll,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,3.45,Made,11.0,,,,,,,,,,,,,,,,,
