actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
48,PT06M41.00S,2024-12-09T02:46:56.5Z,1,REGULAR,3pt,Jump Shot,[],1629028,32.90078843626807,53.18627450980392,1610612757,10,12,2024-12-09T02:47:01Z,480000,False,-16.0,257.0,1,left,MISS D. Ayton 25' 3PT,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,25.73,Missed,,,,,,,,,,,,,,,,,,
49,PT06M38.00S,2024-12-09T02:46:59.5Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,10,12,2024-12-09T02:47:01Z,490000,False,,,0,,M. Christie REBOUND (Off:0 Def:2),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
51,PT06M25.00S,2024-12-09T02:47:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612747,10,12,2024-12-09T02:47:22Z,510000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Davis 2 FT),"[1629028, 203076]",1610612757.0,POR,shooting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628171.0,,,,1.0,0.0,Davis,203076.0
53,PT06M25.00S,2024-12-09T02:47:26.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,10,12,2024-12-09T02:47:26Z,530000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,out,[],1642261,,,1610612747,10,12,2024-12-09T02:50:14Z,540000,False,,,0,,SUB out: D. Knecht,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,out,[],1629216,,,1610612747,10,12,2024-12-09T02:50:14Z,550000,False,,,0,,SUB out: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,out,[],1631101,,,1610612747,10,12,2024-12-09T02:50:14Z,560000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,in,[],1626156,,,1610612747,10,12,2024-12-09T02:50:14Z,570000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,in,[],1629629,,,1610612747,10,12,2024-12-09T02:50:14Z,580000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M25.00S,2024-12-09T02:49:53.3Z,1,REGULAR,substitution,in,[],1630703,,,1610612747,10,12,2024-12-09T02:50:14Z,590000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M25.00S,2024-12-09T02:50:34.7Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,11,12,2024-12-09T02:50:34Z,600000,False,,,0,,A. Davis Free Throw 1 of 2 (9 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,,,,9.0,,,,,,,,
61,PT06M25.00S,2024-12-09T02:50:56.8Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,12,12,2024-12-09T02:50:56Z,610000,False,,,0,,A. Davis Free Throw 2 of 2 (10 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,,,,10.0,,,,,,,,
62,PT06M04.00S,2024-12-09T02:51:24.2Z,1,REGULAR,3pt,Jump Shot,[],203924,29.48423127463863,27.205882352941174,1610612757,12,12,2024-12-09T02:51:30Z,620000,False,114.0,225.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,,
63,PT06M00.00S,2024-12-09T02:51:28.2Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,12,12,2024-12-09T02:51:30Z,630000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT05M56.00S,2024-12-09T02:51:31.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203924,30.929697766097235,76.7156862745098,1610612757,12,12,2024-12-09T02:51:37Z,640000,False,-134.0,238.0,1,left,MISS J. Grant 27' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,27.31,Missed,,,,,,,,,,,,,,,,,,
65,PT05M51.00S,2024-12-09T02:51:36.6Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,12,12,2024-12-09T02:51:37Z,650000,False,,,0,,D. Ayton REBOUND (Off:2 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,64.0,4.0,2.0,2.0,,,,,,,,,,,,,,
66,PT05M50.00S,2024-12-09T02:51:38.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629028,6.356767411300922,72.79411764705883,1610612757,12,14,2024-12-09T02:51:43Z,660000,False,-114.0,7.0,1,left,D. Ayton 11' Jump Shot (6 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,11.42,Made,,,,,,,,,,6.0,,,,,,,,
67,PT05M26.00S,2024-12-09T02:52:00.9Z,1,REGULAR,2pt,Jump Shot,[],203076,82.83508541392904,30.882352941176478,1610612747,12,14,2024-12-09T02:52:06Z,670000,False,-96.0,109.0,1,right,MISS A. Davis 14' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,14.49,Missed,,,,,,,,,,,,,,,,,,
68,PT05M22.00S,2024-12-09T02:52:04.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,12,14,2024-12-09T02:52:06Z,680000,False,,,0,,T. Camara REBOUND (Off:1 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Left,,,67.0,2.0,1.0,1.0,,,,,,,,,,,,,,
69,PT05M19.00S,2024-12-09T02:52:10.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630703,8.327858081471746,59.80392156862745,1610612757,12,14,2024-12-09T02:52:26Z,690000,False,-49.0,26.0,1,left,MISS S. Henderson running Layup,[1630703],1610612757.0,POR,running,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,
70,PT05M18.00S,2024-12-09T02:52:11.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,12,14,2024-12-09T02:52:26Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,69.0,,,,,,,,,,,,,,,,,
72,PT05M04.00S,2024-12-09T02:52:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,86.25164257555848,43.38235294117647,1610612747,12,14,2024-12-09T02:52:40Z,720000,False,-33.0,77.0,1,right,MISS D. Russell 8' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,8.35,Missed,,,,,,,,,,,,,,,,,,
73,PT05M02.00S,2024-12-09T02:52:36.9Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,12,14,2024-12-09T02:52:36Z,730000,False,,,0,,A. Davis REBOUND (Off:2 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,72.0,4.0,2.0,2.0,,,,,,,,,,,,,,
74,PT04M59.00S,2024-12-09T02:52:39.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203076,80.99540078843627,56.127450980392155,1610612747,12,14,2024-12-09T02:52:43Z,740000,False,31.0,126.0,1,right,MISS A. Davis 12' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,12.98,Missed,,,,,,,,,,,,,,,,,,
75,PT04M59.00S,2024-12-09T02:52:39.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,12,14,2024-12-09T02:52:43Z,750000,False,,,0,,D. Ayton REBOUND (Off:2 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,74.0,5.0,3.0,2.0,,,,,,,,,,,,,,
76,PT04M49.00S,2024-12-09T02:52:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,9.773324572930349,53.67647058823529,1610612757,12,14,2024-12-09T02:52:54Z,760000,False,-18.0,39.0,1,left,MISS A. Simons driving Layup - blocked,"[1629014, 203076]",1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,Davis,203076.0,,,,,,,,,,,,
77,PT04M49.00S,2024-12-09T02:52:49.0Z,1,REGULAR,block,,[],203076,,,1610612757,12,14,2024-12-09T02:52:51Z,770000,False,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT04M47.00S,2024-12-09T02:52:51.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,14,2024-12-09T02:52:54Z,780000,False,,,0,,A. Davis REBOUND (Off:2 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,76.0,5.0,3.0,2.0,,,,,,,,,,,,,,
