actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
41,PT08M49.00S,2025-01-04T03:46:05.2Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,8,11,2025-01-04T03:46:05Z,410000,False,,,0,,A. Davis Free Throw 2 of 2 (4 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
42,PT08M33.00S,2025-01-04T03:46:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.539421813403408,48.529411764705884,1610612737,8,11,2025-01-04T03:46:25Z,420000,False,7.0,18.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,1.98,Missed,,,,,,,,,,,,,,,,
43,PT08M32.00S,2025-01-04T03:46:22.9Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,8,11,2025-01-04T03:46:25Z,430000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,
44,PT08M28.00S,2025-01-04T03:46:28.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,91.37647831800263,48.0392156862745,1610612747,10,11,2025-01-04T03:46:36Z,440000,False,-10.0,29.0,1,right,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,3.02,Made,,,,,2.0,,,,,,,,,,,
45,PT08M16.00S,2025-01-04T03:46:39.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,6.833114323258869,63.06295955882353,1610612737,10,11,2025-01-04T03:46:45Z,450000,False,-65.0,12.0,1,left,MISS C. Capela 6' Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,6.63,Missed,,,,,,,,,,,,,,,,
46,PT08M13.00S,2025-01-04T03:46:42.3Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,10,11,2025-01-04T03:46:45Z,460000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT07M55.00S,2025-01-04T03:47:01.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,93.47897503285151,49.01960784313726,1610612747,12,11,2025-01-04T03:47:07Z,470000,False,-5.0,9.0,1,right,R. Hachimura DUNK (4 PTS) (A. Davis 1 AST),"[1629060, 203076]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,1.01,Made,,,,,4.0,,,A. Davis,203076.0,1.0,,,,,,
49,PT07M40.00S,2025-01-04T03:47:14.9Z,1,REGULAR,2pt,Jump Shot,[],1630552,21.94480946123521,46.46522671568627,1610612737,12,13,2025-01-04T03:47:20Z,490000,False,18.0,154.0,1,left,J. Johnson 15' pullup Jump Shot (4 PTS),[1630552],1610612737.0,ATL,pullup,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Center,,,15.48,Made,,,,,4.0,,,,,,,,,,,
50,PT07M31.00S,2025-01-04T03:47:24.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.08475689881735,50.98039215686275,1610612747,14,13,2025-01-04T03:47:27Z,500000,False,5.0,13.0,1,right,A. Davis DUNK (6 PTS) (L. James 3 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,1.34,Made,,,,,6.0,,,L. James,2544.0,3.0,,,,,,
52,PT07M18.00S,2025-01-04T03:47:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,10.036136662286467,48.28431372549019,1610612737,14,13,2025-01-04T03:47:44Z,520000,False,9.0,42.0,1,left,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,4.27,Missed,,,,,,,,,,,,,,,,
53,PT07M14.00S,2025-01-04T03:47:41.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,14,13,2025-01-04T03:47:44Z,530000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,52.0,3.0,2.0,1.0,,,,,,,,,,,,
54,PT07M12.00S,2025-01-04T03:47:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,92.69053876478318,47.79411764705882,1610612747,14,13,2025-01-04T03:47:48Z,540000,False,-11.0,16.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,1.96,Missed,,,,,,,,,,,,,,,,
55,PT07M10.00S,2025-01-04T03:47:45.2Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,14,13,2025-01-04T03:47:48Z,550000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,
56,PT07M06.00S,2025-01-04T03:47:48.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629027,19.23455978975032,61.029411764705884,1610612737,14,13,2025-01-04T03:47:59Z,560000,False,-55.0,128.0,1,left,MISS T. Young 13' running pullup Shot,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,13.96,Missed,,,,,,,,,,,,,,,,
57,PT07M03.00S,2025-01-04T03:47:51.6Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,14,13,2025-01-04T03:47:59Z,570000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,
58,PT06M57.00S,2025-01-04T03:47:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.95335085413929,50.0,1610612747,16,13,2025-01-04T03:48:08Z,580000,False,0.0,14.0,1,right,L. James reverse Layup (4 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,reverse,,,James,L. James,,,,,Restricted Area,0-8 Center,,,1.37,Made,,,,,4.0,,,A. Reaves,1630559.0,1.0,,,,,,
60,PT06M36.00S,2025-01-04T03:48:19.0Z,1,REGULAR,3pt,Jump Shot,[],1630552,31.45532194480947,71.32352941176471,1610612737,16,13,2025-01-04T03:48:56Z,600000,False,-107.0,243.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,26.55,Missed,,,,,,,,,,,,,,,,
61,PT06M32.00S,2025-01-04T03:48:23.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,16,13,2025-01-04T03:48:23Z,610000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,
62,PT06M26.00S,2025-01-04T03:48:35.9Z,1,REGULAR,violation,kicked ball,[],1629027,,,1610612747,16,13,2025-01-04T03:49:01Z,620000,False,,,0,,T. Young kicked ball VIOLATION,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,202027.0,,,,,,,,,,,,,,,,,,,
63,PT06M26.00S,2025-01-04T03:48:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,16,13,2025-01-04T03:48:42Z,630000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,out,[],2544,,,1610612747,16,13,2025-01-04T03:51:24Z,640000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,out,[],1630552,,,1610612747,16,13,2025-01-04T03:51:24Z,650000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,out,[],203991,,,1610612747,16,13,2025-01-04T03:51:24Z,660000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,out,[],1629027,,,1610612747,16,13,2025-01-04T03:51:24Z,670000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,in,[],1627827,,,1610612747,16,13,2025-01-04T03:51:24Z,680000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,in,[],1629631,,,1610612747,16,13,2025-01-04T03:51:24Z,690000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,in,[],203992,,,1610612747,16,13,2025-01-04T03:51:24Z,700000,False,,,0,,SUB in: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M26.00S,2025-01-04T03:51:00.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612747,16,13,2025-01-04T03:51:24Z,710000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2025-01-04T03:51:40.1Z,1,REGULAR,turnover,bad pass,[],1629060,,,1610612747,16,13,2025-01-04T03:51:44Z,720000,False,,,0,,R. Hachimura bad pass TURNOVER (1 TO),"[1629060, 203992]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,Bogdanović,203992.0,,,,,,,,,
73,PT06M24.00S,2025-01-04T03:51:40.1Z,1,REGULAR,steal,,[],203992,,,1610612737,16,13,2025-01-04T03:51:42Z,730000,False,,,0,,B. Bogdanović STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
74,PT06M13.00S,2025-01-04T03:51:51.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630700,18.05190538764782,52.450980392156865,1610612737,16,13,2025-01-04T03:51:54Z,740000,False,-12.0,117.0,1,left,MISS D. Daniels 11' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,11.78,Missed,,,,,,,,,,,,,,,,
75,PT06M10.00S,2025-01-04T03:51:54.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,16,13,2025-01-04T03:56:52Z,750000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,
76,PT05M53.00S,2025-01-04T03:52:10.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,93.34756898817345,65.68627450980392,1610612747,16,13,2025-01-04T03:52:18Z,760000,False,78.0,10.0,1,right,MISS A. Davis 7' Hook,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,7.9,Missed,,,,,,,,,,,,,,,,
77,PT05M51.00S,2025-01-04T03:52:12.9Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,16,13,2025-01-04T03:52:18Z,770000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,76.0,4.0,3.0,1.0,,,,,,,,,,,,
78,PT05M51.00S,2025-01-04T03:52:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629060,94.40999984741211,50.0,1610612747,16,13,2025-01-04T03:52:17Z,780000,False,0.0,0.0,1,right,MISS R. Hachimura tip Layup,[1629060],1610612747.0,LAL,tip,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
79,PT05M51.00S,2025-01-04T03:52:17.7Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,16,13,2025-01-04T03:52:17Z,790000,False,,,0,,R. Hachimura REBOUND (Off:2 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,78.0,5.0,3.0,2.0,,,,,,,,,,,,
80,PT05M51.00S,2025-01-04T03:52:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629060,92.69053876478318,53.431372549019606,1610612747,18,13,2025-01-04T03:52:30Z,800000,False,17.0,16.0,1,right,R. Hachimura putback Layup (6 PTS),[1629060],1610612747.0,LAL,putback,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,2.36,Made,,,,,6.0,,,,,,,,,,,
81,PT05M51.00S,2025-01-04T03:52:28.6Z,1,REGULAR,foul,personal,['1freethrow'],1642258,,,1610612747,18,13,2025-01-04T03:52:34Z,810000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Hachimura 1 FT),"[1642258, 1629060]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2530.0,,,,,,,,,,,,,,1.0,0.0,Hachimura,1629060.0,,
83,PT05M51.00S,2025-01-04T03:52:46.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629060,,,1610612747,18,13,2025-01-04T03:52:49Z,830000,False,,,0,,MISS R. Hachimura Free Throw 1 of 1,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
