actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
17,PT11M00.00S,2022-01-02T00:12:50.0Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,2,3,2022-01-02T00:13:08Z,170000,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,
18,PT10M58.00S,2022-01-02T00:12:52.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,3,2022-01-02T00:13:08Z,180000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M43.00S,2022-01-02T00:13:21.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,6.258212877792378,48.03921568627451,1610612764,4,3,2022-01-02T00:13:25Z,190000,10.0,6.0,1,left,D. Gafford DUNK (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,1.17,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,,
21,PT10M31.00S,2022-01-02T00:13:33.0Z,1,REGULAR,3pt,Jump Shot,[],203897,66.44218134034165,23.284313725490197,1610612741,4,6,2022-01-02T00:13:38Z,210000,-134.0,263.0,1,right,Z. LaVine 29' 3PT step back (3 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,,,29.49,Made,,,,,3.0,,,,,,,,,,,,
22,PT10M14.00S,2022-01-02T00:13:50.1Z,1,REGULAR,2pt,Jump Shot,[],1628398,20.71287779237845,53.431372549019606,1610612764,4,6,2022-01-02T00:14:24Z,220000,-17.0,142.0,1,left,MISS K. Kuzma 14' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,,,14.32,Missed,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2022-01-02T00:13:53.1Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,4,6,2022-01-02T00:13:57Z,230000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M59.00S,2022-01-02T00:14:08.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,4,6,2022-01-02T00:14:08Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M50.00S,2022-01-02T00:14:28.8Z,1,REGULAR,2pt,Jump Shot,[],201942,91.40932982917214,31.61764705882353,1610612741,4,6,2022-01-02T00:14:34Z,250000,-92.0,28.0,1,right,MISS D. DeRozan 9' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,,,9.62,Missed,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2022-01-02T00:14:32.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,6,2022-01-02T00:18:42Z,260000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M40.00S,2022-01-02T00:14:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,6.521024967148489,47.794117647058826,1610612764,6,6,2022-01-02T00:14:46Z,270000,11.0,9.0,1,left,D. Gafford Layup (4 PTS) (K. Caldwell-Pope 1 AST),"[1629655, 203484]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,1.41,Made,,,,,4.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,
29,PT09M40.00S,2022-01-02T00:14:42.6Z,1,REGULAR,foul,personal,['1freethrow'],1627884,,,1610612764,6,6,2022-01-02T00:14:50Z,290000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Gafford 1 FT),"[1627884, 1629655]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,1363.0,,,,,,,,,,,,1.0,0.0,Gafford,1629655.0,,,,,
31,PT09M40.00S,2022-01-02T00:15:06.3Z,1,REGULAR,freethrow,1 of 1,[],1629655,,,1610612764,7,6,2022-01-02T00:15:06Z,310000,,,0,,D. Gafford Free Throw 1 of 1 (5 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
32,PT09M30.00S,2022-01-02T00:15:19.8Z,1,REGULAR,turnover,traveling,[],202696,,,1610612741,7,6,2022-01-02T00:15:25Z,320000,,,0,,N. Vucevic traveling TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,2005.0,1.0,,,,,,,,,,,,,,,,,,,
33,PT09M20.00S,2022-01-02T00:15:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203078,6.389618922470433,45.09803921568628,1610612764,9,6,2022-01-02T00:15:47Z,330000,25.0,8.0,1,left,B. Beal driving Layup (4 PTS),[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,,,2.57,Made,,,,,4.0,,,,,,,,,,,,
34,PT09M02.00S,2022-01-02T00:16:00.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.33311432325887,19.607843137254903,1610612741,9,9,2022-01-02T00:16:04Z,340000,-152.0,236.0,1,right,C. White 28' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,,,28.05,Made,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,
36,PT08M51.00S,2022-01-02T00:16:10.7Z,1,REGULAR,2pt,Jump Shot,[],1630557,17.16491458607096,25.98039215686275,1610612764,9,9,2022-01-02T00:16:16Z,360000,120.0,109.0,1,left,MISS C. Kispert 16' pullup Shot,[1630557],1610612764.0,WAS,pullup,,,Kispert,C. Kispert,,,,,,,16.21,Missed,,,,,,,,,,,,,,,,,
37,PT08M47.00S,2022-01-02T00:16:14.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,9,9,2022-01-02T00:16:16Z,370000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT08M41.00S,2022-01-02T00:16:24.7Z,1,REGULAR,foul,personal,[],1629655,,,1610612741,9,9,2022-01-02T00:16:39Z,380000,,,0,,D. Gafford personal FOUL (2 PF),"[1629655, 201942]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,1363.0,,,,,,,,,,,,2.0,0.0,DeRozan,201942.0,,,,,
40,PT08M41.00S,2022-01-02T00:16:40.2Z,1,REGULAR,substitution,out,[],1629655,,,1610612741,9,9,2022-01-02T00:16:43Z,400000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M41.00S,2022-01-02T00:16:40.2Z,1,REGULAR,substitution,in,[],1630264,,,1610612741,9,9,2022-01-02T00:16:43Z,410000,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M33.00S,2022-01-02T00:17:09.3Z,1,REGULAR,2pt,Jump Shot,[],203897,78.79434954007884,23.774509803921568,1610612741,9,11,2022-01-02T00:17:15Z,420000,-131.0,147.0,1,right,Z. LaVine 19' step back Jump Shot (5 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,,,19.68,Made,,,,,5.0,,,,,,,,,,,,
43,PT08M24.00S,2022-01-02T00:17:20.0Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612764,9,11,2022-01-02T00:17:27Z,430000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Kispert 2 FT),"[201942, 1630557]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,1363.0,,,,,,,,,,,,1.0,0.0,Kispert,1630557.0,,,,,
45,PT08M24.00S,2022-01-02T00:17:46.8Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,10,11,2022-01-02T00:17:46Z,450000,,,0,,C. Kispert Free Throw 1 of 2 (1 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
46,PT08M24.00S,2022-01-02T00:18:00.2Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,11,11,2022-01-02T00:18:00Z,460000,,,0,,C. Kispert Free Throw 2 of 2 (2 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
47,PT08M14.00S,2022-01-02T00:18:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,84.57621550591328,46.568627450980394,1610612741,11,11,2022-01-02T00:18:16Z,470000,-17.0,92.0,1,right,MISS D. DeRozan 9' floating Shot,[201942],1610612741.0,CHI,floating,,,DeRozan,D. DeRozan,,,,,,,9.41,Missed,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2022-01-02T00:18:15.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,11,11,2022-01-02T00:18:16Z,480000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT08M05.00S,2022-01-02T00:18:21.1Z,1,REGULAR,3pt,Jump Shot,[],1630264,29.911300919842315,25.98039215686275,1610612764,14,11,2022-01-02T00:18:25Z,490000,120.0,229.0,1,left,A. Gill 25' 3PT  (3 PTS) (B. Beal 2 AST),"[1630264, 203078]",1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,25.83,Made,,,,,3.0,B. Beal,203078.0,2.0,,,,,,,,,
51,PT07M42.00S,2022-01-02T00:18:43.8Z,1,REGULAR,3pt,Jump Shot,[],203897,73.01248357424441,7.352941176470589,1610612741,14,11,2022-01-02T00:18:48Z,510000,-213.0,201.0,1,right,MISS Z. LaVine 29' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,29.31,Missed,,,,,,,,,,,,,,,,,
52,PT07M40.00S,2022-01-02T00:18:45.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,14,11,2022-01-02T00:18:48Z,520000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,
53,PT07M29.00S,2022-01-02T00:18:56.2Z,1,REGULAR,2pt,Layup,[],1630264,11.777266754270697,31.61764705882353,1610612764,14,11,2022-01-02T00:19:02Z,530000,92.0,58.0,1,left,MISS A. Gill 10' driving Layup - blocked,"[1630264, 1627884]",1610612764.0,WAS,driving,,,Gill,A. Gill,,,,,,,10.88,Missed,,,,,,,,,,,,,Jones Jr.,1627884.0,,,
54,PT07M29.00S,2022-01-02T00:18:56.2Z,1,REGULAR,block,,[],1627884,,,1610612764,14,11,2022-01-02T00:18:58Z,540000,,,0,,D. Jones Jr. BLOCK (1 BLK),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M27.00S,2022-01-02T00:18:58.2Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,14,11,2022-01-02T00:19:02Z,550000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:2),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
56,PT07M25.00S,2022-01-02T00:19:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,65.78515111695138,41.42156862745098,1610612741,14,11,2022-01-02T00:19:05Z,560000,-43.0,269.0,1,right,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,27.25,Missed,,,,,,,,,,,,,,,,,
57,PT07M23.00S,2022-01-02T00:19:02.7Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,14,11,2022-01-02T00:19:05Z,570000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,
58,PT07M17.00S,2022-01-02T00:19:11.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,8.360709592641262,56.372549019607845,1610612764,16,11,2022-01-02T00:20:32Z,580000,-32.0,26.0,1,left,K. Kuzma driving bank Jump Shot (2 PTS),[1628398],1610612764.0,WAS,driving bank,,,Kuzma,K. Kuzma,,,,,,,4.12,Made,,,,,2.0,,,,,,,,,,,,
59,PT07M17.00S,2022-01-02T00:19:14.5Z,1,REGULAR,foul,personal,['1freethrow'],1627884,,,1610612764,16,11,2022-01-02T00:19:22Z,590000,,,0,,D. Jones Jr. shooting personal FOUL (2 PF) (Kuzma 1 FT),"[1627884, 1628398]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,1626301.0,,,,,,,,,,,,2.0,0.0,Kuzma,1628398.0,,,,,
61,PT07M17.00S,2022-01-02T00:19:36.0Z,1,REGULAR,substitution,out,[],1627884,,,1610612764,16,11,2022-01-02T00:20:25Z,610000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M17.00S,2022-01-02T00:19:36.0Z,1,REGULAR,substitution,in,[],1628972,,,1610612764,16,11,2022-01-02T00:20:25Z,620000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M17.00S,2022-01-02T00:20:04.6Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,17,11,2022-01-02T00:20:04Z,630000,,,0,,K. Kuzma Free Throw 1 of 1 (3 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
64,PT07M00.00S,2022-01-02T00:20:22.7Z,1,REGULAR,2pt,Jump Shot,[],203897,79.45137976346912,36.029411764705884,1610612741,17,11,2022-01-02T00:20:31Z,640000,-70.0,141.0,1,right,MISS Z. LaVine 15' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,,,15.71,Missed,,,,,,,,,,,,,,,,,
65,PT06M57.00S,2022-01-02T00:20:25.7Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,17,11,2022-01-02T00:20:31Z,650000,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,
66,PT06M48.00S,2022-01-02T00:20:33.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630264,12.171484888304862,47.549019607843135,1610612764,17,11,2022-01-02T00:20:38Z,660000,12.0,62.0,1,left,MISS A. Gill 6' turnaround Hook,[1630264],1610612764.0,WAS,turnaround,,,Gill,A. Gill,,,,,,,6.31,Missed,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2022-01-02T00:20:35.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,17,11,2022-01-02T00:20:35Z,670000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT06M38.00S,2022-01-02T00:20:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,85.23324572930355,64.70588235294117,1610612741,17,13,2022-01-02T00:20:48Z,680000,74.0,86.0,1,right,D. DeRozan 11' turnaround Jump Shot (2 PTS),[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,,,11.34,Made,,,,,2.0,,,,,,,,,,,,
69,PT06M24.00S,2022-01-02T00:21:01.7Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,17,13,2022-01-02T00:21:11Z,690000,,,0,,K. Kuzma lost ball out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,lost ball,,,Kuzma,K. Kuzma,,,,,1363.0,1.0,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2022-01-02T00:21:04.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,17,13,2022-01-02T00:21:04Z,700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2022-01-02T00:21:08.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,17,13,2022-01-02T00:21:08Z,710000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2022-01-02T00:22:31.9Z,1,REGULAR,substitution,out,[],203484,,,1610612741,17,13,2022-01-02T00:23:47Z,720000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2022-01-02T00:22:31.9Z,1,REGULAR,substitution,out,[],203078,,,1610612741,17,13,2022-01-02T00:23:47Z,730000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2022-01-02T00:22:31.9Z,1,REGULAR,substitution,in,[],1630166,,,1610612741,17,13,2022-01-02T00:23:47Z,740000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2022-01-02T00:22:31.9Z,1,REGULAR,substitution,in,[],1629682,,,1610612741,17,13,2022-01-02T00:23:47Z,750000,,,0,,SUB in: T. Waters,[1629682],1610612764.0,WAS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2022-01-02T00:24:23.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,95.74572930354796,97.05882352941177,1610612741,17,16,2022-01-02T00:24:27Z,760000,235.0,-13.0,1,right,Z. LaVine 3PT  (8 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,23.56,Made,,,,,8.0,D. DeRozan,201942.0,1.0,,,,,,,,,
78,PT05M53.00S,2022-01-02T00:24:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,7.966491458607096,54.65686274509803,1610612764,19,16,2022-01-02T00:24:45Z,780000,-23.0,22.0,1,left,K. Kuzma floating Jump Shot (5 PTS) (A. Gill 1 AST),"[1628398, 1630264]",1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,,,3.23,Made,,,,,5.0,A. Gill,1630264.0,1.0,,,,,,,,,
80,PT05M32.00S,2022-01-02T00:25:02.0Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.46452036793693,22.058823529411764,1610612741,19,16,2022-01-02T00:25:05Z,800000,-140.0,235.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,27.3,Missed,,,,,,,,,,,,,,,,,
81,PT05M30.00S,2022-01-02T00:25:03.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,19,16,2022-01-02T00:25:03Z,810000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,
82,PT05M22.00S,2022-01-02T00:25:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630166,33.590670170827856,56.61764705882353,1610612764,19,16,2022-01-02T00:25:25Z,820000,-33.0,263.0,1,left,MISS D. Avdija 26' pullup 3PT,[1630166],1610612764.0,WAS,pullup,,,Avdija,D. Avdija,,,,,,,26.54,Missed,,,,,,,,,,,,,,,,,
83,PT05M20.00S,2022-01-02T00:25:13.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,19,16,2022-01-02T00:25:17Z,830000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
84,PT05M10.00S,2022-01-02T00:25:24.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,91.80354796320631,58.82352941176471,1610612741,19,16,2022-01-02T00:25:28Z,840000,44.0,25.0,1,right,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,5.04,Missed,,,,,,,,,,,,,,,,,
85,PT05M10.00S,2022-01-02T00:25:24.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,19,16,2022-01-02T00:25:28Z,850000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,,,,,,
86,PT05M02.00S,2022-01-02T00:25:32.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,10.988830486202366,38.970588235294116,1610612764,19,16,2022-01-02T00:25:37Z,860000,55.0,51.0,1,left,MISS K. Kuzma 7' bank Hook,[1628398],1610612764.0,WAS,bank,,,Kuzma,K. Kuzma,,,,,,,7.49,Missed,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2022-01-02T00:25:35.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,19,16,2022-01-02T00:25:37Z,870000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,,,
88,PT04M47.00S,2022-01-02T00:25:47.2Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,19,16,2022-01-02T00:25:51Z,880000,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1629682]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,1.0,,,,,,,,,,,,,,,,,Waters,1629682.0,
