actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
27,PT09M15.00S,2021-11-16T00:13:23.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.23981603153744,80.14705882352942,1610612740,5,4,2021-11-16T00:13:28Z,270000,151.0,133.0,1,right,MISS B. Ingram 20' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,20.11,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M12.00S,2021-11-16T00:13:26.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,4,2021-11-16T00:13:28Z,280000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,
29,PT09M06.00S,2021-11-16T00:13:33.2Z,1,REGULAR,2pt,Jump Shot,[],1629655,22.946780551905388,64.2156862745098,1610612764,5,4,2021-11-16T00:13:39Z,290000,-71.0,163.0,1,left,MISS D. Gafford 17' Jump Shot,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,17.8,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M02.00S,2021-11-16T00:13:37.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,4,2021-11-16T00:13:39Z,300000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT08M49.00S,2021-11-16T00:13:49.0Z,1,REGULAR,3pt,Jump Shot,[],1627742,73.01248357424441,84.55882352941177,1610612740,5,7,2021-11-16T00:13:52Z,310000,173.0,201.0,1,right,B. Ingram 26' 3PT  (5 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,26.52,Made,5.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
33,PT08M29.00S,2021-11-16T00:14:10.3Z,1,REGULAR,3pt,Jump Shot,[],203484,4.28712220762155,4.411764705882353,1610612764,5,7,2021-11-16T00:14:15Z,330000,228.0,-12.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M25.00S,2021-11-16T00:14:14.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,7,2021-11-16T00:14:15Z,340000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,
35,PT08M17.00S,2021-11-16T00:14:21.6Z,1,REGULAR,3pt,Jump Shot,[],1628404,72.88107752956637,18.38235294117647,1610612740,5,7,2021-11-16T00:14:27Z,350000,-158.0,202.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M12.00S,2021-11-16T00:14:26.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,5,7,2021-11-16T00:14:27Z,360000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,
37,PT08M03.00S,2021-11-16T00:14:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,7.835085413929041,39.46078431372549,1610612764,7,7,2021-11-16T00:14:40Z,370000,53.0,21.0,1,left,S. Dinwiddie driving bank Jump Shot (2 PTS),[203915],1610612764.0,WAS,driving bank,,,Dinwiddie,S. Dinwiddie,,,,,5.68,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT07M46.00S,2021-11-16T00:14:54.3Z,1,REGULAR,foul,personal,[],1629655,,,1610612740,7,7,2021-11-16T00:15:07Z,380000,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 202685]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,202901.0,,1.0,0.0,Valanciunas,202685.0,,,,,
40,PT07M41.00S,2021-11-16T00:15:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,67.88764783180025,30.637254901960787,1610612740,7,10,2021-11-16T00:15:22Z,400000,-97.0,249.0,1,right,D. Graham 26' 3PT  (3 PTS) (J. Valanciunas 2 AST),"[1628984, 202685]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,26.75,Made,3.0,J. Valanciunas,202685.0,2.0,,,,,,,,,,,,,,,
42,PT07M21.00S,2021-11-16T00:15:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628988,8.754927726675426,47.549019607843135,1610612764,9,10,2021-11-16T00:15:42Z,420000,12.0,30.0,1,left,A. Holiday driving floating Jump Shot (2 PTS),[1628988],1610612764.0,WAS,driving floating,,,Holiday,A. Holiday,,,,,3.22,Made,2.0,,,,,,,,,,,,,,,,,,
43,PT07M11.00S,2021-11-16T00:15:48.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.59198423127464,80.63725490196079,1610612740,9,12,2021-11-16T00:15:52Z,430000,153.0,17.0,1,right,B. Ingram 15' pullup Jump Shot (7 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,15.42,Made,7.0,,,,,,,,,,,,,,,,,,
44,PT06M59.00S,2021-11-16T00:15:59.5Z,1,REGULAR,2pt,Jump Shot,[],1628988,21.23850197109067,59.80392156862745,1610612764,11,12,2021-11-16T00:16:03Z,440000,-49.0,147.0,1,left,A. Holiday 15' pullup Jump Shot (4 PTS) (K. Caldwell-Pope 1 AST),"[1628988, 203484]",1610612764.0,WAS,pullup,,,Holiday,A. Holiday,,,,,15.5,Made,4.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,,
46,PT06M47.00S,2021-11-16T00:16:12.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,86.5473061760841,30.392156862745097,1610612740,11,14,2021-11-16T00:17:24Z,460000,-98.0,74.0,1,right,B. Ingram 12' fadeaway Jump Shot (9 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,12.28,Made,9.0,,,,,,,,,,,,,,,,,,
47,PT06M36.00S,2021-11-16T00:16:23.0Z,1,REGULAR,2pt,Jump Shot,[],203484,21.76412614980289,37.5,1610612764,13,14,2021-11-16T00:16:31Z,470000,62.0,152.0,1,left,K. Caldwell-Pope 16' pullup Jump Shot (5 PTS) (D. Gafford 1 AST),"[203484, 1629655]",1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,16.44,Made,5.0,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,,
49,PT06M20.00S,2021-11-16T00:16:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,91.80354796320631,41.17647058823529,1610612740,13,14,2021-11-16T00:16:50Z,490000,-44.0,25.0,1,right,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,5.04,Missed,,,,,,,,,,,,,,,,,,,
50,PT06M18.00S,2021-11-16T00:16:41.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,13,14,2021-11-16T00:16:50Z,500000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,,,
51,PT06M18.00S,2021-11-16T00:16:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,13,16,2021-11-16T00:16:44Z,510000,0.0,0.0,1,right,J. Valanciunas tip Layup (2 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
52,PT06M18.00S,2021-11-16T00:16:53.1Z,1,REGULAR,stoppage,other,[],0,,,1610612764,13,16,2021-11-16T00:16:53Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M02.00S,2021-11-16T00:17:11.2Z,1,REGULAR,3pt,Jump Shot,[],203915,22.026938239159,8.333333333333332,1610612764,13,16,2021-11-16T00:17:15Z,530000,208.0,155.0,1,left,MISS S. Dinwiddie 25' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M00.00S,2021-11-16T00:17:13.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,13,16,2021-11-16T00:17:15Z,540000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,
55,PT05M59.00S,2021-11-16T00:17:18.8Z,1,REGULAR,turnover,backcourt,[],1628984,,,1610612740,13,16,2021-11-16T00:17:31Z,550000,,,0,,D. Graham backcourt TURNOVER (1 TO),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,202901.0,1.0,,,,,,,,,
56,PT05M59.00S,2021-11-16T00:17:25.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,13,16,2021-11-16T00:17:25Z,560000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,out,[],203484,,,1610612764,13,16,2021-11-16T00:20:00Z,570000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,out,[],203915,,,1610612764,13,16,2021-11-16T00:20:00Z,580000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,13,16,2021-11-16T00:20:00Z,590000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,out,[],1629638,,,1610612764,13,16,2021-11-16T00:20:00Z,600000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,13,16,2021-11-16T00:20:00Z,610000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,in,[],203526,,,1610612764,13,16,2021-11-16T00:20:00Z,620000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,in,[],1626149,,,1610612764,13,16,2021-11-16T00:20:00Z,630000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M59.00S,2021-11-16T00:17:26.2Z,1,REGULAR,substitution,in,[],1630529,,,1610612764,13,16,2021-11-16T00:20:00Z,640000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M40.00S,2021-11-16T00:20:40.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,13,16,2021-11-16T00:20:40Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M34.00S,2021-11-16T00:20:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626149,9.543363994743759,62.745098039215684,1610612764,13,16,2021-11-16T00:23:34Z,690000,-64.0,37.0,1,left,MISS M. Harrell 7' alley-oop Layup,[1626149],1610612764.0,WAS,alley-oop,,,Harrell,M. Harrell,,,,,7.38,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M32.00S,2021-11-16T00:20:55.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,13,16,2021-11-16T00:20:58Z,700000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,,
71,PT05M20.00S,2021-11-16T00:21:08.3Z,1,REGULAR,3pt,Jump Shot,[],1628984,78.40013140604468,92.15686274509804,1610612740,13,16,2021-11-16T00:21:12Z,710000,211.0,151.0,1,right,MISS D. Graham 25' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2021-11-16T00:21:11.3Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612764,13,16,2021-11-16T00:21:12Z,720000,,,0,,A. Holiday REBOUND (Off:1 Def:1),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,,,,,
73,PT05M03.00S,2021-11-16T00:21:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,13.61695137976347,40.44117647058824,1610612764,13,16,2021-11-16T00:21:30Z,730000,48.0,75.0,1,left,MISS K. Kuzma 8' driving bank Shot,[1628398],1610612764.0,WAS,driving bank,,,Kuzma,K. Kuzma,,,,,8.94,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M00.00S,2021-11-16T00:21:28.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,13,16,2021-11-16T00:21:30Z,740000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,73.0,5.0,4.0,1.0,,,,,,,,,,,
75,PT04M50.00S,2021-11-16T00:21:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,82.86793692509855,50.49019607843137,1610612740,13,16,2021-11-16T00:21:42Z,750000,2.0,109.0,1,right,MISS J. Valanciunas 10' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,10.85,Missed,,,,,,,,,,,,,,,,,,,
76,PT04M47.00S,2021-11-16T00:21:41.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,13,16,2021-11-16T00:21:42Z,760000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,75.0,3.0,3.0,0.0,,,,,,,,,,,
77,PT04M25.00S,2021-11-16T00:22:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,11.251642575558476,51.225490196078425,1610612764,15,16,2021-11-16T00:22:07Z,770000,-6.0,53.0,1,left,R. Neto driving floating Jump Shot (2 PTS) (M. Harrell 1 AST),"[203526, 1626149]",1610612764.0,WAS,driving floating,,,Neto,R. Neto,,,,,5.36,Made,2.0,M. Harrell,1626149.0,1.0,,,,,,,,,,,,,,,
79,PT04M04.00S,2021-11-16T00:22:23.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,70.51576872536137,17.892156862745097,1610612740,15,16,2021-11-16T00:24:32Z,790000,-161.0,225.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M01.00S,2021-11-16T00:22:26.6Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612764,15,16,2021-11-16T00:22:31Z,800000,,,0,,A. Holiday REBOUND (Off:1 Def:2),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,
81,PT03M59.00S,2021-11-16T00:22:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630166,7.703679369250986,47.05882352941176,1610612764,17,16,2021-11-16T00:22:36Z,810000,15.0,20.0,1,left,D. Avdija running Layup (2 PTS) (A. Holiday 1 AST),"[1630166, 1628988]",1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,2.47,Made,2.0,A. Holiday,1628988.0,1.0,,,,,,,,,,,,,,,
83,PT03M45.00S,2021-11-16T00:22:43.9Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612740,17,16,2021-11-16T00:22:54Z,830000,,,0,,D. Avdija shooting personal FOUL (1 PF) (Ingram 2 FT),"[1630166, 1627742]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,,,,,,,,,,,202026.0,,1.0,0.0,Ingram,1627742.0,,,,,
85,PT03M45.00S,2021-11-16T00:23:16.8Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,17,16,2021-11-16T00:23:16Z,850000,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Missed,,,,,,,,,,,,,,,,,,,
86,PT03M45.00S,2021-11-16T00:23:16.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,17,16,2021-11-16T00:23:16Z,860000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,
87,PT03M45.00S,2021-11-16T00:23:17.4Z,1,REGULAR,substitution,out,[],1628404,,,1610612740,17,16,2021-11-16T00:23:25Z,870000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M45.00S,2021-11-16T00:23:17.4Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,17,16,2021-11-16T00:23:25Z,880000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M45.00S,2021-11-16T00:23:17.4Z,1,REGULAR,substitution,in,[],1629638,,,1610612740,17,16,2021-11-16T00:23:25Z,890000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
