actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
30,PT09M22.00S,2022-03-30T23:14:49.1Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,4,6,2022-03-30T23:14:52Z,300000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,
31,PT09M18.00S,2022-03-30T23:14:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630181,7.670827858081481,56.372549019607845,1610612753,4,8,2022-03-30T23:15:00Z,310000,-32.0,20.0,1,left,R. Hampton running Layup (2 PTS),[1630181],1610612753.0,ORL,running,,,Hampton,R. Hampton,,,,,3.74,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2022-03-30T23:14:59.3Z,1,REGULAR,turnover,lost ball,[],1629060,,,1610612764,4,8,2022-03-30T23:15:03Z,320000,,,0,,R. Hachimura lost ball TURNOVER (1 TO),"[1629060, 1630175]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,1.0,Anthony,1630175.0
33,PT09M12.00S,2022-03-30T23:14:59.3Z,1,REGULAR,steal,,[],1630175,,,1610612753,4,8,2022-03-30T23:15:01Z,330000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M50.00S,2022-03-30T23:15:21.3Z,1,REGULAR,2pt,Layup,['fromturnover'],1630532,9.904730617608408,31.617647058823522,1610612753,4,8,2022-03-30T23:15:29Z,340000,92.0,41.0,1,left,MISS F. Wagner 10' driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,10.05,Missed,,,,,,,,,,,,,,,,,,
35,PT08M47.00S,2022-03-30T23:15:24.3Z,1,REGULAR,rebound,defensive,[],203107,,,1610612764,4,8,2022-03-30T23:15:29Z,350000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,
36,PT08M46.00S,2022-03-30T23:15:27.9Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612764,4,8,2022-03-30T23:15:41Z,360000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1630175, 1629060]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,,,,,,,2005.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,
38,PT08M46.00S,2022-03-30T23:16:06.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629060,,,1610612764,5,8,2022-03-30T23:16:06Z,380000,,,0,,R. Hachimura Free Throw 1 of 2 (3 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
39,PT08M46.00S,2022-03-30T23:16:25.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629060,,,1610612764,6,8,2022-03-30T23:16:25Z,390000,,,0,,R. Hachimura Free Throw 2 of 2 (4 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M26.00S,2022-03-30T23:16:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,10.430354796320628,56.61764705882353,1610612753,6,8,2022-03-31T00:04:24Z,400000,-33.0,46.0,1,left,MISS C. Anthony finger roll Layup,[1630175],1610612753.0,ORL,finger roll,,,Anthony,C. Anthony,,,,,5.63,Missed,,,,,,,,,,,,,,,,,,
41,PT08M24.00S,2022-03-30T23:16:49.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,6,8,2022-03-30T23:16:52Z,410000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,
42,PT08M18.00S,2022-03-30T23:16:55.8Z,1,REGULAR,3pt,Jump Shot,[],203484,94.79303547963207,2.6960784313725554,1610612764,9,8,2022-03-30T23:17:03Z,420000,-237.0,-4.0,1,right,K. Caldwell-Pope 3PT  (3 PTS) (T. Satoransky 2 AST),"[203484, 203107]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.65,Made,3.0,T. Satoransky,203107.0,2.0,,,,,,,,,,,,,,
44,PT08M05.00S,2022-03-30T23:17:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630181,9.247700394218143,95.83333333333333,1610612753,9,11,2022-03-30T23:17:13Z,440000,-229.0,34.0,1,left,R. Hampton 3PT pullup (5 PTS),[1630181],1610612753.0,ORL,pullup,,,Hampton,R. Hampton,,,,,23.18,Made,5.0,,,,,,,,,,,,,,,,,
45,PT07M57.00S,2022-03-30T23:17:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,91.24507227332458,62.00980392156863,1610612764,11,11,2022-03-30T23:17:28Z,450000,60.0,30.0,1,right,R. Hachimura 6' driving Layup (6 PTS) (T. Satoransky 3 AST),"[1629060, 203107]",1610612764.0,WAS,driving,,,Hachimura,R. Hachimura,,,,,6.7,Made,6.0,T. Satoransky,203107.0,3.0,,,,,,,,,,,,,,
46,PT07M44.00S,2022-03-30T23:17:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,30.14126149802891,75.98039215686275,1610612753,11,14,2022-03-30T23:17:36Z,460000,-130.0,231.0,1,left,F. Wagner 26' 3PT pullup (5 PTS) (M. Bamba 1 AST),"[1630532, 1628964]",1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,26.48,Made,5.0,M. Bamba,1628964.0,1.0,,,,,,,,,,,,,,
47,PT07M29.00S,2022-03-30T23:17:45.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630557,92.82194480946123,48.529411764705884,1610612764,13,14,2022-03-30T23:17:55Z,470000,-7.0,15.0,1,right,C. Kispert driving DUNK (2 PTS) (T. Satoransky 4 AST),"[1630557, 203107]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,1.67,Made,2.0,T. Satoransky,203107.0,4.0,,,,,,,,,,,,,,
48,PT07M11.00S,2022-03-30T23:18:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628964,25.279237844940866,85.7843137254902,1610612753,13,17,2022-03-30T23:18:07Z,480000,-179.0,185.0,1,left,M. Bamba 25' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.74,Made,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
50,PT07M10.00S,2022-03-30T23:18:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,13,17,2022-03-30T23:18:09Z,500000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M58.00S,2022-03-30T23:21:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,93.2161629434954,51.22549019607843,1610612764,15,17,2022-03-30T23:21:23Z,510000,6.0,11.0,1,right,K. Caldwell-Pope alley-oop Layup (5 PTS) (R. Hachimura 1 AST),"[203484, 1629060]",1610612764.0,WAS,alley-oop,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1.28,Made,5.0,R. Hachimura,1629060.0,1.0,,,,,,,,,,,,,,
56,PT06M52.00S,2022-03-30T23:21:25.2Z,1,REGULAR,foul,personal,[],203484,,,1610612753,15,17,2022-03-30T23:21:32Z,530000,,,0,,K. Caldwell-Pope personal FOUL (2 PF),"[203484, 1630532]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,1199.0,2.0,0.0,Wagner,1630532.0,,,,,,,,,
58,PT06M52.00S,2022-03-30T23:21:31.5Z,1,REGULAR,substitution,out,[],1630557,,,1610612753,15,17,2022-03-30T23:21:35Z,550000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2022-03-30T23:21:31.5Z,1,REGULAR,substitution,in,[],1630166,,,1610612753,15,17,2022-03-30T23:21:35Z,560000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-03-30T23:21:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,27.77595269382391,82.59803921568627,1610612753,15,17,2022-03-30T23:22:03Z,570000,-163.0,209.0,1,left,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2022-03-30T23:22:00.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,15,17,2022-03-30T23:22:03Z,580000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,
62,PT06M35.00S,2022-03-30T23:22:07.7Z,1,REGULAR,3pt,Jump Shot,[],204001,68.77463863337714,25.24509803921569,1610612764,15,17,2022-03-30T23:22:12Z,590000,-124.0,241.0,1,right,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,27.09,Missed,,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2022-03-30T23:22:11.7Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,15,17,2022-03-30T23:22:12Z,600000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,
64,PT06M23.00S,2022-03-30T23:22:19.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,7.670827858081481,37.254901960784316,1610612753,15,17,2022-03-30T23:22:25Z,610000,64.0,20.0,1,left,MISS F. Wagner 6' driving Hook,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,6.66,Missed,,,,,,,,,,,,,,,,,,
65,PT06M18.00S,2022-03-30T23:22:23.9Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,15,17,2022-03-30T23:22:23Z,620000,,,0,,C. Okeke REBOUND (Off:1 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,
66,PT06M18.00S,2022-03-30T23:22:24.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629643,8.853482260183966,44.607843137254896,1610612753,15,17,2022-03-30T23:22:35Z,630000,27.0,31.0,1,left,MISS C. Okeke putback Layup,[1629643],1610612753.0,ORL,putback,,,Okeke,C. Okeke,,,,,4.09,Missed,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2022-03-30T23:22:26.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,15,17,2022-03-30T23:25:38Z,640000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,
68,PT06M15.00S,2022-03-30T23:22:28.1Z,1,REGULAR,2pt,Jump Shot,[],204001,86.38304862023654,69.36274509803921,1610612764,17,17,2022-03-30T23:22:58Z,650000,97.0,75.0,1,right,K. Porzingis 12' turnaround Jump Shot (4 PTS) (D. Avdija 1 AST),"[204001, 1630166]",1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,12.28,Made,4.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
70,PT06M15.00S,2022-03-30T23:22:35.2Z,1,REGULAR,foul,personal,['1freethrow'],1629643,,,1610612764,17,17,2022-03-30T23:22:46Z,670000,,,0,,C. Okeke shooting personal FOUL (1 PF) (Porzingis 1 FT),"[1629643, 204001]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,,,,,,,1199.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,
72,PT06M15.00S,2022-03-30T23:22:54.6Z,1,REGULAR,freethrow,1 of 1,[],204001,,,1610612764,18,17,2022-03-30T23:22:54Z,690000,,,0,,K. Porzingis Free Throw 1 of 1 (5 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
73,PT06M07.00S,2022-03-30T23:23:04.8Z,1,REGULAR,3pt,Jump Shot,[],1630181,24.885019710906704,12.009803921568633,1610612753,18,17,2022-03-30T23:23:18Z,700000,190.0,181.0,1,left,MISS R. Hampton 26' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,
74,PT06M03.00S,2022-03-30T23:23:08.9Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,18,17,2022-03-30T23:23:09Z,710000,,,0,,C. Anthony REBOUND (Off:1 Def:0),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,
75,PT05M56.00S,2022-03-30T23:23:16.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630532,15.818002628120894,3.1862745098039227,1610612753,18,20,2022-03-30T23:23:20Z,720000,234.0,96.0,1,left,F. Wagner 25' 3PT  (8 PTS) (R. Hampton 1 AST),"[1630532, 1630181]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,25.31,Made,8.0,R. Hampton,1630181.0,1.0,,,,,,,,,,,,,,
77,PT05M35.00S,2022-03-30T23:23:37.5Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612764,18,20,2022-03-30T23:23:46Z,740000,,,0,,K. Porzingis lost ball TURNOVER (1 TO),"[204001, 1630181]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,1.0,Hampton,1630181.0
78,PT05M35.00S,2022-03-30T23:23:37.5Z,1,REGULAR,steal,,[],1630181,,,1610612753,18,20,2022-03-30T23:25:19Z,750000,,,0,,R. Hampton STEAL (1 STL),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M24.00S,2022-03-30T23:23:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,12.66425755584757,49.01960784313726,1610612753,18,20,2022-03-30T23:23:59Z,770000,5.0,67.0,1,left,MISS F. Wagner 6' Layup,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,6.67,Missed,,,,,,,,,,,,,,,,,,
81,PT05M20.00S,2022-03-30T23:23:51.6Z,1,REGULAR,rebound,defensive,[],203107,,,1610612764,18,20,2022-03-30T23:23:51Z,780000,,,0,,T. Satoransky REBOUND (Off:0 Def:2),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,
82,PT05M17.00S,2022-03-30T23:23:54.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,70.22010512483574,20.833333333333343,1610612764,18,20,2022-03-30T23:24:02Z,790000,-146.0,227.0,1,right,MISS K. Caldwell-Pope 27' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2022-03-30T23:23:58.6Z,1,REGULAR,rebound,offensive,[],203107,,,1610612764,18,20,2022-03-30T23:23:58Z,800000,,,0,,T. Satoransky REBOUND (Off:1 Def:2),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,82.0,3.0,2.0,1.0,,,,,
84,PT05M12.00S,2022-03-30T23:24:00.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630166,66.14651773981603,46.32352941176471,1610612764,21,20,2022-03-30T23:24:06Z,810000,-18.0,266.0,1,right,D. Avdija 26' 3PT  (3 PTS) (T. Satoransky 5 AST),"[1630166, 203107]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,26.63,Made,3.0,T. Satoransky,203107.0,5.0,,,,,,,,,,,,,,
86,PT04M52.00S,2022-03-30T23:24:19.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,27.38173455978975,15.196078431372555,1610612753,21,20,2022-03-30T23:24:26Z,830000,174.0,205.0,1,left,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2022-03-30T23:24:21.9Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,21,20,2022-03-30T23:24:26Z,840000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,
88,PT04M42.00S,2022-03-30T23:24:30.5Z,1,REGULAR,3pt,Jump Shot,[],204001,66.80354796320631,51.71568627450981,1610612764,21,20,2022-03-30T23:24:37Z,850000,9.0,260.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
89,PT04M38.00S,2022-03-30T23:24:34.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,21,20,2022-03-30T23:24:37Z,860000,,,0,,C. Anthony REBOUND (Off:1 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,
90,PT04M33.00S,2022-03-30T23:24:39.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630175,21.994086727989497,67.15686274509804,1610612753,21,22,2022-03-30T23:24:53Z,870000,-86.0,154.0,1,left,C. Anthony 17' step back Jump Shot (6 PTS),[1630175],1610612753.0,ORL,step back,,,Anthony,C. Anthony,,,,,17.65,Made,6.0,,,,,,,,,,,,,,,,,
91,PT04M16.00S,2022-03-30T23:24:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612764,21,22,2022-03-30T23:25:11Z,880000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1630532, 204001]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,2882.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,
