actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
31,PT09M30.00S,2022-01-16T00:14:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203915,92.19776609724047,59.55882352941176,1610612764,4,6,2022-01-16T00:16:08Z,310000,48.0,21.0,1,right,MISS S. Dinwiddie cutting Layup,[203915],1610612764.0,WAS,cutting,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,Missed,,,,,,5.21,,,,,,,,,
32,PT09M27.00S,2022-01-16T00:14:49.3Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,4,6,2022-01-16T00:15:23Z,320000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,
33,PT09M27.00S,2022-01-16T00:14:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629655,92.19776609724047,47.794117647058826,1610612764,4,6,2022-01-16T00:14:53Z,330000,-11.0,21.0,1,right,MISS D. Gafford Layup,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,Missed,,,,,,2.35,,,,,,,,,
34,PT09M25.00S,2022-01-16T00:14:51.0Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,4,6,2022-01-16T00:14:51Z,340000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M18.00S,2022-01-16T00:14:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,9.806176084099869,57.59803921568627,1610612757,4,6,2022-01-16T00:15:03Z,350000,-38.0,40.0,1,left,MISS J. Nurkic turnaround bank Shot,[203994],1610612757.0,POR,turnaround bank,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,5.5,,,,,,,,,
36,PT09M15.00S,2022-01-16T00:15:01.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,6,2022-01-16T00:15:03Z,360000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,
37,PT09M11.00S,2022-01-16T00:15:05.4Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,4,6,2022-01-16T00:15:09Z,370000,,,0,,K. Kuzma lost ball TURNOVER (1 TO),"[1628398, 203496]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,1.0,Covington,203496.0,,,
38,PT09M11.00S,2022-01-16T00:15:05.4Z,1,REGULAR,steal,,[],203496,,,1610612757,4,6,2022-01-16T00:15:07Z,380000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2022-01-16T00:15:10.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629014,23.866622864651774,89.2156862745098,1610612757,4,9,2022-01-16T00:15:15Z,390000,-196.0,172.0,1,left,A. Simons 26' 3PT  (5 PTS) (B. McLemore 1 AST),"[1629014, 203463]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Made,,,,,5.0,26.07,B. McLemore,203463.0,1.0,,,,,,
41,PT08M45.00S,2022-01-16T00:15:31.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,90.09526938239159,51.9607843137255,1610612764,4,9,2022-01-16T00:15:36Z,410000,10.0,41.0,1,right,MISS D. Gafford turnaround Hook,[1629655],1610612764.0,WAS,turnaround,,,Gafford,D. Gafford,,,,,,,,,,Missed,,,,,,4.18,,,,,,,,,
43,PT08M41.00S,2022-01-16T00:15:35.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,4,9,2022-01-16T00:15:36Z,430000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
44,PT08M40.00S,2022-01-16T00:15:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612757,4,9,2022-01-16T00:15:44Z,440000,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Little 2 FT),"[1628398, 1629642]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,1146.0,1.0,0.0,Little,1629642.0,,,,,,,,,,,,,,,,
46,PT08M40.00S,2022-01-16T00:16:03.9Z,1,REGULAR,freethrow,1 of 2,[],1629642,,,1610612757,4,10,2022-01-16T00:16:27Z,460000,,,0,,N. Little Free Throw 1 of 2 (3 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
47,PT08M40.00S,2022-01-16T00:16:03.9Z,1,REGULAR,freethrow,2 of 2,[],1629642,,,1610612757,4,10,2022-01-16T00:16:27Z,470000,,,0,,MISS N. Little Free Throw 2 of 2,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,Missed,,,,,,,,,,,,,,,
48,PT08M39.00S,2022-01-16T00:16:04.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,4,10,2022-01-16T00:16:27Z,480000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,
49,PT08M39.00S,2022-01-16T00:16:24.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,4,10,2022-01-16T00:16:24Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M17.00S,2022-01-16T00:16:47.9Z,1,REGULAR,3pt,Jump Shot,[],1630557,94.82588699080158,96.81372549019608,1610612764,7,10,2022-01-16T00:16:52Z,500000,234.0,-4.0,1,right,C. Kispert 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1630557, 203915]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,Made,,,,,3.0,23.41,S. Dinwiddie,203915.0,1.0,,,,,,
52,PT08M02.00S,2022-01-16T00:17:04.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612757,7,10,2022-01-16T00:17:09Z,520000,,,0,,D. Gafford shooting personal FOUL (2 PF) (Nurkic 2 FT),"[1629655, 203994]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,202901.0,2.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
54,PT08M02.00S,2022-01-16T00:17:36.7Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,7,11,2022-01-16T00:17:36Z,540000,,,0,,J. Nurkic Free Throw 1 of 2 (3 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
55,PT08M02.00S,2022-01-16T00:17:37.5Z,1,REGULAR,substitution,out,[],1629655,,,1610612757,7,11,2022-01-16T00:17:42Z,550000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2022-01-16T00:17:37.5Z,1,REGULAR,substitution,in,[],1626149,,,1610612757,7,11,2022-01-16T00:17:42Z,560000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M02.00S,2022-01-16T00:17:56.5Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,7,12,2022-01-16T00:17:56Z,570000,,,0,,J. Nurkic Free Throw 2 of 2 (4 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
58,PT07M48.00S,2022-01-16T00:18:11.6Z,1,REGULAR,3pt,Jump Shot,[],203484,82.21090670170827,95.58823529411765,1610612764,7,12,2022-01-16T00:18:15Z,580000,228.0,115.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Missed,,,,,,25.51,,,,,,,,,
59,PT07M45.00S,2022-01-16T00:18:14.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,7,12,2022-01-16T00:18:15Z,590000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,58.0,4.0,2.0,2.0,,,,,,,,,,,
60,PT07M40.00S,2022-01-16T00:18:19.3Z,1,REGULAR,3pt,Jump Shot,[],203463,20.18725361366623,94.6078431372549,1610612757,7,12,2022-01-16T00:18:24Z,600000,-223.0,137.0,1,left,MISS B. McLemore 26' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,Missed,,,,,,26.19,,,,,,,,,
61,PT07M38.00S,2022-01-16T00:18:21.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,7,12,2022-01-16T00:18:25Z,610000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,
62,PT07M33.00S,2022-01-16T00:18:28.3Z,1,REGULAR,foul,personal,['2freethrow'],203463,,,1610612764,7,12,2022-01-16T00:18:36Z,620000,,,0,,B. McLemore shooting personal FOUL (2 PF) (Kispert 2 FT),"[203463, 1630557]",1610612757.0,POR,shooting,,,McLemore,B. McLemore,,,,,202901.0,2.0,0.0,Kispert,1630557.0,,,,,,,,,,,,,,,,
64,PT07M33.00S,2022-01-16T00:18:54.7Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,8,12,2022-01-16T00:18:54Z,640000,,,0,,C. Kispert Free Throw 1 of 2 (4 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
65,PT07M33.00S,2022-01-16T00:18:55.5Z,1,REGULAR,substitution,out,[],203463,,,1610612764,8,12,2022-01-16T00:19:05Z,650000,,,0,,SUB out: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M33.00S,2022-01-16T00:18:55.5Z,1,REGULAR,substitution,in,[],1629604,,,1610612764,8,12,2022-01-16T00:19:05Z,660000,,,0,,SUB in: C. Elleby,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M33.00S,2022-01-16T00:19:18.0Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,9,12,2022-01-16T00:19:18Z,670000,,,0,,C. Kispert Free Throw 2 of 2 (5 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,Made,,,,,5.0,,,,,,,,,,
68,PT07M14.00S,2022-01-16T00:19:38.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,12.828515111695138,55.63725490196079,1610612757,9,12,2022-01-16T00:19:44Z,680000,-28.0,68.0,1,left,MISS J. Nurkic 7' turnaround Hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,7.37,,,,,,,,,
69,PT07M11.00S,2022-01-16T00:19:41.9Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,9,12,2022-01-16T00:19:44Z,690000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
70,PT07M04.00S,2022-01-16T00:19:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,83.78777923784494,58.57843137254902,1610612764,9,12,2022-01-16T00:19:54Z,700000,43.0,100.0,1,right,MISS S. Dinwiddie 10' Layup - blocked,"[203915, 1629642]",1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,Missed,,,,,,10.87,,,,,,,Little,1629642.0,
71,PT07M04.00S,2022-01-16T00:19:48.9Z,1,REGULAR,block,,[],1629642,,,1610612764,9,12,2022-01-16T00:19:51Z,710000,,,0,,N. Little BLOCK (1 BLK),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M01.00S,2022-01-16T00:19:51.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,9,12,2022-01-16T00:19:54Z,720000,,,0,,J. Nurkic REBOUND (Off:2 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,70.0,5.0,3.0,2.0,,,,,,,,,,,
73,PT06M59.00S,2022-01-16T00:19:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,22.946780551905388,91.17647058823529,1610612757,9,12,2022-01-16T00:19:59Z,730000,-206.0,163.0,1,left,MISS A. Simons 26' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,26.27,,,,,,,,,
74,PT06M56.00S,2022-01-16T00:19:57.3Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,9,12,2022-01-16T00:19:59Z,740000,,,0,,C. Kispert REBOUND (Off:0 Def:2),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,
75,PT06M44.00S,2022-01-16T00:20:09.0Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612764,9,12,2022-01-16T00:20:13Z,750000,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1629014]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,1.0,Simons,1629014.0,,,
76,PT06M44.00S,2022-01-16T00:20:09.0Z,1,REGULAR,steal,,[],1629014,,,1610612757,9,12,2022-01-16T00:21:00Z,760000,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M37.00S,2022-01-16T00:20:15.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203496,24.129434954007884,88.97058823529412,1610612757,9,12,2022-01-16T00:20:24Z,770000,-195.0,174.0,1,left,MISS R. Covington 26' 3PT - blocked,"[203496, 1628398]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,Missed,,,,,,26.15,,,,,,,Kuzma,1628398.0,
78,PT06M37.00S,2022-01-16T00:20:15.6Z,1,REGULAR,block,,[],1628398,,,1610612757,9,12,2022-01-16T00:20:18Z,780000,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M37.00S,2022-01-16T00:20:15.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,9,12,2022-01-16T00:20:24Z,790000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,
80,PT06M37.00S,2022-01-16T00:20:21.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,9,12,2022-01-16T00:20:21Z,800000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M37.00S,2022-01-16T00:20:25.9Z,1,REGULAR,substitution,out,[],1630557,,,1610612757,9,12,2022-01-16T00:23:09Z,810000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M37.00S,2022-01-16T00:20:25.9Z,1,REGULAR,substitution,out,[],203915,,,1610612757,9,12,2022-01-16T00:23:09Z,820000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M37.00S,2022-01-16T00:20:25.9Z,1,REGULAR,substitution,in,[],203526,,,1610612757,9,12,2022-01-16T00:23:09Z,830000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M37.00S,2022-01-16T00:20:25.9Z,1,REGULAR,substitution,in,[],1630166,,,1610612757,9,12,2022-01-16T00:23:09Z,840000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M31.00S,2022-01-16T00:23:26.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629014,10.85742444152431,47.549019607843135,1610612757,9,12,2022-01-16T00:23:30Z,850000,12.0,50.0,1,left,MISS A. Simons driving Hook,[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,5.11,,,,,,,,,
86,PT06M30.00S,2022-01-16T00:23:27.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,9,12,2022-01-16T00:23:30Z,860000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,,,
87,PT06M20.00S,2022-01-16T00:23:38.5Z,1,REGULAR,3pt,Jump Shot,[],203526,95.74572930354796,97.79411764705883,1610612764,12,12,2022-01-16T00:23:43Z,870000,239.0,-13.0,1,right,R. Neto 3PT  (3 PTS) (K. Kuzma 1 AST),"[203526, 1628398]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,Made,,,,,3.0,23.93,K. Kuzma,1628398.0,1.0,,,,,,
