actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
19,PT10M47.00S,2022-01-04T00:13:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,92.29632063074901,49.01960784313726,1610612766,3,3,2022-01-04T00:14:16Z,190000,-5.0,20.0,1,right,MISS T. Rozier running Layup,[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,2.05,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-01-04T00:13:03.0Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,3,3,2022-01-04T00:14:16Z,200000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
21,PT10M46.00S,2022-01-04T00:13:10.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630163,94.40999984741211,50.0,1610612766,3,5,2022-01-04T00:14:39Z,210000,0.0,0.0,1,right,L. Ball tip Layup (2 PTS),[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT10M31.00S,2022-01-04T00:13:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,6.4881734559789805,49.01960784313726,1610612764,5,5,2022-01-04T00:13:22Z,220000,5.0,8.0,1,left,K. Kuzma driving Layup (2 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,0.98,Made,,,,,2.0,,,,,,,,,,,,,,
23,PT10M19.00S,2022-01-04T00:13:26.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,91.50788436268068,50.49019607843137,1610612766,5,7,2022-01-04T00:13:32Z,230000,2.0,27.0,1,right,M. Plumlee alley-oop DUNK (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,2.74,Made,,,,,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
25,PT10M06.00S,2022-01-04T00:13:39.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,28.038764783180028,80.3921568627451,1610612764,5,7,2022-01-04T00:13:44Z,250000,-152.0,211.0,1,left,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2022-01-04T00:13:42.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,7,2022-01-04T00:13:44Z,260000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT09M56.00S,2022-01-04T00:13:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,89.79960578186596,49.50980392156863,1610612766,5,7,2022-01-04T00:13:54Z,270000,-2.0,43.0,1,right,MISS T. Rozier driving Layup - blocked,"[1626179, 1629655]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,4.35,Missed,,,,,,,,,,,,Gafford,1629655.0,,,,,,
28,PT09M56.00S,2022-01-04T00:13:49.8Z,1,REGULAR,block,,[],1629655,,,1610612766,5,7,2022-01-04T00:13:53Z,280000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2022-01-04T00:13:53.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,7,2022-01-04T00:13:54Z,290000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M51.00S,2022-01-04T00:13:55.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,6.619579500657039,50.49019607843137,1610612764,7,7,2022-01-04T00:16:03Z,300000,-2.0,10.0,1,left,K. Kuzma running Layup (4 PTS),[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,1.0,Made,,,,,4.0,,,,,,,,,,,,,,
31,PT09M28.00S,2022-01-04T00:14:18.1Z,1,REGULAR,2pt,Jump Shot,[],1630163,74.95072273324573,60.294117647058826,1610612766,7,7,2022-01-04T00:14:23Z,310000,51.0,183.0,1,right,MISS L. Ball 19' floating Shot,[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,19.01,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M24.00S,2022-01-04T00:14:22.1Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,7,7,2022-01-04T00:17:38Z,320000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M17.00S,2022-01-04T00:14:28.8Z,1,REGULAR,3pt,Jump Shot,[],203078,30.798291721419176,76.9607843137255,1610612764,10,7,2022-01-04T00:18:11Z,330000,-135.0,237.0,1,left,B. Beal 27' 3PT step back (6 PTS),[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,27.27,Made,,,,,6.0,,,,,,,,,,,,,,
34,PT08M55.00S,2022-01-04T00:14:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,85.20039421813404,50.0,1610612766,10,7,2022-01-04T00:14:54Z,340000,0.0,87.0,1,right,MISS G. Hayward 8' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,8.66,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2022-01-04T00:14:51.0Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,10,7,2022-01-04T00:14:54Z,350000,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M42.00S,2022-01-04T00:15:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,8.722076215505908,50.98039215686275,1610612764,12,7,2022-01-04T00:15:08Z,360000,-5.0,29.0,1,left,D. Gafford Hook (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,2.99,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,
38,PT08M29.00S,2022-01-04T00:15:16.2Z,1,REGULAR,2pt,Jump Shot,[],1630163,77.84165571616295,28.431372549019613,1610612766,12,7,2022-01-04T00:15:20Z,380000,-108.0,156.0,1,right,MISS L. Ball 18' step back Shot,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,18.95,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M27.00S,2022-01-04T00:15:18.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,12,7,2022-01-04T00:15:20Z,390000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
40,PT08M21.00S,2022-01-04T00:15:25.0Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,12,7,2022-01-04T00:15:29Z,400000,,,0,,K. Kuzma lost ball TURNOVER (1 TO),"[1628398, 1628970]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,1.0,Bridges,1628970.0,,,,,,,,
41,PT08M21.00S,2022-01-04T00:15:25.0Z,1,REGULAR,steal,,[],1628970,,,1610612766,12,7,2022-01-04T00:15:27Z,410000,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M16.00S,2022-01-04T00:15:29.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202330,92.55913272010513,51.470588235294116,1610612766,12,9,2022-01-04T00:15:34Z,420000,7.0,17.0,1,right,G. Hayward running DUNK (5 PTS) (M. Bridges 1 AST),"[202330, 1628970]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,1.89,Made,,,,,5.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,
44,PT08M03.00S,2022-01-04T00:15:49.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,12,9,2022-01-04T00:15:49Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M55.00S,2022-01-04T00:16:08.5Z,1,REGULAR,3pt,Jump Shot,[],203078,32.637976346911955,54.411764705882355,1610612764,12,9,2022-01-04T00:16:13Z,450000,-22.0,254.0,1,left,MISS B. Beal 25' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,25.53,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2022-01-04T00:16:11.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,12,9,2022-01-04T00:16:13Z,460000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT07M44.00S,2022-01-04T00:16:19.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,89.79960578186596,2.4509803921568647,1610612766,12,9,2022-01-04T00:16:24Z,470000,-238.0,43.0,1,right,MISS T. Rozier 24' step back 3PT,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M41.00S,2022-01-04T00:16:22.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,12,9,2022-01-04T00:16:24Z,480000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT07M32.00S,2022-01-04T00:16:31.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,31.84954007884363,70.58823529411765,1610612764,15,9,2022-01-04T00:16:36Z,490000,-103.0,247.0,1,left,K. Kuzma 26' 3PT  (7 PTS) (D. Gafford 1 AST),"[1628398, 1629655]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,26.75,Made,,,,,7.0,D. Gafford,1629655.0,1.0,,,,,,,,,,,
51,PT07M21.00S,2022-01-04T00:16:43.5Z,1,REGULAR,foul,personal,[],1630166,,,1610612766,15,9,2022-01-04T00:16:54Z,510000,,,0,,D. Avdija personal FOUL (1 PF),"[1630166, 203486]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Plumlee,203486.0,
53,PT07M17.00S,2022-01-04T00:17:05.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,66.40932982917215,58.33333333333333,1610612766,15,9,2022-01-04T00:20:31Z,530000,42.0,263.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2022-01-04T00:17:08.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,15,9,2022-01-04T00:20:31Z,540000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
55,PT07M04.00S,2022-01-04T00:17:18.4Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612764,15,9,2022-01-04T00:17:29Z,550000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Avdija 2 FT),"[1628970, 1630166]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Avdija,1630166.0,
57,PT07M04.00S,2022-01-04T00:17:41.4Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,16,9,2022-01-04T00:17:41Z,570000,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
58,PT07M04.00S,2022-01-04T00:17:57.2Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,17,9,2022-01-04T00:17:57Z,580000,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
59,PT06M57.00S,2022-01-04T00:18:06.4Z,1,REGULAR,3pt,Jump Shot,[],202330,70.3515111695138,81.86274509803921,1610612766,17,9,2022-01-04T00:18:11Z,590000,159.0,226.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,27.67,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2022-01-04T00:18:09.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,17,9,2022-01-04T00:18:11Z,600000,,,0,,K. Kuzma REBOUND (Off:0 Def:4),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,59.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
61,PT06M48.00S,2022-01-04T00:18:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,10.561760840998687,48.28431372549019,1610612764,19,9,2022-01-04T00:18:21Z,610000,9.0,47.0,1,left,K. Kuzma driving finger roll Layup (9 PTS),[1628398],1610612764.0,WAS,driving finger roll,,,Kuzma,K. Kuzma,,,,,4.76,Made,,,,,9.0,,,,,,,,,,,,,,
62,PT06M48.00S,2022-01-04T00:18:22.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,19,9,2022-01-04T00:18:22Z,620000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,out,[],203484,,,1610612766,19,9,2022-01-04T00:21:21Z,630000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,19,9,2022-01-04T00:21:21Z,640000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,out,[],202330,,,1610612766,19,9,2022-01-04T00:21:21Z,650000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,in,[],1630557,,,1610612766,19,9,2022-01-04T00:21:21Z,660000,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,19,9,2022-01-04T00:21:21Z,670000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M48.00S,2022-01-04T00:18:44.6Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,19,9,2022-01-04T00:21:21Z,680000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2022-01-04T00:21:31.7Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,19,9,2022-01-04T00:21:39Z,690000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1630166]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,,,,
70,PT06M37.00S,2022-01-04T00:21:31.7Z,1,REGULAR,steal,,[],1630166,,,1610612764,19,9,2022-01-04T00:21:34Z,700000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M31.00S,2022-01-04T00:21:37.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203078,5.962549277266746,49.50980392156863,1610612764,21,9,2022-01-04T00:22:18Z,710000,2.0,4.0,1,left,B. Beal running reverse Layup (8 PTS) (D. Avdija 1 AST),"[203078, 1630166]",1610612764.0,WAS,running reverse,,,Beal,B. Beal,,,,,0.43,Made,,,,,8.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,
73,PT06M14.00S,2022-01-04T00:21:55.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,72.58541392904074,84.80392156862746,1610612766,21,12,2022-01-04T00:21:59Z,730000,174.0,205.0,1,right,K. Oubre Jr. 26' 3PT  (3 PTS) (T. Rozier 1 AST),"[1626162, 1626179]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,26.9,Made,,,,,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,
75,PT05M47.00S,2022-01-04T00:22:21.6Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,21,12,2022-01-04T00:22:27Z,750000,,,0,,K. Kuzma lost ball TURNOVER (2 TO),"[1628398, 1626162]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,2.0,Oubre Jr.,1626162.0,,,,,,,,
76,PT05M47.00S,2022-01-04T00:22:21.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,21,12,2022-01-04T00:22:24Z,760000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M42.00S,2022-01-04T00:22:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,92.55913272010513,50.49019607843137,1610612766,21,12,2022-01-04T00:22:34Z,770000,2.0,17.0,1,right,MISS K. Oubre Jr. running Layup,[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,1.76,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2022-01-04T00:22:28.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,21,12,2022-01-04T00:22:28Z,780000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
79,PT05M30.00S,2022-01-04T00:22:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,8.722076215505908,51.22549019607843,1610612764,21,12,2022-01-04T00:22:43Z,790000,-6.0,29.0,1,left,MISS C. Kispert driving Layup,[1630557],1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,3.01,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M27.00S,2022-01-04T00:22:41.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,21,12,2022-01-04T00:22:43Z,800000,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
81,PT05M26.00S,2022-01-04T00:22:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,91.50788436268068,50.245098039215684,1610612766,21,12,2022-01-04T00:24:34Z,810000,1.0,27.0,1,right,MISS C. Martin running Layup,[1628998],1610612766.0,CHA,running,,,Martin,C. Martin,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-01-04T00:22:47.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,21,12,2022-01-04T00:24:34Z,820000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,81.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
83,PT05M19.00S,2022-01-04T00:22:49.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,89.4053876478318,3.9215686274509807,1610612766,21,15,2022-01-04T00:22:55Z,830000,-230.0,47.0,1,right,T. Rozier 3PT  (3 PTS) (M. Plumlee 2 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.52,Made,,,,,3.0,M. Plumlee,203486.0,2.0,,,,,,,,,,,
85,PT05M06.00S,2022-01-04T00:23:14.8Z,1,REGULAR,violation,kicked ball,[],203486,,,1610612764,21,15,2022-01-04T00:23:58Z,850000,,,0,,M. Plumlee kicked ball VIOLATION,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,201639.0,,,,,
86,PT05M06.00S,2022-01-04T00:23:17.9Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,21,15,2022-01-04T00:23:28Z,860000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M06.00S,2022-01-04T00:23:17.9Z,1,REGULAR,substitution,in,[],202722,,,1610612764,21,15,2022-01-04T00:23:28Z,870000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M02.00S,2022-01-04T00:23:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,21,15,2022-01-04T00:23:41Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
