actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
15,PT10M24.00S,2021-10-30T21:13:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,9.280551905387648,60.049019607843135,1610612764,2,2,2021-10-30T21:14:02Z,150000,-50.0,35.0,1,left,K. Kuzma 6' driving Layup (2 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,6.1,Made,,,,,,,,,2.0,,,,,,,,,,
16,PT10M24.00S,2021-10-30T21:13:07.6Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612764,2,2,2021-10-30T21:13:21Z,160000,,,0,,G. Williams shooting personal FOUL (1 PF) (Kuzma 1 FT),"[1629684, 1628398]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,1155.0,,,,,1.0,0.0,Kuzma,1628398.0,,,,,,
18,PT10M24.00S,2021-10-30T21:13:37.9Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,2,2,2021-10-30T21:13:47Z,180000,,,0,,MISS K. Kuzma Free Throw 1 of 1,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2021-10-30T21:13:37.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,2,2021-10-30T21:13:47Z,190000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2021-10-30T21:14:03.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,93.51182654402102,44.36274509803921,1610612738,2,4,2021-10-30T21:14:09Z,200000,-28.0,8.0,1,right,J. Brown cutting DUNK (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.95,Made,,,,,,,,,2.0,,,,,A. Horford,201143.0,1.0,,,
22,PT09M54.00S,2021-10-30T21:14:21.3Z,1,REGULAR,2pt,Jump Shot,[],203078,21.107095926412615,74.50980392156863,1610612764,4,4,2021-10-30T21:14:27Z,220000,-123.0,146.0,1,left,B. Beal 19' pullup Jump Shot (2 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,19.05,Made,,,,,,,,,2.0,,,,,,,,,,
23,PT09M42.00S,2021-10-30T21:14:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.32917214191852,46.568627450980394,1610612738,4,6,2021-10-30T21:14:41Z,230000,-17.0,20.0,1,right,J. Brown Layup (4 PTS) (D. Schroder 1 AST),"[1627759, 203471]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.61,Made,,,,,,,,,4.0,,,,,D. Schroder,203471.0,1.0,,,
25,PT09M28.00S,2021-10-30T21:14:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,11.383048620236531,53.92156862745098,1610612764,4,6,2021-10-30T21:14:56Z,250000,-20.0,55.0,1,left,MISS B. Beal floating Shot,[203078],1610612764.0,WAS,floating,,,Beal,B. Beal,,,,,5.79,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M23.00S,2021-10-30T21:14:53.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,6,2021-10-30T21:14:53Z,260000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT09M16.00S,2021-10-30T21:14:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.9060446780552,44.11764705882353,1610612738,4,6,2021-10-30T21:15:03Z,270000,-29.0,5.0,1,right,MISS J. Tatum Layup,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M13.00S,2021-10-30T21:15:02.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,6,2021-10-30T21:15:03Z,280000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M10.00S,2021-10-30T21:15:05.9Z,1,REGULAR,3pt,Jump Shot,[],203915,27.151773981603156,16.911764705882355,1610612764,4,6,2021-10-30T21:15:55Z,290000,165.0,203.0,1,left,MISS S. Dinwiddie 26' pullup 3PT,[203915],1610612764.0,WAS,pullup,,,Dinwiddie,S. Dinwiddie,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M06.00S,2021-10-30T21:15:09.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,6,2021-10-30T21:15:11Z,300000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT08M56.00S,2021-10-30T21:15:19.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.40013140604468,28.186274509803923,1610612738,4,6,2021-10-30T21:15:25Z,310000,-109.0,151.0,1,right,MISS J. Tatum 18' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,18.59,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M53.00S,2021-10-30T21:15:22.8Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,4,6,2021-10-30T21:15:25Z,320000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT08M48.00S,2021-10-30T21:15:27.7Z,1,REGULAR,3pt,Jump Shot,[],203078,32.276609724047304,34.55882352941176,1610612764,7,6,2021-10-30T21:15:33Z,330000,77.0,251.0,1,left,B. Beal 26' 3PT  (5 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,26.25,Made,,,,,,,,,5.0,,,,,,,,,,
34,PT08M28.00S,2021-10-30T21:15:47.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.06373193166885,15.686274509803921,1610612738,7,6,2021-10-30T21:15:52Z,340000,-172.0,191.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M25.00S,2021-10-30T21:15:50.5Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612764,7,6,2021-10-30T21:15:52Z,350000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M11.00S,2021-10-30T21:16:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,11.777266754270697,45.588235294117645,1610612764,9,6,2021-10-30T21:16:08Z,360000,22.0,58.0,1,left,B. Beal 6' pullup Jump Shot (7 PTS) (M. Harrell 1 AST),"[203078, 1626149]",1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,6.23,Made,,,,,,,,,7.0,,,,,M. Harrell,1626149.0,1.0,,,
38,PT07M53.00S,2021-10-30T21:16:21.6Z,1,REGULAR,2pt,Jump Shot,[],201143,82.34231274638634,24.019607843137255,1610612738,9,8,2021-10-30T21:16:27Z,380000,-130.0,113.0,1,right,A. Horford 17' Jump Shot (2 PTS) (D. Schroder 2 AST),"[201143, 203471]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,17.25,Made,,,,,,,,,2.0,,,,,D. Schroder,203471.0,2.0,,,
40,PT07M40.00S,2021-10-30T21:16:38.6Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612764,9,8,2021-10-30T21:16:48Z,400000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Harrell 2 FT),"[1628369, 1626149]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,1627519.0,,,,,1.0,0.0,Harrell,1626149.0,,,,,,
42,PT07M40.00S,2021-10-30T21:17:14.4Z,1,REGULAR,freethrow,1 of 2,[],1626149,,,1610612764,10,8,2021-10-30T21:17:14Z,420000,,,0,,M. Harrell Free Throw 1 of 2 (1 PTS),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,Made,,,,,,,,,1.0,,,,,,,,,,
43,PT07M40.00S,2021-10-30T21:17:44.2Z,1,REGULAR,freethrow,2 of 2,[],1626149,,,1610612764,11,8,2021-10-30T21:17:44Z,430000,,,0,,M. Harrell Free Throw 2 of 2 (2 PTS),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,Made,,,,,,,,,2.0,,,,,,,,,,
44,PT07M25.00S,2021-10-30T21:18:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,86.15308804204993,48.77450980392157,1610612738,11,10,2021-10-30T21:18:09Z,440000,-6.0,78.0,1,right,J. Brown 7' fadeaway Jump Shot (6 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,7.79,Made,,,,,,,,,6.0,,,,,,,,,,
45,PT07M06.00S,2021-10-30T21:18:20.7Z,1,REGULAR,2pt,Jump Shot,[],203078,24.655059132720105,56.127450980392155,1610612764,11,10,2021-10-30T21:19:02Z,450000,-31.0,179.0,1,left,MISS B. Beal 18' step back Shot,[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,18.19,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M03.00S,2021-10-30T21:18:23.7Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,11,10,2021-10-30T21:18:26Z,460000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT07M00.00S,2021-10-30T21:18:27.5Z,1,REGULAR,3pt,Jump Shot,[],203471,70.38436268068331,76.7156862745098,1610612738,11,10,2021-10-30T21:18:33Z,470000,134.0,226.0,1,right,MISS D. Schroder 26' pullup 3PT,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
48,PT06M56.00S,2021-10-30T21:18:31.5Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,11,10,2021-10-30T21:18:33Z,480000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
49,PT06M55.00S,2021-10-30T21:18:39.6Z,1,REGULAR,foul,personal,[],203471,,,1610612764,11,10,2021-10-30T21:19:18Z,490000,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 203078]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,2534.0,,,,,1.0,0.0,Beal,203078.0,,,,,,
51,PT06M55.00S,2021-10-30T21:18:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,10,2021-10-30T21:18:50Z,510000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,11,10,2021-10-30T21:21:37Z,520000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,out,[],203915,,,1610612764,11,10,2021-10-30T21:21:37Z,530000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,out,[],1629684,,,1610612764,11,10,2021-10-30T21:21:37Z,540000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,in,[],203526,,,1610612764,11,10,2021-10-30T21:21:37Z,550000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,in,[],202722,,,1610612764,11,10,2021-10-30T21:21:37Z,560000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M55.00S,2021-10-30T21:19:36.3Z,1,REGULAR,substitution,in,[],1629641,,,1610612764,11,10,2021-10-30T21:21:37Z,570000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2021-10-30T21:22:04.9Z,1,REGULAR,3pt,Jump Shot,[],202722,24.392247043363994,13.725490196078432,1610612764,11,10,2021-10-30T21:22:13Z,580000,181.0,177.0,1,left,MISS D. Bertans 25' 3PT,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M42.00S,2021-10-30T21:22:07.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,10,2021-10-30T21:22:13Z,590000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
60,PT06M21.00S,2021-10-30T21:22:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,86.5473061760841,37.5,1610612738,11,10,2021-10-30T21:22:41Z,600000,-62.0,74.0,1,right,MISS D. Schroder 9' turnaround Shot,[203471],1610612738.0,BOS,turnaround,,,Schroder,D. Schroder,,,,,9.69,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M18.00S,2021-10-30T21:22:31.3Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,11,10,2021-10-30T21:22:36Z,610000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
62,PT06M01.00S,2021-10-30T21:22:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,8.229303547963205,47.549019607843135,1610612764,13,10,2021-10-30T21:22:56Z,620000,12.0,25.0,1,left,M. Harrell finger roll Layup (4 PTS),[1626149],1610612764.0,WAS,finger roll,,,Harrell,M. Harrell,,,,,2.78,Made,,,,,,,,,4.0,,,,,,,,,,
63,PT05M48.00S,2021-10-30T21:23:05.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,10,2021-10-30T21:23:05Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M48.00S,2021-10-30T21:23:08.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,10,2021-10-30T21:23:22Z,640000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M48.00S,2021-10-30T21:23:08.2Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,13,10,2021-10-30T21:23:22Z,650000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M48.00S,2021-10-30T21:23:26.9Z,1,REGULAR,substitution,out,[],203484,,,1610612738,13,10,2021-10-30T21:23:36Z,660000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2021-10-30T21:23:26.9Z,1,REGULAR,substitution,in,[],1630166,,,1610612738,13,10,2021-10-30T21:23:36Z,670000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M37.00S,2021-10-30T21:23:37.2Z,1,REGULAR,3pt,Jump Shot,[],203471,78.0059132720105,7.352941176470589,1610612738,13,10,2021-10-30T21:23:42Z,680000,-213.0,154.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M33.00S,2021-10-30T21:23:40.8Z,1,REGULAR,rebound,offensive,[],1626196,,,1610612738,13,10,2021-10-30T21:23:40Z,690000,,,0,,J. Richardson REBOUND (Off:1 Def:0),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
70,PT05M28.00S,2021-10-30T21:23:46.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626196,70.51576872536137,21.323529411764707,1610612738,13,10,2021-10-30T21:23:55Z,700000,-143.0,225.0,1,right,MISS J. Richardson 26' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M24.00S,2021-10-30T21:23:49.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,13,10,2021-10-30T21:23:49Z,710000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
72,PT05M14.00S,2021-10-30T21:23:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,9.937582128777924,45.588235294117645,1610612764,13,10,2021-10-30T21:24:06Z,720000,22.0,41.0,1,left,MISS D. Avdija Jump Shot,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,4.65,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M09.00S,2021-10-30T21:24:04.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,13,10,2021-10-30T21:32:43Z,730000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,72.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
76,PT05M02.00S,2021-10-30T21:24:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.40932982917214,45.588235294117645,1610612738,13,12,2021-10-30T21:24:17Z,760000,-22.0,28.0,1,right,J. Brown Layup (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,3.59,Made,,,,,,,,,8.0,,,,,,,,,,
77,PT04M54.00S,2021-10-30T21:24:20.9Z,1,REGULAR,3pt,Jump Shot,[],202722,8.886333771353483,4.6568627450980395,1610612764,16,12,2021-10-30T21:24:37Z,770000,227.0,31.0,1,left,D. Bertans 3PT  (3 PTS) (R. Neto 1 AST),"[202722, 203526]",1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,22.88,Made,,,,,,,,,3.0,,,,,R. Neto,203526.0,1.0,,,
79,PT04M54.00S,2021-10-30T21:24:28.6Z,1,REGULAR,foul,personal,['1freethrow'],1626196,,,1610612764,16,12,2021-10-30T21:24:39Z,790000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Bertans 1 FT),"[1626196, 202722]",1610612738.0,BOS,shooting,,,Richardson,J. Richardson,,,,,,,,,,,1627519.0,,,,,1.0,0.0,Bertans,202722.0,,,,,,
81,PT04M54.00S,2021-10-30T21:24:52.0Z,1,REGULAR,freethrow,1 of 1,[],202722,,,1610612764,17,12,2021-10-30T21:24:52Z,810000,,,0,,D. Bertans Free Throw 1 of 1 (4 PTS),[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,Made,,,,,,,,,4.0,,,,,,,,,,
82,PT04M36.00S,2021-10-30T21:25:12.1Z,1,REGULAR,2pt,Jump Shot,[],1626196,89.93101182654402,89.95098039215686,1610612738,17,14,2021-10-30T21:29:00Z,820000,200.0,42.0,1,right,J. Richardson 20' Jump Shot (2 PTS) (R. Langford 1 AST),"[1626196, 1629641]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,20.42,Made,,,,,,,,,2.0,,,,,R. Langford,1629641.0,1.0,,,
84,PT04M14.00S,2021-10-30T21:25:34.3Z,1,REGULAR,3pt,Jump Shot,[],203078,19.66162943495401,94.6078431372549,1610612764,20,14,2021-10-30T21:25:40Z,840000,-223.0,132.0,1,left,B. Beal 25' 3PT step back (10 PTS),[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,25.93,Made,,,,,,,,,10.0,,,,,,,,,,
85,PT04M06.00S,2021-10-30T21:25:44.0Z,1,REGULAR,foul,personal,[],1630166,,,1610612738,20,14,2021-10-30T21:25:51Z,850000,,,0,,D. Avdija personal FOUL (1 PF),"[1630166, 203471]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,1155.0,,,,,1.0,0.0,Schroder,203471.0,,,,,,
87,PT04M06.00S,2021-10-30T21:25:53.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,20,14,2021-10-30T21:26:04Z,870000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M06.00S,2021-10-30T21:25:53.7Z,1,REGULAR,substitution,out,[],203471,,,1610612738,20,14,2021-10-30T21:26:04Z,880000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M06.00S,2021-10-30T21:25:53.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,20,14,2021-10-30T21:26:04Z,890000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M06.00S,2021-10-30T21:25:53.7Z,1,REGULAR,substitution,in,[],203953,,,1610612738,20,14,2021-10-30T21:26:04Z,900000,,,0,,SUB in: J. Parker,[203953],1610612738.0,BOS,,,,Parker,J. Parker,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M06.00S,2021-10-30T21:26:13.5Z,1,REGULAR,substitution,out,[],1626149,,,1610612738,20,14,2021-10-30T21:26:17Z,910000,,,0,,SUB out: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
