actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M19.00S,2022-01-22T01:12:43.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,8,3,2022-01-22T01:12:47Z,180000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M12.00S,2022-01-22T01:12:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,94.03745072273325,53.92156862745098,1610612764,10,3,2022-01-22T01:12:56Z,190000,20.0,4.0,1,right,D. Gafford cutting Layup (4 PTS) (B. Beal 2 AST),"[1629655, 203078]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,,,1.99,Made,4.0,B. Beal,203078.0,2.0,,,,,,,,,,,,
21,PT10M07.00S,2022-01-22T01:13:01.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,3,2022-01-22T01:13:01Z,210000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2022-01-22T01:14:49.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,10,3,2022-01-22T01:15:17Z,220000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2022-01-22T01:14:49.9Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,10,3,2022-01-22T01:15:17Z,230000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2022-01-22T01:16:05.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,17.0335085413929,68.62745098039215,1610612761,10,5,2022-01-22T01:16:11Z,240000,-93.0,108.0,1,left,F. VanVleet 14' floating Jump Shot (2 PTS),[1627832],1610612761.0,TOR,floating,,,VanVleet,F. VanVleet,,,,,,,14.23,Made,2.0,,,,,,,,,,,,,,,
25,PT09M28.00S,2022-01-22T01:16:31.3Z,1,REGULAR,3pt,Jump Shot,[],203915,66.04796320630749,61.274509803921575,1610612764,10,5,2022-01-22T01:16:37Z,250000,56.0,267.0,1,right,MISS S. Dinwiddie 27' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,27.25,Missed,,,,,,,,,,,,,,,,
26,PT09M24.00S,2022-01-22T01:16:35.3Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,10,5,2022-01-22T01:16:37Z,260000,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,
27,PT09M22.00S,2022-01-22T01:16:36.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203078,88.78120893561103,96.81372549019608,1610612764,10,5,2022-01-22T01:16:45Z,270000,234.0,53.0,1,right,MISS B. Beal 24' 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,24.0,Missed,,,,,,,,,,,,,,,,
28,PT09M20.00S,2022-01-22T01:16:38.9Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,10,5,2022-01-22T01:16:45Z,280000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,
29,PT09M17.00S,2022-01-22T01:16:42.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203484,75.1149802890933,10.049019607843137,1610612764,10,5,2022-01-22T01:16:50Z,290000,-200.0,181.0,1,right,MISS K. Caldwell-Pope 26' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,26.99,Missed,,,,,,,,,,,,,,,,
30,PT09M16.00S,2022-01-22T01:16:43.6Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,10,5,2022-01-22T01:31:26Z,300000,,,0,,D. Gafford REBOUND (Off:2 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,29.0,3.0,1.0,2.0,,,,,,,,
140,PT09M16.00S,2022-01-22T01:16:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629655,92.29632063074901,52.69607843137255,1610612764,10,5,2022-01-22T01:32:16Z,305000,13.0,20.0,1,right,MISS D. Gafford tip Layup,[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,,,2.4,Missed,,,,,,,,,,,,,,,,
141,PT09M14.00S,2022-01-22T01:16:49.7Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,10,5,2022-01-22T01:32:16Z,307500,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,
31,PT09M06.00S,2022-01-22T01:16:52.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,32.933639947437584,79.90196078431373,1610612761,10,5,2022-01-22T01:17:01Z,310000,-150.0,257.0,1,left,MISS F. VanVleet 29' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,,29.74,Missed,,,,,,,,,,,,,,,,
32,PT09M03.00S,2022-01-22T01:16:55.9Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,10,5,2022-01-22T01:17:01Z,320000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M01.00S,2022-01-22T01:17:03.1Z,1,REGULAR,turnover,out-of-bounds,[],203484,,,1610612764,10,5,2022-01-22T01:17:09Z,330000,,,0,,K. Caldwell-Pope lost ball out-of-bounds TURNOVER (1 TO),[203484],1610612764.0,WAS,lost ball,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1162.0,1.0,,,,,,,,,,,,,,,,,,
34,PT09M01.00S,2022-01-22T01:17:07.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,10,5,2022-01-22T01:17:07Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M51.00S,2022-01-22T01:17:18.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627832,18.873193166885677,71.32352941176471,1610612761,10,5,2022-01-22T01:17:23Z,350000,-107.0,125.0,1,left,MISS F. VanVleet 16' floating Shot,[1627832],1610612761.0,TOR,floating,,,VanVleet,F. VanVleet,,,,,,,16.42,Missed,,,,,,,,,,,,,,,,
36,PT08M47.00S,2022-01-22T01:17:22.8Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,10,5,2022-01-22T01:17:23Z,360000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,
37,PT08M31.00S,2022-01-22T01:17:38.0Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,10,5,2022-01-22T01:17:43Z,370000,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1628384]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,1.0,,,,,,,,,,,Anunoby,1628384.0,,,,,,
38,PT08M31.00S,2022-01-22T01:17:38.0Z,1,REGULAR,steal,,[],1628384,,,1610612761,10,5,2022-01-22T01:17:40Z,380000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2022-01-22T01:17:42.8Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,10,5,2022-01-22T01:17:55Z,390000,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (1 TO),[1627783],1610612761.0,TOR,bad pass,,,Siakam,P. Siakam,,,,,200833.0,1.0,,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2022-01-22T01:18:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203078,92.19776609724047,53.431372549019606,1610612764,10,5,2022-01-22T01:20:50Z,400000,17.0,21.0,1,right,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,,,2.7,Missed,,,,,,,,,,,,,,,,
41,PT08M11.00S,2022-01-22T01:18:02.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,5,2022-01-22T01:18:06Z,410000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M00.00S,2022-01-22T01:18:13.7Z,1,REGULAR,2pt,Jump Shot,[],1629018,24.78646517739816,33.33333333333333,1610612761,10,5,2022-01-22T01:18:20Z,420000,83.0,180.0,1,left,MISS G. Trent Jr. 19' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,19.88,Missed,,,,,,,,,,,,,,,,
43,PT07M57.00S,2022-01-22T01:18:16.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,10,5,2022-01-22T01:18:20Z,430000,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,
44,PT07M49.00S,2022-01-22T01:18:25.5Z,1,REGULAR,3pt,Jump Shot,[],203484,89.43823915900131,96.32352941176471,1610612764,10,5,2022-01-22T01:18:29Z,440000,232.0,47.0,1,right,MISS K. Caldwell-Pope 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,23.63,Missed,,,,,,,,,,,,,,,,
45,PT07M46.00S,2022-01-22T01:18:28.5Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,10,5,2022-01-22T01:18:29Z,450000,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,
46,PT07M40.00S,2022-01-22T01:18:34.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,13.222733245729303,57.35294117647059,1610612761,10,7,2022-01-22T01:18:40Z,460000,-37.0,72.0,1,left,P. Siakam 8' Hook (2 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,8.07,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,
48,PT07M33.00S,2022-01-22T01:18:43.4Z,1,REGULAR,foul,personal,[],1627832,,,1610612764,10,7,2022-01-22T01:18:51Z,480000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 203915]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,200833.0,,,,,,,,,,,,,,1.0,0.0,Dinwiddie,203915.0,,
50,PT07M21.00S,2022-01-22T01:19:12.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,94.1688567674113,48.77450980392157,1610612764,12,7,2022-01-22T01:19:19Z,500000,-6.0,2.0,1,right,D. Gafford DUNK (6 PTS) (D. Avdija 3 AST),"[1629655, 1630166]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,0.65,Made,6.0,D. Avdija,1630166.0,3.0,,,,,,,,,,,,
52,PT07M11.00S,2022-01-22T01:19:22.3Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,12,7,2022-01-22T01:19:28Z,520000,,,0,,P. Siakam bad pass TURNOVER (2 TO),"[1627783, 1629655]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,2.0,,,,,,,,,,,Gafford,1629655.0,,,,,,
53,PT07M11.00S,2022-01-22T01:19:22.3Z,1,REGULAR,steal,,[],1629655,,,1610612764,12,7,2022-01-22T01:19:25Z,530000,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2022-01-22T01:19:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203078,93.11760840998686,49.26470588235294,1610612764,14,7,2022-01-22T01:19:46Z,540000,-4.0,12.0,1,right,B. Beal reverse Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[203078, 203484]",1610612764.0,WAS,reverse,,,Beal,B. Beal,,,,,,,1.27,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,
56,PT06M50.00S,2022-01-22T01:19:43.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,22.421156373193167,90.68627450980392,1610612761,14,10,2022-01-22T01:19:49Z,560000,-203.0,158.0,1,left,G. Trent Jr. 25' 3PT  (6 PTS) (F. VanVleet 2 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,25.77,Made,6.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,,
58,PT06M25.00S,2022-01-22T01:20:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,91.93495400788436,48.28431372549019,1610612764,16,10,2022-01-22T01:20:15Z,580000,-9.0,23.0,1,right,B. Beal Layup (4 PTS) (K. Caldwell-Pope 2 AST),"[203078, 203484]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,2.48,Made,4.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,,,,,
60,PT06M14.00S,2022-01-22T01:20:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,17.296320630749015,40.19607843137255,1610612761,16,10,2022-01-22T01:20:25Z,600000,49.0,110.0,1,left,MISS P. Siakam 12' turnaround fadeaway Shot,[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,,,12.05,Missed,,,,,,,,,,,,,,,,
61,PT06M12.00S,2022-01-22T01:20:21.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,16,10,2022-01-22T01:20:25Z,610000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,
62,PT06M04.00S,2022-01-22T01:20:29.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.11760840998686,53.67647058823529,1610612764,16,10,2022-01-22T01:20:35Z,620000,18.0,12.0,1,right,MISS D. Gafford alley-oop DUNK,[1629655],1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,,,2.21,Missed,,,,,,,,,,,,,,,,
63,PT06M01.00S,2022-01-22T01:20:32.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,16,10,2022-01-22T01:20:35Z,630000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,
64,PT05M56.00S,2022-01-22T01:20:37.7Z,1,REGULAR,3pt,Jump Shot,[],1629018,6.521024967148489,97.30392156862744,1610612761,16,10,2022-01-22T01:20:43Z,640000,-237.0,9.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,23.67,Missed,,,,,,,,,,,,,,,,
65,PT05M52.00S,2022-01-22T01:20:40.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,16,10,2022-01-22T01:20:40Z,650000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,64.0,2.0,1.0,1.0,,,,,,,,
66,PT05M43.00S,2022-01-22T01:20:50.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628449,28.991458607095925,13.725490196078432,1610612761,16,10,2022-01-22T01:20:54Z,660000,181.0,220.0,1,left,MISS C. Boucher 28' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,28.51,Missed,,,,,,,,,,,,,,,,
67,PT05M40.00S,2022-01-22T01:20:53.6Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,16,10,2022-01-22T01:20:54Z,670000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,
68,PT05M34.00S,2022-01-22T01:21:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612764,16,10,2022-01-22T01:21:18Z,680000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Beal 2 FT),"[1628449, 203078]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,1626302.0,,,,,,,,,,,,,,1.0,0.0,Beal,203078.0,,
70,PT05M34.00S,2022-01-22T01:21:42.2Z,1,REGULAR,freethrow,1 of 2,[],203078,,,1610612764,17,10,2022-01-22T01:21:42Z,700000,,,0,,B. Beal Free Throw 1 of 2 (5 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
71,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,17,10,2022-01-22T01:22:30Z,710000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,out,[],203915,,,1610612764,17,10,2022-01-22T01:22:30Z,720000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,out,[],1628384,,,1610612764,17,10,2022-01-22T01:22:30Z,730000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,out,[],1629018,,,1610612764,17,10,2022-01-22T01:22:30Z,740000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,17,10,2022-01-22T01:22:30Z,750000,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,in,[],1628418,,,1610612764,17,10,2022-01-22T01:22:30Z,760000,,,0,,SUB in: T. Bryant,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,in,[],1630567,,,1610612764,17,10,2022-01-22T01:22:30Z,770000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M34.00S,2022-01-22T01:21:43.1Z,1,REGULAR,substitution,in,[],1630173,,,1610612764,17,10,2022-01-22T01:22:30Z,780000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2022-01-22T01:22:31.8Z,1,REGULAR,freethrow,2 of 2,[],203078,,,1610612764,18,10,2022-01-22T01:22:31Z,790000,,,0,,B. Beal Free Throw 2 of 2 (6 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
80,PT05M11.00S,2022-01-22T01:22:36.3Z,1,REGULAR,2pt,Jump Shot,[],1630567,21.895532194480946,67.8921568627451,1610612761,18,10,2022-01-22T01:22:42Z,800000,-89.0,153.0,1,left,MISS S. Barnes 17' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,,,17.75,Missed,,,,,,,,,,,,,,,,
81,PT05M08.00S,2022-01-22T01:22:39.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,18,10,2022-01-22T01:22:42Z,810000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,
82,PT04M59.00S,2022-01-22T01:22:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,93.38042049934296,53.431372549019606,1610612764,18,10,2022-01-22T01:22:58Z,820000,17.0,10.0,1,right,MISS B. Beal Layup,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,1.97,Missed,,,,,,,,,,,,,,,,
83,PT04M51.00S,2022-01-22T01:22:57.8Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612764,18,10,2022-01-22T01:22:58Z,830000,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,
84,PT04M51.00S,2022-01-22T01:22:56.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628418,94.40999984741211,50.0,1610612764,20,10,2022-01-22T01:22:56Z,840000,0.0,0.0,1,right,T. Bryant tip DUNK (2 PTS),[1628418],1610612764.0,WAS,tip,,,Bryant,T. Bryant,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,
