actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M55.00S,2022-03-16T23:12:53.0Z,1,REGULAR,2pt,Jump Shot,[],203999,24.129434954007884,46.81372549019608,1610612743,1,2,2022-03-16T23:13:18Z,170000,16.0,174.0,1,left,MISS N. Jokic 17' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Missed,,,,,,17.5,,,,,,,,,
18,PT10M51.00S,2022-03-16T23:12:57.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,1,2,2022-03-16T23:12:59Z,180000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M45.00S,2022-03-16T23:13:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,90.48948751642575,49.50980392156863,1610612764,3,2,2022-03-16T23:13:07Z,190000,-2.0,37.0,1,right,R. Neto Layup (2 PTS) (K. Kuzma 1 AST),"[203526, 1628398]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,Made,2.0,,,,,3.7,K. Kuzma,1628398.0,1.0,,,,,,
21,PT10M28.00S,2022-03-16T23:13:22.3Z,1,REGULAR,foul,personal,['2freethrow'],203526,,,1610612743,3,2,2022-03-16T23:13:35Z,210000,,,0,,R. Neto shooting personal FOUL (1 PF) (Green 2 FT),"[203526, 201145]",1610612764.0,WAS,shooting,,,Neto,R. Neto,,,,,201639.0,1.0,0.0,Green,201145.0,,,,,,,,,,,,,,,,
23,PT10M28.00S,2022-03-16T23:13:49.3Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,3,3,2022-03-16T23:13:49Z,230000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
24,PT10M28.00S,2022-03-16T23:14:09.7Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,3,4,2022-03-16T23:14:09Z,240000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
25,PT10M04.00S,2022-03-16T23:14:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,87.07293035479631,36.76470588235294,1610612764,3,4,2022-03-16T23:14:38Z,250000,-66.0,69.0,1,right,MISS K. Porzingis 9' turnaround Shot,[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,,,,,9.56,,,,,,,,,
26,PT10M03.00S,2022-03-16T23:14:36.5Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,3,4,2022-03-16T23:14:36Z,260000,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,
27,PT10M03.00S,2022-03-16T23:14:38.2Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612764,3,4,2022-03-16T23:14:44Z,270000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Porzingis 2 FT),"[203999, 204001]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,201639.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,,
29,PT10M03.00S,2022-03-16T23:15:02.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],204001,,,1610612764,3,4,2022-03-16T23:15:02Z,290000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,,,,,,,,,,,,,,
30,PT10M03.00S,2022-03-16T23:15:02.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,3,4,2022-03-16T23:15:02Z,300000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,
31,PT10M03.00S,2022-03-16T23:15:18.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],204001,,,1610612764,4,4,2022-03-16T23:15:18Z,310000,,,0,,K. Porzingis Free Throw 2 of 2 (1 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
32,PT09M53.00S,2022-03-16T23:15:29.6Z,1,REGULAR,3pt,Jump Shot,[],203999,34.247700394218136,45.09803921568628,1610612743,4,7,2022-03-16T23:15:34Z,320000,25.0,269.0,1,left,N. Jokic 27' 3PT pullup (3 PTS),[203999],1610612743.0,DEN,pullup,,,Jokic,N. Jokic,,,,,,,,,,Made,3.0,,,,,27.05,,,,,,,,,
33,PT09M39.00S,2022-03-16T23:15:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,92.72339027595268,54.65686274509803,1610612764,6,7,2022-03-16T23:15:49Z,330000,23.0,16.0,1,right,R. Neto cutting Layup (4 PTS) (K. Porzingis 1 AST),"[203526, 204001]",1610612764.0,WAS,cutting,,,Neto,R. Neto,,,,,,,,,,Made,4.0,,,,,2.82,K. Porzingis,204001.0,1.0,,,,,,
35,PT09M25.00S,2022-03-16T23:15:59.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,7.046649145860711,52.20588235294118,1610612743,6,9,2022-03-16T23:16:48Z,350000,-11.0,14.0,1,left,A. Gordon DUNK (2 PTS) (J. Green 1 AST),"[203932, 201145]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,2.0,,,,,1.76,J. Green,201145.0,1.0,,,,,,
37,PT09M25.00S,2022-03-16T23:16:03.1Z,1,REGULAR,foul,personal,['1freethrow'],203526,,,1610612743,6,9,2022-03-16T23:16:18Z,370000,,,0,,R. Neto shooting personal FOUL (2 PF) (Gordon 1 FT),"[203526, 203932]",1610612764.0,WAS,shooting,,,Neto,R. Neto,,,,,1628951.0,2.0,0.0,Gordon,203932.0,,,,,,,,,,,,,,,,
39,PT09M25.00S,2022-03-16T23:16:28.0Z,1,REGULAR,freethrow,1 of 1,[],203932,,,1610612743,6,10,2022-03-16T23:16:28Z,390000,,,0,,A. Gordon Free Throw 1 of 1 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
40,PT09M08.00S,2022-03-16T23:16:45.2Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612764,6,10,2022-03-16T23:16:49Z,400000,,,0,,K. Porzingis lost ball TURNOVER (1 TO),"[204001, 203999]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,1.0,Jokic,203999.0,,,
41,PT09M08.00S,2022-03-16T23:16:45.2Z,1,REGULAR,steal,,[],203999,,,1610612743,6,10,2022-03-16T23:19:53Z,410000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M01.00S,2022-03-16T23:16:52.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628420,12.959921156373195,97.54901960784314,1610612743,6,13,2022-03-16T23:16:57Z,420000,-238.0,69.0,1,left,M. Morris 24' 3PT  (3 PTS) (W. Barton 1 AST),"[1628420, 203115]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,Made,3.0,,,,,24.76,W. Barton,203115.0,1.0,,,,,,
44,PT08M50.00S,2022-03-16T23:17:04.2Z,1,REGULAR,turnover,bad pass,[],203526,,,1610612764,6,13,2022-03-16T23:35:20Z,440000,,,0,,R. Neto bad pass TURNOVER (1 TO),"[203526, 201145]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,1.0,Green,201145.0,,,
45,PT08M50.00S,2022-03-16T23:17:04.2Z,1,REGULAR,steal,,[],201145,,,1610612743,6,13,2022-03-16T23:17:07Z,450000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M43.00S,2022-03-16T23:17:10.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203932,7.835085413929041,97.30392156862744,1610612743,6,13,2022-03-16T23:17:15Z,460000,-237.0,21.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Missed,,,,,,23.74,,,,,,,,,
47,PT08M39.00S,2022-03-16T23:17:14.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,6,13,2022-03-16T23:17:15Z,470000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,
48,PT08M34.00S,2022-03-16T23:17:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628398,94.1688567674113,45.588235294117645,1610612764,8,13,2022-03-16T23:17:24Z,480000,-22.0,2.0,1,right,K. Kuzma Layup (2 PTS) (R. Neto 1 AST),"[1628398, 203526]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,Made,2.0,,,,,2.22,R. Neto,203526.0,1.0,,,,,,
50,PT08M21.00S,2022-03-16T23:17:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,18.347568988173457,50.73529411764706,1610612743,8,13,2022-03-16T23:17:37Z,500000,-4.0,120.0,1,left,MISS M. Morris 12' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,,,,Missed,,,,,,12.01,,,,,,,,,
51,PT08M18.00S,2022-03-16T23:17:35.7Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,8,13,2022-03-16T23:17:37Z,510000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,
52,PT08M16.00S,2022-03-16T23:17:39.7Z,1,REGULAR,foul,personal,[],1628420,,,1610612764,8,13,2022-03-16T23:17:48Z,520000,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 203526]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,1628951.0,1.0,0.0,Neto,203526.0,,,,,,,,,,,,,,,,
54,PT08M00.00S,2022-03-16T23:18:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,89.17542706964521,57.59803921568627,1610612764,8,13,2022-03-16T23:18:20Z,540000,38.0,49.0,1,right,MISS K. Porzingis 6' turnaround Shot,[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,,,,,6.22,,,,,,,,,
55,PT07M58.00S,2022-03-16T23:18:15.9Z,1,REGULAR,rebound,offensive,[],203484,,,1610612764,8,13,2022-03-16T23:18:15Z,550000,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,
56,PT07M57.00S,2022-03-16T23:18:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,92.9862023653088,49.754901960784316,1610612764,8,13,2022-03-16T23:18:22Z,560000,-1.0,13.0,1,right,MISS K. Caldwell-Pope Layup,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Missed,,,,,,1.35,,,,,,,,,
57,PT07M53.00S,2022-03-16T23:18:20.6Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,8,13,2022-03-16T23:18:22Z,570000,,,0,,K. Porzingis REBOUND (Off:2 Def:0),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,56.0,2.0,0.0,2.0,,,,,,,,,,
58,PT07M53.00S,2022-03-16T23:18:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204001,94.69448094612353,49.01960784313725,1610612764,8,13,2022-03-16T23:18:26Z,580000,-5.0,-3.0,1,right,MISS K. Porzingis Layup - blocked,"[204001, 203999]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,,,,,0.55,,,,,,,Jokic,203999.0,
59,PT07M53.00S,2022-03-16T23:18:20.9Z,1,REGULAR,block,,[],203999,,,1610612764,8,13,2022-03-16T23:18:23Z,590000,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M53.00S,2022-03-16T23:18:20.9Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,8,13,2022-03-16T23:18:26Z,600000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,
61,PT07M46.00S,2022-03-16T23:18:27.4Z,1,REGULAR,3pt,Jump Shot,[],203932,12.040078843626807,99.01960784313727,1610612743,8,16,2022-03-16T23:18:49Z,610000,-245.0,61.0,1,left,A. Gordon 25' 3PT  (6 PTS) (W. Barton 2 AST),"[203932, 203115]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,6.0,,,,,25.25,W. Barton,203115.0,2.0,,,,,,
63,PT07M44.00S,2022-03-16T23:18:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,8,16,2022-03-16T23:18:34Z,630000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M29.00S,2022-03-16T23:21:47.1Z,1,REGULAR,2pt,Jump Shot,[],1628398,77.87450722733246,47.549019607843135,1610612764,8,16,2022-03-16T23:21:54Z,640000,-12.0,155.0,1,right,MISS K. Kuzma 15' Jump Shot - blocked,"[1628398, 203932]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,Missed,,,,,,15.6,,,,,,,Gordon,203932.0,
65,PT07M29.00S,2022-03-16T23:21:47.1Z,1,REGULAR,block,,[],203932,,,1610612764,8,16,2022-03-16T23:21:50Z,650000,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M25.00S,2022-03-16T23:21:51.1Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,8,16,2022-03-16T23:21:54Z,660000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,
67,PT07M23.00S,2022-03-16T23:21:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,29.6484888304862,23.284313725490197,1610612743,8,16,2022-03-16T23:22:01Z,670000,134.0,226.0,1,left,MISS W. Barton 26' pullup 3PT,[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,,,,,,Missed,,,,,,26.27,,,,,,,,,
68,PT07M20.00S,2022-03-16T23:21:56.2Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,8,16,2022-03-16T23:22:01Z,680000,,,0,,R. Neto REBOUND (Off:0 Def:2),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,
69,PT07M06.00S,2022-03-16T23:22:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630557,77.08607095926413,89.95098039215686,1610612764,11,16,2022-03-16T23:22:15Z,690000,200.0,163.0,1,right,C. Kispert 25' 3PT  (3 PTS) (K. Kuzma 2 AST),"[1630557, 1628398]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,Made,3.0,,,,,25.78,K. Kuzma,1628398.0,2.0,,,,,,
71,PT06M43.00S,2022-03-16T23:22:32.7Z,1,REGULAR,3pt,Jump Shot,[],203115,22.815374507227332,89.70588235294117,1610612743,11,16,2022-03-16T23:22:37Z,710000,-199.0,162.0,1,left,MISS W. Barton 25' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,Missed,,,,,,25.62,,,,,,,,,
72,PT06M40.00S,2022-03-16T23:22:35.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,16,2022-03-16T23:22:37Z,720000,,,0,,K. Porzingis REBOUND (Off:2 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,71.0,3.0,1.0,2.0,,,,,,,,,,
73,PT06M35.00S,2022-03-16T23:22:41.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203484,93.51182654402102,46.81372549019608,1610612764,13,16,2022-03-16T23:22:54Z,730000,-16.0,8.0,1,right,K. Caldwell-Pope driving Layup (3 PTS),[203484],1610612764.0,WAS,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,Made,3.0,,,,,1.8,,,,,,,,,
74,PT06M16.00S,2022-03-16T23:23:02.3Z,1,REGULAR,foul,personal,[],1628398,,,1610612743,13,16,2022-03-16T23:23:13Z,740000,,,0,,K. Kuzma personal FOUL (1 PF),"[1628398, 203932]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,1628951.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,,,,,
76,PT06M07.00S,2022-03-16T23:23:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.783837056504599,55.14705882352941,1610612743,13,16,2022-03-16T23:24:09Z,760000,-26.0,11.0,1,left,MISS N. Jokic Layup - blocked,"[203999, 204001]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Missed,,,,,,2.81,,,,,,,Porzingis,204001.0,
77,PT06M07.00S,2022-03-16T23:23:27.9Z,1,REGULAR,block,,[],204001,,,1610612743,13,16,2022-03-16T23:23:30Z,770000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M03.00S,2022-03-16T23:23:31.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,13,16,2022-03-16T23:24:09Z,780000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,
79,PT06M03.00S,2022-03-16T23:23:35.3Z,1,REGULAR,foul,personal,[],203932,,,1610612764,13,16,2022-03-16T23:35:40Z,790000,,,0,,A. Gordon take personal FOUL (1 PF),"[203932, 1628398]",1610612743.0,DEN,take,,,Gordon,A. Gordon,,,,,1204.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,,
81,PT06M03.00S,2022-03-16T23:23:46.6Z,1,REGULAR,substitution,out,[],203484,,,1610612764,13,16,2022-03-16T23:23:55Z,810000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2022-03-16T23:23:46.6Z,1,REGULAR,substitution,out,[],204001,,,1610612764,13,16,2022-03-16T23:23:55Z,820000,,,0,,SUB out: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M03.00S,2022-03-16T23:23:46.6Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,13,16,2022-03-16T23:23:55Z,830000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M03.00S,2022-03-16T23:23:46.6Z,1,REGULAR,substitution,in,[],1629655,,,1610612764,13,16,2022-03-16T23:23:55Z,840000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M53.00S,2022-03-16T23:24:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630557,74.19513797634691,13.480392156862745,1610612764,13,16,2022-03-16T23:24:16Z,850000,-183.0,190.0,1,right,MISS C. Kispert 26' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,Missed,,,,,,26.36,,,,,,,,,
86,PT05M49.00S,2022-03-16T23:24:15.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,13,16,2022-03-16T23:24:16Z,860000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,
87,PT05M37.00S,2022-03-16T23:24:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.178055190538765,49.26470588235294,1610612743,13,18,2022-03-16T23:24:31Z,870000,4.0,15.0,1,left,N. Jokic Layup (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Made,5.0,,,,,1.54,,,,,,,,,
88,PT05M23.00S,2022-03-16T23:24:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,82.21090670170827,36.27450980392157,1610612764,15,18,2022-03-16T23:24:44Z,880000,-69.0,115.0,1,right,C. Kispert 13' floating Jump Shot (5 PTS) (K. Kuzma 3 AST),"[1630557, 1628398]",1610612764.0,WAS,floating,,,Kispert,C. Kispert,,,,,,,,,,Made,5.0,,,,,13.36,K. Kuzma,1628398.0,3.0,,,,,,
90,PT05M13.00S,2022-03-16T23:24:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612743,15,18,2022-03-16T23:25:00Z,900000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629655, 203999]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,201639.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,,
92,PT05M13.00S,2022-03-16T23:25:22.0Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,15,19,2022-03-16T23:25:22Z,920000,,,0,,N. Jokic Free Throw 1 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
93,PT05M13.00S,2022-03-16T23:25:25.9Z,1,REGULAR,substitution,out,[],203526,,,1610612743,15,19,2022-03-16T23:25:29Z,930000,,,0,,SUB out: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
