actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
29,PT09M26.00S,2021-12-12T00:13:44.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,28.038764783180028,18.137254901960787,1610612762,6,5,2021-12-12T00:15:53Z,270000,159.0,211.0,1,left,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2021-12-12T00:13:44.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,6,5,2021-12-12T00:13:54Z,280000,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,29.0,3.0,2.0,1.0,,,,,,,,,,,
31,PT09M06.00S,2021-12-12T00:14:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,91.37647831800263,46.07843137254902,1610612764,6,5,2021-12-12T00:14:13Z,290000,-20.0,29.0,1,right,MISS K. Caldwell-Pope Layup,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M06.00S,2021-12-12T00:14:09.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,5,2021-12-12T00:14:13Z,300000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,
33,PT08M57.00S,2021-12-12T00:14:28.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,25.147831800262807,14.215686274509807,1610612762,6,5,2021-12-12T00:14:35Z,310000,179.0,184.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M54.00S,2021-12-12T00:14:31.7Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,6,5,2021-12-12T00:14:35Z,320000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:3),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,,,
35,PT08M45.00S,2021-12-12T00:14:45.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,6,5,2021-12-12T00:14:45Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M38.00S,2021-12-12T00:15:05.6Z,1,REGULAR,3pt,Jump Shot,[],203915,65.3580814717477,48.774509803921575,1610612764,6,5,2021-12-12T00:15:09Z,340000,-6.0,273.0,1,right,MISS S. Dinwiddie 27' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,27.32,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M35.00S,2021-12-12T00:15:08.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,6,5,2021-12-12T00:15:09Z,350000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M30.00S,2021-12-12T00:15:17.3Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612762,6,5,2021-12-12T00:15:27Z,360000,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Mitchell 2 FT),"[203484, 1628378]",1610612764.0,WAS,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,202007.0,,1.0,0.0,Mitchell,1628378.0,,,,,
40,PT08M30.00S,2021-12-12T00:15:47.5Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612762,6,6,2021-12-12T00:15:47Z,380000,,,0,,D. Mitchell Free Throw 1 of 2 (4 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
41,PT08M30.00S,2021-12-12T00:16:09.8Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612762,6,7,2021-12-12T00:16:09Z,390000,,,0,,D. Mitchell Free Throw 2 of 2 (5 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
42,PT08M11.00S,2021-12-12T00:16:32.4Z,1,REGULAR,turnover,traveling,[],203484,,,1610612764,6,7,2021-12-12T00:16:37Z,400000,,,0,,K. Caldwell-Pope traveling TURNOVER (1 TO),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,1.0,,,,,,,,,
43,PT08M02.00S,2021-12-12T00:16:52.6Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612762,6,7,2021-12-12T00:17:12Z,410000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[203915, 202711]",1610612764.0,WAS,shooting,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,203593.0,,1.0,0.0,Bogdanovic,202711.0,,,,,
45,PT08M02.00S,2021-12-12T00:17:17.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202711,,,1610612762,6,8,2021-12-12T00:17:17Z,430000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
