actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
19,PT10M21.00S,2021-11-23T00:13:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.72339027595268,54.65686274509803,1610612764,2,0,2021-11-23T00:13:58Z,190000,23.0,16.0,1,right,K. Kuzma driving Layup (2 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,,,2.82,Made,,,,,2.0,,,,,,,,,,,,
20,PT10M13.00S,2021-11-23T00:14:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.783837056504599,46.568627450980394,1610612766,2,0,2021-11-23T00:14:08Z,200000,17.0,11.0,1,left,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,2.06,Missed,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2021-11-23T00:14:03.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,2,0,2021-11-23T00:14:08Z,210000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M07.00S,2021-11-23T00:14:09.2Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612764,2,0,2021-11-23T00:15:25Z,220000,,,0,,G. Hayward shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[202330, 203484]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,1627519.0,,,,,,,,,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,
24,PT10M07.00S,2021-11-23T00:14:38.0Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612764,3,0,2021-11-23T00:14:38Z,240000,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (1 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
25,PT10M07.00S,2021-11-23T00:14:54.2Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612764,4,0,2021-11-23T00:14:54Z,250000,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (2 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
26,PT09M51.00S,2021-11-23T00:15:12.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,13.61695137976347,50.0,1610612766,4,0,2021-11-23T00:15:16Z,260000,0.0,75.0,1,left,MISS M. Plumlee 7' Hook,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.55,Missed,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2021-11-23T00:15:14.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,0,2021-11-23T00:15:16Z,270000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,,,
28,PT09M39.00S,2021-11-23T00:15:24.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.38042049934296,42.8921568627451,1610612764,4,0,2021-11-23T00:15:33Z,280000,-36.0,10.0,1,right,MISS D. Gafford DUNK - blocked,"[1629655, 203486]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,3.68,Missed,,,,,,,,,,Plumlee,203486.0,,,,,,
29,PT09M39.00S,2021-11-23T00:15:24.9Z,1,REGULAR,block,,[],203486,,,1610612764,4,0,2021-11-23T00:15:27Z,290000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-23T00:15:27.9Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,4,0,2021-11-23T00:15:29Z,300000,,,0,,B. Beal REBOUND (Off:1 Def:0),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,
31,PT09M32.00S,2021-11-23T00:15:31.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629655,94.56307490144546,45.83333333333333,1610612764,4,0,2021-11-23T00:15:38Z,310000,-21.0,-1.0,1,right,MISS D. Gafford alley-oop DUNK,[1629655],1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,,,2.08,Missed,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2021-11-23T00:15:35.9Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,4,0,2021-11-23T00:15:38Z,320000,,,0,,B. Beal REBOUND (Off:2 Def:0),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,31.0,2.0,0.0,2.0,,,,,,,,,,,,,
33,PT09M22.00S,2021-11-23T00:15:41.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628398,92.72339027595268,54.41176470588235,1610612764,6,0,2021-11-23T00:15:45Z,330000,22.0,16.0,1,right,K. Kuzma Layup (4 PTS) (B. Beal 1 AST),"[1628398, 203078]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,2.72,Made,,,,,4.0,,,,,,,B. Beal,203078.0,1.0,,,
35,PT09M01.00S,2021-11-23T00:16:02.0Z,1,REGULAR,2pt,Jump Shot,[],202330,26.231931668856767,41.42156862745098,1610612766,6,0,2021-11-23T00:16:06Z,350000,43.0,194.0,1,left,MISS G. Hayward 19' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,,,19.88,Missed,,,,,,,,,,,,,,,,,
36,PT08M58.00S,2021-11-23T00:16:05.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,6,0,2021-11-23T00:16:06Z,360000,,,0,,K. Kuzma REBOUND (Off:0 Def:4),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,35.0,4.0,4.0,0.0,,,,,,,,,,,,,
37,PT08M45.00S,2021-11-23T00:16:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,93.64323258869908,51.470588235294116,1610612764,8,0,2021-11-23T00:24:28Z,370000,7.0,7.0,1,right,B. Beal cutting Layup (2 PTS) (K. Kuzma 1 AST),"[203078, 1628398]",1610612764.0,WAS,cutting,,,Beal,B. Beal,,,,,,,1.04,Made,,,,,2.0,,,,,,,K. Kuzma,1628398.0,1.0,,,
39,PT08M40.00S,2021-11-23T00:16:23.4Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,8,0,2021-11-23T00:16:28Z,390000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 203484]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,1.0,,,,,,,,,,,,,,,,,Caldwell-Pope,203484.0,
40,PT08M40.00S,2021-11-23T00:16:23.4Z,1,REGULAR,steal,,[],203484,,,1610612764,8,0,2021-11-23T00:16:25Z,400000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M36.00S,2021-11-23T00:16:27.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203078,71.04139290407359,15.686274509803921,1610612764,8,0,2021-11-23T00:16:33Z,410000,-172.0,220.0,1,right,MISS B. Beal 27' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,,,27.88,Missed,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2021-11-23T00:16:29.1Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,8,0,2021-11-23T00:16:33Z,420000,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,
43,PT08M28.00S,2021-11-23T00:16:38.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,8,0,2021-11-23T00:16:38Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M16.00S,2021-11-23T00:17:01.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,24.917871222076215,90.93137254901961,1610612766,8,3,2021-11-23T00:17:10Z,450000,-205.0,182.0,1,left,T. Rozier 27' 3PT  (3 PTS) (G. Hayward 1 AST),"[1626179, 202330]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,27.37,Made,,,,,3.0,,,,,,,G. Hayward,202330.0,1.0,,,
49,PT08M09.00S,2021-11-23T00:17:16.5Z,1,REGULAR,foul,personal,[],202330,,,1610612764,8,3,2021-11-23T00:17:25Z,490000,,,0,,G. Hayward personal FOUL (2 PF),"[202330, 1629655]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,1204.0,,,,,,,,,2.0,0.0,Gafford,1629655.0,,,,,,,,
51,PT07M56.00S,2021-11-23T00:17:42.8Z,1,REGULAR,3pt,Jump Shot,[],203484,92.72339027595268,3.6764705882352944,1610612764,11,3,2021-11-23T00:20:09Z,510000,-232.0,16.0,1,right,K. Caldwell-Pope 3PT step back (5 PTS) (B. Beal 2 AST),"[203484, 203078]",1610612764.0,WAS,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,23.21,Made,,,,,5.0,,,,,,,B. Beal,203078.0,2.0,,,
53,PT07M45.00S,2021-11-23T00:17:53.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.757555847568987,14.460784313725492,1610612766,11,6,2021-11-23T00:17:58Z,530000,178.0,199.0,1,left,T. Rozier 26' 3PT  (6 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,26.68,Made,,,,,6.0,,,,,,,M. Bridges,1628970.0,1.0,,,
55,PT07M24.00S,2021-11-23T00:18:14.3Z,1,REGULAR,3pt,Jump Shot,[],203484,90.48948751642575,96.07843137254902,1610612764,11,6,2021-11-23T00:18:23Z,550000,230.0,37.0,1,right,MISS K. Caldwell-Pope step back 3PT,[203484],1610612764.0,WAS,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,23.33,Missed,,,,,,,,,,,,,,,,,
56,PT07M21.00S,2021-11-23T00:18:17.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,11,6,2021-11-23T00:18:23Z,560000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M09.00S,2021-11-23T00:18:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,18.873193166885677,57.84313725490197,1610612766,11,8,2021-11-23T00:18:35Z,570000,-39.0,125.0,1,left,L. Ball 13' floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,,,13.09,Made,,,,,2.0,,,,,,,,,,,,
58,PT06M59.00S,2021-11-23T00:18:39.1Z,1,REGULAR,2pt,Jump Shot,[],203915,94.30026281208936,79.16666666666666,1610612764,11,8,2021-11-23T00:18:49Z,580000,146.0,1.0,1,right,MISS S. Dinwiddie 14' step back Shot,[203915],1610612764.0,WAS,step back,,,Dinwiddie,S. Dinwiddie,,,,,,,14.58,Missed,,,,,,,,,,,,,,,,,
59,PT06M53.00S,2021-11-23T00:18:45.1Z,1,REGULAR,rebound,offensive,[],1628398,,,1610612764,11,8,2021-11-23T00:19:42Z,590000,,,0,,K. Kuzma REBOUND (Off:1 Def:4),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,58.0,5.0,4.0,1.0,,,,,,,,,,,,,
60,PT06M52.00S,2021-11-23T00:18:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628398,92.32917214191852,59.31372549019608,1610612764,11,8,2021-11-23T00:19:53Z,600000,47.0,20.0,1,right,MISS K. Kuzma tip Layup,[1628398],1610612764.0,WAS,tip,,,Kuzma,K. Kuzma,,,,,,,5.06,Missed,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2021-11-23T00:18:47.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,11,8,2021-11-23T00:18:47Z,610000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
62,PT06M48.00S,2021-11-23T00:18:49.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,20.844283837056505,94.6078431372549,1610612766,11,11,2021-11-23T00:19:10Z,620000,-223.0,143.0,1,left,T. Rozier 26' 3PT  (9 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,26.51,Made,,,,,9.0,,,,,,,M. Plumlee,203486.0,1.0,,,
64,PT06M34.00S,2021-11-23T00:19:04.9Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612764,11,11,2021-11-23T00:19:28Z,640000,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 203486]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,1.0,,,,,,,,,,,,,,,,,Plumlee,203486.0,
65,PT06M34.00S,2021-11-23T00:19:04.9Z,1,REGULAR,steal,,[],203486,,,1610612766,11,11,2021-11-23T00:19:10Z,650000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2021-11-23T00:19:11.6Z,1,REGULAR,foul,personal,[],1629655,,,1610612766,11,11,2021-11-23T00:19:17Z,660000,,,0,,D. Gafford loose ball personal FOUL (1 PF),"[1629655, 203486]",1610612764.0,WAS,loose ball,,,Gafford,D. Gafford,,,,,1627519.0,,,,,,,,,1.0,0.0,Plumlee,203486.0,,,,,,,,
68,PT06M34.00S,2021-11-23T00:19:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,11,2021-11-23T00:19:19Z,680000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2021-11-23T00:20:32.0Z,1,REGULAR,substitution,out,[],203915,,,1610612766,11,11,2021-11-23T00:22:04Z,690000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2021-11-23T00:20:32.0Z,1,REGULAR,substitution,out,[],202330,,,1610612766,11,11,2021-11-23T00:22:04Z,700000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2021-11-23T00:20:32.0Z,1,REGULAR,substitution,in,[],203526,,,1610612766,11,11,2021-11-23T00:22:04Z,710000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2021-11-23T00:20:32.0Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,11,11,2021-11-23T00:22:04Z,720000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M14.00S,2021-11-23T00:22:42.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630163,20.71287779237845,36.27450980392157,1610612766,11,11,2021-11-23T00:22:46Z,730000,69.0,142.0,1,left,MISS L. Ball 15' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,,,15.79,Missed,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2021-11-23T00:22:45.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,11,11,2021-11-23T00:22:46Z,740000,,,0,,K. Kuzma REBOUND (Off:1 Def:5),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,73.0,6.0,5.0,1.0,,,,,,,,,,,,,
75,PT06M07.00S,2021-11-23T00:22:49.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629655,91.40932982917214,50.245098039215684,1610612764,13,11,2021-11-23T00:22:57Z,750000,1.0,28.0,1,right,D. Gafford cutting DUNK (2 PTS) (K. Kuzma 2 AST),"[1629655, 1628398]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,,,2.83,Made,,,,,2.0,,,,,,,K. Kuzma,1628398.0,2.0,,,
77,PT05M50.00S,2021-11-23T00:23:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628998,11.514454664914586,4.166666666666666,1610612766,13,14,2021-11-23T00:23:18Z,770000,229.0,56.0,1,left,C. Martin 3PT step back (3 PTS) (M. Plumlee 2 AST),"[1628998, 203486]",1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,,,23.59,Made,,,,,3.0,,,,,,,M. Plumlee,203486.0,2.0,,,
79,PT05M29.00S,2021-11-23T00:23:28.2Z,1,REGULAR,3pt,Jump Shot,[],203078,70.64717477003943,77.94117647058823,1610612764,16,14,2021-11-23T00:23:33Z,790000,140.0,223.0,1,right,B. Beal 26' 3PT  (5 PTS) (R. Neto 1 AST),"[203078, 203526]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,26.35,Made,,,,,5.0,,,,,,,R. Neto,203526.0,1.0,,,
81,PT05M13.00S,2021-11-23T00:23:43.3Z,1,REGULAR,2pt,Jump Shot,[],1626179,19.793035479632064,32.35294117647059,1610612766,16,16,2021-11-23T00:23:47Z,810000,88.0,134.0,1,left,T. Rozier 16' pullup Jump Shot (11 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,,,16.01,Made,,,,,11.0,,,,,,,,,,,,
82,PT05M06.00S,2021-11-23T00:23:53.3Z,1,REGULAR,foul,personal,[],1626179,,,1610612764,16,16,2021-11-23T00:23:59Z,820000,,,0,,T. Rozier personal FOUL (1 PF),"[1626179, 203526]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,1627519.0,,,,,,,,,1.0,0.0,Neto,203526.0,,,,,,,,
84,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,out,[],203484,,,1610612764,16,16,2021-11-23T00:24:13Z,840000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,16,16,2021-11-23T00:24:13Z,850000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,out,[],1628970,,,1610612764,16,16,2021-11-23T00:24:13Z,860000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,out,[],203486,,,1610612764,16,16,2021-11-23T00:24:13Z,870000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,in,[],1626149,,,1610612764,16,16,2021-11-23T00:24:13Z,880000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,16,16,2021-11-23T00:24:13Z,890000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,in,[],1626162,,,1610612764,16,16,2021-11-23T00:24:13Z,900000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M06.00S,2021-11-23T00:23:58.2Z,1,REGULAR,substitution,in,[],1630208,,,1610612764,16,16,2021-11-23T00:24:13Z,910000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M59.00S,2021-11-23T00:24:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,88.38699080157687,52.69607843137255,1610612764,18,16,2021-11-23T00:24:26Z,920000,13.0,57.0,1,right,R. Neto floating Jump Shot (2 PTS),[203526],1610612764.0,WAS,floating,,,Neto,R. Neto,,,,,,,5.83,Made,,,,,2.0,,,,,,,,,,,,
