actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M03.00S,2021-12-31T00:12:38.3Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612764,5,2,2021-12-31T00:12:42Z,210000,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1630596]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2021-12-31T00:12:38.3Z,1,REGULAR,steal,,[],1630596,,,1610612739,5,2,2021-12-31T00:12:40Z,220000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2021-12-31T00:12:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630171,7.046649145860711,55.63725490196079,1610612739,5,2,2021-12-31T00:12:52Z,230000,-28.0,14.0,1,left,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,3.14,Missed,,,,,,,,,,,,,,,
24,PT09M54.00S,2021-12-31T00:12:46.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,2,2021-12-31T00:12:46Z,240000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M46.00S,2021-12-31T00:12:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,92.9862023653088,49.26470588235294,1610612764,7,2,2021-12-31T00:22:21Z,250000,-4.0,13.0,1,right,B. Beal cutting Layup (4 PTS) (K. Kuzma 1 AST),"[203078, 1628398]",1610612764.0,WAS,cutting,,,Beal,B. Beal,,,,,,,,1.39,Made,4.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,
27,PT09M34.00S,2021-12-31T00:13:06.1Z,1,REGULAR,2pt,Jump Shot,[],201567,28.86005256241787,54.41176470588235,1610612739,7,4,2021-12-31T00:13:14Z,270000,-22.0,219.0,1,left,K. Love 21' pullup Jump Shot (2 PTS) (K. Pangos 1 AST),"[201567, 1630698]",1610612739.0,CLE,pullup,,,Love,K. Love,,,,,,,,21.99,Made,2.0,K. Pangos,1630698.0,1.0,,,,,,,,,,,
29,PT09M14.00S,2021-12-31T00:13:26.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,70.90998685939553,19.11764705882353,1610612764,7,4,2021-12-31T00:13:33Z,290000,-154.0,221.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,26.95,Missed,,,,,,,,,,,,,,,
30,PT09M11.00S,2021-12-31T00:13:29.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,7,4,2021-12-31T00:13:33Z,300000,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,
31,PT09M02.00S,2021-12-31T00:13:38.2Z,1,REGULAR,3pt,Jump Shot,[],201567,31.750985545335087,20.833333333333336,1610612739,7,7,2021-12-31T00:13:46Z,310000,146.0,246.0,1,left,K. Love 28' 3PT  (5 PTS) (K. Pangos 2 AST),"[201567, 1630698]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,28.6,Made,5.0,K. Pangos,1630698.0,2.0,,,,,,,,,,,
33,PT08M46.00S,2021-12-31T00:13:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,92.46057818659659,49.50980392156863,1610612764,9,7,2021-12-31T00:14:01Z,330000,-2.0,18.0,1,right,D. Gafford cutting DUNK (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,,,,1.86,Made,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,
35,PT08M35.00S,2021-12-31T00:14:05.4Z,1,REGULAR,3pt,Jump Shot,[],201567,32.14520367936925,69.36274509803921,1610612739,9,10,2021-12-31T00:14:12Z,350000,-97.0,250.0,1,left,K. Love 26' 3PT pullup (8 PTS),[201567],1610612739.0,CLE,pullup,,,Love,K. Love,,,,,,,,26.78,Made,8.0,,,,,,,,,,,,,,
36,PT08M19.00S,2021-12-31T00:14:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,88.25558475689881,50.49019607843137,1610612764,11,10,2021-12-31T00:14:30Z,360000,2.0,58.0,1,right,K. Kuzma driving finger roll Layup (5 PTS),[1628398],1610612764.0,WAS,driving finger roll,,,Kuzma,K. Kuzma,,,,,,,,5.8,Made,5.0,,,,,,,,,,,,,,
37,PT08M07.00S,2021-12-31T00:14:33.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,16.63929040735874,51.9607843137255,1610612739,11,10,2021-12-31T00:14:45Z,370000,-10.0,104.0,1,left,MISS L. Markkanen 10' turnaround Hook - blocked,"[1628374, 203484]",1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,,,,10.44,Missed,,,,,,,,,Caldwell-Pope,203484.0,,,,,
38,PT08M07.00S,2021-12-31T00:14:33.7Z,1,REGULAR,block,,[],203484,,,1610612739,11,10,2021-12-31T00:14:36Z,380000,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M02.00S,2021-12-31T00:14:38.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,11,10,2021-12-31T00:14:45Z,390000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,
40,PT08M02.00S,2021-12-31T00:14:40.2Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,11,10,2021-12-31T00:24:34Z,400000,,,0,,K. Kuzma bad pass out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,bad pass,,,Kuzma,K. Kuzma,,,,,1.0,,,,,,,,,,,,,,,202901.0,,,,
41,PT07M44.00S,2021-12-31T00:15:06.0Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612739,11,10,2021-12-31T00:15:12Z,410000,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 202954]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,1.0,Wanamaker,202954.0,,,,,,,,,,,,,,,,,
42,PT07M44.00S,2021-12-31T00:15:06.0Z,1,REGULAR,steal,,[],202954,,,1610612764,11,10,2021-12-31T00:15:09Z,420000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612764.0,WAS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M30.00S,2021-12-31T00:15:19.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202954,75.50919842312747,69.6078431372549,1610612764,11,10,2021-12-31T00:15:28Z,430000,98.0,178.0,1,right,MISS B. Wanamaker 20' pullup Shot,[202954],1610612764.0,WAS,pullup,,,Wanamaker,B. Wanamaker,,,,,,,,20.29,Missed,,,,,,,,,,,,,,,
44,PT07M27.00S,2021-12-31T00:15:22.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,11,10,2021-12-31T00:15:28Z,440000,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,
45,PT07M15.00S,2021-12-31T00:15:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,11.251642575558476,53.431372549019606,1610612739,11,12,2021-12-31T00:15:42Z,450000,-17.0,53.0,1,left,E. Mobley turnaround Hook (4 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,,,,5.6,Made,4.0,,,,,,,,,,,,,,
47,PT06M56.00S,2021-12-31T00:15:54.4Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612764,11,12,2021-12-31T00:16:00Z,470000,,,0,,K. Caldwell-Pope bad pass TURNOVER (2 TO),"[203484, 201567]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,2.0,Love,201567.0,,,,,,,,,,,,,,,,,
48,PT06M56.00S,2021-12-31T00:15:54.4Z,1,REGULAR,steal,,[],201567,,,1610612739,11,12,2021-12-31T00:15:56Z,480000,,,0,,K. Love STEAL (1 STL),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M49.00S,2021-12-31T00:16:01.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,5.601182654402102,97.54901960784314,1610612739,11,12,2021-12-31T00:16:11Z,490000,-238.0,0.0,1,left,MISS K. Love 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,23.77,Missed,,,,,,,,,,,,,,,
50,PT06M48.00S,2021-12-31T00:16:02.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,11,12,2021-12-31T00:16:11Z,500000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,
122,PT06M48.00S,2021-12-31T00:16:07.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,11,12,2021-12-31T00:28:15Z,505000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M48.00S,2021-12-31T00:16:13.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,12,2021-12-31T00:16:13Z,510000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M48.00S,2021-12-31T00:18:28.7Z,1,REGULAR,substitution,out,[],203078,,,1610612764,11,12,2021-12-31T00:19:10Z,520000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M48.00S,2021-12-31T00:18:28.7Z,1,REGULAR,substitution,out,[],201567,,,1610612764,11,12,2021-12-31T00:19:10Z,540000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M48.00S,2021-12-31T00:18:28.7Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,11,12,2021-12-31T00:19:10Z,550000,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2021-12-31T00:18:28.7Z,1,REGULAR,substitution,in,[],1629731,,,1610612764,11,12,2021-12-31T00:19:10Z,570000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M36.00S,2021-12-31T00:19:18.4Z,1,REGULAR,2pt,Jump Shot,[],202954,92.19776609724047,71.56862745098039,1610612764,11,12,2021-12-31T00:34:05Z,580000,108.0,21.0,1,right,MISS B. Wanamaker 10' fadeaway Shot,[202954],1610612764.0,WAS,fadeaway,,,Wanamaker,B. Wanamaker,,,,,,,,10.98,Missed,,,,,,,,,,,,,,,
60,PT06M33.00S,2021-12-31T00:19:21.4Z,1,REGULAR,rebound,defensive,[],1630698,,,1610612739,11,12,2021-12-31T00:19:28Z,590000,,,0,,K. Pangos REBOUND (Off:0 Def:1),[1630698],1610612739.0,CLE,,,,Pangos,K. Pangos,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,
61,PT06M22.00S,2021-12-31T00:19:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,11.251642575558476,45.588235294117645,1610612739,11,14,2021-12-31T00:29:52Z,600000,22.0,53.0,1,left,E. Mobley cutting Layup (6 PTS) (K. Pangos 3 AST),"[1630596, 1630698]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,,,,5.77,Made,6.0,K. Pangos,1630698.0,3.0,,,,,,,,,,,
63,PT06M13.00S,2021-12-31T00:19:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,84.57621550591328,37.5,1610612764,13,14,2021-12-31T00:35:05Z,620000,-62.0,92.0,1,right,K. Kuzma 11' driving floating Jump Shot (7 PTS) (B. Wanamaker 2 AST),"[1628398, 202954]",1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,,,,11.16,Made,7.0,B. Wanamaker,202954.0,2.0,,,,,,,,,,,
65,PT06M13.00S,2021-12-31T00:19:47.8Z,1,REGULAR,foul,personal,['1freethrow'],1629731,,,1610612764,13,14,2021-12-31T00:19:59Z,640000,,,0,,D. Wade shooting personal FOUL (1 PF) (Kuzma 1 FT),"[1629731, 1628398]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Kuzma,1628398.0
67,PT06M13.00S,2021-12-31T00:20:06.7Z,1,REGULAR,substitution,out,[],203484,,,1610612764,13,14,2021-12-31T00:20:24Z,660000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M13.00S,2021-12-31T00:20:06.7Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,13,14,2021-12-31T00:20:24Z,670000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M13.00S,2021-12-31T00:20:23.0Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,13,14,2021-12-31T00:20:27Z,680000,,,0,,MISS K. Kuzma Free Throw 1 of 1,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,Missed,,,,,,,,,,,,,,,
70,PT06M10.00S,2021-12-31T00:20:26.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,13,14,2021-12-31T00:20:27Z,690000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,
71,PT05M58.00S,2021-12-31T00:20:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630698,9.280551905387648,42.8921568627451,1610612739,13,14,2021-12-31T00:20:44Z,700000,36.0,35.0,1,left,MISS K. Pangos driving Layup,[1630698],1610612739.0,CLE,driving,,,Pangos,K. Pangos,,,,,,,,4.96,Missed,,,,,,,,,,,,,,,
72,PT05M56.00S,2021-12-31T00:20:38.9Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612739,13,14,2021-12-31T00:20:44Z,710000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,
73,PT05M55.00S,2021-12-31T00:20:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,9.280551905387648,50.49019607843137,1610612739,13,14,2021-12-31T00:36:47Z,720000,-2.0,35.0,1,left,MISS L. Markkanen Layup - blocked,"[1628374, 1629655]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,3.48,Missed,,,,,,,,,Gafford,1629655.0,,,,,
74,PT05M55.00S,2021-12-31T00:20:40.5Z,1,REGULAR,block,,[],1629655,,,1610612739,13,14,2021-12-31T00:20:43Z,730000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2021-12-31T00:20:40.5Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,13,14,2021-12-31T00:20:56Z,740000,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,73.0,2.0,0.0,2.0,,,,,,,
76,PT05M48.00S,2021-12-31T00:20:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,8.886333771353483,49.754901960784316,1610612739,13,16,2021-12-31T00:21:00Z,750000,1.0,31.0,1,left,E. Mobley reverse Layup (8 PTS),[1630596],1610612739.0,CLE,reverse,,,Mobley,E. Mobley,,,,,,,,3.1,Made,8.0,,,,,,,,,,,,,,
77,PT05M39.00S,2021-12-31T00:20:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,91.01511169513797,53.92156862745098,1610612764,15,16,2021-12-31T00:37:40Z,760000,20.0,32.0,1,right,D. Avdija driving Layup (2 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,,,,3.75,Made,2.0,,,,,,,,,,,,,,
78,PT05M29.00S,2021-12-31T00:21:05.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,32.802233902759525,67.40196078431373,1610612739,15,16,2021-12-31T00:21:14Z,770000,-87.0,256.0,1,left,MISS E. Mobley 27' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,27.02,Missed,,,,,,,,,,,,,,,
79,PT05M29.00S,2021-12-31T00:21:05.1Z,1,REGULAR,rebound,defensive,[],202954,,,1610612764,15,16,2021-12-31T00:40:03Z,780000,,,0,,B. Wanamaker REBOUND (Off:0 Def:2),[202954],1610612764.0,WAS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,
80,PT05M21.00S,2021-12-31T00:21:13.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202954,84.57621550591328,19.607843137254903,1610612764,15,16,2021-12-31T00:43:31Z,790000,-152.0,92.0,1,right,MISS B. Wanamaker 17' turnaround fadeaway Shot,[202954],1610612764.0,WAS,turnaround fadeaway,,,Wanamaker,B. Wanamaker,,,,,,,,17.79,Missed,,,,,,,,,,,,,,,
81,PT05M15.00S,2021-12-31T00:21:19.7Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,15,16,2021-12-31T00:21:22Z,800000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,80.0,2.0,1.0,1.0,,,,,,,
82,PT05M15.00S,2021-12-31T00:21:19.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,94.40999984741211,50.0,1610612764,17,16,2021-12-31T00:41:26Z,810000,0.0,0.0,1,right,D. Gafford tip Layup (4 PTS),[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,
83,PT05M05.00S,2021-12-31T00:21:31.3Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612739,17,16,2021-12-31T00:42:29Z,820000,,,0,,I. Okoro lost ball out-of-bounds TURNOVER (2 TO),[1630171],1610612739.0,CLE,lost ball,,,Okoro,I. Okoro,,,,,2.0,,,,,,,,,,,,,,,202901.0,,,,
240,PT05M05.00S,2021-12-31T00:21:41.7Z,1,REGULAR,substitution,out,[],202954,,,1610612764,17,16,2021-12-31T00:48:32Z,845000,,,0,,SUB out: B. Wanamaker,[202954],1610612764.0,WAS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M05.00S,2021-12-31T00:21:41.7Z,1,REGULAR,substitution,in,[],1630648,,,1610612764,17,16,2021-12-31T00:48:32Z,857500,,,0,,SUB in: J. Schakel,[1630648],1610612764.0,WAS,,,,Schakel,J. Schakel,,,,,,,,,,,,,,,,,,,,,,,,
284,PT05M05.00S,2021-12-31T00:21:41.7Z,1,REGULAR,substitution,out,[],1630698,,,1610612764,17,16,2021-12-31T00:54:35Z,863750,,,0,,SUB out: K. Pangos,[1630698],1610612739.0,CLE,,,,Pangos,K. Pangos,,,,,,,,,,,,,,,,,,,,,,,,
