actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
18,PT10M41.00S,2022-02-15T00:13:34.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630595,8.492115637319317,52.450980392156865,1610612765,2,4,2022-02-15T00:13:39Z,180000,-12.0,27.0,1,left,C. Cunningham Layup (2 PTS) (S. Bey 1 AST),"[1630595, 1630180]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,2.99,Made,,2.0,,,,,,,S. Bey,1630180.0,1.0,,,,,,,,
20,PT10M20.00S,2022-02-15T00:13:57.3Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,2,4,2022-02-15T00:14:12Z,200000,,,0,,K. Kuzma step out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,step,,,Kuzma,K. Kuzma,,,,,,,,,203592.0,,,,,1.0,,,,,,,,,,,
22,PT10M07.00S,2022-02-15T00:14:21.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203924,20.18725361366623,19.362745098039216,1610612765,2,4,2022-02-15T00:14:28Z,220000,153.0,137.0,1,left,MISS J. Grant 20' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,20.57,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2022-02-15T00:14:24.5Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,2,4,2022-02-15T00:14:28Z,230000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,22.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
24,PT10M00.00S,2022-02-15T00:14:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,93.38042049934296,44.6078431372549,1610612764,2,4,2022-02-15T00:14:35Z,240000,-27.0,10.0,1,right,MISS R. Neto Layup,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,2.87,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2022-02-15T00:14:32.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,4,2022-02-15T00:18:03Z,250000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,24.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
26,PT09M45.00S,2022-02-15T00:14:44.1Z,1,REGULAR,2pt,Jump Shot,[],1630180,24.392247043363994,45.83333333333333,1610612765,2,4,2022-02-15T00:14:49Z,260000,21.0,177.0,1,left,MISS S. Bey 17' pullup Shot,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,17.8,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2022-02-15T00:14:47.1Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612764,2,4,2022-02-15T00:14:49Z,270000,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,26.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
28,PT09M24.00S,2022-02-15T00:15:04.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628418,93.9060446780552,50.0,1610612764,4,4,2022-02-15T00:15:12Z,280000,0.0,5.0,1,right,T. Bryant DUNK (2 PTS),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,0.48,Made,,2.0,,,,,,,,,,,,,,,,,
30,PT09M11.00S,2022-02-15T00:15:17.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,24.52365308804205,90.93137254901961,1610612765,4,7,2022-02-15T00:15:23Z,300000,-205.0,178.0,1,left,S. Bey 27' 3PT  (5 PTS) (C. Joseph 1 AST),"[1630180, 202709]",1610612765.0,DET,,,,Bey,S. Bey,,,,,27.13,Made,,5.0,,,,,,,C. Joseph,202709.0,1.0,,,,,,,,
32,PT08M54.00S,2022-02-15T00:15:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,93.9060446780552,49.50980392156863,1610612764,6,7,2022-02-15T00:15:39Z,320000,-2.0,5.0,1,right,R. Neto reverse Layup (2 PTS),[203526],1610612764.0,WAS,reverse,,,Neto,R. Neto,,,,,0.54,Made,,2.0,,,,,,,,,,,,,,,,,
33,PT08M44.00S,2022-02-15T00:15:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,32.276609724047304,61.51960784313726,1610612765,6,7,2022-02-15T00:15:49Z,330000,-58.0,251.0,1,left,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M41.00S,2022-02-15T00:15:47.5Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,6,7,2022-02-15T00:15:49Z,340000,,,0,,R. Neto REBOUND (Off:0 Def:2),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,33.0,,,,,,,,,,,2.0,2.0,0.0,,,,,
35,PT08M38.00S,2022-02-15T00:15:51.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630557,93.64323258869908,47.30392156862745,1610612764,8,7,2022-02-15T00:16:17Z,350000,-13.0,7.0,1,right,C. Kispert reverse Layup (2 PTS) (R. Neto 1 AST),"[1630557, 203526]",1610612764.0,WAS,reverse,,,Kispert,C. Kispert,,,,,1.53,Made,,2.0,,,,,,,R. Neto,203526.0,1.0,,,,,,,,
37,PT08M38.00S,2022-02-15T00:15:56.7Z,1,REGULAR,violation,defensive goaltending,[],203924,,,1610612764,8,7,2022-02-15T00:16:17Z,370000,,,0,,J. Grant defensive goaltending VIOLATION,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,203592.0,,,,,,,,,,,,,,,,
38,PT08M19.00S,2022-02-15T00:16:22.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203924,13.748357424441524,46.32352941176471,1610612765,8,7,2022-02-15T00:16:31Z,380000,18.0,77.0,1,left,MISS J. Grant 7' Hook,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,7.89,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M15.00S,2022-02-15T00:16:26.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,8,7,2022-02-15T00:16:31Z,390000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,38.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
40,PT08M05.00S,2022-02-15T00:16:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,87.46714848883047,44.11764705882353,1610612764,8,7,2022-02-15T00:23:07Z,400000,-29.0,65.0,1,right,MISS K. Caldwell-Pope 7' floating Shot,[203484],1610612764.0,WAS,floating,,,Caldwell-Pope,K. Caldwell-Pope,,,,,7.16,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M04.00S,2022-02-15T00:16:40.3Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612764,8,7,2022-02-15T00:23:07Z,410000,,,0,,T. Bryant REBOUND (Off:1 Def:1),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,40.0,,,,,,,,,,,2.0,1.0,1.0,,,,,
42,PT08M03.00S,2022-02-15T00:16:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628418,90.88370565045992,46.81372549019608,1610612764,8,7,2022-02-15T00:23:28Z,420000,-16.0,33.0,1,right,MISS T. Bryant Layup,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,3.68,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M02.00S,2022-02-15T00:16:43.9Z,1,REGULAR,rebound,offensive,[],1628418,,,1610612764,8,7,2022-02-15T00:23:28Z,430000,,,0,,T. Bryant REBOUND (Off:2 Def:1),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,42.0,,,,,,,,,,,3.0,1.0,2.0,,,,,
44,PT08M02.00S,2022-02-15T00:16:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628418,93.24901445466492,51.71568627450981,1610612764,8,7,2022-02-15T00:23:44Z,440000,9.0,11.0,1,right,MISS T. Bryant Layup - blocked,"[1628418, 203924]",1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,1.4,Missed,,,,,,,,,,,,,,,Grant,203924.0,,,
66,PT08M02.00S,2022-02-15T00:16:46.9Z,1,REGULAR,block,,[],203924,,,1610612764,8,7,2022-02-15T00:22:33Z,445000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2022-02-15T00:16:47.9Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,8,7,2022-02-15T00:23:44Z,450000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,44.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
46,PT07M55.00S,2022-02-15T00:16:53.0Z,1,REGULAR,turnover,lost ball,[],203924,,,1610612765,8,7,2022-02-15T00:23:57Z,460000,,,0,,J. Grant lost ball TURNOVER (1 TO),"[203924, 203526]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,1.0,,,,,,,,,Neto,203526.0,
47,PT07M55.00S,2022-02-15T00:16:53.0Z,1,REGULAR,steal,,[],203526,,,1610612764,8,7,2022-02-15T00:16:55Z,470000,,,0,,R. Neto STEAL (1 STL),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M51.00S,2022-02-15T00:17:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628398,92.9862023653088,51.470588235294116,1610612764,8,7,2022-02-15T00:24:37Z,480000,7.0,13.0,1,right,MISS K. Kuzma Layup,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,1.53,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M50.00S,2022-02-15T00:17:01.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,8,7,2022-02-15T00:24:37Z,490000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,48.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
52,PT07M38.00S,2022-02-15T00:17:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,8.886333771353483,52.450980392156865,1610612765,8,9,2022-02-15T00:17:31Z,520000,-12.0,31.0,1,left,S. Bey Jump Shot (7 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,3.34,Made,,7.0,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2022-02-15T00:17:26.2Z,1,REGULAR,foul,personal,['1freethrow'],203526,,,1610612765,8,9,2022-02-15T00:17:35Z,530000,,,0,,R. Neto shooting personal FOUL (1 PF) (Bey 1 FT),"[203526, 1630180]",1610612764.0,WAS,shooting,,,Neto,R. Neto,,,,,,,,,203592.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,
55,PT07M38.00S,2022-02-15T00:17:39.7Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612765,8,9,2022-02-15T00:17:39Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M38.00S,2022-02-15T00:18:35.0Z,1,REGULAR,freethrow,1 of 1,[],1630180,,,1610612765,8,10,2022-02-15T00:18:35Z,560000,,,0,,S. Bey Free Throw 1 of 1 (8 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Made,,8.0,,,,,,,,,,,,,,,,,
57,PT07M30.00S,2022-02-15T00:18:46.5Z,1,REGULAR,foul,personal,[],1630595,,,1610612764,8,10,2022-02-15T00:18:52Z,570000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 203484]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,202058.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,
59,PT07M23.00S,2022-02-15T00:19:10.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,92.19776609724047,2.941176470588235,1610612764,8,10,2022-02-15T00:19:16Z,590000,-235.0,21.0,1,right,MISS K. Kuzma step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,23.62,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M20.00S,2022-02-15T00:19:13.5Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,8,10,2022-02-15T00:19:16Z,600000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,59.0,,,,,,,,,,,2.0,2.0,0.0,,,,,
61,PT07M12.00S,2022-02-15T00:19:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,12.697109067017081,36.76470588235294,1610612765,8,10,2022-02-15T00:19:25Z,610000,66.0,67.0,1,left,MISS C. Cunningham 9' floating Shot,[1630595],1610612765.0,DET,floating,,,Cunningham,C. Cunningham,,,,,9.41,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M12.00S,2022-02-15T00:19:21.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,8,10,2022-02-15T00:19:25Z,620000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,
63,PT07M12.00S,2022-02-15T00:19:26.3Z,1,REGULAR,foul,personal,[],1630191,,,1610612764,8,10,2022-02-15T00:30:00Z,630000,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 203484]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,,,,,202058.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,
65,PT07M02.00S,2022-02-15T00:19:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,83.78777923784494,58.57843137254902,1610612764,10,10,2022-02-15T00:20:10Z,650000,43.0,100.0,1,right,R. Neto 10' floating Jump Shot (4 PTS),[203526],1610612764.0,WAS,floating,,,Neto,R. Neto,,,,,10.87,Made,,4.0,,,,,,,,,,,,,,,,,
67,PT06M51.00S,2022-02-15T00:20:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202709,14.931011826544022,39.21568627450981,1610612765,10,10,2022-02-15T00:20:14Z,660000,54.0,88.0,1,left,MISS C. Joseph 10' fadeaway Shot,[202709],1610612765.0,DET,fadeaway,,,Joseph,C. Joseph,,,,,10.31,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M51.00S,2022-02-15T00:20:01.3Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,10,10,2022-02-15T00:20:14Z,670000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,67.0,,,,,,,,,,,1.0,1.0,0.0,,,,,
69,PT06M33.00S,2022-02-15T00:20:19.0Z,1,REGULAR,3pt,Jump Shot,[],203526,79.05716162943496,7.8431372549019605,1610612764,10,10,2022-02-15T00:20:29Z,680000,-211.0,144.0,1,right,MISS R. Neto 25' 3PT,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2022-02-15T00:20:20.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,10,10,2022-02-15T00:22:03Z,690000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,
73,PT06M32.00S,2022-02-15T00:20:28.1Z,1,REGULAR,turnover,offensive goaltending,[],1628398,,,1610612764,10,10,2022-02-15T00:21:35Z,700000,,,0,,K. Kuzma offensive goaltending TURNOVER (2 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,202058.0,,,,,2.0,,,,,,,,,,,
72,PT06M32.00S,2022-02-15T00:20:37.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,10,10,2022-02-15T00:20:37Z,710000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M32.00S,2022-02-15T00:22:30.8Z,1,REGULAR,substitution,out,[],1628418,,,1610612765,10,10,2022-02-15T00:23:16Z,720000,,,0,,SUB out: T. Bryant,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M32.00S,2022-02-15T00:22:30.8Z,1,REGULAR,substitution,out,[],1630557,,,1610612765,10,10,2022-02-15T00:23:16Z,730000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M32.00S,2022-02-15T00:22:30.8Z,1,REGULAR,substitution,in,[],1629060,,,1610612765,10,10,2022-02-15T00:23:16Z,740000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M32.00S,2022-02-15T00:22:30.8Z,1,REGULAR,substitution,in,[],1630166,,,1610612765,10,10,2022-02-15T00:23:16Z,750000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2022-02-15T00:23:36.6Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612765,10,10,2022-02-15T00:23:40Z,760000,,,0,,J. Grant bad pass TURNOVER (2 TO),"[203924, 1630166]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,2.0,,,,,,,,,Avdija,1630166.0,
79,PT06M21.00S,2022-02-15T00:23:36.6Z,1,REGULAR,steal,,[],1630166,,,1610612764,10,10,2022-02-15T00:23:38Z,770000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2022-02-15T00:23:58.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,75.64060446780552,20.34313725490196,1610612764,10,10,2022-02-15T00:24:04Z,780000,-148.0,176.0,1,right,MISS K. Caldwell-Pope 23' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M56.00S,2022-02-15T00:24:01.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,10,10,2022-02-15T00:24:04Z,790000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,80.0,,,,,,,,,,,2.0,2.0,0.0,,,,,
82,PT05M50.00S,2022-02-15T00:24:09.2Z,1,REGULAR,turnover,out-of-bounds,[],1630191,,,1610612765,10,10,2022-02-15T00:24:17Z,800000,,,0,,I. Stewart lost ball out-of-bounds TURNOVER (1 TO),[1630191],1610612765.0,DET,lost ball,,,Stewart,I. Stewart,,,,,,,,,203592.0,,,,,1.0,,,,,,,,,,,
84,PT05M30.00S,2022-02-15T00:24:38.0Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,10,10,2022-02-15T00:24:41Z,820000,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1630595]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,1.0,,,,,,,,,Cunningham,1630595.0,
85,PT05M30.00S,2022-02-15T00:24:38.0Z,1,REGULAR,steal,,[],1630595,,,1610612765,10,10,2022-02-15T00:24:39Z,830000,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M27.00S,2022-02-15T00:24:41.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630595,7.178055190538765,49.50980392156863,1610612765,10,10,2022-02-15T00:27:36Z,840000,2.0,15.0,1,left,MISS C. Cunningham running DUNK - blocked,"[1630595, 203484]",1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,1.52,Missed,,,,,,,,,,,,,,,Caldwell-Pope,203484.0,,,
87,PT05M27.00S,2022-02-15T00:24:41.4Z,1,REGULAR,block,,[],203484,,,1610612765,10,10,2022-02-15T00:24:43Z,850000,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M24.00S,2022-02-15T00:24:44.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,10,10,2022-02-15T00:24:47Z,860000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,86.0,,,,,,,,,,,2.0,2.0,0.0,,,,,
89,PT05M20.00S,2022-02-15T00:24:48.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630166,89.56964520367937,95.09803921568627,1610612764,13,10,2022-02-15T00:24:58Z,870000,225.0,46.0,1,right,D. Avdija 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1630166, 203484]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,23.0,Made,,3.0,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,
91,PT04M59.00S,2022-02-15T00:25:09.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,27.020367936925098,84.06862745098039,1610612765,13,13,2022-02-15T00:25:15Z,890000,-170.0,201.0,1,left,S. Bey 26' 3PT  (11 PTS) (C. Cunningham 1 AST),"[1630180, 1630595]",1610612765.0,DET,,,,Bey,S. Bey,,,,,26.38,Made,,11.0,,,,,,,C. Cunningham,1630595.0,1.0,,,,,,,,
93,PT04M36.00S,2022-02-15T00:25:31.7Z,1,REGULAR,2pt,Jump Shot,[],1629060,83.78777923784494,83.08823529411765,1610612764,13,13,2022-02-15T00:25:43Z,910000,165.0,100.0,1,right,MISS R. Hachimura 19' pullup Shot,[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,19.32,Missed,,,,,,,,,,,,,,,,,,,
94,PT04M36.00S,2022-02-15T00:25:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,13,13,2022-02-15T00:25:43Z,920000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,
