actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
16,PT10M21.00S,2022-02-13T00:12:40.1Z,1,REGULAR,2pt,Jump Shot,[],1628418,72.48685939553219,49.754901960784316,1610612764,2,4,2022-02-13T00:12:44Z,160000,-1.0,206.0,1,right,T. Bryant 20' Jump Shot (2 PTS) (C. Kispert 1 AST),"[1628418, 1630557]",1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,20.61,Made,2.0,,,,,C. Kispert,1630557.0,1.0,,,,,,,,,,,
18,PT10M04.00S,2022-02-13T00:12:57.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,14.273981603153747,18.872549019607842,1610612758,2,6,2022-02-13T00:13:03Z,180000,156.0,82.0,1,left,D. Fox 17' Jump Shot (4 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,17.57,Made,4.0,,,,,,,,,,,,,,,,,,
20,PT09M51.00S,2022-02-13T00:13:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,92.85479632063075,55.14705882352941,1610612764,4,6,2022-02-13T00:13:15Z,200000,26.0,15.0,1,right,C. Kispert cutting Layup (2 PTS) (T. Bryant 1 AST),"[1630557, 1628418]",1610612764.0,WAS,cutting,,,Kispert,C. Kispert,,,,,2.96,Made,2.0,,,,,T. Bryant,1628418.0,1.0,,,,,,,,,,,
22,PT09M29.00S,2022-02-13T00:13:32.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,8.360709592641262,3.6764705882352944,1610612758,4,6,2022-02-13T00:15:40Z,220000,232.0,26.0,1,left,MISS D. Fox pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M28.00S,2022-02-13T00:13:33.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,4,6,2022-02-13T00:13:37Z,230000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2022-02-13T00:13:38.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,4,6,2022-02-13T00:13:38Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M13.00S,2022-02-13T00:13:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,93.51182654402102,44.36274509803921,1610612764,6,6,2022-02-13T00:14:02Z,250000,-28.0,8.0,1,right,K. Caldwell-Pope cutting Layup (2 PTS) (K. Kuzma 1 AST),"[203484, 1628398]",1610612764.0,WAS,cutting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,2.95,Made,2.0,,,,,K. Kuzma,1628398.0,1.0,,,,,,,,,,,
27,PT08M59.00S,2022-02-13T00:14:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203084,8.886333771353483,52.69607843137255,1610612758,6,8,2022-02-13T00:14:15Z,270000,-13.0,31.0,1,left,H. Barnes cutting DUNK (2 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,3.38,Made,2.0,,,,,D. Sabonis,1627734.0,1.0,,,,,,,,,,,
29,PT08M44.00S,2022-02-13T00:14:25.3Z,1,REGULAR,3pt,Jump Shot,[],203526,74.72076215505913,12.254901960784313,1610612764,6,8,2022-02-13T00:14:30Z,290000,-189.0,185.0,1,right,MISS R. Neto 26' 3PT,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M41.00S,2022-02-13T00:14:28.3Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,6,8,2022-02-13T00:14:30Z,300000,,,0,,M. Harkless REBOUND (Off:0 Def:3),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT08M31.00S,2022-02-13T00:14:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,8.229303547963205,55.392156862745104,1610612758,6,10,2022-02-13T00:14:44Z,310000,-27.0,25.0,1,left,D. Fox driving Layup (6 PTS) (D. Sabonis 2 AST),"[1628368, 1627734]",1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,3.67,Made,6.0,,,,,D. Sabonis,1627734.0,2.0,,,,,,,,,,,
33,PT08M12.00S,2022-02-13T00:14:57.8Z,1,REGULAR,2pt,Jump Shot,[],203484,74.98357424441524,61.274509803921575,1610612764,8,10,2022-02-13T00:15:01Z,330000,56.0,183.0,1,right,K. Caldwell-Pope 19' pullup Jump Shot (4 PTS),[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,19.12,Made,4.0,,,,,,,,,,,,,,,,,,
34,PT07M54.00S,2022-02-13T00:15:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.652431011826544,53.67647058823529,1610612758,8,12,2022-02-13T00:15:20Z,340000,-18.0,10.0,1,left,D. Sabonis cutting Layup (2 PTS) (H. Barnes 2 AST),"[1627734, 203084]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,2.09,Made,2.0,,,,,H. Barnes,203084.0,2.0,,,,,,,,,,,
36,PT07M40.00S,2022-02-13T00:15:29.4Z,1,REGULAR,3pt,Jump Shot,[],203526,68.01905387647832,30.14705882352941,1610612764,8,12,2022-02-13T00:15:36Z,360000,-99.0,248.0,1,right,MISS R. Neto 26' 3PT,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,26.72,Missed,,,,,,,,,,,,,,,,,,,
37,PT07M34.00S,2022-02-13T00:15:35.4Z,1,REGULAR,rebound,defensive,[],203200,,,1610612758,8,12,2022-02-13T00:15:36Z,370000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT07M30.00S,2022-02-13T00:15:39.8Z,1,REGULAR,3pt,Jump Shot,[],203200,22.026938239159,7.598039215686274,1610612758,8,12,2022-02-13T00:15:46Z,380000,212.0,155.0,1,left,MISS J. Holiday 26' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
39,PT07M27.00S,2022-02-13T00:15:42.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,8,12,2022-02-13T00:15:46Z,390000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M05.00S,2022-02-13T00:16:07.2Z,1,REGULAR,3pt,Jump Shot,[],1630557,75.1149802890933,13.23529411764706,1610612764,8,12,2022-02-13T00:16:45Z,400000,-184.0,181.0,1,right,MISS C. Kispert 25' 3PT - blocked,"[1630557, 203090]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,25.82,Missed,,,,,,,,,Harkless,203090.0,,,,,,,,,
41,PT07M05.00S,2022-02-13T00:16:07.2Z,1,REGULAR,block,,[],203090,,,1610612764,8,12,2022-02-13T00:16:11Z,410000,,,0,,M. Harkless BLOCK (1 BLK),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M05.00S,2022-02-13T00:16:07.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,8,12,2022-02-13T00:16:45Z,420000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
43,PT07M05.00S,2022-02-13T00:16:12.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612764,8,12,2022-02-13T00:16:21Z,430000,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,,,
44,PT06M51.00S,2022-02-13T00:16:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203200,10.726018396846255,53.67647058823529,1610612758,8,12,2022-02-13T00:16:55Z,440000,-18.0,48.0,1,left,MISS J. Holiday driving Layup,[203200],1610612758.0,SAC,driving,,,Holiday,J. Holiday,,,,,5.17,Missed,,,,,,,,,,,,,,,,,,,
45,PT06M51.00S,2022-02-13T00:16:32.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,8,12,2022-02-13T00:16:55Z,450000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT06M51.00S,2022-02-13T00:16:35.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,8,12,2022-02-13T00:16:35Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M51.00S,2022-02-13T00:17:33.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,8,12,2022-02-13T00:17:33Z,470000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M51.00S,2022-02-13T00:17:39.9Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,8,12,2022-02-13T00:19:31Z,480000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M51.00S,2022-02-13T00:17:39.9Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,8,12,2022-02-13T00:19:31Z,490000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M33.00S,2022-02-13T00:19:56.2Z,1,REGULAR,3pt,Jump Shot,[],203484,71.56701708278581,76.47058823529412,1610612764,8,12,2022-02-13T00:20:01Z,500000,132.0,215.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M30.00S,2022-02-13T00:19:59.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,8,12,2022-02-13T00:20:01Z,510000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT06M25.00S,2022-02-13T00:20:04.6Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,8,12,2022-02-13T00:20:10Z,520000,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1630166]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,
53,PT06M25.00S,2022-02-13T00:20:04.6Z,1,REGULAR,steal,,[],1630166,,,1610612764,8,12,2022-02-13T00:20:06Z,530000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M21.00S,2022-02-13T00:20:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628398,92.9862023653088,54.90196078431373,1610612764,10,12,2022-02-13T00:20:15Z,540000,25.0,13.0,1,right,K. Kuzma running DUNK (2 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,2.79,Made,2.0,,,,,D. Avdija,1630166.0,1.0,,,,,,,,,,,
56,PT06M08.00S,2022-02-13T00:20:20.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203084,16.90210249671485,45.83333333333333,1610612758,10,14,2022-02-13T00:20:25Z,560000,21.0,106.0,1,left,H. Barnes 10' driving Hook (4 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,10.84,Made,4.0,,,,,,,,,,,,,,,,,,
57,PT05M48.00S,2022-02-13T00:20:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203526,93.38042049934296,56.86274509803921,1610612764,12,14,2022-02-13T00:20:44Z,570000,34.0,10.0,1,right,R. Neto Layup (2 PTS),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,3.56,Made,2.0,,,,,,,,,,,,,,,,,,
58,PT05M30.00S,2022-02-13T00:21:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.915243101182654,53.18627450980392,1610612758,12,16,2022-02-13T00:21:04Z,580000,-16.0,13.0,1,left,D. Sabonis cutting Layup (4 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,2.02,Made,4.0,,,,,D. Fox,1628368.0,1.0,,,,,,,,,,,
60,PT05M16.00S,2022-02-13T00:21:13.1Z,1,REGULAR,2pt,Jump Shot,[],1628418,76.82325886990802,55.63725490196079,1610612764,14,16,2022-02-13T00:21:17Z,600000,28.0,165.0,1,right,T. Bryant 16' Jump Shot (4 PTS) (R. Neto 1 AST),"[1628418, 203526]",1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,16.78,Made,4.0,,,,,R. Neto,203526.0,1.0,,,,,,,,,,,
62,PT05M06.00S,2022-02-13T00:21:25.4Z,1,REGULAR,foul,personal,[],203484,,,1610612758,14,16,2022-02-13T00:21:35Z,620000,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 203200]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,201639.0,,,,1.0,0.0,Holiday,203200.0,
64,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,out,[],1628418,,,1610612758,14,16,2022-02-13T00:21:53Z,640000,,,0,,SUB out: T. Bryant,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,out,[],203090,,,1610612758,14,16,2022-02-13T00:21:53Z,650000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,out,[],203200,,,1610612758,14,16,2022-02-13T00:21:53Z,660000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,in,[],1629060,,,1610612758,14,16,2022-02-13T00:21:53Z,670000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,14,16,2022-02-13T00:21:53Z,680000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M06.00S,2022-02-13T00:21:33.3Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,14,16,2022-02-13T00:21:53Z,690000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M58.00S,2022-02-13T00:21:56.6Z,1,REGULAR,3pt,Jump Shot,[],203084,4.28712220762155,98.0392156862745,1610612758,14,16,2022-02-13T00:22:01Z,700000,-240.0,-12.0,1,left,MISS H. Barnes 24' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,,
71,PT04M56.00S,2022-02-13T00:21:58.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,14,16,2022-02-13T00:22:01Z,710000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT04M37.00S,2022-02-13T00:22:17.9Z,1,REGULAR,2pt,Jump Shot,[],1629060,74.85216819973719,65.93137254901961,1610612764,14,16,2022-02-13T00:22:21Z,720000,80.0,184.0,1,right,MISS R. Hachimura 20' pullup Shot,[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,20.04,Missed,,,,,,,,,,,,,,,,,,,
73,PT04M35.00S,2022-02-13T00:22:19.9Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,14,16,2022-02-13T00:22:21Z,730000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT04M18.00S,2022-02-13T00:22:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,7.835085413929041,54.65686274509803,1610612758,14,18,2022-02-13T00:22:41Z,740000,-23.0,21.0,1,left,D. Sabonis cutting DUNK (6 PTS) (D. Mitchell 1 AST),"[1627734, 1630558]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,3.14,Made,6.0,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,,
76,PT04M01.00S,2022-02-13T00:22:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,91.80354796320631,51.225490196078425,1610612764,14,18,2022-02-13T00:23:04Z,760000,6.0,25.0,1,right,MISS K. Kuzma driving floating Shot,[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,2.52,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M00.00S,2022-02-13T00:23:01.1Z,1,REGULAR,rebound,offensive,[],1628398,,,1610612764,14,18,2022-02-13T00:23:01Z,770000,,,0,,K. Kuzma REBOUND (Off:1 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,76.0,2.0,1.0,1.0,,,,,,,,,,,,,,
78,PT04M00.00S,2022-02-13T00:23:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628398,93.11760840998686,49.01960784313725,1610612764,16,18,2022-02-13T00:23:51Z,780000,-5.0,12.0,1,right,K. Kuzma putback Layup (4 PTS),[1628398],1610612764.0,WAS,putback,,,Kuzma,K. Kuzma,,,,,1.31,Made,4.0,,,,,,,,,,,,,,,,,,
79,PT03M44.00S,2022-02-13T00:23:17.6Z,1,REGULAR,turnover,bad pass,[],1629002,,,1610612758,16,18,2022-02-13T00:23:21Z,790000,,,0,,C. Metu bad pass TURNOVER (1 TO),"[1629002, 203484]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,
80,PT03M44.00S,2022-02-13T00:23:17.6Z,1,REGULAR,steal,,[],203484,,,1610612764,16,18,2022-02-13T00:23:19Z,800000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M44.00S,2022-02-13T00:23:20.0Z,1,REGULAR,foul,personal,[],1628368,,,1610612764,16,18,2022-02-13T00:23:27Z,810000,,,0,,D. Fox take personal FOUL (1 PF),"[1628368, 203484]",1610612758.0,SAC,take,,,Fox,D. Fox,,,,,,,,,,,,,,,,,1626300.0,,,,1.0,0.0,Caldwell-Pope,203484.0,
83,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,out,[],203484,,,1610612764,16,18,2022-02-13T00:23:48Z,830000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,out,[],203526,,,1610612764,16,18,2022-02-13T00:23:48Z,840000,,,0,,SUB out: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,in,[],202397,,,1610612764,16,18,2022-02-13T00:23:48Z,850000,,,0,,SUB in: I. Smith,[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,in,[],1630264,,,1610612764,16,18,2022-02-13T00:23:48Z,860000,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,out,[],1627734,,,1610612764,16,18,2022-02-13T00:24:29Z,865000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M44.00S,2022-02-13T00:23:29.4Z,1,REGULAR,substitution,in,[],1626158,,,1610612764,16,18,2022-02-13T00:24:29Z,867500,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M33.00S,2022-02-13T00:23:55.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202397,78.26872536136662,36.51960784313725,1610612764,16,18,2022-02-13T00:24:00Z,870000,-67.0,152.0,1,right,MISS I. Smith 16' pullup Shot,[202397],1610612764.0,WAS,pullup,,,Smith,I. Smith,,,,,16.61,Missed,,,,,,,,,,,,,,,,,,,
88,PT03M28.00S,2022-02-13T00:24:00.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,16,18,2022-02-13T00:24:00Z,880000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,
89,PT03M18.00S,2022-02-13T00:24:09.7Z,1,REGULAR,2pt,Jump Shot,[],1628368,24.655059132720105,78.18627450980392,1610612758,16,18,2022-02-13T00:24:15Z,890000,-141.0,179.0,1,left,MISS D. Fox 22' step back Shot,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
