actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
15,PT10M29.00S,2022-03-14T23:47:44.9Z,1,REGULAR,3pt,Jump Shot,[],203954,31.225361366622867,29.65686274509804,1610612755,5,2,2022-03-14T23:47:50Z,150000,102.0,241.0,1,left,J. Embiid 26' 3PT  (5 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.16,Made,,,,,,,,,5.0,T. Maxey,1630178.0,1.0,,,,,,,
17,PT10M09.00S,2022-03-14T23:48:08.9Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612743,5,2,2022-03-14T23:48:16Z,170000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Jokic 2 FT),"[203954, 203999]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Jokic,203999.0,,,
19,PT10M09.00S,2022-03-14T23:48:35.3Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,5,3,2022-03-14T23:48:35Z,190000,,,0,,N. Jokic Free Throw 1 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,,3.0,,,,,,,,,,
20,PT10M09.00S,2022-03-14T23:48:57.9Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,5,4,2022-03-14T23:48:57Z,200000,,,0,,N. Jokic Free Throw 2 of 2 (4 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,,4.0,,,,,,,,,,
21,PT09M46.00S,2022-03-14T23:49:21.7Z,1,REGULAR,3pt,Jump Shot,[],201935,31.225361366622867,70.58823529411765,1610612755,5,4,2022-03-14T23:49:27Z,210000,-103.0,241.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M42.00S,2022-03-14T23:49:25.7Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,5,4,2022-03-14T23:49:27Z,220000,,,0,,J. Green REBOUND (Off:0 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT09M37.00S,2022-03-14T23:49:31.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203115,88.12417871222075,57.107843137254896,1610612743,5,6,2022-03-14T23:49:36Z,230000,36.0,59.0,1,right,W. Barton 6' driving floating Jump Shot (2 PTS),[203115],1610612743.0,DEN,driving floating,,,Barton,W. Barton,,,,,6.89,Made,,,,,,,,,2.0,,,,,,,,,,
24,PT09M23.00S,2022-03-14T23:49:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.222733245729303,63.23529411764706,1610612755,7,6,2022-03-14T23:49:49Z,240000,-66.0,72.0,1,left,T. Harris 9' turnaround Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,9.77,Made,,,,,,,,,2.0,,,,,,,,,,
25,PT09M11.00S,2022-03-14T23:49:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,94.03745072273325,45.588235294117645,1610612743,7,6,2022-03-14T23:50:01Z,250000,-22.0,4.0,1,right,MISS W. Barton alley-oop Layup - blocked,"[203115, 1629680]",1610612743.0,DEN,alley-oop,,,Barton,W. Barton,,,,,2.24,Missed,,,,,Thybulle,1629680.0,,,,,,,,,,,,,
40,PT09M11.00S,2022-03-14T23:49:56.2Z,1,REGULAR,block,,[],1629680,,,1610612743,7,6,2022-03-14T23:53:20Z,255000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M09.00S,2022-03-14T23:49:58.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,7,6,2022-03-14T23:50:01Z,260000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M01.00S,2022-03-14T23:50:05.7Z,1,REGULAR,3pt,Jump Shot,[],202699,6.389618922470433,95.09803921568627,1610612755,10,6,2022-03-14T23:50:10Z,270000,-225.0,8.0,1,left,T. Harris 3PT  (5 PTS) (M. Thybulle 1 AST),"[202699, 1629680]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,22.56,Made,,,,,,,,,5.0,M. Thybulle,1629680.0,1.0,,,,,,,
29,PT08M51.00S,2022-03-14T23:50:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,82.07950065703022,59.31372549019608,1610612743,10,8,2022-03-14T23:50:22Z,290000,47.0,116.0,1,right,M. Morris 12' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,12.5,Made,,,,,,,,,2.0,,,,,,,,,,
30,PT08M33.00S,2022-03-14T23:50:33.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,26.363337713534822,85.5392156862745,1610612755,10,8,2022-03-14T23:51:45Z,300000,-178.0,195.0,1,left,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M33.00S,2022-03-14T23:50:33.1Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,10,8,2022-03-14T23:51:45Z,310000,,,0,,J. Green REBOUND (Off:0 Def:3),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
32,PT08M32.00S,2022-03-14T23:50:39.4Z,1,REGULAR,turnover,bad pass,[],201145,,,1610612743,10,8,2022-03-14T23:52:15Z,312500,,,0,,J. Green bad pass TURNOVER (1 TO),"[201145, 1629680]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,1.0,,,,,,,,,Thybulle,1629680.0,
33,PT08M32.00S,2022-03-14T23:50:39.4Z,1,REGULAR,steal,,[],1629680,,,1610612755,10,8,2022-03-14T23:50:42Z,313750,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M31.00S,2022-03-14T23:50:43.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629680,8.015768725361367,52.24417892156863,1610612755,12,8,2022-03-14T23:52:15Z,315000,-11.0,23.0,1,left,M. Thybulle DUNK (2 PTS),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,2.54,Made,,,,,,,,,2.0,,,,,,,,,,
35,PT08M19.00S,2022-03-14T23:50:52.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.77463863337714,48.529411764705884,1610612743,12,10,2022-03-14T23:52:40Z,350000,-7.0,6.0,1,right,A. Gordon driving DUNK (2 PTS) (M. Morris 1 AST),"[203932, 1628420]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,0.95,Made,,,,,,,,,2.0,M. Morris,1628420.0,1.0,,,,,,,
36,PT08M07.00S,2022-03-14T23:51:00.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629680,5.863994743758213,48.77450980392157,1610612755,14,10,2022-03-14T23:51:19Z,360000,6.0,3.0,1,left,M. Thybulle cutting DUNK (4 PTS) (J. Harden 1 AST),"[1629680, 201935]",1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,0.66,Made,,,,,,,,,4.0,J. Harden,201935.0,1.0,,,,,,,
38,PT08M07.00S,2022-03-14T23:51:07.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,14,10,2022-03-14T23:51:07Z,380000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M47.00S,2022-03-14T23:54:55.1Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,14,10,2022-03-14T23:55:00Z,390000,,,0,,N. Jokic lost ball TURNOVER (1 TO),"[203999, 203954]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,1.0,,,,,,,,,Embiid,203954.0,
42,PT07M47.00S,2022-03-14T23:54:55.1Z,1,REGULAR,steal,,[],203954,,,1610612755,14,10,2022-03-14T23:54:57Z,400000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M42.00S,2022-03-14T23:54:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,5.863994743758213,52.20588235294118,1610612755,14,10,2022-03-14T23:55:08Z,410000,-11.0,3.0,1,left,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,1.13,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M40.00S,2022-03-14T23:55:01.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,14,10,2022-03-14T23:55:08Z,420000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
45,PT07M36.00S,2022-03-14T23:55:09.1Z,1,REGULAR,turnover,out-of-bounds,[],201145,,,1610612743,14,10,2022-03-14T23:55:14Z,430000,,,0,,J. Green step out-of-bounds TURNOVER (2 TO),[201145],1610612743.0,DEN,step,,,Green,J. Green,,,,,,,,,,,,,2005.0,2.0,,,,,,,,,,,
46,PT07M22.00S,2022-03-14T23:55:32.9Z,1,REGULAR,foul,personal,[],1628420,,,1610612755,14,10,2022-03-14T23:55:40Z,440000,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 203954]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,1155.0,,,,,,1.0,0.0,Embiid,203954.0,,,
48,PT07M05.00S,2022-03-14T23:56:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629680,8.492115637319317,96.56862745098039,1610612755,17,10,2022-03-14T23:56:14Z,460000,-233.0,27.0,1,left,M. Thybulle 3PT  (7 PTS) (T. Maxey 2 AST),"[1629680, 1630178]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.44,Made,,,,,,,,,7.0,T. Maxey,1630178.0,2.0,,,,,,,
50,PT06M54.00S,2022-03-14T23:56:20.8Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,17,10,2022-03-14T23:56:28Z,480000,,,0,,N. Jokic bad pass TURNOVER (2 TO),"[203999, 1629680]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,2.0,,,,,,,,,Thybulle,1629680.0,
51,PT06M54.00S,2022-03-14T23:56:20.8Z,1,REGULAR,steal,,[],1629680,,,1610612755,17,10,2022-03-14T23:56:22Z,490000,,,0,,M. Thybulle STEAL (2 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2022-03-14T23:56:27.4Z,1,REGULAR,turnover,bad pass,[],1629680,,,1610612755,17,10,2022-03-14T23:56:31Z,500000,,,0,,M. Thybulle bad pass TURNOVER (1 TO),"[1629680, 203999]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,1.0,,,,,,,,,Jokic,203999.0,
53,PT06M47.00S,2022-03-14T23:56:27.4Z,1,REGULAR,steal,,[],203999,,,1610612743,17,10,2022-03-14T23:56:29Z,510000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M41.00S,2022-03-14T23:56:33.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,94.56307490144546,47.794117647058826,1610612743,17,12,2022-03-14T23:56:55Z,520000,-11.0,-1.0,1,right,A. Gordon running DUNK (4 PTS) (J. Green 1 AST),"[203932, 201145]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,1.11,Made,,,,,,,,,4.0,J. Green,201145.0,1.0,,,,,,,
56,PT06M21.00S,2022-03-14T23:56:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.732588699080158,47.549019607843135,1610612755,19,12,2022-03-14T23:57:01Z,540000,12.0,1.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,1.24,Made,,,,,,,,,2.0,,,,,,,,,,
57,PT06M07.00S,2022-03-14T23:57:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,94.95729303547962,51.9607843137255,1610612743,19,12,2022-03-14T23:57:13Z,550000,10.0,-5.0,1,right,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,1.1,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M03.00S,2022-03-14T23:57:11.6Z,1,REGULAR,rebound,offensive,[],203115,,,1610612743,19,12,2022-03-14T23:57:11Z,560000,,,0,,W. Barton REBOUND (Off:1 Def:0),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
59,PT06M03.00S,2022-03-14T23:57:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203115,94.40999984741211,50.0,1610612743,19,14,2022-03-14T23:57:11Z,570000,0.0,0.0,1,right,W. Barton tip Layup (4 PTS),[203115],1610612743.0,DEN,tip,,,Barton,W. Barton,,,,,0.0,Made,,,,,,,,,4.0,,,,,,,,,,
60,PT05M49.00S,2022-03-14T23:57:25.5Z,1,REGULAR,2pt,Jump Shot,[],203954,26.231931668856767,49.01960784313725,1610612755,21,14,2022-03-14T23:57:30Z,580000,5.0,194.0,1,left,J. Embiid 19' Jump Shot (7 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,19.42,Made,,,,,,,,,7.0,J. Harden,201935.0,2.0,,,,,,,
62,PT05M34.00S,2022-03-14T23:57:40.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,21,14,2022-03-14T23:57:45Z,600000,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 1629680]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,3.0,,,,,,,,,Thybulle,1629680.0,
63,PT05M34.00S,2022-03-14T23:57:40.5Z,1,REGULAR,steal,,[],1629680,,,1610612755,21,14,2022-03-14T23:57:42Z,610000,,,0,,M. Thybulle STEAL (3 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M28.00S,2022-03-14T23:57:46.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,11.514454664914586,3.431372549019608,1610612755,24,14,2022-03-14T23:57:52Z,620000,233.0,56.0,1,left,T. Maxey 3PT pullup (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,23.94,Made,,,,,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,
66,PT05M16.00S,2022-03-14T23:57:59.5Z,1,REGULAR,3pt,Jump Shot,[],203932,71.82982917214193,78.67647058823529,1610612743,24,14,2022-03-14T23:58:03Z,640000,143.0,212.0,1,right,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M12.00S,2022-03-14T23:58:03.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,24,14,2022-03-14T23:58:03Z,650000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
68,PT04M51.00S,2022-03-14T23:58:24.4Z,1,REGULAR,3pt,Jump Shot,[],203954,33.327858081471746,51.225490196078425,1610612755,27,14,2022-03-14T23:58:29Z,660000,-6.0,261.0,1,left,J. Embiid 26' 3PT step back (10 PTS) (M. Thybulle 2 AST),"[203954, 1629680]",1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,26.09,Made,,,,,,,,,10.0,M. Thybulle,1629680.0,2.0,,,,,,,
70,PT04M49.00S,2022-03-14T23:58:33.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,27,14,2022-03-14T23:58:33Z,680000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,out,[],203954,,,1610612743,27,14,2022-03-15T00:01:39Z,690000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,out,[],202699,,,1610612743,27,14,2022-03-15T00:01:39Z,700000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,out,[],201145,,,1610612743,27,14,2022-03-15T00:01:39Z,710000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612743,27,14,2022-03-15T00:01:39Z,720000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,in,[],201599,,,1610612743,27,14,2022-03-15T00:01:39Z,730000,,,0,,SUB in: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M49.00S,2022-03-15T00:00:43.1Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,27,14,2022-03-15T00:01:39Z,740000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M34.00S,2022-03-15T00:02:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,93.51182654402102,52.450980392156865,1610612743,27,14,2022-03-15T00:02:41Z,750000,12.0,8.0,1,right,MISS W. Barton driving reverse Layup,[203115],1610612743.0,DEN,driving reverse,,,Barton,W. Barton,,,,,1.5,Missed,,,,,,,,,,,,,,,,,,,
78,PT04M32.00S,2022-03-15T00:02:07.4Z,1,REGULAR,rebound,defensive,[],201599,,,1610612755,27,14,2022-03-15T00:02:10Z,760000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
79,PT04M22.00S,2022-03-15T00:02:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201599,6.783837056504599,55.63725490196079,1610612755,27,14,2022-03-15T00:06:14Z,770000,-28.0,11.0,1,left,MISS D. Jordan Hook,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M19.00S,2022-03-15T00:02:21.1Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612755,27,14,2022-03-15T00:06:14Z,780000,,,0,,M. Thybulle REBOUND (Off:2 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,79.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
81,PT04M19.00S,2022-03-15T00:02:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629680,5.590000152587891,50.0,1610612755,29,14,2022-03-15T00:02:21Z,790000,0.0,0.0,1,left,M. Thybulle tip Layup (9 PTS),[1629680],1610612755.0,PHI,tip,,,Thybulle,M. Thybulle,,,,,0.0,Made,,,,,,,,,9.0,,,,,,,,,,
82,PT04M07.00S,2022-03-15T00:02:32.4Z,1,REGULAR,3pt,Jump Shot,[],203999,66.83639947437582,43.627450980392155,1610612743,29,14,2022-03-15T00:02:37Z,800000,-32.0,259.0,1,right,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M05.00S,2022-03-15T00:02:34.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,29,14,2022-03-15T00:02:37Z,810000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
84,PT03M59.00S,2022-03-15T00:02:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.645860709592641,41.911764705882355,1610612755,31,14,2022-03-15T00:02:45Z,820000,40.0,57.0,1,left,J. Harden 6' driving floating Jump Shot (4 PTS),[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,6.99,Made,,,,,,,,,4.0,,,,,,,,,,
85,PT03M45.00S,2022-03-15T00:02:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628420,76.5604467805519,27.205882352941174,1610612743,31,16,2022-03-15T00:03:02Z,830000,-114.0,168.0,1,right,M. Morris 20' Jump Shot (4 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,20.29,Made,,,,,,,,,4.0,N. Jokic,203999.0,1.0,,,,,,,
87,PT03M26.00S,2022-03-15T00:03:16.8Z,1,REGULAR,3pt,Jump Shot,[],1627777,21.107095926412615,93.62745098039215,1610612755,31,16,2022-03-15T00:03:20Z,850000,-218.0,146.0,1,left,MISS G. Niang 26' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
