actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M55.00S,2022-01-20T00:12:02.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,2,2022-01-20T00:12:04Z,150000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-01-20T00:12:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,89.14257555847568,49.50980392156863,1610612753,0,2,2022-01-20T00:12:14Z,160000,-2.0,50.0,1,right,MISS G. Harris running Layup - blocked,"[203914, 202699]",1610612753.0,ORL,running,,,Harris,G. Harris,,,,,4.97,Missed,,,,,,Harris,202699.0,,,,,,,,,,,,
17,PT10M50.00S,2022-01-20T00:12:07.3Z,1,REGULAR,block,,[],202699,,,1610612753,0,2,2022-01-20T00:12:09Z,170000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2022-01-20T00:12:10.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,2,2022-01-20T00:12:14Z,180000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M41.00S,2022-01-20T00:12:16.5Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,0,2,2022-01-20T00:12:22Z,190000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1630532]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,
20,PT10M41.00S,2022-01-20T00:12:16.5Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,2,2022-01-20T00:12:19Z,200000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2022-01-20T00:12:33.8Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,2,2022-01-20T00:12:38Z,210000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 202699]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,1.0,Harris,202699.0,,,,,,,,,
22,PT10M24.00S,2022-01-20T00:12:33.8Z,1,REGULAR,steal,,[],202699,,,1610612755,0,2,2022-01-20T00:12:35Z,220000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2022-01-20T00:12:41.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203552,7.933639947437584,28.431372549019613,1610612755,0,2,2022-01-20T00:12:46Z,230000,108.0,22.0,1,left,MISS S. Curry 11' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,11.0,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M12.00S,2022-01-20T00:12:45.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,2,2022-01-20T00:12:46Z,240000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M05.00S,2022-01-20T00:12:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,89.01116951379764,40.931372549019606,1610612753,0,2,2022-01-20T00:12:58Z,250000,-45.0,51.0,1,right,MISS J. Suggs 6' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,6.81,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2022-01-20T00:12:54.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,2,2022-01-20T00:12:58Z,260000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M56.00S,2022-01-20T00:13:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.750985545335084,49.50980392156863,1610612755,2,2,2022-01-20T00:13:08Z,270000,2.0,11.0,1,left,J. Embiid finger roll Layup (2 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,1.13,Made,,,,,2.0,,,,,,T. Harris,202699.0,1.0,,,,,,
29,PT09M56.00S,2022-01-20T00:13:07.5Z,1,REGULAR,foul,personal,['1freethrow'],1628964,,,1610612755,2,2,2022-01-20T00:13:17Z,290000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Embiid 1 FT),"[1628964, 203954]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Embiid,203954.0,
31,PT09M56.00S,2022-01-20T00:13:33.5Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,3,2,2022-01-20T00:13:33Z,310000,,,0,,J. Embiid Free Throw 1 of 1 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
32,PT09M33.00S,2022-01-20T00:13:57.8Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,3,2,2022-01-20T00:14:01Z,320000,,,0,,J. Suggs bad pass TURNOVER (2 TO),"[1630591, 202699]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,2.0,Harris,202699.0,,,,,,,,,
33,PT09M33.00S,2022-01-20T00:13:57.8Z,1,REGULAR,steal,,[],202699,,,1610612755,3,2,2022-01-20T00:14:00Z,330000,,,0,,T. Harris STEAL (2 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2022-01-20T00:14:03.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629718,5.436925098554539,47.79411764705882,1610612755,3,2,2022-01-20T00:14:11Z,340000,11.0,-1.0,1,left,MISS C. Brown Jr. running Layup,[1629718],1610612755.0,PHI,running,,,Brown Jr.,C. Brown Jr.,,,,,1.11,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M26.00S,2022-01-20T00:14:05.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,3,2,2022-01-20T00:14:11Z,350000,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT09M23.00S,2022-01-20T00:14:10.6Z,1,REGULAR,foul,personal,['2freethrow'],1629718,,,1610612753,3,2,2022-01-20T00:14:17Z,360000,,,0,,C. Brown Jr. shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629718, 1630532]",1610612755.0,PHI,shooting,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Wagner,1630532.0,
38,PT09M23.00S,2022-01-20T00:14:37.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630532,,,1610612753,3,3,2022-01-20T00:14:37Z,380000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
39,PT09M23.00S,2022-01-20T00:14:54.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630532,,,1610612753,3,4,2022-01-20T00:14:54Z,390000,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
40,PT09M09.00S,2022-01-20T00:15:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.356767411300922,51.71568627450981,1610612755,5,4,2022-01-20T00:16:25Z,400000,-9.0,7.0,1,left,J. Embiid driving Layup (5 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.13,Made,,,,,5.0,,,,,,,,,,,,,,
41,PT08M51.00S,2022-01-20T00:15:30.2Z,1,REGULAR,turnover,traveling,[],1630175,,,1610612753,5,4,2022-01-20T00:15:35Z,410000,,,0,,C. Anthony traveling TURNOVER (1 TO),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,1.0,,,,,,1628954.0,,,,,
42,PT08M36.00S,2022-01-20T00:15:55.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,7.933639947437584,74.01960784313725,1610612755,7,4,2022-01-20T00:15:59Z,420000,-120.0,22.0,1,left,J. Embiid 12' fadeaway Jump Shot (7 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,12.21,Made,,,,,7.0,,,,,,,,,,,,,,
43,PT08M27.00S,2022-01-20T00:16:05.4Z,1,REGULAR,3pt,Jump Shot,[],1628964,70.3515111695138,74.26470588235294,1610612753,7,7,2022-01-20T00:16:08Z,430000,121.0,226.0,1,right,M. Bamba 25' 3PT  (5 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.67,Made,,,,,5.0,,,,,,C. Anthony,1630175.0,1.0,,,,,,
45,PT08M17.00S,2022-01-20T00:16:14.6Z,1,REGULAR,3pt,Jump Shot,[],202699,30.404073587385014,25.490196078431367,1610612755,7,7,2022-01-20T00:16:18Z,450000,123.0,233.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2022-01-20T00:16:18.6Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,7,7,2022-01-20T00:16:18Z,460000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT07M59.00S,2022-01-20T00:16:31.8Z,1,REGULAR,2pt,Jump Shot,[],1628964,88.09132720105124,32.35294117647058,1610612753,7,7,2022-01-20T00:16:36Z,470000,-88.0,59.0,1,right,MISS M. Bamba 10' turnaround fadeaway Shot,[1628964],1610612753.0,ORL,turnaround fadeaway,,,Bamba,M. Bamba,,,,,10.63,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M57.00S,2022-01-20T00:16:33.8Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,7,7,2022-01-20T00:16:36Z,480000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT07M46.00S,2022-01-20T00:16:48.8Z,1,REGULAR,foul,personal,[],1630532,,,1610612755,7,7,2022-01-20T00:16:54Z,490000,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 203954]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Embiid,203954.0,
51,PT07M35.00S,2022-01-20T00:17:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.49737187910644,55.3921568627451,1610612755,9,7,2022-01-20T00:17:22Z,510000,-27.0,131.0,1,left,J. Embiid 13' step back Jump Shot (9 PTS),[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,13.36,Made,,,,,9.0,,,,,,,,,,,,,,
52,PT07M23.00S,2022-01-20T00:17:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,93.2161629434954,41.666666666666664,1610612753,9,7,2022-01-20T00:17:35Z,520000,-42.0,11.0,1,right,MISS J. Suggs running reverse Layup - blocked,"[1630591, 203954]",1610612753.0,ORL,running reverse,,,Suggs,J. Suggs,,,,,4.32,Missed,,,,,,Embiid,203954.0,,,,,,,,,,,,
61,PT07M23.00S,2022-01-20T00:17:27.7Z,1,REGULAR,block,,[],203954,,,1610612753,9,7,2022-01-20T00:18:43Z,525000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2022-01-20T00:17:29.7Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,9,7,2022-01-20T00:18:43Z,530000,,,0,,M. Bamba REBOUND (Off:3 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,52.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
54,PT07M06.00S,2022-01-20T00:17:45.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630591,89.14257555847568,49.754901960784316,1610612753,9,7,2022-01-20T00:17:49Z,540000,-1.0,50.0,1,right,MISS J. Suggs driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,4.96,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2022-01-20T00:17:48.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,7,2022-01-20T00:17:49Z,550000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT06M54.00S,2022-01-20T00:17:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.561760840998687,51.22549019607843,1610612755,11,7,2022-01-20T00:18:01Z,560000,-6.0,47.0,1,left,T. Maxey driving floating Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,4.72,Made,,,,,2.0,,,,,,,,,,,,,,
57,PT06M39.00S,2022-01-20T00:18:11.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630175,95.45006570302233,48.28431372549019,1610612753,11,9,2022-01-20T00:18:15Z,570000,-9.0,-10.0,1,right,C. Anthony driving DUNK (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,1.3,Made,,,,,2.0,,,,,,,,,,,,,,
58,PT06M23.00S,2022-01-20T00:18:27.7Z,1,REGULAR,2pt,Jump Shot,[],202699,12.927069645203687,73.0392156862745,1610612755,11,9,2022-01-20T00:18:38Z,580000,-115.0,69.0,1,left,MISS T. Harris 13' step back Shot,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,13.43,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M20.00S,2022-01-20T00:18:30.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,11,9,2022-01-20T00:20:59Z,590000,,,0,,F. Wagner REBOUND (Off:0 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
60,PT06M10.00S,2022-01-20T00:18:41.2Z,1,REGULAR,3pt,Jump Shot,[],1628964,68.9060446780552,68.13725490196079,1610612753,11,12,2022-01-20T00:18:45Z,600000,91.0,240.0,1,right,M. Bamba 25' 3PT  (8 PTS) (C. Anthony 2 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.64,Made,,,,,8.0,,,,,,C. Anthony,1630175.0,2.0,,,,,,
63,PT05M54.00S,2022-01-20T00:18:57.1Z,1,REGULAR,2pt,Jump Shot,[],203552,6.8823915900131425,25.980392156862735,1610612755,11,12,2022-01-20T00:19:02Z,620000,120.0,12.0,1,left,MISS S. Curry 12' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,12.07,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M50.00S,2022-01-20T00:19:01.1Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,11,12,2022-01-20T00:19:02Z,630000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
65,PT05M38.00S,2022-01-20T00:19:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,95.05584756898817,40.931372549019606,1610612753,11,12,2022-01-20T00:19:20Z,640000,-45.0,-6.0,1,right,MISS J. Suggs driving Layup - blocked,"[1630591, 1629718]",1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,4.57,Missed,,,,,,Brown Jr.,1629718.0,,,,,,,,,,,,
66,PT05M38.00S,2022-01-20T00:19:14.1Z,1,REGULAR,block,,[],1629718,,,1610612753,11,12,2022-01-20T00:19:17Z,650000,,,0,,C. Brown Jr. BLOCK (1 BLK),[1629718],1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M34.00S,2022-01-20T00:19:18.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,12,2022-01-20T00:19:20Z,660000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
68,PT05M34.00S,2022-01-20T00:19:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,7.145203679369246,49.754901960784316,1610612755,13,12,2022-01-20T00:19:29Z,670000,1.0,15.0,1,left,J. Embiid running Layup (11 PTS),[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,1.47,Made,,,,,11.0,,,,,,,,,,,,,,
69,PT05M34.00S,2022-01-20T00:19:24.4Z,1,REGULAR,foul,personal,['1freethrow'],1630532,,,1610612755,13,12,2022-01-20T00:19:34Z,680000,,,0,,F. Wagner shooting personal FOUL (2 PF) (Embiid 1 FT),"[1630532, 203954]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,1628954.0,2.0,0.0,Embiid,203954.0,
71,PT05M34.00S,2022-01-20T00:19:38.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,13,12,2022-01-20T00:20:59Z,700000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,out,[],1629718,,,1610612755,13,12,2022-01-20T00:22:42Z,710000,,,0,,SUB out: C. Brown Jr.,[1629718],1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,out,[],1628964,,,1610612755,13,12,2022-01-20T00:22:42Z,720000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,out,[],1630591,,,1610612755,13,12,2022-01-20T00:22:42Z,730000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,13,12,2022-01-20T00:22:42Z,740000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,in,[],201577,,,1610612755,13,12,2022-01-20T00:22:42Z,750000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2022-01-20T00:22:12.8Z,1,REGULAR,substitution,in,[],203082,,,1610612755,13,12,2022-01-20T00:22:42Z,760000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M34.00S,2022-01-20T00:22:58.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203954,,,1610612755,14,12,2022-01-20T00:22:58Z,770000,,,0,,J. Embiid Free Throw 1 of 1 (12 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
79,PT05M07.00S,2022-01-20T00:23:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,82.44086727989487,94.36274509803921,1610612753,14,12,2022-01-20T00:23:29Z,780000,222.0,113.0,1,right,MISS F. Wagner 24' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2022-01-20T00:23:28.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,14,12,2022-01-20T00:23:28Z,790000,,,0,,S. Curry REBOUND (Off:0 Def:2),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
81,PT04M48.00S,2022-01-20T00:23:49.0Z,1,REGULAR,foul,personal,['2freethrow'],201577,,,1610612755,14,12,2022-01-20T00:23:55Z,800000,,,0,,R. Lopez shooting personal FOUL (1 PF) (Embiid 2 FT),"[201577, 203954]",1610612753.0,ORL,shooting,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Embiid,203954.0,
83,PT04M48.00S,2022-01-20T00:24:14.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,15,12,2022-01-20T00:24:14Z,820000,,,0,,J. Embiid Free Throw 1 of 2 (13 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
84,PT04M48.00S,2022-01-20T00:24:15.9Z,1,REGULAR,substitution,out,[],202699,,,1610612755,15,12,2022-01-20T00:24:19Z,830000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M48.00S,2022-01-20T00:24:15.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,15,12,2022-01-20T00:24:19Z,840000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
