actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M19.00S,2022-01-15T00:12:34.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,3,2022-01-15T00:12:35Z,170000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M03.00S,2022-01-15T00:12:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,92.55913272010513,55.3921568627451,1610612738,2,5,2022-01-15T00:12:57Z,180000,27.0,17.0,1,right,A. Horford Hook (5 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,3.21,Made,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
20,PT09M42.00S,2022-01-15T00:13:10.7Z,1,REGULAR,2pt,Jump Shot,[],203552,20.41721419185282,76.9607843137255,1610612755,2,5,2022-01-15T00:13:14Z,200000,-135.0,139.0,1,left,MISS S. Curry 19' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,,,,,19.39,Missed,,,,,,,,,,,,,,,
21,PT09M40.00S,2022-01-15T00:13:12.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,5,2022-01-15T00:13:14Z,210000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
22,PT09M27.00S,2022-01-15T00:13:26.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.95072273324573,86.02941176470588,1610612738,2,8,2022-01-15T00:13:30Z,220000,180.0,183.0,1,right,J. Tatum 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,25.68,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,
24,PT09M10.00S,2022-01-15T00:13:42.9Z,1,REGULAR,3pt,Jump Shot,[],202699,28.695795006570307,83.08823529411765,1610612755,2,8,2022-01-15T00:13:46Z,240000,-165.0,217.0,1,left,MISS T. Harris 27' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,27.3,Missed,,,,,,,,,,,,,,,
25,PT09M07.00S,2022-01-15T00:13:45.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,8,2022-01-15T00:13:46Z,250000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,
26,PT09M02.00S,2022-01-15T00:13:53.6Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,2,8,2022-01-15T00:14:01Z,260000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1629680]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.0,Thybulle,1629680.0,,,,,,,,,,,,,,,,,,
27,PT09M02.00S,2022-01-15T00:13:53.6Z,1,REGULAR,steal,,[],1629680,,,1610612755,2,8,2022-01-15T00:13:56Z,270000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M02.00S,2022-01-15T00:13:57.5Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,2,8,2022-01-15T00:14:11Z,280000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203552]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,1626300.0,,,,,,,,,,,1.0,0.0,Curry,203552.0,,,
30,PT08M45.00S,2022-01-15T00:14:28.7Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,2,8,2022-01-15T00:14:35Z,300000,,,0,,A. Horford shooting personal FOUL (1 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,1830.0,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,,
32,PT08M45.00S,2022-01-15T00:14:54.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,3,8,2022-01-15T00:14:54Z,320000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
33,PT08M45.00S,2022-01-15T00:15:10.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,4,8,2022-01-15T00:15:10Z,330000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
34,PT08M35.00S,2022-01-15T00:15:26.2Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612738,4,8,2022-01-15T00:15:31Z,340000,,,0,,D. Schroder bad pass out-of-bounds TURNOVER (1 TO),[203471],1610612738.0,BOS,bad pass,,,Schroder,D. Schroder,,,,,1.0,,,1830.0,,,,,,,,,,,,,,,,,
35,PT08M25.00S,2022-01-15T00:15:38.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203954,31.718134034165573,36.76470588235294,1610612755,4,8,2022-01-15T00:15:42Z,350000,66.0,246.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,25.45,Missed,,,,,,,,,,,,,,,
36,PT08M21.00S,2022-01-15T00:15:42.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,8,2022-01-15T00:15:42Z,360000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT08M11.00S,2022-01-15T00:15:51.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,84.01773981603154,74.75490196078431,1610612738,4,10,2022-01-15T00:15:56Z,370000,124.0,98.0,1,right,J. Tatum 15' turnaround fadeaway Jump Shot (5 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,,15.77,Made,5.0,,,,,,,,,,,,,,
38,PT07M53.00S,2022-01-15T00:16:12.5Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,4,10,2022-01-15T00:16:21Z,380000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628369, 203954]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,200834.0,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,,
40,PT07M53.00S,2022-01-15T00:16:36.0Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,5,10,2022-01-15T00:16:36Z,400000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
41,PT07M53.00S,2022-01-15T00:16:53.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,6,10,2022-01-15T00:16:53Z,410000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
42,PT07M39.00S,2022-01-15T00:17:11.7Z,1,REGULAR,2pt,Jump Shot,[],203471,76.52759526938239,50.0,1610612738,6,10,2022-01-15T00:17:18Z,420000,0.0,168.0,1,right,MISS D. Schroder 16' pullup Shot,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,,,,,16.81,Missed,,,,,,,,,,,,,,,
43,PT07M35.00S,2022-01-15T00:17:15.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,6,10,2022-01-15T00:17:18Z,430000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,
44,PT07M23.00S,2022-01-15T00:17:27.3Z,1,REGULAR,3pt,Jump Shot,[],203954,30.535479632063073,21.07843137254902,1610612755,6,10,2022-01-15T00:17:31Z,440000,145.0,235.0,1,left,MISS J. Embiid 27' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,,,,,27.55,Missed,,,,,,,,,,,,,,,
45,PT07M20.00S,2022-01-15T00:17:30.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,10,2022-01-15T00:17:31Z,450000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,
46,PT07M11.00S,2022-01-15T00:17:39.2Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,6,10,2022-01-15T00:17:42Z,460000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 203552]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Curry,203552.0,,,,,,,,,,,,,,,,,,
47,PT07M11.00S,2022-01-15T00:17:39.2Z,1,REGULAR,steal,,[],203552,,,1610612755,6,10,2022-01-15T00:17:41Z,470000,,,0,,S. Curry STEAL (1 STL),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M06.00S,2022-01-15T00:17:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,6.4881734559789805,48.774509803921575,1610612755,8,10,2022-01-15T00:17:52Z,480000,6.0,8.0,1,left,T. Harris running reverse Layup (2 PTS) (J. Embiid 2 AST),"[202699, 203954]",1610612755.0,PHI,running reverse,,,Harris,T. Harris,,,,,,,,,1.05,Made,2.0,J. Embiid,203954.0,2.0,,,,,,,,,,,
50,PT06M53.00S,2022-01-15T00:17:57.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,79.54993429697765,72.79411764705883,1610612738,8,10,2022-01-15T00:19:50Z,500000,114.0,140.0,1,right,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,18.03,Missed,,,,,,,,,,,,,,,
51,PT06M50.00S,2022-01-15T00:18:00.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,10,2022-01-15T00:18:01Z,510000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,
52,PT06M43.00S,2022-01-15T00:18:06.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,10.693166885676746,48.529411764705884,1610612755,8,10,2022-01-15T00:18:11Z,520000,7.0,48.0,1,left,MISS T. Harris driving Hook - blocked,"[202699, 1629057]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,,,4.86,Missed,,,,,,,,,,,,,Williams III,1629057.0,
53,PT06M43.00S,2022-01-15T00:18:06.7Z,1,REGULAR,block,,[],1629057,,,1610612755,8,10,2022-01-15T00:18:09Z,530000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M40.00S,2022-01-15T00:18:09.7Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,8,10,2022-01-15T00:18:11Z,540000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,,
55,PT06M28.00S,2022-01-15T00:18:22.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,25.147831800262807,87.99019607843137,1610612755,11,10,2022-01-15T00:18:27Z,550000,-190.0,184.0,1,left,T. Maxey 26' 3PT  (3 PTS) (S. Curry 1 AST),"[1630178, 203552]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,26.44,Made,3.0,S. Curry,203552.0,1.0,,,,,,,,,,,
57,PT06M14.00S,2022-01-15T00:18:40.5Z,1,REGULAR,foul,personal,[],1630178,,,1610612738,11,10,2022-01-15T00:19:44Z,570000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1627759]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,1626300.0,,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,
59,PT06M14.00S,2022-01-15T00:18:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,10,2022-01-15T00:18:49Z,590000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M58.00S,2022-01-15T00:21:39.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628369,88.74835742444152,45.58823529411765,1610612738,11,10,2022-01-15T00:21:44Z,600000,-22.0,53.0,1,right,MISS J. Tatum driving Hook,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,5.77,Missed,,,,,,,,,,,,,,,
61,PT05M57.00S,2022-01-15T00:21:41.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,10,2022-01-15T00:21:41Z,610000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,
62,PT05M57.00S,2022-01-15T00:21:43.3Z,1,REGULAR,foul,personal,[],1628369,,,1610612755,11,10,2022-01-15T00:21:57Z,620000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 203954]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,200834.0,,,,,,,,,,,2.0,0.0,Embiid,203954.0,,,
64,PT05M57.00S,2022-01-15T00:21:54.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,11,10,2022-01-15T00:21:57Z,640000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M57.00S,2022-01-15T00:21:54.1Z,1,REGULAR,substitution,in,[],1626196,,,1610612755,11,10,2022-01-15T00:21:57Z,650000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M40.00S,2022-01-15T00:22:22.7Z,1,REGULAR,3pt,Jump Shot,[],202699,8.984888304862025,2.4509803921568647,1610612755,14,10,2022-01-15T00:22:26Z,660000,238.0,32.0,1,left,T. Harris 3PT  (5 PTS) (S. Curry 2 AST),"[202699, 203552]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,23.98,Made,5.0,S. Curry,203552.0,2.0,,,,,,,,,,,
68,PT05M30.00S,2022-01-15T00:22:33.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.93495400788436,58.82352941176471,1610612738,14,10,2022-01-15T00:22:37Z,680000,44.0,258.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,26.2,Missed,,,,,,,,,,,,,,,
69,PT05M27.00S,2022-01-15T00:22:36.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,14,10,2022-01-15T00:22:37Z,690000,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,
70,PT05M13.00S,2022-01-15T00:22:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,16.212220762155056,45.34313725490197,1610612755,14,10,2022-01-15T00:22:55Z,700000,23.0,100.0,1,left,MISS S. Curry 10' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,,,,,10.26,Missed,,,,,,,,,,,,,,,
71,PT05M10.00S,2022-01-15T00:22:53.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,10,2022-01-15T00:22:55Z,710000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,
72,PT04M51.00S,2022-01-15T00:23:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.66162943495401,53.18627450980392,1610612738,14,12,2022-01-15T00:25:19Z,720000,16.0,-2.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,1.61,Made,2.0,,,,,,,,,,,,,,
73,PT04M35.00S,2022-01-15T00:23:27.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,9.116294349540084,3.9215686274509807,1610612755,17,12,2022-01-15T00:23:31Z,730000,230.0,33.0,1,left,T. Maxey 3PT  (6 PTS) (S. Curry 3 AST),"[1630178, 203552]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,23.28,Made,6.0,S. Curry,203552.0,3.0,,,,,,,,,,,
75,PT04M26.00S,2022-01-15T00:23:37.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.82194480946123,48.529411764705884,1610612738,17,12,2022-01-15T00:28:07Z,750000,-7.0,15.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,1.67,Missed,,,,,,,,,,,,,,,
76,PT04M24.00S,2022-01-15T00:23:39.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,12,2022-01-15T00:23:46Z,760000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,75.0,4.0,4.0,0.0,,,,,,,
77,PT04M21.00S,2022-01-15T00:23:43.2Z,1,REGULAR,3pt,Jump Shot,[],203552,26.330486202365307,86.51960784313725,1610612755,20,12,2022-01-15T00:23:48Z,770000,-183.0,195.0,1,left,S. Curry 26' 3PT  (3 PTS) (J. Embiid 3 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,26.71,Made,3.0,J. Embiid,203954.0,3.0,,,,,,,,,,,
79,PT04M21.00S,2022-01-15T00:24:28.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,20,12,2022-01-15T00:24:28Z,790000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M21.00S,2022-01-15T00:26:16.1Z,1,REGULAR,substitution,out,[],1630178,,,1610612738,20,12,2022-01-15T00:26:28Z,800000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M21.00S,2022-01-15T00:26:16.1Z,1,REGULAR,substitution,in,[],1627788,,,1610612738,20,12,2022-01-15T00:26:28Z,810000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M02.00S,2022-01-15T00:26:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.16491458607096,47.05882352941176,1610612738,20,12,2022-01-15T00:27:01Z,820000,-15.0,21.0,1,right,MISS A. Horford Layup,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,2.57,Missed,,,,,,,,,,,,,,,
83,PT04M00.00S,2022-01-15T00:26:59.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,12,2022-01-15T00:26:59Z,830000,,,0,,T. Harris REBOUND (Off:1 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,82.0,3.0,2.0,1.0,,,,,,,
84,PT03M59.00S,2022-01-15T00:27:04.5Z,1,REGULAR,foul,offensive,[],202699,,,1610612755,20,12,2022-01-15T00:27:13Z,840000,,,0,,T. Harris charge offensive FOUL (1 PF),"[202699, 203471]",1610612755.0,PHI,charge,,,Harris,T. Harris,,,,,,,,1830.0,,,,,,,,,,,1.0,0.0,Schroder,203471.0,,,
86,PT03M59.00S,2022-01-15T00:27:04.5Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612755,20,12,2022-01-15T00:27:04Z,860000,,,0,,T. Harris offensive foul TURNOVER (2 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,2.0,,,1830.0,,,,,,,,,,,,,,,,,
87,PT03M40.00S,2022-01-15T00:27:40.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,92.0335085413929,1.9607843137254974,1610612738,20,12,2022-01-15T00:27:45Z,870000,-240.0,22.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,24.12,Missed,,,,,,,,,,,,,,,
88,PT03M37.00S,2022-01-15T00:27:43.9Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,20,12,2022-01-15T00:27:45Z,880000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,
89,PT03M27.00S,2022-01-15T00:27:53.7Z,1,REGULAR,3pt,Jump Shot,[],1627788,12.00722733245729,2.941176470588232,1610612755,20,12,2022-01-15T00:27:58Z,890000,235.0,60.0,1,left,MISS F. Korkmaz 24' pullup 3PT,[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,,,,,24.29,Missed,,,,,,,,,,,,,,,
90,PT03M24.00S,2022-01-15T00:27:56.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,20,12,2022-01-15T00:27:58Z,900000,,,0,,R. Williams III REBOUND (Off:0 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,89.0,4.0,4.0,0.0,,,,,,,
91,PT03M14.00S,2022-01-15T00:28:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.74572930354796,20.588235294117652,1610612738,20,12,2022-01-15T00:28:10Z,910000,-147.0,222.0,1,right,MISS J. Brown 26' 3PT - blocked,"[1627759, 1629680]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,26.67,Missed,,,,,,,,,,,,,Thybulle,1629680.0,
