actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M41.00S,2021-11-10T00:34:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,5.436925098554539,64.2156862745098,1610612755,4,2,2021-11-10T00:34:57Z,200000,-71.0,-1.0,1,left,MISS F. Korkmaz 7' driving floating Shot,[1627788],1610612755.0,PHI,driving floating,,,Korkmaz,F. Korkmaz,,,,,7.11,Missed,,,,,,,,,,,,,,,,,,
21,PT10M40.00S,2021-11-10T00:34:53.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,2,2021-11-10T00:34:57Z,210000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,20.0,,,,,,1.0,1.0,0.0,,,
22,PT10M40.00S,2021-11-10T00:34:56.9Z,1,REGULAR,foul,personal,[],1630194,,,1610612749,4,2,2021-11-10T00:35:02Z,220000,,,0,,P. Reed personal FOUL (1 PF),"[1630194, 203507]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
24,PT10M31.00S,2021-11-10T00:35:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,82.04664914586071,38.48039215686274,1610612749,4,2,2021-11-10T00:35:20Z,240000,-58.0,116.0,1,right,MISS G. Antetokounmpo 12' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,12.98,Missed,,,,,,,,,,,,,,,,,,
25,PT10M28.00S,2021-11-10T00:35:18.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,4,2,2021-11-10T00:35:20Z,250000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,24.0,,,,,,1.0,1.0,0.0,,,
26,PT10M20.00S,2021-11-10T00:35:26.8Z,1,REGULAR,3pt,Jump Shot,[],1629003,31.192509855453352,75.49019607843138,1610612755,4,2,2021-11-10T00:35:31Z,260000,-127.0,241.0,1,left,MISS S. Milton 27' pullup 3PT,[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,
27,PT10M18.00S,2021-11-10T00:35:28.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,2,2021-11-10T00:35:31Z,270000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,26.0,,,,,,2.0,2.0,0.0,,,
28,PT10M12.00S,2021-11-10T00:35:35.4Z,1,REGULAR,3pt,Jump Shot,[],1626171,68.64323258869908,39.70588235294118,1610612749,4,2,2021-11-10T00:35:40Z,280000,-51.0,242.0,1,right,MISS B. Portis 24' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,24.77,Missed,,,,,,,,,,,,,,,,,,
29,PT10M09.00S,2021-11-10T00:35:38.4Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,4,2,2021-11-10T00:35:40Z,290000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,28.0,,,,,,1.0,1.0,0.0,,,
30,PT10M01.00S,2021-11-10T00:35:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.750985545335084,52.94117647058824,1610612755,6,2,2021-11-10T00:35:55Z,300000,-15.0,11.0,1,left,A. Drummond driving reverse Layup (2 PTS) (T. Maxey 1 AST),"[203083, 1630178]",1610612755.0,PHI,driving reverse,,,Drummond,A. Drummond,,,,,1.84,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
32,PT09M43.00S,2021-11-10T00:36:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,69.95729303547964,80.88235294117646,1610612749,6,2,2021-11-10T00:36:08Z,320000,154.0,230.0,1,right,MISS G. Allen 27' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,27.69,Missed,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2021-11-10T00:36:06.7Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,6,2,2021-11-10T00:36:08Z,330000,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,32.0,,,,,,1.0,1.0,0.0,,,
34,PT09M33.00S,2021-11-10T00:36:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,6.356767411300922,55.3921568627451,1610612755,6,2,2021-11-10T00:36:20Z,340000,-27.0,7.0,1,left,MISS S. Milton driving finger roll Layup,[1629003],1610612755.0,PHI,driving finger roll,,,Milton,S. Milton,,,,,2.8,Missed,,,,,,,,,,,,,,,,,,
35,PT09M29.00S,2021-11-10T00:36:17.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,6,2,2021-11-10T00:36:17Z,350000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,34.0,,,,,,1.0,1.0,0.0,,,
36,PT09M24.00S,2021-11-10T00:36:22.5Z,1,REGULAR,3pt,Jump Shot,[],201588,89.79960578186596,1.7156862745098067,1610612749,6,5,2021-11-10T00:36:29Z,360000,-241.0,43.0,1,right,G. Hill 24' 3PT  (3 PTS) (J. Holiday 1 AST),"[201588, 201950]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,24.53,Made,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
38,PT09M08.00S,2021-11-10T00:36:39.0Z,1,REGULAR,2pt,Jump Shot,[],1629003,21.862680683311424,44.607843137254896,1610612755,8,5,2021-11-10T00:36:43Z,380000,27.0,153.0,1,left,S. Milton 15' pullup Jump Shot (2 PTS),[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,15.54,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M56.00S,2021-11-10T00:36:50.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201588,92.82194480946123,52.69607843137255,1610612749,8,7,2021-11-10T00:36:55Z,390000,13.0,15.0,1,right,G. Hill turnaround Hook (5 PTS) (J. Holiday 2 AST),"[201588, 201950]",1610612749.0,MIL,turnaround,,,Hill,G. Hill,,,,,2.02,Made,5.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,
41,PT08M32.00S,2021-11-10T00:37:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,8.722076215505908,50.49019607843137,1610612755,8,7,2021-11-10T00:37:21Z,410000,-2.0,29.0,1,left,MISS A. Drummond driving Layup,[203083],1610612755.0,PHI,driving,,,Drummond,A. Drummond,,,,,2.96,Missed,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2021-11-10T00:37:19.1Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,8,7,2021-11-10T00:37:35Z,420000,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,41.0,,,,,,2.0,1.0,1.0,,,
43,PT08M26.00S,2021-11-10T00:37:20.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,10,7,2021-11-10T00:37:20Z,430000,0.0,0.0,1,left,A. Drummond putback Layup (4 PTS),[203083],1610612755.0,PHI,putback,,,Drummond,A. Drummond,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M21.00S,2021-11-10T00:37:28.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,10,7,2021-11-10T00:37:28Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2021-11-10T00:37:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1627788,,,1610612749,10,7,2021-11-10T00:37:53Z,450000,,,0,,F. Korkmaz shooting personal FOUL (1 PF) (Allen 2 FT),"[1627788, 1628960]",1610612755.0,PHI,shooting,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,1151.0,1.0,0.0,Allen,1628960.0,,,,,,
47,PT08M20.00S,2021-11-10T00:38:07.1Z,1,REGULAR,freethrow,1 of 2,[],1628960,,,1610612749,10,8,2021-11-10T00:38:07Z,470000,,,0,,G. Allen Free Throw 1 of 2 (3 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
48,PT08M20.00S,2021-11-10T00:38:22.1Z,1,REGULAR,freethrow,2 of 2,[],1628960,,,1610612749,10,9,2021-11-10T00:38:22Z,480000,,,0,,G. Allen Free Throw 2 of 2 (4 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
49,PT08M06.00S,2021-11-10T00:38:38.0Z,1,REGULAR,turnover,lost ball,[],203083,,,1610612755,10,9,2021-11-10T00:38:44Z,490000,,,0,,A. Drummond lost ball TURNOVER (1 TO),"[203083, 201950]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,1.0,Holiday,201950.0
50,PT08M06.00S,2021-11-10T00:38:38.0Z,1,REGULAR,steal,,[],201950,,,1610612749,10,9,2021-11-10T00:38:44Z,500000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M00.00S,2021-11-10T00:38:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,71.53416557161628,16.17647058823529,1610612749,10,9,2021-11-10T00:38:50Z,510000,-169.0,215.0,1,right,MISS J. Holiday 27' running pullup 3PT,[201950],1610612749.0,MIL,running pullup,,,Holiday,J. Holiday,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,
52,PT07M58.00S,2021-11-10T00:38:45.8Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,10,9,2021-11-10T00:38:50Z,520000,,,0,,P. Reed REBOUND (Off:0 Def:2),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,51.0,,,,,,2.0,2.0,0.0,,,
53,PT07M53.00S,2021-11-10T00:38:51.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.477660972404735,45.34313725490197,1610612755,10,9,2021-11-10T00:38:58Z,530000,23.0,272.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,
54,PT07M48.00S,2021-11-10T00:38:56.0Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,10,9,2021-11-10T00:38:58Z,540000,,,0,,P. Reed REBOUND (Off:1 Def:2),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,53.0,,,,,,3.0,2.0,1.0,,,
55,PT07M48.00S,2021-11-10T00:38:55.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630194,5.590000152587891,50.0,1610612755,12,9,2021-11-10T00:38:55Z,550000,0.0,0.0,1,left,P. Reed putback DUNK (4 PTS),[1630194],1610612755.0,PHI,putback,,,Reed,P. Reed,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
56,PT07M36.00S,2021-11-10T00:39:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,95.58147174770039,49.01960784313726,1610612749,12,11,2021-11-10T00:39:15Z,560000,-5.0,-11.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.2,Made,2.0,,,,,,,,,,,,,,,,,
57,PT07M07.00S,2021-11-10T00:39:36.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,5.699737187910642,27.205882352941174,1610612755,14,11,2021-11-10T00:39:43Z,570000,114.0,1.0,1,left,T. Maxey 11' pullup Jump Shot (2 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,11.4,Made,2.0,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2021-11-10T00:39:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,85.06898817345598,63.72549019607843,1610612749,14,11,2021-11-10T00:39:59Z,580000,69.0,88.0,1,right,MISS J. Holiday 11' pullup Shot,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,11.15,Missed,,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2021-11-10T00:39:56.2Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,14,11,2021-11-10T00:39:56Z,590000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,58.0,,,,,,1.0,0.0,1.0,,,
60,PT06M45.00S,2021-11-10T00:39:58.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626171,92.29632063074901,52.205882352941174,1610612749,14,13,2021-11-10T00:40:09Z,600000,11.0,20.0,1,right,B. Portis bank Hook (2 PTS),[1626171],1610612749.0,MIL,bank,,,Portis,B. Portis,,,,,2.27,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M30.00S,2021-11-10T00:40:14.8Z,1,REGULAR,2pt,Jump Shot,[],1627788,25.016425755584763,45.09803921568627,1610612755,14,13,2021-11-10T00:40:22Z,610000,25.0,183.0,1,left,MISS F. Korkmaz 18' Jump Shot,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,18.43,Missed,,,,,,,,,,,,,,,,,,
62,PT06M26.00S,2021-11-10T00:40:18.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,13,2021-11-10T00:40:22Z,620000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,61.0,,,,,,3.0,3.0,0.0,,,
63,PT06M23.00S,2021-11-10T00:40:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,93.61038107752957,48.774509803921575,1610612749,14,15,2021-11-10T00:40:30Z,630000,-6.0,8.0,1,right,G. Antetokounmpo running finger roll Layup (4 PTS),[203507],1610612749.0,MIL,running finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,0.97,Made,4.0,,,,,,,,,,,,,,,,,
64,PT06M16.00S,2021-11-10T00:40:33.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,14,15,2021-11-10T00:40:33Z,640000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M16.00S,2021-11-10T00:43:20.4Z,1,REGULAR,substitution,out,[],201588,,,1610612755,14,15,2021-11-10T00:43:38Z,650000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M16.00S,2021-11-10T00:43:20.4Z,1,REGULAR,substitution,out,[],1626171,,,1610612755,14,15,2021-11-10T00:43:38Z,660000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2021-11-10T00:43:20.4Z,1,REGULAR,substitution,in,[],1626192,,,1610612755,14,15,2021-11-10T00:43:38Z,670000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2021-11-10T00:43:20.4Z,1,REGULAR,substitution,in,[],1628400,,,1610612755,14,15,2021-11-10T00:43:38Z,680000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2021-11-10T00:43:52.9Z,1,REGULAR,substitution,out,[],1629003,,,1610612755,14,15,2021-11-10T00:43:56Z,690000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2021-11-10T00:43:52.9Z,1,REGULAR,substitution,in,[],201980,,,1610612755,14,15,2021-11-10T00:43:56Z,700000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M58.00S,2021-11-10T00:44:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.670827858081481,44.85294117647059,1610612755,16,15,2021-11-10T00:46:40Z,710000,26.0,20.0,1,left,T. Maxey driving Layup (4 PTS) (F. Korkmaz 1 AST),"[1630178, 1627788]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,3.23,Made,4.0,F. Korkmaz,1627788.0,1.0,,,,,,,,,,,,,,
73,PT05M50.00S,2021-11-10T00:44:34.7Z,1,REGULAR,3pt,Jump Shot,[],203507,69.82588699080158,67.40196078431373,1610612749,16,15,2021-11-10T00:44:40Z,730000,87.0,231.0,1,right,MISS G. Antetokounmpo 24' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,24.69,Missed,,,,,,,,,,,,,,,,,,
74,PT05M50.00S,2021-11-10T00:44:34.7Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612749,16,15,2021-11-10T00:44:40Z,740000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612749.0,MIL,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,73.0,,,,,,1.0,0.0,1.0,,,
75,PT05M45.00S,2021-11-10T00:44:39.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,72.84822601839684,81.61764705882354,1610612749,16,18,2021-11-10T00:44:43Z,750000,158.0,203.0,1,right,G. Allen 25' 3PT  (7 PTS) (S. Ojeleye 1 AST),"[1628960, 1628400]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,25.71,Made,7.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,
77,PT05M29.00S,2021-11-10T00:44:55.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,33.42641261498029,68.13725490196079,1610612755,19,18,2021-11-10T00:44:59Z,770000,-91.0,262.0,1,left,T. Maxey 27' 3PT  (7 PTS) (A. Drummond 2 AST),"[1630178, 203083]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,27.7,Made,7.0,A. Drummond,203083.0,2.0,,,,,,,,,,,,,,
79,PT05M16.00S,2021-11-10T00:45:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.66162943495401,52.94117647058824,1610612749,19,20,2021-11-10T00:45:19Z,790000,15.0,-2.0,1,right,G. Antetokounmpo finger roll Layup (6 PTS),[203507],1610612749.0,MIL,finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.49,Made,6.0,,,,,,,,,,,,,,,,,
80,PT04M58.00S,2021-11-10T00:45:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,5.962549277266746,50.73529411764706,1610612755,21,20,2021-11-10T00:45:31Z,800000,-4.0,4.0,1,left,P. Reed driving Layup (6 PTS) (F. Korkmaz 2 AST),"[1630194, 1627788]",1610612755.0,PHI,driving,,,Reed,P. Reed,,,,,0.51,Made,6.0,F. Korkmaz,1627788.0,2.0,,,,,,,,,,,,,,
81,PT04M39.00S,2021-11-10T00:45:45.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,73.89947437582128,17.64705882352942,1610612749,21,20,2021-11-10T00:45:50Z,810000,-162.0,193.0,1,right,MISS G. Allen 25' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,
82,PT04M36.00S,2021-11-10T00:45:48.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,21,20,2021-11-10T00:45:50Z,820000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,81.0,,,,,,3.0,2.0,1.0,,,
83,PT04M29.00S,2021-11-10T00:45:55.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,14.50394218134035,57.35294117647059,1610612755,23,20,2021-11-10T00:46:01Z,830000,-37.0,84.0,1,left,T. Maxey 9' driving floating Jump Shot (9 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,9.15,Made,9.0,,,,,,,,,,,,,,,,,
84,PT04M19.00S,2021-11-10T00:46:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,87.69710906701708,51.71568627450981,1610612749,23,20,2021-11-10T00:46:10Z,840000,9.0,63.0,1,right,MISS G. Antetokounmpo 6' driving floating Shot,[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,6.37,Missed,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2021-11-10T00:46:06.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,23,20,2021-11-10T00:46:10Z,850000,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,84.0,,,,,,4.0,3.0,1.0,,,
86,PT04M11.00S,2021-11-10T00:46:12.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,7.276609724047319,4.901960784313729,1610612755,26,20,2021-11-10T00:46:42Z,860000,225.0,16.0,1,left,T. Maxey 3PT  (12 PTS) (D. Green 1 AST),"[1630178, 201980]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,22.61,Made,12.0,D. Green,201980.0,1.0,,,,,,,,,,,,,,
88,PT04M11.00S,2021-11-10T00:46:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,26,20,2021-11-10T00:46:27Z,880000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
