actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M12.00S,2022-02-01T00:12:35.5Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,4,3,2022-02-01T00:13:32Z,160000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (2 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,,,,,,,2715.0,2.0,,,,,,,,,,,,
17,PT09M59.00S,2022-02-01T00:12:56.1Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,4,3,2022-02-01T00:19:49Z,170000,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1630217]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,1.0,,,,,Bane,1630217.0,,,,,,
18,PT09M59.00S,2022-02-01T00:12:56.1Z,1,REGULAR,steal,,[],1630217,,,1610612763,4,3,2022-02-01T00:12:59Z,180000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
19,PT09M55.00S,2022-02-01T00:13:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,91.77069645203679,55.88235294117647,1610612763,4,5,2022-02-01T00:13:40Z,190000,29.0,25.0,1,right,D. Bane Layup (2 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,3.85,Made,,,,,,,2.0,,,,,,,,,,,
20,PT09M55.00S,2022-02-01T00:13:10.1Z,1,REGULAR,foul,personal,['1freethrow'],203552,,,1610612763,4,5,2022-02-01T00:13:26Z,200000,,,0,,S. Curry shooting personal FOUL (1 PF) (Bane 1 FT),"[203552, 1630217]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,,,,,,,2715.0,,,,,,,,1.0,0.0,Bane,1630217.0,,
22,PT09M55.00S,2022-02-01T00:13:35.5Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630217,,,1610612763,4,6,2022-02-01T00:13:35Z,220000,,,0,,D. Bane Free Throw 1 of 1 (3 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
23,PT09M36.00S,2022-02-01T00:13:46.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,5.831143232588701,51.470588235294116,1610612755,6,6,2022-02-01T00:13:53Z,230000,-7.0,2.0,1,left,A. Drummond DUNK (4 PTS) (T. Harris 1 AST),"[203083, 202699]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,0.77,Made,,,,,,,4.0,T. Harris,202699.0,1.0,,,,,,,,
25,PT09M08.00S,2022-02-01T00:14:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.61038107752957,47.549019607843135,1610612763,6,8,2022-02-01T00:21:15Z,250000,-12.0,8.0,1,right,J. Morant driving Layup (2 PTS) (D. Bane 1 AST),"[1629630, 1630217]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,1.45,Made,,,,,,,2.0,D. Bane,1630217.0,1.0,,,,,,,,
27,PT08M56.00S,2022-02-01T00:14:27.3Z,1,REGULAR,3pt,Jump Shot,[],1629680,4.385676741130098,97.30392156862744,1610612755,9,8,2022-02-01T00:14:45Z,270000,-237.0,-11.0,1,left,M. Thybulle 3PT  (3 PTS) (T. Maxey 1 AST),"[1629680, 1630178]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.68,Made,,,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,,,,
29,PT08M45.00S,2022-02-01T00:14:38.6Z,1,REGULAR,3pt,Jump Shot,[],1630533,72.32260183968462,20.588235294117652,1610612763,9,8,2022-02-01T00:14:48Z,290000,-147.0,208.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,
30,PT08M45.00S,2022-02-01T00:14:38.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,9,8,2022-02-01T00:14:48Z,300000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT08M33.00S,2022-02-01T00:14:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.167542706964511,62.5,1610612755,9,8,2022-02-01T00:14:55Z,310000,-62.0,43.0,1,left,MISS T. Maxey 7' driving bank Shot,[1630178],1610612755.0,PHI,driving bank,,,Maxey,T. Maxey,,,,,7.59,Missed,,,,,,,,,,,,,,,,,,
32,PT08M30.00S,2022-02-01T00:14:52.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,9,8,2022-02-01T00:14:52Z,320000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M25.00S,2022-02-01T00:14:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,93.34756898817345,44.11764705882353,1610612763,9,8,2022-02-01T00:15:08Z,330000,-29.0,10.0,1,right,MISS J. Morant pullup Shot - blocked,"[1629630, 1629680]",1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,3.11,Missed,,,,,,,,,,,,,,,,,Thybulle,1629680.0
34,PT08M25.00S,2022-02-01T00:14:59.4Z,1,REGULAR,block,,[],1629680,,,1610612763,9,8,2022-02-01T00:15:02Z,340000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M25.00S,2022-02-01T00:14:59.4Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,9,8,2022-02-01T00:15:08Z,350000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M20.00S,2022-02-01T00:15:06.7Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612755,9,8,2022-02-01T00:15:13Z,360000,,,0,,D. Bane shooting personal FOUL (1 PF) (Harris 2 FT),"[1630217, 202699]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,,,,,,,2715.0,,,,,,,,1.0,0.0,Harris,202699.0,,
38,PT08M20.00S,2022-02-01T00:15:33.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202699,,,1610612755,10,8,2022-02-01T00:15:33Z,380000,,,0,,T. Harris Free Throw 1 of 2 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
39,PT08M20.00S,2022-02-01T00:15:44.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202699,,,1610612755,11,8,2022-02-01T00:15:44Z,390000,,,0,,T. Harris Free Throw 2 of 2 (4 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
40,PT08M01.00S,2022-02-01T00:16:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,90.8508541392904,48.774509803921575,1610612763,11,8,2022-02-01T00:16:24Z,400000,-6.0,34.0,1,right,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 202699]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,3.41,Missed,,,,,,,,,,,,,,,,,Harris,202699.0
41,PT08M01.00S,2022-02-01T00:16:06.8Z,1,REGULAR,block,,[],202699,,,1610612763,11,8,2022-02-01T00:16:09Z,410000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M00.00S,2022-02-01T00:16:07.8Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,11,8,2022-02-01T00:23:23Z,420000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,
43,PT08M00.00S,2022-02-01T00:16:14.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628991,94.40999984741211,50.0,1610612763,11,10,2022-02-01T00:23:30Z,430000,0.0,0.0,1,right,J. Jackson Jr. putback Layup (5 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,0.0,Made,,,,,,,5.0,,,,,,,,,,,
44,PT07M42.00S,2022-02-01T00:16:25.8Z,1,REGULAR,3pt,Jump Shot,[],202699,27.90735873850197,20.833333333333343,1610612755,14,10,2022-02-01T00:16:30Z,440000,146.0,210.0,1,left,T. Harris 25' 3PT  (7 PTS) (S. Curry 1 AST),"[202699, 203552]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.55,Made,,,,,,,7.0,S. Curry,203552.0,1.0,,,,,,,,
46,PT07M27.00S,2022-02-01T00:16:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,90.32522996057818,50.49019607843137,1610612763,14,10,2022-02-01T00:17:36Z,460000,2.0,38.0,1,right,MISS J. Jackson Jr. driving floating Shot - blocked,"[1628991, 202699]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,3.85,Missed,,,,,,,,,,,,,,,,,Harris,202699.0
47,PT07M27.00S,2022-02-01T00:16:40.3Z,1,REGULAR,block,,[],202699,,,1610612763,14,10,2022-02-01T00:16:42Z,470000,,,0,,T. Harris BLOCK (2 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M24.00S,2022-02-01T00:16:43.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,14,10,2022-02-01T00:16:47Z,480000,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT07M23.00S,2022-02-01T00:16:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.8823915900131425,47.05882352941176,1610612755,16,10,2022-02-01T00:16:52Z,490000,15.0,12.0,1,left,T. Maxey running reverse Layup (2 PTS) (A. Drummond 2 AST),"[1630178, 203083]",1610612755.0,PHI,running reverse,,,Maxey,T. Maxey,,,,,1.91,Made,,,,,,,2.0,A. Drummond,203083.0,2.0,,,,,,,,
51,PT07M23.00S,2022-02-01T00:16:56.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,16,10,2022-02-01T00:16:56Z,510000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M10.00S,2022-02-01T00:20:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,95.84428383705651,54.411764705882355,1610612763,16,12,2022-02-01T00:20:06Z,520000,22.0,-13.0,1,right,D. Bane driving Layup (5 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,2.58,Made,,,,,,,5.0,S. Adams,203500.0,1.0,,,,,,,,
57,PT06M49.00S,2022-02-01T00:20:21.8Z,1,REGULAR,3pt,Jump Shot,[],203552,35.134691195795014,45.09803921568627,1610612755,16,12,2022-02-01T00:20:27Z,540000,25.0,278.0,1,left,MISS S. Curry 27' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,27.89,Missed,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2022-02-01T00:20:25.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,16,12,2022-02-01T00:20:27Z,550000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT06M39.00S,2022-02-01T00:20:32.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629630,78.76149802890933,44.607843137254896,1610612763,16,14,2022-02-01T00:20:41Z,560000,-27.0,147.0,1,right,J. Morant 14' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,14.96,Made,,,,,,,4.0,,,,,,,,,,,
60,PT06M19.00S,2022-02-01T00:20:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,16.737844940867276,57.1078431372549,1610612755,16,14,2022-02-01T00:20:59Z,570000,-36.0,105.0,1,left,MISS T. Harris 11' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,11.06,Missed,,,,,,,,,,,,,,,,,,
61,PT06M18.00S,2022-02-01T00:20:53.1Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,16,14,2022-02-01T00:48:27Z,580000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,,,
217,PT06M17.00S,2022-02-01T00:20:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,6.8823915900131425,55.14705882352941,1610612755,16,14,2022-02-01T00:49:03Z,585000,-26.0,12.0,1,left,MISS T. Harris tip Layup - blocked,"[202699, 1628991]",1610612755.0,PHI,tip,,,Harris,T. Harris,,,,,2.84,Missed,,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0
218,PT06M17.00S,2022-02-01T00:20:56.1Z,1,REGULAR,block,,[],1628991,,,1610612755,16,14,2022-02-01T00:49:03Z,587500,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M16.00S,2022-02-01T00:20:57.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,16,14,2022-02-01T00:49:03Z,588750,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,217.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT06M13.00S,2022-02-01T00:21:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.42772667542707,42.892156862745104,1610612763,16,14,2022-02-01T00:21:05Z,590000,-36.0,19.0,1,right,MISS J. Morant driving Layup - blocked,"[1629630, 1630178]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,4.01,Missed,,,,,,,,,,,,,,,,,Maxey,1630178.0
63,PT06M13.00S,2022-02-01T00:21:00.1Z,1,REGULAR,block,,[],1630178,,,1610612763,16,14,2022-02-01T00:21:03Z,600000,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M13.00S,2022-02-01T00:21:00.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,16,14,2022-02-01T00:21:05Z,610000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,
133,PT06M13.00S,2022-02-01T00:21:02.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,16,14,2022-02-01T00:29:42Z,615000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M13.00S,2022-02-01T00:21:05.1Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,16,14,2022-02-01T00:21:21Z,620000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2022-02-01T00:21:05.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,16,14,2022-02-01T00:21:21Z,630000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M13.00S,2022-02-01T00:21:05.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612763,16,14,2022-02-01T00:21:21Z,640000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M13.00S,2022-02-01T00:21:05.1Z,1,REGULAR,substitution,in,[],203937,,,1610612763,16,14,2022-02-01T00:21:21Z,650000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M06.00S,2022-02-01T00:21:32.8Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612763,16,14,2022-02-01T00:21:42Z,660000,,,0,,T. Harris shooting personal FOUL (1 PF) (Anderson 2 FT),"[202699, 203937]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,2005.0,,,,,,,,1.0,0.0,Anderson,203937.0,,
71,PT06M06.00S,2022-02-01T00:21:54.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203937,,,1610612763,16,15,2022-02-01T00:22:18Z,680000,,,0,,K. Anderson Free Throw 1 of 2 (1 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
72,PT06M06.00S,2022-02-01T00:21:56.0Z,1,REGULAR,substitution,out,[],202699,,,1610612763,16,15,2022-02-01T00:22:03Z,690000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2022-02-01T00:21:56.0Z,1,REGULAR,substitution,in,[],1627777,,,1610612763,16,15,2022-02-01T00:22:03Z,700000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M06.00S,2022-02-01T00:21:54.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203937,,,1610612763,16,15,2022-02-01T00:22:18Z,710000,,,0,,MISS K. Anderson Free Throw 2 of 2,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2022-02-01T00:21:56.7Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,16,15,2022-02-01T00:22:18Z,720000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT05M50.00S,2022-02-01T00:22:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,5.962549277266746,50.245098039215684,1610612755,18,15,2022-02-01T00:22:34Z,730000,-1.0,4.0,1,left,T. Maxey driving Layup (4 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,0.37,Made,,,,,,,4.0,,,,,,,,,,,
77,PT05M40.00S,2022-02-01T00:22:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,84.28055190538765,55.14705882352941,1610612763,18,15,2022-02-01T00:22:54Z,740000,26.0,95.0,1,right,MISS J. Morant 9' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,9.87,Missed,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2022-02-01T00:22:44.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,18,15,2022-02-01T00:22:44Z,750000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2022-02-01T00:22:46.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,18,15,2022-02-01T00:22:46Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M35.00S,2022-02-01T00:23:04.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629001,92.16491458607096,88.23529411764706,1610612763,18,15,2022-02-01T00:23:09Z,770000,191.0,21.0,1,right,MISS D. Melton 19' Jump Shot,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,19.24,Missed,,,,,,,,,,,,,,,,,,
81,PT05M32.00S,2022-02-01T00:23:07.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,18,15,2022-02-01T00:23:09Z,780000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,80.0,3.0,2.0,1.0,,,,,,,,,,,,,,
82,PT05M26.00S,2022-02-01T00:23:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,6.225361366622863,49.01960784313726,1610612755,20,15,2022-02-01T00:23:23Z,790000,5.0,6.0,1,left,T. Maxey running reverse Layup (6 PTS) (S. Curry 2 AST),"[1630178, 203552]",1610612755.0,PHI,running reverse,,,Maxey,T. Maxey,,,,,0.77,Made,,,,,,,6.0,S. Curry,203552.0,2.0,,,,,,,,
84,PT05M17.00S,2022-02-01T00:23:23.8Z,1,REGULAR,turnover,out-of-bounds,[],203500,,,1610612763,20,15,2022-02-01T00:23:30Z,810000,,,0,,S. Adams bad pass out-of-bounds TURNOVER (1 TO),[203500],1610612763.0,MEM,bad pass,,,Adams,S. Adams,,,,,,,,,,,201638.0,1.0,,,,,,,,,,,,
85,PT05M17.00S,2022-02-01T00:23:28.3Z,1,REGULAR,substitution,out,[],203500,,,1610612755,20,15,2022-02-01T00:23:41Z,820000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M17.00S,2022-02-01T00:23:28.3Z,1,REGULAR,substitution,out,[],1630533,,,1610612755,20,15,2022-02-01T00:23:41Z,830000,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M17.00S,2022-02-01T00:23:28.3Z,1,REGULAR,substitution,in,[],1629723,,,1610612755,20,15,2022-02-01T00:23:41Z,840000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,
