actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M14.00S,2022-02-16T00:35:39.0Z,1,REGULAR,foul,personal,[],201143,,,1610612755,0,7,2022-02-16T00:35:54Z,190000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 203954]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,101283.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
21,PT10M09.00S,2022-02-16T00:35:56.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,24.6222076215506,12.5,1610612755,0,7,2022-02-16T00:36:01Z,210000,188.0,179.0,1,left,MISS M. Thybulle 25' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,25.92,Missed,,,,,,,,,,,,,
22,PT10M05.00S,2022-02-16T00:36:00.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,7,2022-02-16T00:36:01Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,
23,PT09M51.00S,2022-02-16T00:36:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,83.49211563731932,51.96078431372549,1610612738,0,7,2022-02-16T00:36:18Z,230000,10.0,103.0,1,right,MISS A. Horford 10' turnaround fadeaway Shot,[201143],1610612738.0,BOS,turnaround fadeaway,,,Horford,A. Horford,,,,,,,,,,10.32,Missed,,,,,,,,,,,,,
24,PT09M49.00S,2022-02-16T00:36:15.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,7,2022-02-16T00:36:18Z,240000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
25,PT09M38.00S,2022-02-16T00:36:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.029566360052556,62.254901960784316,1610612755,2,7,2022-02-16T00:36:31Z,250000,-61.0,89.0,1,left,T. Harris 10' pullup Jump Shot (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,,,,,,10.79,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,
27,PT09M22.00S,2022-02-16T00:36:42.9Z,1,REGULAR,foul,personal,['3freethrow'],202699,,,1610612738,2,7,2022-02-16T00:36:55Z,270000,,,0,,T. Harris shooting personal FOUL (1 PF) (Brown 3 FT),"[202699, 1627759]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,204058.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
29,PT09M22.00S,2022-02-16T00:37:07.7Z,1,REGULAR,freethrow,1 of 3,[],1627759,,,1610612738,2,8,2022-02-16T00:37:33Z,290000,,,0,,J. Brown Free Throw 1 of 3 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
30,PT09M22.00S,2022-02-16T00:37:07.7Z,1,REGULAR,freethrow,2 of 3,[],1627759,,,1610612738,2,9,2022-02-16T00:37:33Z,300000,,,0,,J. Brown Free Throw 2 of 3 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
31,PT09M22.00S,2022-02-16T00:37:07.7Z,1,REGULAR,freethrow,3 of 3,[],1627759,,,1610612738,2,9,2022-02-16T00:37:33Z,310000,,,0,,MISS J. Brown Free Throw 3 of 3,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,
32,PT09M19.00S,2022-02-16T00:37:10.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,9,2022-02-16T00:37:33Z,320000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M10.00S,2022-02-16T00:37:41.8Z,1,REGULAR,3pt,Jump Shot,[],1629680,32.769382391590014,37.745098039215684,1610612755,2,9,2022-02-16T00:37:46Z,330000,61.0,256.0,1,left,MISS M. Thybulle 26' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,26.28,Missed,,,,,,,,,,,,,
34,PT09M06.00S,2022-02-16T00:37:45.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,9,2022-02-16T00:37:46Z,340000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT09M02.00S,2022-02-16T00:37:51.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,84.54336399474376,48.774509803921575,1610612738,2,11,2022-02-16T00:37:57Z,350000,-6.0,93.0,1,right,J. Brown 9' driving floating Jump Shot (8 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,,,,9.3,Made,8.0,,,,,,,,,,,,
36,PT09M01.00S,2022-02-16T00:37:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,2,11,2022-02-16T00:37:58Z,360000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M45.00S,2022-02-16T00:41:30.1Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,2,11,2022-02-16T00:41:48Z,370000,,,0,,A. Horford shooting personal FOUL (2 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,204058.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-02-16T00:41:57.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,3,11,2022-02-16T00:41:57Z,390000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
40,PT08M45.00S,2022-02-16T00:42:02.8Z,1,REGULAR,substitution,out,[],201143,,,1610612755,3,11,2022-02-16T00:42:07Z,400000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M45.00S,2022-02-16T00:42:02.8Z,1,REGULAR,substitution,in,[],1628464,,,1610612755,3,11,2022-02-16T00:42:07Z,410000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M45.00S,2022-02-16T00:42:19.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,4,11,2022-02-16T00:42:19Z,420000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
43,PT08M25.00S,2022-02-16T00:42:41.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,86.25164257555848,18.627450980392155,1610612738,4,11,2022-02-16T00:42:46Z,430000,-157.0,77.0,1,right,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,17.46,Missed,,,,,,,,,,,,,
44,PT08M21.00S,2022-02-16T00:42:45.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,11,2022-02-16T00:42:46Z,440000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,
45,PT07M56.00S,2022-02-16T00:43:10.1Z,1,REGULAR,3pt,Jump Shot,[],1629680,31.718134034165573,28.431372549019613,1610612755,4,11,2022-02-16T00:43:13Z,450000,108.0,246.0,1,left,MISS M. Thybulle 26' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,26.83,Missed,,,,,,,,,,,,,
46,PT07M53.00S,2022-02-16T00:43:12.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,4,11,2022-02-16T00:43:12Z,460000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,
47,PT07M44.00S,2022-02-16T00:43:21.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.80354796320631,59.55882352941176,1610612738,4,11,2022-02-16T00:43:28Z,470000,48.0,260.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,26.39,Missed,,,,,,,,,,,,,
48,PT07M38.00S,2022-02-16T00:43:27.7Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,4,11,2022-02-16T00:43:27Z,480000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,47.0,2.0,1.0,1.0,,,,,
49,PT07M34.00S,2022-02-16T00:43:32.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,75.87056504599212,10.784313725490193,1610612738,4,14,2022-02-16T00:43:36Z,490000,-196.0,174.0,1,right,J. Brown 26' 3PT  (11 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,26.24,Made,11.0,G. Williams,1629684.0,1.0,,,,,,,,,
51,PT07M18.00S,2022-02-16T00:43:48.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,5.831143232588701,97.54901960784314,1610612755,4,14,2022-02-16T00:43:53Z,510000,-238.0,2.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,23.77,Missed,,,,,,,,,,,,,
52,PT07M15.00S,2022-02-16T00:43:51.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,14,2022-02-16T00:43:53Z,520000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,51.0,3.0,3.0,0.0,,,,,
53,PT07M12.00S,2022-02-16T00:43:54.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,94.79303547963207,51.470588235294116,1610612738,4,16,2022-02-16T00:44:02Z,530000,7.0,-4.0,1,right,M. Smart running Layup (2 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,,,,0.82,Made,2.0,,,,,,,,,,,,
54,PT06M57.00S,2022-02-16T00:44:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,7.933639947437584,4.656862745098039,1610612755,7,16,2022-02-16T00:44:12Z,540000,227.0,22.0,1,left,T. Maxey 3PT  (3 PTS) (J. Embiid 2 AST),"[1630178, 203954]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,22.78,Made,3.0,J. Embiid,203954.0,2.0,,,,,,,,,
56,PT06M40.00S,2022-02-16T00:44:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.91524310118265,57.84313725490196,1610612738,7,16,2022-02-16T00:44:31Z,560000,39.0,117.0,1,right,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,,,,12.39,Missed,,,,,,,,,,,,,
57,PT06M37.00S,2022-02-16T00:44:29.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,16,2022-02-16T00:44:31Z,570000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,56.0,3.0,3.0,0.0,,,,,
58,PT06M31.00S,2022-02-16T00:44:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.539421813403408,53.431372549019606,1610612755,7,16,2022-02-16T00:44:41Z,580000,-17.0,18.0,1,left,MISS T. Maxey running finger roll Layup - blocked,"[1630178, 1628369]",1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,,,,,,2.52,Missed,,,,,,,,,Tatum,1628369.0,,,
59,PT06M31.00S,2022-02-16T00:44:34.7Z,1,REGULAR,block,,[],1628369,,,1610612755,7,16,2022-02-16T00:44:37Z,590000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M28.00S,2022-02-16T00:44:37.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,16,2022-02-16T00:44:41Z,600000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,58.0,3.0,2.0,1.0,,,,,
61,PT06M22.00S,2022-02-16T00:44:48.3Z,1,REGULAR,foul,personal,[],1630178,,,1610612738,7,16,2022-02-16T00:44:53Z,610000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 203935]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,101283.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
63,PT06M07.00S,2022-02-16T00:45:16.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,7,16,2022-02-16T00:45:21Z,630000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,2714.0,,,,,,,,,,,,,,,,,,,
64,PT05M50.00S,2022-02-16T00:45:50.3Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612755,7,16,2022-02-16T00:46:02Z,640000,,,0,,M. Smart shooting personal FOUL (1 PF) (Embiid 2 FT),"[203935, 203954]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,2714.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
66,PT05M50.00S,2022-02-16T00:46:26.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,8,16,2022-02-16T00:46:26Z,660000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
67,PT05M50.00S,2022-02-16T00:46:27.9Z,1,REGULAR,substitution,out,[],202699,,,1610612755,8,16,2022-02-16T00:46:35Z,670000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M50.00S,2022-02-16T00:46:27.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,8,16,2022-02-16T00:46:35Z,680000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M50.00S,2022-02-16T00:46:27.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,8,16,2022-02-16T00:46:35Z,690000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M50.00S,2022-02-16T00:46:27.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612755,8,16,2022-02-16T00:46:35Z,700000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M50.00S,2022-02-16T00:46:55.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,9,16,2022-02-16T00:46:55Z,710000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
72,PT05M36.00S,2022-02-16T00:47:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.0400788436268,53.18627450980392,1610612738,9,16,2022-02-16T00:47:16Z,720000,16.0,69.0,1,right,MISS D. White 7' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,,,,7.11,Missed,,,,,,,,,,,,,
73,PT05M35.00S,2022-02-16T00:47:13.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,16,2022-02-16T00:47:16Z,730000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,72.0,4.0,4.0,0.0,,,,,
74,PT05M35.00S,2022-02-16T00:47:15.9Z,1,REGULAR,foul,personal,[],1628401,,,1610612755,9,16,2022-02-16T00:47:24Z,740000,,,0,,D. White personal FOUL (1 PF),"[1628401, 203954]",1610612738.0,BOS,,,,White,D. White,,,,,2714.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
76,PT05M35.00S,2022-02-16T00:47:24.8Z,1,REGULAR,substitution,out,[],1629680,,,1610612755,9,16,2022-02-16T00:47:36Z,760000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M35.00S,2022-02-16T00:47:24.8Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,9,16,2022-02-16T00:47:36Z,770000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M21.00S,2022-02-16T00:47:46.1Z,1,REGULAR,3pt,Jump Shot,[],201980,25.804862023653087,13.970588235294116,1610612755,12,16,2022-02-16T00:47:51Z,780000,180.0,190.0,1,left,D. Green 26' 3PT  (3 PTS) (J. Embiid 3 AST),"[201980, 203954]",1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,26.19,Made,3.0,J. Embiid,203954.0,3.0,,,,,,,,,
80,PT05M02.00S,2022-02-16T00:48:04.7Z,1,REGULAR,3pt,Jump Shot,[],1628464,67.32917214191853,39.950980392156865,1610612738,12,19,2022-02-16T00:48:09Z,800000,-50.0,255.0,1,right,D. Theis 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1628464, 1627759]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,25.95,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,
82,PT04M46.00S,2022-02-16T00:48:20.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,33.03219448094612,63.970588235294116,1610612755,12,19,2022-02-16T00:48:24Z,820000,-70.0,258.0,1,left,MISS G. Niang 26' pullup 3PT,[1627777],1610612755.0,PHI,pullup,,,Niang,G. Niang,,,,,,,,,,26.73,Missed,,,,,,,,,,,,,
83,PT04M43.00S,2022-02-16T00:48:23.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,19,2022-02-16T00:48:24Z,830000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,82.0,4.0,3.0,1.0,,,,,
84,PT04M37.00S,2022-02-16T00:48:34.0Z,1,REGULAR,foul,personal,[],201980,,,1610612738,12,19,2022-02-16T00:48:41Z,840000,,,0,,D. Green personal FOUL (2 PF),"[201980, 203935]",1610612755.0,PHI,,,,Green,D. Green,,,,,2714.0,2.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
86,PT04M37.00S,2022-02-16T00:48:50.6Z,1,REGULAR,substitution,out,[],201980,,,1610612738,12,19,2022-02-16T00:48:58Z,860000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M37.00S,2022-02-16T00:48:50.6Z,1,REGULAR,substitution,in,[],1629003,,,1610612738,12,19,2022-02-16T00:48:58Z,870000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M27.00S,2022-02-16T00:49:10.3Z,1,REGULAR,3pt,Jump Shot,[],203935,72.9796320630749,17.64705882352942,1610612738,12,22,2022-02-16T00:49:14Z,880000,-162.0,201.0,1,right,M. Smart 25' 3PT  (5 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,25.84,Made,5.0,D. Theis,1628464.0,1.0,,,,,,,,,
90,PT04M07.00S,2022-02-16T00:49:30.0Z,1,REGULAR,3pt,Jump Shot,[],1627788,24.885019710906704,89.2156862745098,1610612755,15,22,2022-02-16T00:49:33Z,900000,-196.0,181.0,1,left,F. Korkmaz 26' 3PT  (3 PTS) (J. Embiid 4 AST),"[1627788, 203954]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,26.71,Made,3.0,J. Embiid,203954.0,4.0,,,,,,,,,
92,PT03M57.00S,2022-02-16T00:49:43.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203954,,,1610612738,15,22,2022-02-16T00:49:51Z,920000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Smart 2 FT),"[203954, 203935]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,204058.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
94,PT03M57.00S,2022-02-16T00:50:11.2Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,15,23,2022-02-16T00:50:11Z,940000,,,0,,M. Smart Free Throw 1 of 2 (6 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
95,PT03M57.00S,2022-02-16T00:50:25.1Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,15,24,2022-02-16T00:50:25Z,950000,,,0,,M. Smart Free Throw 2 of 2 (7 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,Made,7.0,,,,,,,,,,,,
96,PT03M40.00S,2022-02-16T00:50:47.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,15,24,2022-02-16T00:50:57Z,960000,,,0,,G. Williams personal FOUL (1 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,101283.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
