actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
24,PT09M52.00S,2021-11-30T00:13:04.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,2,2021-11-30T00:13:06Z,240000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M43.00S,2021-11-30T00:13:14.9Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612755,2,2,2021-11-30T00:13:20Z,250000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628976, 203954]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Embiid,203954.0,,,
27,PT09M43.00S,2021-11-30T00:13:41.9Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,3,2,2021-11-30T00:13:42Z,270000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
28,PT09M43.00S,2021-11-30T00:13:58.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,4,2,2021-11-30T00:13:58Z,280000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
29,PT09M33.00S,2021-11-30T00:14:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,91.90210249671485,40.44117647058824,1610612753,4,2,2021-11-30T00:14:16Z,290000,-48.0,24.0,1,right,MISS J. Suggs driving reverse Layup,[1630591],1610612753.0,ORL,driving reverse,,,Suggs,J. Suggs,,,,,5.33,Missed,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2021-11-30T00:14:14.8Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,4,2,2021-11-30T00:14:16Z,310000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M17.00S,2021-11-30T00:14:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.37516425755584,27.205882352941174,1610612755,7,2,2021-11-30T00:14:31Z,320000,114.0,252.0,1,left,T. Maxey 27' 3PT  (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,27.64,Made,,,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,,
34,PT09M03.00S,2021-11-30T00:14:40.3Z,1,REGULAR,3pt,Jump Shot,[],203914,66.5407358738502,42.40196078431373,1610612753,7,2,2021-11-30T00:14:44Z,340000,-38.0,262.0,1,right,MISS G. Harris 26' step back 3PT,[203914],1610612753.0,ORL,step back,,,Harris,G. Harris,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2021-11-30T00:14:43.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,2,2021-11-30T00:14:44Z,350000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M53.00S,2021-11-30T00:14:50.4Z,1,REGULAR,3pt,Jump Shot,[],202699,24.753613666228645,12.009803921568633,1610612755,10,2,2021-11-30T00:14:55Z,360000,190.0,180.0,1,left,T. Harris 26' 3PT  (3 PTS) (T. Maxey 2 AST),"[202699, 1630178]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,26.19,Made,,,,,,,3.0,T. Maxey,1630178.0,2.0,,,,,,,,
38,PT08M43.00S,2021-11-30T00:14:59.8Z,1,REGULAR,3pt,Jump Shot,[],203914,79.54993429697765,92.6470588235294,1610612753,10,2,2021-11-30T00:15:04Z,380000,213.0,140.0,1,right,MISS G. Harris 25' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2021-11-30T00:15:02.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,2,2021-11-30T00:15:04Z,390000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,38.0,3.0,3.0,0.0,,,,,,,,,,,,,,
40,PT08M34.00S,2021-11-30T00:15:09.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202699,6.093955321944804,50.73529411764706,1610612755,12,2,2021-11-30T00:15:14Z,400000,-4.0,5.0,1,left,T. Harris driving DUNK (5 PTS) (T. Maxey 3 AST),"[202699, 1630178]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,0.61,Made,,,,,,,5.0,T. Maxey,1630178.0,3.0,,,,,,,,
42,PT08M34.00S,2021-11-30T00:15:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,2,2021-11-30T00:15:14Z,420000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M20.00S,2021-11-30T00:18:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,95.45006570302233,40.68627450980392,1610612753,12,2,2021-11-30T00:18:22Z,430000,-47.0,-10.0,1,right,MISS W. Carter Jr. driving floating bank Shot,[1628976],1610612753.0,ORL,driving floating bank,,,Carter Jr.,W. Carter Jr.,,,,,4.76,Missed,,,,,,,,,,,,,,,,,,
44,PT08M14.00S,2021-11-30T00:18:23.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,12,2,2021-11-30T00:18:22Z,440000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
45,PT08M14.00S,2021-11-30T00:18:21.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628964,94.40999984741211,50.0,1610612753,12,2,2021-11-30T00:18:21Z,450000,0.0,0.0,1,right,MISS M. Bamba tip DUNK,[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
46,PT08M14.00S,2021-11-30T00:18:22.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,12,2,2021-11-30T00:18:22Z,460000,,,0,,T. Harris REBOUND (Off:0 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,45.0,4.0,4.0,0.0,,,,,,,,,,,,,,
47,PT07M56.00S,2021-11-30T00:18:40.0Z,1,REGULAR,2pt,Jump Shot,[],203954,23.04533508541394,42.64705882352941,1610612755,12,2,2021-11-30T00:18:45Z,470000,37.0,164.0,1,left,MISS J. Embiid 16' step back Shot,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,16.82,Missed,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2021-11-30T00:18:43.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,2,2021-11-30T00:18:45Z,480000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT07M42.00S,2021-11-30T00:18:56.7Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612753,12,2,2021-11-30T00:19:10Z,490000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Suggs 2 FT),"[203954, 1630591]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Suggs,1630591.0,,,
51,PT07M42.00S,2021-11-30T00:19:22.6Z,1,REGULAR,freethrow,1 of 2,[],1630591,,,1610612753,12,3,2021-11-30T00:19:22Z,510000,,,0,,J. Suggs Free Throw 1 of 2 (1 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
52,PT07M42.00S,2021-11-30T00:19:40.6Z,1,REGULAR,freethrow,2 of 2,[],1630591,,,1610612753,12,4,2021-11-30T00:19:40Z,520000,,,0,,J. Suggs Free Throw 2 of 2 (2 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
53,PT07M27.00S,2021-11-30T00:19:56.9Z,1,REGULAR,2pt,Jump Shot,[],203552,3.7286465177398185,30.14705882352942,1610612755,14,4,2021-11-30T00:20:02Z,530000,99.0,-17.0,1,left,S. Curry 10' fadeaway Jump Shot (2 PTS) (J. Embiid 2 AST),"[203552, 203954]",1610612755.0,PHI,fadeaway,,,Curry,S. Curry,,,,,10.08,Made,,,,,,,2.0,J. Embiid,203954.0,2.0,,,,,,,,
55,PT07M14.00S,2021-11-30T00:20:08.9Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,14,4,2021-11-30T00:20:13Z,550000,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 203552]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,1.0,Curry,203552.0
56,PT07M14.00S,2021-11-30T00:20:08.9Z,1,REGULAR,steal,,[],203552,,,1610612755,14,4,2021-11-30T00:20:11Z,560000,,,0,,S. Curry STEAL (1 STL),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M09.00S,2021-11-30T00:20:14.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203552,7.013797634691201,4.166666666666657,1610612755,14,4,2021-11-30T00:20:21Z,570000,229.0,13.0,1,left,MISS S. Curry 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,
58,PT07M08.00S,2021-11-30T00:20:19.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,14,4,2021-11-30T00:20:19Z,580000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,
59,PT07M08.00S,2021-11-30T00:20:20.7Z,1,REGULAR,foul,personal,[],203914,,,1610612755,14,4,2021-11-30T00:20:29Z,590000,,,0,,G. Harris loose ball personal FOUL (1 PF),"[203914, 203552]",1610612753.0,ORL,loose ball,,,Harris,G. Harris,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Curry,203552.0,,,
61,PT07M03.00S,2021-11-30T00:20:40.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203552,8.196452036793687,66.17647058823529,1610612755,16,4,2021-11-30T00:20:45Z,610000,-81.0,25.0,1,left,S. Curry 8' driving floating bank Jump Shot (4 PTS) (T. Maxey 4 AST),"[203552, 1630178]",1610612755.0,PHI,driving floating bank,,,Curry,S. Curry,,,,,8.45,Made,,,,,,,4.0,T. Maxey,1630178.0,4.0,,,,,,,,
63,PT07M03.00S,2021-11-30T00:20:44.8Z,1,REGULAR,foul,personal,['1freethrow'],203914,,,1610612755,16,4,2021-11-30T00:20:56Z,630000,,,0,,G. Harris shooting personal FOUL (2 PF) (Curry 1 FT),"[203914, 203552]",1610612753.0,ORL,shooting,,,Harris,G. Harris,,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Curry,203552.0,,,
65,PT07M03.00S,2021-11-30T00:21:06.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203552,,,1610612755,17,4,2021-11-30T00:21:06Z,650000,,,0,,S. Curry Free Throw 1 of 1 (5 PTS),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
66,PT06M49.00S,2021-11-30T00:21:22.0Z,1,REGULAR,3pt,Jump Shot,[],1630532,71.66557161629436,78.67647058823529,1610612753,17,4,2021-11-30T00:21:26Z,660000,143.0,214.0,1,right,MISS F. Wagner 25' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2021-11-30T00:21:25.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,4,2021-11-30T00:21:26Z,670000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,,
68,PT06M39.00S,2021-11-30T00:21:32.8Z,1,REGULAR,2pt,Jump Shot,[],1630178,6.8823915900131425,32.59803921568627,1610612755,19,4,2021-11-30T00:21:36Z,680000,87.0,12.0,1,left,T. Maxey 8' turnaround fadeaway Jump Shot (5 PTS),[1630178],1610612755.0,PHI,turnaround fadeaway,,,Maxey,T. Maxey,,,,,8.79,Made,,,,,,,5.0,,,,,,,,,,,
69,PT06M31.00S,2021-11-30T00:21:40.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,68.64323258869908,24.75490196078431,1610612753,19,4,2021-11-30T00:21:45Z,690000,-126.0,242.0,1,right,MISS W. Carter Jr. 27' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.32,Missed,,,,,,,,,,,,,,,,,,
70,PT06M28.00S,2021-11-30T00:21:43.0Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,19,4,2021-11-30T00:21:45Z,700000,,,0,,D. Green REBOUND (Off:0 Def:2),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,
71,PT06M19.00S,2021-11-30T00:21:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.276609724047319,40.19607843137255,1610612755,19,4,2021-11-30T00:21:56Z,710000,49.0,16.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,5.15,Missed,,,,,,,,,,,,,,,,,,
72,PT06M17.00S,2021-11-30T00:21:54.1Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,19,4,2021-11-30T00:21:56Z,720000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
73,PT06M10.00S,2021-11-30T00:22:01.3Z,1,REGULAR,3pt,Jump Shot,[],203914,89.27398160315374,95.58823529411765,1610612753,19,7,2021-11-30T00:22:05Z,730000,228.0,48.0,1,right,G. Harris 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.3,Made,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,
75,PT05M51.00S,2021-11-30T00:22:20.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,19,7,2021-11-30T00:22:20Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M51.00S,2021-11-30T00:22:23.7Z,1,REGULAR,substitution,out,[],1630532,,,1610612755,19,7,2021-11-30T00:22:37Z,760000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M51.00S,2021-11-30T00:22:23.7Z,1,REGULAR,substitution,out,[],1628964,,,1610612755,19,7,2021-11-30T00:22:37Z,770000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M51.00S,2021-11-30T00:22:23.7Z,1,REGULAR,substitution,in,[],203082,,,1610612755,19,7,2021-11-30T00:22:37Z,780000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2021-11-30T00:22:23.7Z,1,REGULAR,substitution,in,[],1629643,,,1610612755,19,7,2021-11-30T00:22:37Z,790000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M42.00S,2021-11-30T00:22:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,12.13863337713535,38.23529411764706,1610612755,19,7,2021-11-30T00:22:50Z,800000,59.0,62.0,1,left,MISS J. Embiid 8' driving floating bank Shot,[203954],1610612755.0,PHI,driving floating bank,,,Embiid,J. Embiid,,,,,8.52,Missed,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2021-11-30T00:22:47.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,19,7,2021-11-30T00:22:47Z,810000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,80.0,3.0,3.0,0.0,,,,,,,,,,,,,,
82,PT05M34.00S,2021-11-30T00:22:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,69.03745072273324,23.774509803921575,1610612753,19,10,2021-11-30T00:23:00Z,820000,-131.0,239.0,1,right,J. Suggs 27' 3PT  (5 PTS) (G. Harris 1 AST),"[1630591, 203914]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,27.22,Made,,,,,,,5.0,G. Harris,203914.0,1.0,,,,,,,,
84,PT05M12.00S,2021-11-30T00:23:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.093955321944804,53.431372549019606,1610612755,21,10,2021-11-30T00:23:21Z,840000,-17.0,5.0,1,left,T. Harris Layup (7 PTS) (J. Embiid 3 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,1.79,Made,,,,,,,7.0,J. Embiid,203954.0,3.0,,,,,,,,
86,PT05M02.00S,2021-11-30T00:23:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,94.53022339027595,50.49019607843137,1610612753,21,12,2021-11-30T00:23:32Z,860000,2.0,-1.0,1,right,G. Harris cutting Layup (5 PTS) (J. Suggs 1 AST),"[203914, 1630591]",1610612753.0,ORL,cutting,,,Harris,G. Harris,,,,,0.27,Made,,,,,,,5.0,J. Suggs,1630591.0,1.0,,,,,,,,
88,PT04M50.00S,2021-11-30T00:23:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.446123521681997,57.84313725490196,1610612755,21,12,2021-11-30T00:23:43Z,880000,-39.0,121.0,1,left,MISS J. Embiid 12' bank Shot,[203954],1610612755.0,PHI,bank,,,Embiid,J. Embiid,,,,,12.71,Missed,,,,,,,,,,,,,,,,,,
89,PT04M47.00S,2021-11-30T00:23:40.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,21,12,2021-11-30T00:23:43Z,890000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,,
90,PT04M45.00S,2021-11-30T00:23:42.5Z,1,REGULAR,turnover,bad pass,[],203914,,,1610612753,21,12,2021-11-30T00:23:48Z,900000,,,0,,G. Harris bad pass TURNOVER (1 TO),"[203914, 202699]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0
