actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
304,PT02M23.00S,2022-03-08T01:05:23.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.619579500657039,54.411764705882355,1610612755,55,49,2022-03-08T01:05:31Z,3010000,-22.0,10.0,1,left,MISS T. Harris driving finger roll Layup,[202699],1610612755.0,PHI,driving finger roll,,,Harris,T. Harris,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,,
305,PT02M21.00S,2022-03-08T01:05:26.2Z,2,REGULAR,rebound,offensive,[],202699,,,1610612755,55,49,2022-03-08T01:05:26Z,3020000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,304.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
306,PT02M19.00S,2022-03-08T01:05:28.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201935,34.74047306176085,68.13725490196079,1610612755,55,49,2022-03-08T01:05:35Z,3030000,-91.0,274.0,1,left,MISS J. Harden 28' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,28.87,Missed,,,,,,,,,,,,,,,,,,,
307,PT02M14.00S,2022-03-08T01:05:33.5Z,2,REGULAR,rebound,defensive,[],202684,,,1610612741,55,49,2022-03-08T01:05:35Z,3040000,,,0,,T. Thompson REBOUND (Off:0 Def:5),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,306.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
308,PT02M13.00S,2022-03-08T01:05:35.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203897,94.26741130091985,50.0,1610612741,55,51,2022-03-08T01:06:47Z,3050000,0.0,1.0,1,right,Z. LaVine running DUNK (8 PTS) (D. DeRozan 4 AST),"[203897, 201942]",1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,0.14,Made,,,,,8.0,D. DeRozan,201942.0,4.0,,,,,,,,,,,
310,PT01M55.00S,2022-03-08T01:05:52.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.356767411300922,51.71568627450981,1610612755,57,51,2022-03-08T01:05:57Z,3070000,-9.0,7.0,1,left,T. Harris driving Layup (6 PTS) (J. Harden 5 AST),"[202699, 201935]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,1.13,Made,,,,,6.0,J. Harden,201935.0,5.0,,,,,,,,,,,
312,PT01M40.00S,2022-03-08T01:06:07.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,83.75492772667542,44.11764705882353,1610612741,57,51,2022-03-08T01:06:12Z,3090000,-29.0,100.0,1,right,MISS D. DeRozan 10' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,10.44,Missed,,,,,,,,,,,,,,,,,,,
313,PT01M36.00S,2022-03-08T01:06:11.1Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,57,51,2022-03-08T01:06:12Z,3100000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,312.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
314,PT01M26.00S,2022-03-08T01:06:21.9Z,2,REGULAR,turnover,out-of-bounds,[],201935,,,1610612755,57,51,2022-03-08T01:07:55Z,3110000,,,0,,J. Harden bad pass out-of-bounds TURNOVER (3 TO),[201935],1610612755.0,PHI,bad pass,,,Harden,J. Harden,,,,,,,,,,,,,,,1627964.0,,,,,3.0,,,,,
315,PT01M26.00S,2022-03-08T01:06:26.9Z,2,REGULAR,substitution,out,[],1629632,,,1610612741,57,51,2022-03-08T01:06:39Z,3120000,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT01M26.00S,2022-03-08T01:06:26.9Z,2,REGULAR,substitution,out,[],1627884,,,1610612741,57,51,2022-03-08T01:06:39Z,3130000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT01M26.00S,2022-03-08T01:06:26.9Z,2,REGULAR,substitution,in,[],1629750,,,1610612741,57,51,2022-03-08T01:06:39Z,3140000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT01M26.00S,2022-03-08T01:06:26.9Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,57,51,2022-03-08T01:06:39Z,3150000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT01M08.00S,2022-03-08T01:07:04.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630245,85.98883048620237,60.294117647058826,1610612741,57,51,2022-03-08T01:07:10Z,3160000,51.0,79.0,1,right,MISS A. Dosunmu 9' driving floating Shot,[1630245],1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,9.45,Missed,,,,,,,,,,,,,,,,,,,
320,PT01M05.00S,2022-03-08T01:07:07.8Z,2,REGULAR,rebound,offensive,[],202684,,,1610612741,57,51,2022-03-08T01:07:07Z,3170000,,,0,,T. Thompson REBOUND (Off:1 Def:5),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,319.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
341,PT01M03.00S,2022-03-08T01:07:09.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202684,90.93298291721419,49.83149509803921,1610612741,57,51,2022-03-08T01:10:58Z,3185000,-1.0,33.0,1,right,MISS T. Thompson putback Layup - blocked,"[202684, 201980]",1610612741.0,CHI,putback,,,Thompson,T. Thompson,,,,,3.27,Missed,,,,,,,,,,,,,,,,,Green,201980.0,
342,PT01M03.00S,2022-03-08T01:07:09.4Z,2,REGULAR,block,,[],201980,,,1610612741,57,51,2022-03-08T01:10:47Z,3192500,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT01M03.00S,2022-03-08T01:07:09.4Z,2,REGULAR,rebound,defensive,[],201980,,,1610612755,57,51,2022-03-08T01:10:58Z,3196250,,,0,,D. Green REBOUND (Off:0 Def:3),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,341.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
323,PT00M58.80S,2022-03-08T01:07:14.5Z,2,REGULAR,3pt,Jump Shot,[],203954,25.147831800262807,13.235294117647058,1610612755,57,51,2022-03-08T01:11:32Z,3200000,184.0,184.0,1,left,MISS J. Embiid 26' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
324,PT00M56.10S,2022-03-08T01:07:17.2Z,2,REGULAR,rebound,defensive,[],201942,,,1610612741,57,51,2022-03-08T01:07:21Z,3210000,,,0,,D. DeRozan REBOUND (Off:2 Def:3),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,323.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
325,PT00M53.50S,2022-03-08T01:07:23.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202699,,,1610612741,57,51,2022-03-08T01:07:33Z,3220000,,,0,,T. Harris take personal FOUL (2 PF) (DeRozan 2 FT),"[202699, 201942]",1610612755.0,PHI,take,,,Harris,T. Harris,,,,,,,,,,,,,,,1162.0,2.0,0.0,DeRozan,201942.0,,,,,,
327,PT00M53.50S,2022-03-08T01:07:41.6Z,2,REGULAR,substitution,out,[],201980,,,1610612741,57,51,2022-03-08T01:07:48Z,3240000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT00M53.50S,2022-03-08T01:07:41.6Z,2,REGULAR,substitution,in,[],1629003,,,1610612741,57,51,2022-03-08T01:07:48Z,3250000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT00M53.50S,2022-03-08T01:08:12.1Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612741,57,51,2022-03-08T01:08:12Z,3260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT00M53.50S,2022-03-08T01:08:33.4Z,2,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,57,52,2022-03-08T01:08:33Z,3270000,,,0,,D. DeRozan Free Throw 1 of 2 (14 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
