actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
43,PT07M18.00S,2022-02-13T00:50:02.4Z,1,REGULAR,violation,kicked ball,[],1628386,,,1610612755,14,9,2022-02-13T00:50:09Z,420000,,,0,,J. Allen kicked ball VIOLATION,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,203593.0,,,,,,,,,,
44,PT07M11.00S,2022-02-13T00:50:18.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,14,9,2022-02-13T00:50:18Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M05.00S,2022-02-13T00:50:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,9.937582128777924,45.34313725490196,1610612755,14,9,2022-02-13T00:50:35Z,440000,23.0,41.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,4.71,Missed,,,,,,,,,,,,,,,,,,
46,PT07M03.00S,2022-02-13T00:50:34.2Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,14,9,2022-02-13T00:50:34Z,450000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT06M55.00S,2022-02-13T00:50:42.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,86.02168199737189,53.67647058823529,1610612739,14,9,2022-02-13T00:51:41Z,460000,18.0,79.0,1,right,MISS J. Allen 8' turnaround Hook - blocked,"[1628386, 202699]",1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,8.1,Missed,,,,,,,,,,,,,,,Harris,202699.0,,
48,PT06M55.00S,2022-02-13T00:50:42.3Z,1,REGULAR,block,,[],202699,,,1610612739,14,9,2022-02-13T00:50:45Z,470000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M51.00S,2022-02-13T00:50:46.3Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,14,9,2022-02-13T00:50:45Z,480000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT06M50.00S,2022-02-13T00:50:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,92.32917214191852,51.71568627450981,1610612739,14,9,2022-02-13T01:02:12Z,490000,9.0,20.0,1,right,MISS C. LeVert cutting finger roll Layup,[1627747],1610612739.0,CLE,cutting finger roll,,,LeVert,C. LeVert,,,,,2.14,Missed,,,,,,,,,,,,,,,,,,
51,PT06M46.00S,2022-02-13T00:50:51.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,14,9,2022-02-13T00:50:52Z,500000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT06M42.00S,2022-02-13T00:50:57.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,14,9,2022-02-13T00:50:57Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M39.00S,2022-02-13T00:51:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612755,14,9,2022-02-13T00:51:23Z,520000,,,0,,J. Allen shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628386, 203954]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,,,,,,,,,,1155.0,1.0,0.0,,,,,,,Embiid,203954.0
55,PT06M39.00S,2022-02-13T00:51:44.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,15,9,2022-02-13T00:51:44Z,540000,,,0,,J. Embiid Free Throw 1 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
56,PT06M39.00S,2022-02-13T00:52:06.4Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,16,9,2022-02-13T00:52:06Z,550000,,,0,,J. Embiid Free Throw 2 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,9.0,,,,,,,
57,PT06M27.00S,2022-02-13T00:52:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,90.3580814717477,51.225490196078425,1610612739,16,11,2022-02-13T00:52:24Z,560000,6.0,38.0,1,right,D. Garland driving finger roll Layup (9 PTS) (C. LeVert 1 AST),"[1629636, 1627747]",1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,3.86,Made,,,,,,,,,,,9.0,C. LeVert,1627747.0,1.0,,,,
59,PT06M17.00S,2022-02-13T00:52:30.5Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,16,11,2022-02-13T00:52:35Z,580000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1627747]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,1.0,LeVert,1627747.0,,,,,,,,,,,
60,PT06M17.00S,2022-02-13T00:52:30.5Z,1,REGULAR,steal,,[],1627747,,,1610612739,16,11,2022-02-13T00:52:33Z,590000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M13.00S,2022-02-13T00:52:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627747,93.77463863337714,47.794117647058826,1610612739,16,13,2022-02-13T00:52:40Z,600000,-11.0,6.0,1,right,C. LeVert running Layup (2 PTS),[1627747],1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,1.25,Made,,,,,,,,,,,2.0,,,,,,,
62,PT05M58.00S,2022-02-13T00:52:49.0Z,1,REGULAR,3pt,Jump Shot,[],201980,7.5722733245729295,96.56862745098039,1610612755,19,13,2022-02-13T00:52:52Z,610000,-233.0,19.0,1,left,D. Green 3PT  (3 PTS) (J. Embiid 3 AST),"[201980, 203954]",1610612755.0,PHI,,,,Green,D. Green,,,,,23.35,Made,,,,,,,,,,,3.0,J. Embiid,203954.0,3.0,,,,
64,PT05M41.00S,2022-02-13T00:53:06.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.64323258869908,49.754901960784316,1610612739,19,15,2022-02-13T00:53:10Z,630000,-1.0,7.0,1,right,J. Allen driving DUNK (2 PTS),[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,0.74,Made,,,,,,,,,,,2.0,,,,,,,
65,PT05M33.00S,2022-02-13T00:53:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612755,19,15,2022-02-13T00:53:24Z,640000,,,0,,E. Mobley shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630596, 203954]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,,,,,,,,,,203593.0,1.0,1.0,,,,,,,Embiid,203954.0
67,PT05M33.00S,2022-02-13T00:53:38.4Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,20,15,2022-02-13T00:53:38Z,660000,,,0,,J. Embiid Free Throw 1 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
68,PT05M33.00S,2022-02-13T00:53:40.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612755,20,15,2022-02-13T00:53:51Z,670000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M33.00S,2022-02-13T00:53:40.1Z,1,REGULAR,substitution,out,[],1629636,,,1610612755,20,15,2022-02-13T00:53:51Z,680000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2022-02-13T00:53:40.1Z,1,REGULAR,substitution,in,[],201567,,,1610612755,20,15,2022-02-13T00:53:51Z,690000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M33.00S,2022-02-13T00:53:40.1Z,1,REGULAR,substitution,in,[],1626224,,,1610612755,20,15,2022-02-13T00:53:51Z,700000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2022-02-13T00:54:08.5Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,21,15,2022-02-13T00:54:08Z,710000,,,0,,J. Embiid Free Throw 2 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,11.0,,,,,,,
73,PT05M21.00S,2022-02-13T00:54:22.6Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,21,15,2022-02-13T00:54:27Z,720000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1629680]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,
74,PT05M21.00S,2022-02-13T00:54:22.6Z,1,REGULAR,steal,,[],1629680,,,1610612755,21,15,2022-02-13T00:54:26Z,730000,,,0,,M. Thybulle STEAL (2 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M18.00S,2022-02-13T00:54:26.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629680,7.178055190538765,48.529411764705884,1610612755,23,15,2022-02-13T00:54:40Z,740000,7.0,15.0,1,left,M. Thybulle running DUNK (6 PTS),[1629680],1610612755.0,PHI,running,,,Thybulle,M. Thybulle,,,,,1.67,Made,,,,,,,,,,,6.0,,,,,,,
76,PT05M00.00S,2022-02-13T00:54:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626224,69.33311432325887,22.794117647058822,1610612739,23,15,2022-02-13T00:54:48Z,750000,-136.0,236.0,1,right,MISS C. Osman 27' 3PT,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,
77,PT04M56.00S,2022-02-13T00:54:47.3Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,23,15,2022-02-13T00:54:48Z,760000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT04M44.00S,2022-02-13T00:54:59.2Z,1,REGULAR,3pt,Jump Shot,[],203954,5.995400788436268,96.81372549019608,1610612755,26,15,2022-02-13T00:55:04Z,770000,-234.0,4.0,1,left,J. Embiid 3PT pullup (14 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,23.41,Made,,,,,,,,,,,14.0,,,,,,,
79,PT04M26.00S,2022-02-13T00:55:20.7Z,1,REGULAR,foul,personal,[],1629680,,,1610612739,26,15,2022-02-13T00:55:42Z,780000,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1628386]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,1155.0,1.0,0.0,,,,,,,Allen,1628386.0
81,PT04M26.00S,2022-02-13T00:55:28.3Z,1,REGULAR,substitution,out,[],202699,,,1610612739,26,15,2022-02-13T00:55:34Z,800000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M26.00S,2022-02-13T00:55:28.3Z,1,REGULAR,substitution,out,[],1629680,,,1610612739,26,15,2022-02-13T00:55:34Z,810000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M26.00S,2022-02-13T00:55:28.3Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,26,15,2022-02-13T00:55:34Z,820000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2022-02-13T00:55:28.3Z,1,REGULAR,substitution,in,[],1627788,,,1610612739,26,15,2022-02-13T00:55:34Z,830000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2022-02-13T00:55:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,88.51839684625493,52.450980392156865,1610612739,26,15,2022-02-13T00:55:58Z,840000,12.0,55.0,1,right,MISS C. LeVert driving floating Shot,[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,5.67,Missed,,,,,,,,,,,,,,,,,,
86,PT04M15.00S,2022-02-13T00:55:53.2Z,1,REGULAR,rebound,offensive,[],1627747,,,1610612739,26,15,2022-02-13T00:55:53Z,850000,,,0,,C. LeVert REBOUND (Off:1 Def:0),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,,
100,PT04M12.00S,2022-02-13T00:55:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,94.1688567674113,50.49019607843137,1610612739,26,15,2022-02-13T01:00:12Z,875000,2.0,2.0,1,right,MISS C. LeVert putback Layup - blocked,"[1627747, 201980]",1610612739.0,CLE,putback,,,LeVert,C. LeVert,,,,,0.34,Missed,,,,,,,,,,,,,,,Green,201980.0,,
101,PT04M12.00S,2022-02-13T00:55:58.4Z,1,REGULAR,block,,[],201980,,,1610612739,26,15,2022-02-13T01:00:06Z,877500,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M12.00S,2022-02-13T00:55:58.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,26,15,2022-02-13T01:00:06Z,878750,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,100.0,3.0,3.0,0.0,,,,,,,,,,,,,,
