actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
15,PT10M36.00S,2022-01-22T00:12:20.1Z,1,REGULAR,foul,personal,[],1627826,,,1610612755,0,4,2022-01-22T00:12:30Z,150000,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 203954]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,204058.0,1.0,0.0,Embiid,203954.0,,,,,,,,
17,PT10M27.00S,2022-01-22T00:12:43.2Z,1,REGULAR,2pt,Jump Shot,[],203954,77.7431011826544,47.549019607843135,1610612755,0,4,2022-01-22T00:12:47Z,170000,-12.0,157.0,1,right,MISS J. Embiid 15' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,15.72,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2022-01-22T00:12:46.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,4,2022-01-22T00:12:47Z,180000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M18.00S,2022-01-22T00:12:52.2Z,1,REGULAR,2pt,Jump Shot,[],202694,20.71287779237845,68.13725490196079,1610612746,0,4,2022-01-22T00:12:56Z,190000,-91.0,142.0,1,left,MISS M. Morris Sr. 16' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,16.87,Missed,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2022-01-22T00:12:55.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,4,2022-01-22T00:12:56Z,200000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M08.00S,2022-01-22T00:13:02.2Z,1,REGULAR,2pt,Jump Shot,[],202699,76.42904073587385,32.1078431372549,1610612755,0,4,2022-01-22T00:13:06Z,210000,-89.0,169.0,1,right,MISS T. Harris 19' Jump Shot,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,19.13,Missed,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2022-01-22T00:13:06.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,4,2022-01-22T00:13:06Z,220000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M55.00S,2022-01-22T00:13:15.4Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,0,4,2022-01-22T00:13:22Z,230000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,Jackson,R. Jackson,,,,,,,,,,,,204058.0,,,,,1.0,,,,,,,
24,PT09M35.00S,2022-01-22T00:13:42.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,71.30420499342969,77.20588235294117,1610612755,3,4,2022-01-22T00:13:47Z,240000,136.0,217.0,1,right,I. Joe 25' 3PT  (3 PTS) (J. Embiid 1 AST),"[1630198, 203954]",1610612755.0,PHI,,,,Joe,I. Joe,,,,,25.63,Made,,,,,3.0,,,,,,,J. Embiid,203954.0,1.0,,,,
26,PT09M14.00S,2022-01-22T00:14:02.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,14.011169513797633,49.754901960784316,1610612746,3,6,2022-01-22T00:14:07Z,260000,1.0,79.0,1,left,I. Zubac 7' Hook (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,7.92,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M02.00S,2022-01-22T00:14:17.7Z,1,REGULAR,violation,kicked ball,[],202694,,,1610612755,3,6,2022-01-22T00:14:24Z,270000,,,0,,M. Morris Sr. kicked ball VIOLATION,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,2534.0,,,,,,,,,,,,
28,PT08M51.00S,2022-01-22T00:14:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,94.1688567674113,51.470588235294116,1610612755,3,6,2022-01-22T00:14:51Z,280000,7.0,2.0,1,right,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,
29,PT08M48.00S,2022-01-22T00:14:49.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,6,2022-01-22T00:14:51Z,290000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,28.0,3.0,3.0,0.0,,,,,,,,,,,,,,
30,PT08M45.00S,2022-01-22T00:14:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202704,5.863994743758213,56.127450980392155,1610612746,3,8,2022-01-22T00:14:59Z,300000,-31.0,3.0,1,left,R. Jackson running Layup (4 PTS),[202704],1610612746.0,LAC,running,,,Jackson,R. Jackson,,,,,3.07,Made,,,,,4.0,,,,,,,,,,,,,
31,PT08M28.00S,2022-01-22T00:15:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,73.14388961892247,17.401960784313726,1610612755,6,8,2022-01-22T00:15:13Z,310000,-163.0,200.0,1,right,T. Maxey 25' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,25.79,Made,,,,,3.0,,,,,,,,,,,,,
32,PT08M09.00S,2022-01-22T00:15:27.8Z,1,REGULAR,2pt,Jump Shot,[],201587,25.969119579500656,39.950980392156865,1610612746,6,10,2022-01-22T00:15:34Z,320000,50.0,192.0,1,left,N. Batum 19' bank Jump Shot (2 PTS) (I. Zubac 1 AST),"[201587, 1627826]",1610612746.0,LAC,bank,,,Batum,N. Batum,,,,,19.81,Made,,,,,2.0,,,,,,,I. Zubac,1627826.0,1.0,,,,
34,PT07M51.00S,2022-01-22T00:15:45.9Z,1,REGULAR,3pt,Jump Shot,[],1627788,75.64060446780552,10.294117647058822,1610612755,6,10,2022-01-22T00:15:50Z,340000,-199.0,176.0,1,right,MISS F. Korkmaz 26' 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,
35,PT07M49.00S,2022-01-22T00:15:47.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,10,2022-01-22T00:15:50Z,350000,,,0,,I. Zubac REBOUND (Off:0 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,34.0,4.0,4.0,0.0,,,,,,,,,,,,,,
36,PT07M40.00S,2022-01-22T00:15:58.2Z,1,REGULAR,turnover,out-of-bounds,[],202694,,,1610612746,6,10,2022-01-22T00:16:03Z,360000,,,0,,M. Morris Sr. bad pass out-of-bounds TURNOVER (1 TO),[202694],1610612746.0,LAC,bad pass,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,202037.0,,,,,1.0,,,,,,,
37,PT07M23.00S,2022-01-22T00:16:25.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,80.6340341655716,37.254901960784316,1610612755,8,10,2022-01-22T00:16:30Z,370000,-64.0,130.0,1,right,J. Embiid 14' Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,14.43,Made,,,,,2.0,,,,,,,T. Maxey,1630178.0,1.0,,,,
39,PT07M07.00S,2022-01-22T00:16:40.9Z,1,REGULAR,3pt,Jump Shot,[],201587,19.004599211563733,92.64705882352942,1610612746,8,13,2022-01-22T00:16:46Z,390000,-213.0,126.0,1,left,N. Batum 24' 3PT  (5 PTS) (R. Jackson 1 AST),"[201587, 202704]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,24.77,Made,,,,,5.0,,,,,,,R. Jackson,202704.0,1.0,,,,
41,PT06M55.00S,2022-01-22T00:16:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,82.21090670170827,54.90196078431373,1610612755,8,13,2022-01-22T00:16:57Z,410000,25.0,115.0,1,right,MISS T. Maxey 11' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,11.73,Missed,,,,,,,,,,,,,,,,,,
42,PT06M53.00S,2022-01-22T00:16:55.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,13,2022-01-22T00:16:57Z,420000,,,0,,I. Zubac REBOUND (Off:0 Def:5),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,41.0,5.0,5.0,0.0,,,,,,,,,,,,,,
43,PT06M43.00S,2022-01-22T00:17:04.8Z,1,REGULAR,2pt,Jump Shot,[],202694,21.76412614980289,52.69607843137255,1610612746,8,13,2022-01-22T00:17:09Z,430000,-13.0,152.0,1,left,MISS M. Morris Sr. 15' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,15.27,Missed,,,,,,,,,,,,,,,,,,
44,PT06M41.00S,2022-01-22T00:17:06.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,13,2022-01-22T00:17:09Z,440000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT06M26.00S,2022-01-22T00:17:22.7Z,1,REGULAR,3pt,Jump Shot,[],1630198,92.32917214191852,94.6078431372549,1610612755,8,13,2022-01-22T00:17:27Z,450000,223.0,20.0,1,right,MISS I. Joe 3PT,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,22.39,Missed,,,,,,,,,,,,,,,,,,
46,PT06M23.00S,2022-01-22T00:17:25.7Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,8,13,2022-01-22T00:17:27Z,460000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT06M16.00S,2022-01-22T00:17:32.3Z,1,REGULAR,2pt,Jump Shot,[],1629599,21.50131406044678,45.588235294117645,1610612746,8,15,2022-01-22T00:17:37Z,470000,22.0,150.0,1,left,A. Coffey 15' driving floating Jump Shot (2 PTS),[1629599],1610612746.0,LAC,driving floating,,,Coffey,A. Coffey,,,,,15.12,Made,,,,,2.0,,,,,,,,,,,,,
48,PT06M15.00S,2022-01-22T00:17:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,8,15,2022-01-22T00:17:37Z,480000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M15.00S,2022-01-22T00:20:02.9Z,1,REGULAR,substitution,out,[],1627788,,,1610612755,8,15,2022-01-22T00:20:19Z,490000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M15.00S,2022-01-22T00:20:02.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,8,15,2022-01-22T00:20:19Z,500000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M03.00S,2022-01-22T00:20:41.1Z,1,REGULAR,3pt,Jump Shot,[],1627777,93.77463863337714,95.09803921568627,1610612755,8,15,2022-01-22T00:20:47Z,510000,225.0,6.0,1,right,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,
52,PT06M00.00S,2022-01-22T00:20:44.1Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,8,15,2022-01-22T00:20:47Z,520000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT05M52.00S,2022-01-22T00:20:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,9.937582128777924,48.529411764705884,1610612746,8,17,2022-01-22T00:20:55Z,530000,7.0,41.0,1,left,R. Jackson pullup Jump Shot (6 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,4.16,Made,,,,,6.0,,,,,,,,,,,,,
54,PT05M35.00S,2022-01-22T00:21:08.0Z,1,REGULAR,3pt,Jump Shot,[],1627777,92.59198423127464,94.85294117647058,1610612755,8,17,2022-01-22T00:21:13Z,540000,224.0,17.0,1,right,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,22.5,Missed,,,,,,,,,,,,,,,,,,
55,PT05M33.00S,2022-01-22T00:21:10.0Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,8,17,2022-01-22T00:21:13Z,550000,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,54.0,3.0,2.0,1.0,,,,,,,,,,,,,,
56,PT05M32.00S,2022-01-22T00:21:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,92.72339027595268,45.588235294117645,1610612755,10,17,2022-01-22T00:21:17Z,560000,-22.0,16.0,1,right,J. Embiid Layup (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,2.72,Made,,,,,4.0,,,,,,,,,,,,,
57,PT05M32.00S,2022-01-22T00:21:15.5Z,1,REGULAR,foul,personal,['1freethrow'],1627826,,,1610612755,10,17,2022-01-22T00:21:22Z,570000,,,0,,I. Zubac shooting personal FOUL (2 PF) (Embiid 1 FT),"[1627826, 203954]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,,,,,,,,202037.0,2.0,0.0,Embiid,203954.0,,,,,,,,
59,PT05M32.00S,2022-01-22T00:21:38.5Z,1,REGULAR,substitution,out,[],1627826,,,1610612755,10,17,2022-01-22T00:21:41Z,590000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M32.00S,2022-01-22T00:21:38.5Z,1,REGULAR,substitution,in,[],201586,,,1610612755,10,17,2022-01-22T00:21:41Z,600000,,,0,,SUB in: S. Ibaka,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M32.00S,2022-01-22T00:21:58.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203954,,,1610612755,11,17,2022-01-22T00:21:58Z,610000,,,0,,J. Embiid Free Throw 1 of 1 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
62,PT05M10.00S,2022-01-22T00:22:22.6Z,1,REGULAR,turnover,lost ball,[],202694,,,1610612746,11,17,2022-01-22T00:22:27Z,620000,,,0,,M. Morris Sr. lost ball TURNOVER (2 TO),"[202694, 1630198]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,2.0,,,,Joe,1630198.0,,
63,PT05M10.00S,2022-01-22T00:22:22.6Z,1,REGULAR,steal,,[],1630198,,,1610612755,11,17,2022-01-22T00:22:24Z,630000,,,0,,I. Joe STEAL (1 STL),[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M09.00S,2022-01-22T00:22:26.4Z,1,REGULAR,foul,personal,[],202694,,,1610612755,11,17,2022-01-22T00:22:34Z,640000,,,0,,M. Morris Sr. take personal FOUL (1 PF),"[202694, 1630198]",1610612746.0,LAC,take,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,204058.0,1.0,0.0,Joe,1630198.0,,,,,,,,
66,PT04M58.00S,2022-01-22T00:22:55.1Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,11,17,2022-01-22T00:22:59Z,660000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 202694]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,1.0,,,,Morris Sr.,202694.0,,
67,PT04M58.00S,2022-01-22T00:22:55.1Z,1,REGULAR,steal,,[],202694,,,1610612746,11,17,2022-01-22T00:22:56Z,670000,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
68,PT04M48.00S,2022-01-22T00:23:04.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201587,13.61695137976347,2.696078431372549,1610612746,11,20,2022-01-22T00:23:09Z,680000,237.0,75.0,1,left,N. Batum 24' 3PT  (8 PTS) (R. Jackson 2 AST),"[201587, 202704]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,24.83,Made,,,,,8.0,,,,,,,R. Jackson,202704.0,2.0,,,,
70,PT04M36.00S,2022-01-22T00:23:16.7Z,1,REGULAR,3pt,Jump Shot,[],1630198,75.90341655716163,9.068627450980392,1610612755,11,20,2022-01-22T00:23:23Z,700000,-205.0,174.0,1,right,MISS I. Joe 26' 3PT,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,26.87,Missed,,,,,,,,,,,,,,,,,,
71,PT04M35.00S,2022-01-22T00:23:17.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,11,20,2022-01-22T00:23:23Z,710000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:3),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,,
72,PT04M24.00S,2022-01-22T00:23:29.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201586,13.222733245729303,49.754901960784316,1610612746,11,22,2022-01-22T00:23:35Z,720000,1.0,72.0,1,left,S. Ibaka 7' driving Hook (2 PTS) (R. Jackson 3 AST),"[201586, 202704]",1610612746.0,LAC,driving,,,Ibaka,S. Ibaka,,,,,7.18,Made,,,,,2.0,,,,,,,R. Jackson,202704.0,3.0,,,,
74,PT04M13.00S,2022-01-22T00:23:40.0Z,1,REGULAR,2pt,Jump Shot,[],203954,78.0059132720105,47.05882352941176,1610612755,11,22,2022-01-22T00:23:44Z,740000,-15.0,154.0,1,right,MISS J. Embiid 15' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,15.49,Missed,,,,,,,,,,,,,,,,,,
75,PT04M11.00S,2022-01-22T00:23:42.0Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,11,22,2022-01-22T00:23:44Z,750000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT03M54.00S,2022-01-22T00:23:59.4Z,1,REGULAR,2pt,Jump Shot,[],201586,22.421156373193167,72.30392156862744,1610612746,11,22,2022-01-22T00:24:04Z,760000,-112.0,158.0,1,left,MISS S. Ibaka 19' Jump Shot,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,19.36,Missed,,,,,,,,,,,,,,,,,,
77,PT03M51.00S,2022-01-22T00:24:02.4Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,11,22,2022-01-22T00:24:04Z,770000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT03M38.00S,2022-01-22T00:24:15.6Z,1,REGULAR,2pt,Jump Shot,[],1630178,88.12417871222075,15.441176470588236,1610612755,11,22,2022-01-22T00:24:20Z,780000,-173.0,59.0,1,right,MISS T. Maxey 18' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,18.26,Missed,,,,,,,,,,,,,,,,,,
79,PT03M36.00S,2022-01-22T00:24:17.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,11,22,2022-01-22T00:24:20Z,790000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:4),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,78.0,4.0,4.0,0.0,,,,,,,,,,,,,,
80,PT03M31.00S,2022-01-22T00:24:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,22,2022-01-22T00:24:26Z,800000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,out,[],1630198,,,1610612746,11,22,2022-01-22T00:27:17Z,810000,,,0,,SUB out: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,out,[],1629599,,,1610612746,11,22,2022-01-22T00:27:17Z,820000,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
83,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,out,[],201587,,,1610612746,11,22,2022-01-22T00:27:17Z,830000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,in,[],1629718,,,1610612746,11,22,2022-01-22T00:27:17Z,840000,,,0,,SUB in: C. Brown Jr.,[1629718],1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,11,22,2022-01-22T00:27:17Z,850000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M31.00S,2022-01-22T00:26:43.9Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,11,22,2022-01-22T00:27:17Z,860000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
