actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT11M08.00S,2022-01-04T00:12:23.5Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,2,1,2022-01-04T00:12:23Z,160000,,,0,,J. Tate Free Throw 2 of 2 (1 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT10M45.00S,2022-01-04T00:12:48.0Z,1,REGULAR,2pt,Jump Shot,[],203954,76.7904073587385,36.274509803921575,1610612755,2,1,2022-01-04T00:12:53Z,170000,-69.0,166.0,1,right,MISS J. Embiid 17' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,17.93,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-01-04T00:12:53.0Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,2,1,2022-01-04T00:12:53Z,180000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M32.00S,2022-01-04T00:13:01.0Z,1,REGULAR,turnover,bad pass,[],1629726,,,1610612745,2,1,2022-01-04T00:13:04Z,190000,,,0,,G. Mathews bad pass TURNOVER (1 TO),"[1629726, 203954]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,1.0,Embiid,203954.0,,,,,
20,PT10M32.00S,2022-01-04T00:13:01.0Z,1,REGULAR,steal,,[],203954,,,1610612755,2,1,2022-01-04T00:13:03Z,200000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M26.00S,2022-01-04T00:13:07.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627788,71.40275952693824,22.303921568627445,1610612755,5,1,2022-01-04T00:13:11Z,210000,-138.0,216.0,1,right,F. Korkmaz 25' 3PT  (3 PTS) (S. Curry 1 AST),"[1627788, 203552]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,25.68,Made,,,,,3.0,,,,,,,,,S. Curry,203552.0,1.0,,
23,PT10M17.00S,2022-01-04T00:13:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,8.984888304862025,58.33333333333333,1610612745,5,1,2022-01-04T00:15:00Z,230000,-42.0,32.0,1,left,MISS J. Tate driving Layup - blocked,"[1630256, 202699]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,5.26,Missed,,,,,,,,,,,,,,,,,Harris,202699.0
24,PT10M17.00S,2022-01-04T00:13:17.7Z,1,REGULAR,block,,[],202699,,,1610612745,5,1,2022-01-04T00:13:22Z,240000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2022-01-04T00:13:17.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,5,1,2022-01-04T00:13:26Z,250000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2022-01-04T00:13:24.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,5,1,2022-01-04T00:13:24Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M15.00S,2022-01-04T00:13:42.3Z,1,REGULAR,foul,personal,['2freethrow'],203552,,,1610612745,5,1,2022-01-04T00:13:48Z,270000,,,0,,S. Curry shooting personal FOUL (1 PF) (Mathews 2 FT),"[203552, 1629726]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,,,,,,,,201246.0,1.0,0.0,Mathews,1629726.0,,,,,,,,
29,PT10M15.00S,2022-01-04T00:14:07.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629726,,,1610612745,5,2,2022-01-04T00:14:07Z,290000,,,0,,G. Mathews Free Throw 1 of 2 (1 PTS),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
30,PT10M15.00S,2022-01-04T00:14:22.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629726,,,1610612745,5,3,2022-01-04T00:14:22Z,300000,,,0,,G. Mathews Free Throw 2 of 2 (2 PTS),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
31,PT09M58.00S,2022-01-04T00:14:41.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,89.01116951379764,48.774509803921575,1610612755,7,3,2022-01-04T00:14:46Z,310000,-6.0,51.0,1,right,J. Embiid Hook (2 PTS) (S. Curry 2 AST),"[203954, 203552]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,5.12,Made,,,,,2.0,,,,,,,,,S. Curry,203552.0,2.0,,
33,PT09M42.00S,2022-01-04T00:14:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,8.327858081471746,53.18627450980392,1610612745,7,5,2022-01-04T00:15:02Z,330000,-16.0,26.0,1,left,J. Green driving finger roll Layup (2 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,3.03,Made,,,,,2.0,,,,,,,,,,,,,
34,PT09M29.00S,2022-01-04T00:15:11.3Z,1,REGULAR,foul,personal,[],1629726,,,1610612755,7,5,2022-01-04T00:15:20Z,340000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 203954]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,1627961.0,1.0,0.0,Embiid,203954.0,,,,,,,,
36,PT09M25.00S,2022-01-04T00:15:42.8Z,1,REGULAR,3pt,Jump Shot,[],203552,66.40932982917215,43.38235294117647,1610612755,7,5,2022-01-04T00:15:48Z,360000,-33.0,263.0,1,right,MISS S. Curry 26' pullup 3PT,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,
37,PT09M21.00S,2022-01-04T00:15:46.8Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,7,5,2022-01-04T00:15:48Z,370000,,,0,,E. Gordon REBOUND (Off:0 Def:2),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT09M18.00S,2022-01-04T00:15:53.2Z,1,REGULAR,foul,personal,['3freethrow'],203552,,,1610612745,7,5,2022-01-04T00:16:01Z,390000,,,0,,S. Curry shooting personal FOUL (2 PF) (Mathews 3 FT),"[203552, 1629726]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,,,,,,,,1627534.0,2.0,0.0,Mathews,1629726.0,,,,,,,,
41,PT09M18.00S,2022-01-04T00:16:26.4Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1629726,,,1610612745,7,6,2022-01-04T00:16:26Z,410000,,,0,,G. Mathews Free Throw 1 of 3 (3 PTS),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
42,PT09M18.00S,2022-01-04T00:16:44.9Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1629726,,,1610612745,7,7,2022-01-04T00:16:44Z,420000,,,0,,G. Mathews Free Throw 2 of 3 (4 PTS),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
43,PT09M18.00S,2022-01-04T00:16:45.6Z,1,REGULAR,substitution,out,[],203552,,,1610612745,7,7,2022-01-04T00:16:49Z,430000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M18.00S,2022-01-04T00:16:45.6Z,1,REGULAR,substitution,in,[],1629003,,,1610612745,7,7,2022-01-04T00:16:49Z,440000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M18.00S,2022-01-04T00:17:03.0Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],1629726,,,1610612745,7,8,2022-01-04T00:17:03Z,450000,,,0,,G. Mathews Free Throw 3 of 3 (5 PTS),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
46,PT09M05.00S,2022-01-04T00:17:20.5Z,1,REGULAR,foul,personal,[],1628464,,,1610612755,7,8,2022-01-04T00:17:25Z,460000,,,0,,D. Theis personal FOUL (1 PF),"[1628464, 203954]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,1627534.0,1.0,0.0,Embiid,203954.0,,,,,,,,
48,PT09M00.00S,2022-01-04T00:17:45.3Z,1,REGULAR,3pt,Jump Shot,[],202699,68.24901445466492,44.36274509803921,1610612755,7,8,2022-01-04T00:17:49Z,480000,-28.0,246.0,1,right,MISS T. Harris 24' pullup 3PT,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,24.76,Missed,,,,,,,,,,,,,,,,,,
49,PT08M56.00S,2022-01-04T00:17:49.3Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,7,8,2022-01-04T00:17:49Z,490000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M41.00S,2022-01-04T00:18:03.9Z,1,REGULAR,3pt,Jump Shot,[],1628464,11.48160315374507,6.127450980392155,1610612745,7,8,2022-01-04T00:18:07Z,500000,219.0,55.0,1,left,MISS D. Theis 3PT,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,22.63,Missed,,,,,,,,,,,,,,,,,,
51,PT08M38.00S,2022-01-04T00:18:06.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,7,8,2022-01-04T00:18:07Z,510000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT08M34.00S,2022-01-04T00:18:12.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",202699,93.87319316688567,49.26470588235294,1610612755,7,8,2022-01-04T00:18:19Z,520000,-4.0,5.0,1,right,MISS T. Harris driving Hook,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,0.63,Missed,,,,,,,,,,,,,,,,,,
53,PT08M32.00S,2022-01-04T00:18:14.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,7,8,2022-01-04T00:18:19Z,530000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT08M27.00S,2022-01-04T00:18:18.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201569,31.718134034165573,76.7156862745098,1610612745,7,11,2022-01-04T00:18:26Z,540000,-134.0,246.0,1,left,E. Gordon 27' 3PT  (3 PTS) (G. Mathews 1 AST),"[201569, 1629726]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,27.97,Made,,,,,3.0,,,,,,,,,G. Mathews,1629726.0,1.0,,
56,PT08M09.00S,2022-01-04T00:18:36.1Z,1,REGULAR,3pt,Jump Shot,[],1627788,67.32917214191853,41.17647058823529,1610612755,10,11,2022-01-04T00:18:42Z,560000,-44.0,255.0,1,right,F. Korkmaz 25' 3PT pullup (6 PTS) (J. Embiid 1 AST),"[1627788, 203954]",1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,25.84,Made,,,,,6.0,,,,,,,,,J. Embiid,203954.0,1.0,,
58,PT07M57.00S,2022-01-04T00:18:47.6Z,1,REGULAR,2pt,Jump Shot,[],1628464,12.00722733245729,81.86274509803921,1610612745,10,11,2022-01-04T00:18:52Z,580000,-159.0,60.0,1,left,MISS D. Theis 17' Jump Shot,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,17.04,Missed,,,,,,,,,,,,,,,,,,
59,PT07M55.00S,2022-01-04T00:18:49.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,11,2022-01-04T00:18:52Z,590000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M50.00S,2022-01-04T00:18:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,90.8508541392904,48.28431372549019,1610612755,10,11,2022-01-04T00:22:25Z,600000,-9.0,34.0,1,right,MISS J. Embiid Layup,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,3.46,Missed,,,,,,,,,,,,,,,,,,
61,PT07M49.00S,2022-01-04T00:18:58.2Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,10,11,2022-01-04T00:22:25Z,610000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,
68,PT07M49.00S,2022-01-04T00:18:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,93.29829172141919,47.03584558823529,1610612755,10,11,2022-01-04T00:23:33Z,615000,-15.0,10.0,1,right,MISS J. Embiid putback Layup,[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,1.81,Missed,,,,,,,,,,,,,,,,,,
69,PT07M47.00S,2022-01-04T00:19:00.9Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,10,11,2022-01-04T00:23:33Z,617500,,,0,,J. Embiid REBOUND (Off:2 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,68.0,3.0,1.0,2.0,,,,,,,,,,,,,,
62,PT07M47.00S,2022-01-04T00:19:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,91.24507227332458,46.568627450980394,1610612755,10,11,2022-01-04T00:23:51Z,620000,-17.0,30.0,1,right,MISS J. Embiid tip Layup,[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,3.44,Missed,,,,,,,,,,,,,,,,,,
63,PT07M45.00S,2022-01-04T00:19:02.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,10,11,2022-01-04T00:23:51Z,630000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,,
64,PT07M36.00S,2022-01-04T00:19:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,7.276609724047319,52.205882352941174,1610612745,10,13,2022-01-04T00:24:58Z,640000,-11.0,16.0,1,left,J. Tate driving Layup (3 PTS),[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.93,Made,,,,,3.0,,,,,,,,,,,,,
65,PT07M26.00S,2022-01-04T00:19:21.1Z,1,REGULAR,foul,personal,['2freethrow'],1629726,,,1610612755,10,13,2022-01-04T00:19:34Z,650000,,,0,,G. Mathews shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629726, 203954]",1610612745.0,HOU,shooting,,,Mathews,G. Mathews,,,,,,,,,,,,1627534.0,2.0,0.0,Embiid,203954.0,,,,,,,,
67,PT07M26.00S,2022-01-04T00:19:56.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,11,13,2022-01-04T00:19:56Z,670000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
70,PT07M26.00S,2022-01-04T00:20:17.3Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,12,13,2022-01-04T00:20:17Z,680000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
71,PT07M11.00S,2022-01-04T00:20:35.2Z,1,REGULAR,foul,offensive,[],201569,,,1610612745,12,13,2022-01-04T00:20:53Z,690000,,,0,,E. Gordon offensive FOUL (1 PF),"[201569, 1627788]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,201246.0,1.0,0.0,Korkmaz,1627788.0,,,,,,,,
73,PT07M11.00S,2022-01-04T00:20:35.2Z,1,REGULAR,turnover,offensive foul,[],201569,,,1610612745,12,13,2022-01-04T00:20:35Z,710000,,,0,,E. Gordon offensive foul TURNOVER (1 TO),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,201246.0,,,,,1.0,,,,,,,
74,PT07M11.00S,2022-01-04T00:20:56.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,12,13,2022-01-04T00:20:56Z,720000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M11.00S,2022-01-04T00:21:24.1Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612755,12,13,2022-01-04T00:24:44Z,730000,,,0,,,[],1610612745.0,HOU,stands,,,,,,,,,,,,,,,,201246.0,,,,,,,,,,,,
76,PT06M53.00S,2022-01-04T00:24:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627788,69.69448094612352,32.1078431372549,1610612755,15,13,2022-01-04T00:24:13Z,740000,-89.0,232.0,1,right,F. Korkmaz 24' 3PT  (9 PTS) (S. Milton 1 AST),"[1627788, 1629003]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,24.9,Made,,,,,9.0,,,,,,,,,S. Milton,1629003.0,1.0,,
78,PT06M32.00S,2022-01-04T00:24:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,10.036136662286467,46.568627450980394,1610612745,15,13,2022-01-04T00:24:33Z,760000,17.0,42.0,1,left,MISS E. Gordon driving reverse Layup,[201569],1610612745.0,HOU,driving reverse,,,Gordon,E. Gordon,,,,,4.52,Missed,,,,,,,,,,,,,,,,,,
79,PT06M31.00S,2022-01-04T00:24:29.9Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,15,13,2022-01-04T00:24:33Z,770000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M21.00S,2022-01-04T00:24:39.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627788,67.85479632063075,39.4607843137255,1610612755,15,13,2022-01-04T00:24:46Z,780000,-53.0,250.0,1,right,MISS F. Korkmaz 25' 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,
81,PT06M16.00S,2022-01-04T00:24:44.6Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,15,13,2022-01-04T00:24:46Z,790000,,,0,,G. Mathews REBOUND (Off:0 Def:2),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,
82,PT06M07.00S,2022-01-04T00:24:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.013797634691201,52.69607843137255,1610612745,15,13,2022-01-04T00:25:00Z,800000,-13.0,13.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 201980]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,1.9,Missed,,,,,,,,,,,,,,,,,Green,201980.0
83,PT06M07.00S,2022-01-04T00:24:53.3Z,1,REGULAR,block,,[],201980,,,1610612745,15,13,2022-01-04T00:35:39Z,810000,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M05.00S,2022-01-04T00:24:55.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,13,2022-01-04T00:25:00Z,820000,,,0,,J. Embiid REBOUND (Off:2 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,82.0,4.0,2.0,2.0,,,,,,,,,,,,,,
85,PT06M02.00S,2022-01-04T00:24:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629003,94.3988173455979,47.05882352941176,1610612755,17,13,2022-01-04T00:25:05Z,830000,-15.0,0.0,1,right,S. Milton running Layup (2 PTS) (J. Embiid 2 AST),"[1629003, 203954]",1610612755.0,PHI,running,,,Milton,S. Milton,,,,,1.47,Made,,,,,2.0,,,,,,,,,J. Embiid,203954.0,2.0,,
87,PT05M34.00S,2022-01-04T00:25:26.8Z,1,REGULAR,3pt,Jump Shot,[],1628464,33.952036793692514,49.50980392156863,1610612745,17,13,2022-01-04T00:25:31Z,850000,2.0,267.0,1,left,MISS D. Theis 26' 3PT,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,
88,PT05M30.00S,2022-01-04T00:25:30.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,13,2022-01-04T00:25:31Z,860000,,,0,,J. Embiid REBOUND (Off:2 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,87.0,5.0,3.0,2.0,,,,,,,,,,,,,,
89,PT05M17.00S,2022-01-04T00:25:44.2Z,1,REGULAR,2pt,Jump Shot,[],202699,79.28712220762155,46.32352941176471,1610612755,17,13,2022-01-04T00:25:48Z,870000,-18.0,142.0,1,right,MISS T. Harris 14' turnaround Shot - blocked,"[202699, 1630256]",1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,14.34,Missed,,,,,,,,,,,,,,,,,Tate,1630256.0
90,PT05M17.00S,2022-01-04T00:25:44.2Z,1,REGULAR,block,,[],1630256,,,1610612755,17,13,2022-01-04T00:25:46Z,880000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M14.00S,2022-01-04T00:25:47.2Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,17,13,2022-01-04T00:25:48Z,890000,,,0,,G. Mathews REBOUND (Off:0 Def:3),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,89.0,3.0,3.0,0.0,,,,,,,,,,,,,,
