actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
32,PT09M25.00S,2022-03-03T00:50:52.7Z,1,REGULAR,3pt,Jump Shot,[],201935,31.61957950065703,27.205882352941174,1610612755,4,9,2022-03-03T00:50:56Z,320000,114.0,245.0,1,left,MISS J. Harden 27' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,
33,PT09M23.00S,2022-03-03T00:50:54.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,4,9,2022-03-03T00:50:56Z,330000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,
34,PT09M10.00S,2022-03-03T00:51:08.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,94.03745072273325,48.28431372549019,1610612752,4,11,2022-03-03T00:51:12Z,340000,-9.0,4.0,1,right,M. Robinson DUNK (4 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,0.93,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M59.00S,2022-03-03T00:51:18.8Z,1,REGULAR,3pt,Jump Shot,[],202699,31.750985545335087,59.55882352941176,1610612755,7,11,2022-03-03T00:51:22Z,350000,-48.0,246.0,1,left,T. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.06,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
37,PT08M51.00S,2022-03-03T00:51:26.3Z,1,REGULAR,3pt,Jump Shot,[],203095,75.50919842312747,8.57843137254902,1610612752,7,11,2022-03-03T00:51:31Z,370000,-207.0,178.0,1,right,MISS E. Fournier 27' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,27.29,Missed,,,,,,,,,,,,,,,,,,
38,PT08M48.00S,2022-03-03T00:51:29.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,7,11,2022-03-03T00:51:31Z,380000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,
39,PT08M36.00S,2022-03-03T00:51:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629680,3.630091984231275,97.79411764705883,1610612755,7,11,2022-03-03T00:51:46Z,390000,-239.0,-18.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,
40,PT08M33.00S,2022-03-03T00:51:45.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,7,11,2022-03-03T00:51:46Z,400000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,
41,PT08M23.00S,2022-03-03T00:51:57.7Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612752,7,11,2022-03-03T00:52:04Z,410000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Burks 2 FT),"[1630178, 202692]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,,,,202037.0,1.0,0.0,Burks,202692.0,,,,,,,,,
43,PT08M23.00S,2022-03-03T00:52:29.3Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612752,7,12,2022-03-03T00:52:42Z,430000,,,0,,A. Burks Free Throw 1 of 2 (1 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
44,PT08M23.00S,2022-03-03T00:52:29.3Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612752,7,12,2022-03-03T00:52:42Z,440000,,,0,,MISS A. Burks Free Throw 2 of 2,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2022-03-03T00:52:32.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,7,12,2022-03-03T00:52:42Z,450000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,
46,PT08M09.00S,2022-03-03T00:52:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,5.995400788436268,35.78431372549019,1610612755,7,12,2022-03-03T00:52:57Z,460000,71.0,4.0,1,left,MISS T. Harris 7' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,7.12,Missed,,,,,,,,,,,,,,,,,,
47,PT08M07.00S,2022-03-03T00:52:55.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,7,12,2022-03-03T00:52:57Z,470000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,
48,PT07M59.00S,2022-03-03T00:53:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,88.78120893561103,56.127450980392155,1610612752,7,12,2022-03-03T00:53:09Z,480000,31.0,53.0,1,right,MISS J. Randle 6' driving floating Shot,[203944],1610612752.0,NYK,driving floating,,,Randle,J. Randle,,,,,6.12,Missed,,,,,,,,,,,,,,,,,,
49,PT07M56.00S,2022-03-03T00:53:06.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,7,12,2022-03-03T00:53:09Z,490000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,
50,PT07M55.00S,2022-03-03T00:53:10.9Z,1,REGULAR,foul,personal,[],203095,,,1610612755,7,12,2022-03-03T00:53:21Z,500000,,,0,,E. Fournier take personal FOUL (1 PF),"[203095, 201935]",1610612752.0,NYK,take,,,Fournier,E. Fournier,,,,,,,,,,,202037.0,1.0,0.0,Harden,201935.0,,,,,,,,,
52,PT07M36.00S,2022-03-03T00:53:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.245072273324574,57.59803921568627,1610612755,7,12,2022-03-03T00:53:54Z,520000,-38.0,100.0,1,left,MISS J. Embiid 10' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,10.72,Missed,,,,,,,,,,,,,,,,,,
53,PT07M33.00S,2022-03-03T00:53:54.2Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,7,12,2022-03-03T00:53:54Z,530000,,,0,,A. Burks REBOUND (Off:0 Def:3),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,52.0,3.0,3.0,0.0,,,
54,PT07M30.00S,2022-03-03T00:53:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,90.22667542706965,53.92156862745098,1610612752,7,12,2022-03-03T00:54:03Z,540000,20.0,39.0,1,right,MISS A. Burks running Layup - blocked,"[202692, 202699]",1610612752.0,NYK,running,,,Burks,A. Burks,,,,,4.4,Missed,,,,,,,,,,Harris,202699.0,,,,,,,
55,PT07M30.00S,2022-03-03T00:53:57.8Z,1,REGULAR,block,,[],202699,,,1610612752,7,12,2022-03-03T00:54:01Z,550000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M30.00S,2022-03-03T00:53:57.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,12,2022-03-03T00:54:03Z,560000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,
57,PT07M30.00S,2022-03-03T00:54:03.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,7,12,2022-03-03T00:54:03Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2022-03-03T00:54:20.2Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612752,7,12,2022-03-03T00:54:26Z,580000,,,0,,T. Harris shooting personal FOUL (1 PF) (Randle 2 FT),"[202699, 203944]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,101283.0,1.0,0.0,Randle,203944.0,,,,,,,,,
60,PT07M23.00S,2022-03-03T00:54:48.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203944,,,1610612752,7,12,2022-03-03T00:54:48Z,600000,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2022-03-03T00:54:48.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,7,12,2022-03-03T00:54:48Z,610000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,
62,PT07M23.00S,2022-03-03T00:55:10.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203944,,,1610612752,7,13,2022-03-03T00:55:10Z,620000,,,0,,J. Randle Free Throw 2 of 2 (3 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
63,PT07M12.00S,2022-03-03T00:55:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,13.354139290407357,50.73529411764706,1610612755,7,13,2022-03-03T00:56:25Z,630000,-4.0,73.0,1,left,MISS J. Harden 7' driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,7.31,Missed,,,,,,,,,,,,,,,,,,
64,PT07M12.00S,2022-03-03T00:55:23.7Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,7,13,2022-03-03T00:56:25Z,640000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,63.0,1.0,0.0,1.0,,,
65,PT07M11.00S,2022-03-03T00:55:28.5Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,7,13,2022-03-03T00:55:34Z,650000,,,0,,M. Robinson shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629011, 203954]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,1148.0,2.0,0.0,Embiid,203954.0,,,,,,,,,
67,PT07M11.00S,2022-03-03T00:55:57.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,8,13,2022-03-03T00:55:57Z,670000,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
68,PT07M11.00S,2022-03-03T00:56:00.0Z,1,REGULAR,substitution,out,[],1629011,,,1610612755,8,13,2022-03-03T00:56:03Z,680000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M11.00S,2022-03-03T00:56:00.0Z,1,REGULAR,substitution,in,[],1630579,,,1610612755,8,13,2022-03-03T00:56:03Z,690000,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M11.00S,2022-03-03T00:56:24.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,9,13,2022-03-03T00:56:24Z,700000,,,0,,J. Embiid Free Throw 2 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
71,PT07M01.00S,2022-03-03T00:56:36.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,66.70499342969777,53.431372549019606,1610612752,9,16,2022-03-03T00:56:42Z,710000,17.0,260.0,1,right,R. Barrett 26' 3PT pullup (8 PTS) (A. Burks 2 AST),"[1629628, 202692]",1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,26.11,Made,8.0,A. Burks,202692.0,2.0,,,,,,,,,,,,,,
73,PT06M49.00S,2022-03-03T00:56:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,8.492115637319317,46.32352941176471,1610612755,9,16,2022-03-03T00:57:01Z,730000,18.0,27.0,1,left,MISS M. Thybulle Layup,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,3.29,Missed,,,,,,,,,,,,,,,,,,
75,PT06M41.00S,2022-03-03T00:56:56.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,16,2022-03-03T00:56:56Z,750000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,
76,PT06M38.00S,2022-03-03T00:56:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,85.10183968462549,49.754901960784316,1610612752,9,16,2022-03-03T00:57:04Z,760000,-1.0,88.0,1,right,MISS J. Randle 8' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,8.75,Missed,,,,,,,,,,,,,,,,,,
77,PT06M35.00S,2022-03-03T00:57:02.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,16,2022-03-03T00:57:04Z,770000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,76.0,2.0,1.0,1.0,,,
78,PT06M30.00S,2022-03-03T00:57:11.1Z,1,REGULAR,turnover,traveling,[],203954,,,1610612755,9,16,2022-03-03T00:57:16Z,780000,,,0,,J. Embiid traveling TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,1148.0,,,,,,,,,,,1.0,,
79,PT06M30.00S,2022-03-03T00:57:18.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,9,16,2022-03-03T00:57:18Z,790000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M11.00S,2022-03-03T01:00:52.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203095,87.72996057818659,48.03921568627451,1610612752,9,16,2022-03-03T01:00:57Z,800000,-10.0,63.0,1,right,MISS E. Fournier 6' driving floating Shot,[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,6.36,Missed,,,,,,,,,,,,,,,,,,
81,PT06M06.00S,2022-03-03T01:00:56.7Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,9,16,2022-03-03T01:00:56Z,810000,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,80.0,1.0,0.0,1.0,,,
82,PT06M06.00S,2022-03-03T01:00:56.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630579,94.40999984741211,50.0,1610612752,9,18,2022-03-03T01:00:56Z,820000,0.0,0.0,1,right,J. Sims putback DUNK (2 PTS),[1630579],1610612752.0,NYK,putback,,,Sims,J. Sims,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
83,PT05M52.00S,2022-03-03T01:01:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.863994743758213,49.26470588235294,1610612755,11,18,2022-03-03T01:01:14Z,830000,4.0,3.0,1,left,T. Harris Layup (5 PTS) (M. Thybulle 1 AST),"[202699, 1629680]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,0.45,Made,5.0,M. Thybulle,1629680.0,1.0,,,,,,,,,,,,,,
85,PT05M39.00S,2022-03-03T01:01:23.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,68.41327201051249,50.49019607843137,1610612752,11,18,2022-03-03T01:01:26Z,850000,2.0,244.0,1,right,MISS R. Barrett 24' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,24.44,Missed,,,,,,,,,,,,,,,,,,
86,PT05M37.00S,2022-03-03T01:01:25.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,11,18,2022-03-03T01:01:26Z,860000,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,85.0,3.0,3.0,0.0,,,
87,PT05M32.00S,2022-03-03T01:01:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,5.601182654402102,50.245098039215684,1610612755,13,18,2022-03-03T01:01:42Z,870000,-1.0,0.0,1,left,J. Harden running Layup (2 PTS),[201935],1610612755.0,PHI,running,,,Harden,J. Harden,,,,,0.12,Made,2.0,,,,,,,,,,,,,,,,,
88,PT05M32.00S,2022-03-03T01:01:38.9Z,1,REGULAR,foul,personal,['1freethrow'],1630579,,,1610612755,13,18,2022-03-03T01:01:45Z,880000,,,0,,J. Sims shooting personal FOUL (1 PF) (Harden 1 FT),"[1630579, 201935]",1610612752.0,NYK,shooting,,,Sims,J. Sims,,,,,,,,,,,101283.0,1.0,0.0,Harden,201935.0,,,,,,,,,
90,PT05M32.00S,2022-03-03T01:01:48.2Z,1,REGULAR,substitution,out,[],202699,,,1610612755,13,18,2022-03-03T01:01:57Z,900000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M32.00S,2022-03-03T01:01:48.2Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,13,18,2022-03-03T01:01:57Z,910000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
