actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT10M59.00S,2022-02-12T00:12:23.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,3,2022-02-12T00:12:29Z,170000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M42.00S,2022-02-12T00:12:40.1Z,1,REGULAR,3pt,Jump Shot,[],202324,94.95729303547962,2.450980392156863,1610612760,0,3,2022-02-12T00:12:45Z,180000,-238.0,-5.0,1,right,MISS D. Favors 3PT,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2022-02-12T00:12:44.1Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,3,2022-02-12T00:12:45Z,190000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M30.00S,2022-02-12T00:12:52.1Z,1,REGULAR,3pt,Jump Shot,[],203954,32.276609724047304,32.35294117647059,1610612755,3,3,2022-02-12T00:12:56Z,200000,88.0,251.0,1,left,J. Embiid 26' 3PT  (3 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.6,Made,,,,,3.0,,,T. Maxey,1630178.0,1.0,,,,,,,,
22,PT10M16.00S,2022-02-12T00:13:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,89.70105124835742,58.08823529411765,1610612760,3,3,2022-02-12T00:13:11Z,220000,40.0,44.0,1,right,MISS J. Giddey 6' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,6.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2022-02-12T00:13:08.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,3,3,2022-02-12T00:13:11Z,230000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M10.00S,2022-02-12T00:13:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629680,5.863994743758213,94.85294117647058,1610612755,3,3,2022-02-12T00:13:17Z,240000,-224.0,3.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,22.43,Missed,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2022-02-12T00:13:15.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,3,3,2022-02-12T00:13:17Z,250000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M57.00S,2022-02-12T00:13:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,93.77463863337714,50.245098039215684,1610612760,3,5,2022-02-12T00:13:29Z,260000,1.0,6.0,1,right,L. Dort driving finger roll Layup (2 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,driving finger roll,,,Dort,L. Dort,,,,,0.61,Made,,,,,2.0,,,J. Giddey,1630581.0,1.0,,,,,,,,
28,PT09M38.00S,2022-02-12T00:13:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1630544,,,1610612755,3,5,2022-02-12T00:14:02Z,280000,,,0,,T. Mann shooting personal FOUL (1 PF) (Korkmaz 2 FT),"[1630544, 1627788]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Korkmaz,1627788.0,,,
30,PT09M38.00S,2022-02-12T00:14:11.7Z,1,REGULAR,freethrow,1 of 2,[],1627788,,,1610612755,4,5,2022-02-12T00:14:11Z,300000,,,0,,F. Korkmaz Free Throw 1 of 2 (1 PTS),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
31,PT09M38.00S,2022-02-12T00:14:26.6Z,1,REGULAR,freethrow,2 of 2,[],1627788,,,1610612755,5,5,2022-02-12T00:14:26Z,310000,,,0,,F. Korkmaz Free Throw 2 of 2 (2 PTS),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
32,PT09M23.00S,2022-02-12T00:14:42.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,65.78515111695138,51.71568627450981,1610612760,5,5,2022-02-12T00:14:55Z,320000,9.0,269.0,1,right,MISS L. Dort 26' step back 3PT - blocked,"[1629652, 203954]",1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,26.92,Missed,,,,,,Embiid,203954.0,,,,,,,,,,,
33,PT09M23.00S,2022-02-12T00:14:42.0Z,1,REGULAR,block,,[],203954,,,1610612760,5,5,2022-02-12T00:14:45Z,330000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2022-02-12T00:14:47.0Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,5,5,2022-02-12T00:14:55Z,340000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
35,PT09M16.00S,2022-02-12T00:14:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,93.11760840998686,44.36274509803921,1610612760,5,7,2022-02-12T00:15:01Z,350000,-28.0,12.0,1,right,D. Favors putback Layup (2 PTS),[202324],1610612760.0,OKC,putback,,,Favors,D. Favors,,,,,3.07,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M57.00S,2022-02-12T00:15:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,9.017739816031538,50.98039215686274,1610612755,5,7,2022-02-12T00:15:19Z,360000,-5.0,32.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,3.27,Missed,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2022-02-12T00:15:13.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,5,7,2022-02-12T00:15:19Z,370000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M52.00S,2022-02-12T00:15:13.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,5,7,2022-02-12T00:15:53Z,380000,0.0,0.0,1,left,MISS J. Embiid tip Layup,[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2022-02-12T00:15:18.1Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,5,7,2022-02-12T00:15:53Z,390000,,,0,,J. Embiid REBOUND (Off:2 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,38.0,2.0,0.0,2.0,,,,,,,,,,,,,,
40,PT08M47.00S,2022-02-12T00:15:17.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,5,7,2022-02-12T00:15:49Z,400000,0.0,0.0,1,left,MISS J. Embiid putback Layup,[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2022-02-12T00:15:17.8Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,5,7,2022-02-12T00:15:21Z,410000,,,0,,J. Embiid REBOUND (Off:3 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,40.0,3.0,0.0,3.0,,,,,,,,,,,,,,
42,PT08M45.00S,2022-02-12T00:15:19.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,7,7,2022-02-12T00:20:40Z,420000,0.0,0.0,1,left,J. Embiid tip Layup (5 PTS),[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,0.0,Made,,,,,5.0,,,,,,,,,,,,,
43,PT08M37.00S,2022-02-12T00:15:28.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,87.59855453350855,47.794117647058826,1610612760,7,7,2022-02-12T00:15:32Z,430000,-11.0,64.0,1,right,MISS T. Mann 6' driving floating Shot,[1630544],1610612760.0,OKC,driving floating,,,Mann,T. Mann,,,,,6.5,Missed,,,,,,,,,,,,,,,,,,
44,PT08M34.00S,2022-02-12T00:15:31.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,7,2022-02-12T00:15:32Z,440000,,,0,,J. Embiid REBOUND (Off:3 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,43.0,4.0,1.0,3.0,,,,,,,,,,,,,,
45,PT08M30.00S,2022-02-12T00:15:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627788,5.469776609724048,48.03921568627451,1610612755,9,7,2022-02-12T00:15:42Z,450000,10.0,-1.0,1,left,F. Korkmaz running finger roll Layup (4 PTS) (J. Embiid 1 AST),"[1627788, 203954]",1610612755.0,PHI,running finger roll,,,Korkmaz,F. Korkmaz,,,,,0.99,Made,,,,,4.0,,,J. Embiid,203954.0,1.0,,,,,,,,
47,PT08M10.00S,2022-02-12T00:15:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630544,65.65374507227332,24.754901960784316,1610612760,9,7,2022-02-12T00:16:01Z,470000,-126.0,270.0,1,right,MISS T. Mann 29' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,29.84,Missed,,,,,,,,,,,,,,,,,,
48,PT08M04.00S,2022-02-12T00:16:00.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,7,2022-02-12T00:16:01Z,480000,,,0,,J. Embiid REBOUND (Off:3 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,47.0,5.0,2.0,3.0,,,,,,,,,,,,,,
49,PT08M01.00S,2022-02-12T00:16:03.9Z,1,REGULAR,turnover,bad pass,[],1629680,,,1610612755,9,7,2022-02-12T00:16:18Z,490000,,,0,,M. Thybulle bad pass TURNOVER (1 TO),"[1629680, 1629647]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,1.0,Bazley,1629647.0
50,PT08M01.00S,2022-02-12T00:16:03.9Z,1,REGULAR,steal,,[],1629647,,,1610612760,9,7,2022-02-12T00:16:06Z,500000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M53.00S,2022-02-12T00:16:12.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630544,94.43166885676742,48.77450980392157,1610612760,9,7,2022-02-12T00:16:23Z,510000,-6.0,0.0,1,right,MISS T. Mann driving DUNK,[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,0.61,Missed,,,,,,,,,,,,,,,,,,
52,PT07M51.00S,2022-02-12T00:16:14.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,7,2022-02-12T00:16:14Z,520000,,,0,,J. Embiid REBOUND (Off:3 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,51.0,6.0,3.0,3.0,,,,,,,,,,,,,,
53,PT07M40.00S,2022-02-12T00:16:26.8Z,1,REGULAR,foul,personal,['2freethrow'],1629647,,,1610612755,9,7,2022-02-12T00:16:34Z,530000,,,0,,D. Bazley shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629647, 203954]",1610612760.0,OKC,shooting,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Embiid,203954.0,,,
55,PT07M40.00S,2022-02-12T00:17:00.4Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,9,7,2022-02-12T00:17:18Z,550000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M40.00S,2022-02-12T00:17:00.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,9,7,2022-02-12T00:17:18Z,560000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2022-02-12T00:17:00.4Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,9,7,2022-02-12T00:17:18Z,570000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT07M38.00S,2022-02-12T00:17:02.4Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,9,7,2022-02-12T00:17:18Z,580000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT07M26.00S,2022-02-12T00:17:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,94.30026281208936,52.20588235294118,1610612760,9,9,2022-02-12T00:17:34Z,590000,11.0,1.0,1,right,T. Mann driving finger roll Layup (2 PTS),[1630544],1610612760.0,OKC,driving finger roll,,,Mann,T. Mann,,,,,1.11,Made,,,,,2.0,,,,,,,,,,,,,
60,PT07M09.00S,2022-02-12T00:17:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,4.02431011826544,35.294117647058826,1610612755,11,9,2022-02-12T00:17:49Z,600000,74.0,-15.0,1,left,T. Maxey 7' driving floating Jump Shot (2 PTS) (F. Korkmaz 1 AST),"[1630178, 1627788]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,7.5,Made,,,,,2.0,,,F. Korkmaz,1627788.0,1.0,,,,,,,,
62,PT06M56.00S,2022-02-12T00:18:01.3Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612760,11,9,2022-02-12T00:18:07Z,620000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Bazley 2 FT),"[203954, 1629647]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Bazley,1629647.0,,,
64,PT06M56.00S,2022-02-12T00:18:11.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,11,9,2022-02-12T00:18:11Z,640000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2022-02-12T00:21:15.4Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,11,10,2022-02-12T00:21:15Z,650000,,,0,,D. Bazley Free Throw 1 of 2 (4 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
66,PT06M56.00S,2022-02-12T00:21:25.8Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,11,11,2022-02-12T00:21:25Z,660000,,,0,,D. Bazley Free Throw 2 of 2 (5 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
67,PT06M42.00S,2022-02-12T00:21:44.3Z,1,REGULAR,foul,personal,['2freethrow'],202324,,,1610612755,11,11,2022-02-12T00:21:51Z,670000,,,0,,D. Favors shooting personal FOUL (1 PF) (Embiid 2 FT),"[202324, 203954]",1610612760.0,OKC,shooting,,,Favors,D. Favors,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Embiid,203954.0,,,
69,PT06M42.00S,2022-02-12T00:22:07.6Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,12,11,2022-02-12T00:22:07Z,690000,,,0,,J. Embiid Free Throw 1 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
70,PT06M42.00S,2022-02-12T00:22:28.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,13,11,2022-02-12T00:22:28Z,700000,,,0,,J. Embiid Free Throw 2 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
71,PT06M32.00S,2022-02-12T00:22:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630544,72.48685939553219,9.313725490196079,1610612760,13,11,2022-02-12T00:22:41Z,710000,-203.0,206.0,1,right,MISS T. Mann 28' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,28.96,Missed,,,,,,,,,,,,,,,,,,
72,PT06M28.00S,2022-02-12T00:22:39.8Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,13,11,2022-02-12T00:22:41Z,720000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
73,PT06M17.00S,2022-02-12T00:22:52.9Z,1,REGULAR,foul,personal,[],1629652,,,1610612755,13,11,2022-02-12T00:23:01Z,730000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 203954]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Embiid,203954.0,,,
75,PT06M11.00S,2022-02-12T00:23:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.389618922470433,51.470588235294116,1610612755,13,11,2022-02-12T00:23:21Z,750000,-7.0,8.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 202324]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,1.06,Missed,,,,,,Favors,202324.0,,,,,,,,,,,
129,PT06M11.00S,2022-02-12T00:23:16.2Z,1,REGULAR,block,,[],202324,,,1610612755,13,11,2022-02-12T00:31:45Z,755000,,,0,,D. Favors BLOCK (1 BLK),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2022-02-12T00:23:18.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,11,2022-02-12T00:23:21Z,760000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT06M06.00S,2022-02-12T00:23:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629652,92.72339027595268,47.30392156862745,1610612760,13,13,2022-02-12T00:23:29Z,770000,-13.0,16.0,1,right,L. Dort running finger roll Layup (4 PTS) (J. Giddey 2 AST),"[1629652, 1630581]",1610612760.0,OKC,running finger roll,,,Dort,L. Dort,,,,,2.09,Made,,,,,4.0,,,J. Giddey,1630581.0,2.0,,,,,,,,
79,PT05M42.00S,2022-02-12T00:23:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629680,7.440867279894875,63.725490196078425,1610612755,13,13,2022-02-12T00:23:53Z,790000,-69.0,17.0,1,left,MISS M. Thybulle 7' Jump Shot,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,7.08,Missed,,,,,,,,,,,,,,,,,,
80,PT05M40.00S,2022-02-12T00:23:47.6Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,13,13,2022-02-12T00:23:53Z,800000,,,0,,J. Embiid REBOUND (Off:4 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,79.0,7.0,3.0,4.0,,,,,,,,,,,,,,
81,PT05M39.00S,2022-02-12T00:23:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,6.783837056504599,42.40196078431372,1610612755,13,13,2022-02-12T00:24:16Z,810000,38.0,11.0,1,left,MISS J. Embiid Layup - blocked,"[203954, 202324]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,3.96,Missed,,,,,,Favors,202324.0,,,,,,,,,,,
82,PT05M39.00S,2022-02-12T00:23:51.9Z,1,REGULAR,block,,[],202324,,,1610612755,13,13,2022-02-12T00:23:54Z,820000,,,0,,D. Favors BLOCK (2 BLK),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M35.00S,2022-02-12T00:23:55.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,13,13,2022-02-12T00:24:16Z,830000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2022-02-12T00:24:14.8Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,13,13,2022-02-12T00:24:14Z,840000,,,0,,Jump Ball J. Embiid vs. D. Favors: Tip to T. Harris,"[202699, 203954, 202324]",1610612755.0,PHI,heldball,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,
87,PT05M27.00S,2022-02-12T00:24:21.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,15.719448094612352,38.970588235294116,1610612755,15,13,2022-02-12T00:24:26Z,870000,55.0,95.0,1,left,T. Harris 11' turnaround fadeaway Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround fadeaway,,,Harris,T. Harris,,,,,11.01,Made,,,,,2.0,,,,,,,,,,,,,
88,PT05M10.00S,2022-02-12T00:24:39.4Z,1,REGULAR,3pt,Jump Shot,[],1630544,72.35545335085413,81.12745098039215,1610612760,15,13,2022-02-12T00:24:45Z,880000,156.0,207.0,1,right,MISS T. Mann 25' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
