actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT11M12.00S,2021-12-24T00:11:17.9Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612737,0,0,2021-12-24T00:11:19Z,150000,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M04.00S,2021-12-24T00:11:25.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629629,87.59855453350855,49.754901960784316,1610612737,0,2,2021-12-24T00:11:28Z,160000,-1.0,64.0,1,right,C. Reddish 6' pullup Jump Shot (2 PTS),[1629629],1610612737.0,ATL,pullup,,,Reddish,C. Reddish,,,,,,,,6.41,Made,,,,,,,2.0,,,,,,,,,
17,PT10M50.00S,2021-12-24T00:11:38.8Z,1,REGULAR,3pt,Jump Shot,[],202699,30.699737187910642,72.05882352941177,1610612755,0,2,2021-12-24T00:13:28Z,170000,-110.0,236.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,26.06,Missed,,,,,,,,,,,,,,,,
18,PT10M48.00S,2021-12-24T00:11:40.8Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,2,2021-12-24T00:11:43Z,180000,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,
19,PT10M27.00S,2021-12-24T00:12:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,94.95729303547962,48.529411764705884,1610612737,0,4,2021-12-24T00:12:07Z,190000,-7.0,-5.0,1,right,J. Collins reverse DUNK (2 PTS) (O. Okongwu 1 AST),"[1628381, 1630168]",1610612737.0,ATL,reverse,,,Collins,J. Collins,,,,,,,,0.9,Made,,,,,,,2.0,O. Okongwu,1630168.0,1.0,,,,,,
21,PT10M06.00S,2021-12-24T00:12:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.799605781865965,53.18627450980392,1610612755,0,4,2021-12-24T00:12:27Z,210000,-16.0,87.0,1,left,MISS J. Embiid 8' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,,,,8.8,Missed,,,,,,,,,,,,,,,,
22,PT10M04.00S,2021-12-24T00:12:24.9Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,0,4,2021-12-24T00:12:27Z,220000,,,0,,S. Mays REBOUND (Off:0 Def:1),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT09M49.00S,2021-12-24T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,68.67608409986859,21.813725490196077,1610612737,0,7,2021-12-24T00:12:44Z,230000,-141.0,242.0,1,right,J. Collins 27' 3PT  (5 PTS) (D. Wright 1 AST),"[1628381, 1626153]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,27.99,Made,,,,,,,5.0,D. Wright,1626153.0,1.0,,,,,,
25,PT09M32.00S,2021-12-24T00:12:58.3Z,1,REGULAR,2pt,Jump Shot,[],203552,13.091327201051248,20.098039215686274,1610612755,2,7,2021-12-24T00:13:02Z,250000,150.0,71.0,1,left,S. Curry 16' pullup Jump Shot (2 PTS),[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,,,,16.53,Made,,,,,,,2.0,,,,,,,,,
26,PT09M16.00S,2021-12-24T00:13:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629629,89.96386333771353,54.41176470588235,1610612737,2,9,2021-12-24T00:15:18Z,260000,22.0,42.0,1,right,C. Reddish driving floating Jump Shot (4 PTS),[1629629],1610612737.0,ATL,driving floating,,,Reddish,C. Reddish,,,,,,,,4.73,Made,,,,,,,4.0,,,,,,,,,
27,PT08M58.00S,2021-12-24T00:13:30.9Z,1,REGULAR,3pt,Jump Shot,[],202699,30.17411300919842,72.30392156862744,1610612755,2,9,2021-12-24T00:13:37Z,270000,-112.0,231.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,25.66,Missed,,,,,,,,,,,,,,,,
28,PT08M55.00S,2021-12-24T00:13:33.9Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,2,9,2021-12-24T00:13:37Z,280000,,,0,,S. Mays REBOUND (Off:0 Def:2),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT08M41.00S,2021-12-24T00:13:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,89.43823915900131,34.31372549019608,1610612737,2,9,2021-12-24T00:13:54Z,290000,-78.0,47.0,1,right,MISS D. Wright 9' driving floating bank Shot,[1626153],1610612737.0,ATL,driving floating bank,,,Wright,D. Wright,,,,,,,,9.13,Missed,,,,,,,,,,,,,,,,
30,PT08M36.00S,2021-12-24T00:13:53.0Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,2,9,2021-12-24T00:13:54Z,300000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,
31,PT08M30.00S,2021-12-24T00:13:58.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,24.26084099868594,14.215686274509803,1610612755,5,9,2021-12-24T00:14:06Z,310000,179.0,176.0,1,left,S. Curry 25' 3PT  (5 PTS) (M. Thybulle 1 AST),"[203552, 1629680]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,25.07,Made,,,,,,,5.0,M. Thybulle,1629680.0,1.0,,,,,,
33,PT08M18.00S,2021-12-24T00:14:11.0Z,1,REGULAR,2pt,Jump Shot,[],1628381,93.64323258869908,20.34313725490196,1610612737,5,11,2021-12-24T00:14:21Z,330000,-148.0,7.0,1,right,J. Collins 14' Jump Shot (7 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,14.85,Made,,,,,,,7.0,,,,,,,,,
35,PT08M04.00S,2021-12-24T00:14:29.1Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612755,5,11,2021-12-24T00:14:36Z,350000,,,0,,S. Curry lost ball out-of-bounds TURNOVER (2 TO),[203552],1610612755.0,PHI,lost ball,,,Curry,S. Curry,,,,,2.0,,,,,,,,,,,,,,,1193.0,,,,,
36,PT07M51.00S,2021-12-24T00:14:56.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,5,11,2021-12-24T00:14:56Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M41.00S,2021-12-24T00:15:21.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628381,89.30683311432325,24.754901960784316,1610612737,5,13,2021-12-24T00:15:26Z,370000,-126.0,48.0,1,right,J. Collins 13' turnaround fadeaway Jump Shot (9 PTS) (C. Reddish 1 AST),"[1628381, 1629629]",1610612737.0,ATL,turnaround fadeaway,,,Collins,J. Collins,,,,,,,,13.5,Made,,,,,,,9.0,C. Reddish,1629629.0,1.0,,,,,,
39,PT07M22.00S,2021-12-24T00:15:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.469776609724048,51.9607843137255,1610612755,7,13,2021-12-24T00:15:45Z,390000,-10.0,-1.0,1,left,J. Embiid finger roll Layup (2 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,,,,0.99,Made,,,,,,,2.0,T. Harris,202699.0,1.0,,,,,,
41,PT07M03.00S,2021-12-24T00:15:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,94.69448094612353,47.794117647058826,1610612737,7,15,2021-12-24T00:16:01Z,410000,-11.0,-3.0,1,right,C. Reddish driving reverse Layup (6 PTS),[1629629],1610612737.0,ATL,driving reverse,,,Reddish,C. Reddish,,,,,,,,1.13,Made,,,,,,,6.0,,,,,,,,,
42,PT06M52.00S,2021-12-24T00:16:09.4Z,1,REGULAR,2pt,Jump Shot,[],203954,9.543363994743759,67.15686274509804,1610612755,7,15,2021-12-24T00:16:14Z,420000,-86.0,37.0,1,left,MISS J. Embiid 9' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,,,,9.35,Missed,,,,,,,,,,,,,,,,
43,PT06M50.00S,2021-12-24T00:16:11.4Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,7,15,2021-12-24T00:16:14Z,430000,,,0,,S. Mays REBOUND (Off:0 Def:3),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,
44,PT06M31.00S,2021-12-24T00:16:34.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,7,15,2021-12-24T00:16:34Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT06M31.00S,2021-12-24T00:16:40.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,7,15,2021-12-24T00:16:40Z,450000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M31.00S,2021-12-24T00:19:21.9Z,1,REGULAR,substitution,out,[],1627788,,,1610612737,7,15,2021-12-24T00:19:27Z,460000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M31.00S,2021-12-24T00:19:21.9Z,1,REGULAR,substitution,in,[],1630178,,,1610612737,7,15,2021-12-24T00:19:27Z,470000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M29.00S,2021-12-24T00:19:42.3Z,1,REGULAR,2pt,Jump Shot,[],1629629,96.13994743758212,73.2843137254902,1610612737,7,15,2021-12-24T00:19:50Z,480000,116.0,-16.0,1,right,MISS C. Reddish 11' fadeaway Shot,[1629629],1610612737.0,ATL,fadeaway,,,Reddish,C. Reddish,,,,,,,,11.75,Missed,,,,,,,,,,,,,,,,
49,PT06M26.00S,2021-12-24T00:19:45.3Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,7,15,2021-12-24T00:19:50Z,490000,,,0,,O. Okongwu REBOUND (Off:2 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,48.0,3.0,1.0,2.0,,,,,,,,,,,,
50,PT06M24.00S,2021-12-24T00:19:46.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630168,92.37844940867281,61.056219362745104,1610612737,7,17,2021-12-24T00:19:56Z,500000,55.0,19.0,1,right,O. Okongwu bank Jump Shot (2 PTS),[1630168],1610612737.0,ATL,bank,,,Okongwu,O. Okongwu,,,,,,,,5.85,Made,,,,,,,2.0,,,,,,,,,
51,PT05M58.00S,2021-12-24T00:20:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203552,10.988830486202366,49.50980392156863,1610612755,7,17,2021-12-24T00:20:21Z,510000,2.0,51.0,1,left,MISS S. Curry driving finger roll Layup,[203552],1610612755.0,PHI,driving finger roll,,,Curry,S. Curry,,,,,,,,5.09,Missed,,,,,,,,,,,,,,,,
53,PT05M55.00S,2021-12-24T00:20:16.0Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612737,7,17,2021-12-24T00:20:21Z,530000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
54,PT05M49.00S,2021-12-24T00:20:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626153,94.82588699080158,46.07843137254902,1610612737,7,17,2021-12-24T00:20:30Z,540000,-20.0,-4.0,1,right,MISS D. Wright driving Layup - blocked,"[1626153, 203954]",1610612737.0,ATL,driving,,,Wright,D. Wright,,,,,,,,2.0,Missed,,,,,Embiid,203954.0,,,,,,,,,,
55,PT05M49.00S,2021-12-24T00:20:22.7Z,1,REGULAR,block,,[],203954,,,1610612737,7,17,2021-12-24T00:20:25Z,550000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT05M49.00S,2021-12-24T00:20:22.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,7,17,2021-12-24T00:20:30Z,560000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,
57,PT05M49.00S,2021-12-24T00:20:29.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,7,17,2021-12-24T00:20:29Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M39.00S,2021-12-24T00:20:52.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630168,94.69448094612353,48.28431372549019,1610612737,7,19,2021-12-24T00:21:35Z,580000,-9.0,-3.0,1,right,O. Okongwu alley-oop DUNK (4 PTS) (J. Collins 1 AST),"[1630168, 1628381]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,,,,0.9,Made,,,,,,,4.0,J. Collins,1628381.0,1.0,,,,,,
60,PT05M24.00S,2021-12-24T00:21:08.6Z,1,REGULAR,2pt,Jump Shot,[],203954,12.171484888304862,25.49019607843137,1610612755,7,19,2021-12-24T00:21:13Z,600000,123.0,62.0,1,left,MISS J. Embiid 13' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,,,,13.73,Missed,,,,,,,,,,,,,,,,
61,PT05M21.00S,2021-12-24T00:21:11.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,7,19,2021-12-24T00:21:13Z,610000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,
62,PT05M05.00S,2021-12-24T00:21:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630219,93.64323258869908,46.568627450980394,1610612737,7,21,2021-12-24T00:21:31Z,620000,-17.0,7.0,1,right,S. Mays driving finger roll Layup (2 PTS),[1630219],1610612737.0,ATL,driving finger roll,,,Mays,S. Mays,,,,,,,,1.87,Made,,,,,,,2.0,,,,,,,,,
63,PT04M55.00S,2021-12-24T00:21:37.8Z,1,REGULAR,3pt,Jump Shot,[],1629680,28.33442838370565,77.69607843137256,1610612755,7,21,2021-12-24T00:21:42Z,630000,-138.0,214.0,1,left,MISS M. Thybulle 25' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,25.47,Missed,,,,,,,,,,,,,,,,
64,PT04M51.00S,2021-12-24T00:21:41.8Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612737,7,21,2021-12-24T00:21:42Z,640000,,,0,,D. Wright REBOUND (Off:0 Def:2),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,
65,PT04M39.00S,2021-12-24T00:21:56.7Z,1,REGULAR,foul,personal,[],203552,,,1610612737,7,21,2021-12-24T00:22:02Z,650000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1626153]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Wright,1626153.0,
67,PT04M30.00S,2021-12-24T00:22:19.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630219,84.57621550591328,44.11764705882353,1610612737,7,21,2021-12-24T00:22:24Z,670000,-29.0,92.0,1,right,MISS S. Mays 9' pullup Shot - blocked,"[1630219, 1630178]",1610612737.0,ATL,pullup,,,Mays,S. Mays,,,,,,,,9.71,Missed,,,,,Maxey,1630178.0,,,,,,,,,,
68,PT04M30.00S,2021-12-24T00:22:19.4Z,1,REGULAR,block,,[],1630178,,,1610612737,7,21,2021-12-24T00:22:22Z,680000,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT04M25.00S,2021-12-24T00:22:24.4Z,1,REGULAR,rebound,offensive,[],1630219,,,1610612737,7,21,2021-12-24T00:22:24Z,690000,,,0,,S. Mays REBOUND (Off:1 Def:3),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,67.0,4.0,3.0,1.0,,,,,,,,,,,,
70,PT04M24.00S,2021-12-24T00:22:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,92.85479632063075,50.0,1610612737,7,21,2021-12-24T00:22:41Z,700000,0.0,15.0,1,right,MISS O. Okongwu Layup,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,1.47,Missed,,,,,,,,,,,,,,,,
71,PT04M20.00S,2021-12-24T00:22:33.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,21,2021-12-24T00:22:41Z,710000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,
72,PT04M10.00S,2021-12-24T00:22:38.6Z,1,REGULAR,3pt,Jump Shot,[],202699,29.25427069645204,25.245098039215684,1610612755,7,21,2021-12-24T00:22:46Z,720000,124.0,222.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,25.46,Missed,,,,,,,,,,,,,,,,
73,PT04M10.00S,2021-12-24T00:22:38.6Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,7,21,2021-12-24T00:22:46Z,730000,,,0,,S. Mays REBOUND (Off:1 Def:4),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,72.0,5.0,4.0,1.0,,,,,,,,,,,,
74,PT03M56.00S,2021-12-24T00:22:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,84.83902759526939,45.34313725490196,1610612737,7,21,2021-12-24T00:22:59Z,740000,-23.0,90.0,1,right,MISS J. Collins 9' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,,,,9.3,Missed,,,,,,,,,,,,,,,,
75,PT03M55.00S,2021-12-24T00:22:56.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,21,2021-12-24T00:22:56Z,750000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,
76,PT03M55.00S,2021-12-24T00:23:01.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,7,21,2021-12-24T00:23:01Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT03M55.00S,2021-12-24T00:23:02.4Z,1,REGULAR,substitution,out,[],1630219,,,1610612755,7,21,2021-12-24T00:23:12Z,770000,,,0,,SUB out: S. Mays,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT03M55.00S,2021-12-24T00:23:02.4Z,1,REGULAR,substitution,in,[],203992,,,1610612755,7,21,2021-12-24T00:23:12Z,780000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT03M37.00S,2021-12-24T00:23:37.0Z,1,REGULAR,2pt,Jump Shot,[],1630178,23.340998685939553,46.32352941176471,1610612755,9,21,2021-12-24T00:23:40Z,790000,18.0,167.0,1,left,T. Maxey 16' pullup Jump Shot (2 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,,,,16.79,Made,,,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,
80,PT03M24.00S,2021-12-24T00:23:49.0Z,1,REGULAR,3pt,Jump Shot,[],203992,73.27529566360053,12.745098039215685,1610612737,9,21,2021-12-24T00:23:55Z,800000,-186.0,199.0,1,right,MISS B. Bogdanovic 27' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,27.24,Missed,,,,,,,,,,,,,,,,
81,PT03M22.00S,2021-12-24T00:23:51.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,9,21,2021-12-24T00:23:55Z,810000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,
82,PT03M15.00S,2021-12-24T00:24:03.2Z,1,REGULAR,foul,personal,['2freethrow'],1629629,,,1610612755,9,21,2021-12-24T00:24:12Z,820000,,,0,,C. Reddish shooting personal FOUL (1 PF) (Harris 2 FT),"[1629629, 202699]",1610612737.0,ATL,shooting,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Harris,202699.0,
84,PT03M15.00S,2021-12-24T00:24:17.1Z,1,REGULAR,substitution,out,[],1629680,,,1610612755,9,21,2021-12-24T00:24:22Z,840000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M15.00S,2021-12-24T00:24:17.1Z,1,REGULAR,substitution,in,[],1630198,,,1610612755,9,21,2021-12-24T00:24:22Z,850000,,,0,,SUB in: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M15.00S,2021-12-24T00:24:33.1Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612755,10,21,2021-12-24T00:24:33Z,860000,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,
