actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M48.00S,2022-03-21T23:42:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",200768,7.670827858081481,50.98039215686275,1610612748,2,2,2022-03-21T23:42:34Z,160000,-5.0,20.0,1,left,K. Lowry running finger roll Layup (2 PTS),[200768],1610612748.0,MIA,running finger roll,,,Lowry,K. Lowry,,,,,,,,2.02,Made,2.0,,,,,,,,,,,,,,,
17,PT10M29.00S,2022-03-21T23:42:47.1Z,1,REGULAR,foul,offensive,[],200794,,,1610612755,2,2,2022-03-21T23:42:53Z,170000,,,0,,P. Millsap charge offensive FOUL (1 PF),"[200794, 1629130]",1610612755.0,PHI,charge,,,Millsap,P. Millsap,,,,,,,,,,,,,,,201246.0,1.0,0.0,Robinson,1629130.0,,,,,,
19,PT10M29.00S,2022-03-21T23:42:47.1Z,1,REGULAR,turnover,offensive foul,[],200794,,,1610612755,2,2,2022-03-21T23:42:47Z,190000,,,0,,P. Millsap offensive foul TURNOVER (1 TO),[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,1.0,,,,,,,,,,201246.0,,,,,,,,,,
20,PT10M17.00S,2022-03-21T23:43:12.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,32.90078843626807,70.09803921568627,1610612748,2,2,2022-03-21T23:43:19Z,200000,-100.0,257.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,27.58,Missed,,,,,,,,,,,,,,,,
21,PT10M13.00S,2022-03-21T23:43:16.2Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,2,2,2022-03-21T23:43:16Z,210000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT10M12.00S,2022-03-21T23:43:17.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628389,13.452693823915894,54.411764705882355,1610612748,2,2,2022-03-21T23:43:21Z,220000,-22.0,74.0,1,left,MISS B. Adebayo 7' Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,7.72,Missed,,,,,,,,,,,,,,,,
23,PT10M10.00S,2022-03-21T23:43:19.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,2,2022-03-21T23:43:21Z,230000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M06.00S,2022-03-21T23:43:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,92.55913272010513,51.71568627450981,1610612755,4,2,2022-03-21T23:43:29Z,240000,9.0,17.0,1,right,T. Maxey running Layup (2 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,,,,1.94,Made,2.0,,,,,,,,,,T. Harris,202699.0,1.0,,,
26,PT09M55.00S,2022-03-21T23:43:33.7Z,1,REGULAR,2pt,Jump Shot,[],202710,4.77989487516426,33.82352941176471,1610612748,4,4,2022-03-21T23:43:40Z,260000,81.0,-8.0,1,left,J. Butler 8' turnaround fadeaway Jump Shot (2 PTS),[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,,,,8.13,Made,2.0,,,,,,,,,,,,,,,
27,PT09M48.00S,2022-03-21T23:43:41.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,67.06636005256242,75.49019607843138,1610612755,4,4,2022-03-21T23:43:46Z,270000,127.0,257.0,1,right,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,,,,28.7,Missed,,,,,,,,,,,,,,,,
28,PT09M45.00S,2022-03-21T23:43:44.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,4,2022-03-21T23:43:46Z,280000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT09M37.00S,2022-03-21T23:44:08.3Z,1,REGULAR,foul,technical,['1freethrow'],202699,,,1610612748,4,4,2022-03-21T23:44:15Z,320000,,,0,,T. Harris defensive-3-second technical FOUL (1 Tech),[202699],1610612755.0,PHI,defensive-3-second,,,Harris,T. Harris,,,,,,,,,,,,,,,201246.0,0.0,1.0,,,,,,,,
33,PT09M37.00S,2022-03-21T23:44:17.1Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,4,5,2022-03-21T23:44:17Z,330000,,,0,,J. Butler technical Free Throw 1 of 1 (3 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
34,PT09M33.00S,2022-03-21T23:44:30.1Z,1,REGULAR,foul,personal,[],1629680,,,1610612748,4,5,2022-03-21T23:44:33Z,340000,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1628389]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,202053.0,1.0,0.0,Adebayo,1628389.0,,,,,,
36,PT09M23.00S,2022-03-21T23:44:55.2Z,1,REGULAR,3pt,Jump Shot,[],200768,14.50394218134035,97.30392156862744,1610612748,4,5,2022-03-21T23:45:17Z,360000,-237.0,84.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,25.09,Missed,,,,,,,,,,,,,,,,
37,PT09M21.00S,2022-03-21T23:44:57.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,5,2022-03-21T23:44:57Z,370000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,
38,PT09M10.00S,2022-03-21T23:45:08.8Z,1,REGULAR,3pt,Jump Shot,[],1627777,74.4250985545335,16.42156862745098,1610612755,7,5,2022-03-21T23:45:20Z,380000,-168.0,188.0,1,right,G. Niang 25' 3PT  (3 PTS) (T. Maxey 1 AST),"[1627777, 1630178]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,25.2,Made,3.0,,,,,,,,,,T. Maxey,1630178.0,1.0,,,
40,PT09M00.00S,2022-03-21T23:45:20.9Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612748,7,5,2022-03-21T23:45:28Z,400000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Butler 2 FT),"[1630178, 202710]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,,,,,,,,201246.0,1.0,0.0,Butler,202710.0,,,,,,
42,PT09M00.00S,2022-03-21T23:45:44.3Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,7,6,2022-03-21T23:45:44Z,420000,,,0,,J. Butler Free Throw 1 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
43,PT09M00.00S,2022-03-21T23:45:58.8Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,7,7,2022-03-21T23:45:58Z,430000,,,0,,J. Butler Free Throw 2 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
44,PT08M48.00S,2022-03-21T23:46:11.7Z,1,REGULAR,3pt,Jump Shot,[],202699,78.49868593955321,8.088235294117652,1610612755,7,7,2022-03-21T23:46:16Z,440000,-210.0,150.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,25.75,Missed,,,,,,,,,,,,,,,,
45,PT08M45.00S,2022-03-21T23:46:14.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,7,2022-03-21T23:46:16Z,450000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT08M30.00S,2022-03-21T23:46:31.9Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,7,7,2022-03-21T23:46:43Z,460000,,,0,,B. Adebayo lost ball out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,lost ball,,,Adebayo,B. Adebayo,,,,,1.0,,,,,,,,,,202053.0,,,,,,,,,,
47,PT08M13.00S,2022-03-21T23:46:54.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,91.50788436268068,59.31372549019608,1610612755,7,7,2022-03-21T23:47:01Z,470000,47.0,27.0,1,right,MISS T. Harris driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,,,,5.4,Missed,,,,,,,,,,,,,,,,
48,PT08M10.00S,2022-03-21T23:46:57.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,7,2022-03-21T23:47:01Z,480000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT08M03.00S,2022-03-21T23:47:04.5Z,1,REGULAR,2pt,Layup,[],202710,10.561760840998687,33.08823529411765,1610612748,7,7,2022-03-21T23:47:58Z,490000,85.0,47.0,1,left,MISS J. Butler 9' driving Layup - blocked,"[202710, 200794]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,9.67,Missed,,,,,,,,,,,,,,Millsap,200794.0,
50,PT08M03.00S,2022-03-21T23:47:04.5Z,1,REGULAR,block,,[],200794,,,1610612748,7,7,2022-03-21T23:47:07Z,500000,,,0,,P. Millsap BLOCK (1 BLK),[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M00.00S,2022-03-21T23:47:07.5Z,1,REGULAR,rebound,defensive,[],200794,,,1610612755,7,7,2022-03-21T23:47:10Z,510000,,,0,,P. Millsap REBOUND (Off:0 Def:2),[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,
52,PT07M43.00S,2022-03-21T23:47:23.5Z,1,REGULAR,2pt,Jump Shot,[],1630178,84.01773981603154,84.31372549019608,1610612755,7,7,2022-03-21T23:47:27Z,520000,172.0,98.0,1,right,MISS T. Maxey 19' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,,,,19.75,Missed,,,,,,,,,,,,,,,,
53,PT07M40.00S,2022-03-21T23:47:26.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,7,2022-03-21T23:47:27Z,530000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,
54,PT07M34.00S,2022-03-21T23:47:32.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,27.38173455978975,82.1078431372549,1610612748,7,10,2022-03-21T23:47:37Z,540000,-161.0,205.0,1,left,D. Robinson 26' 3PT pullup (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,26.03,Made,3.0,,,,,,,,,,J. Butler,202710.0,1.0,,,
56,PT07M22.00S,2022-03-21T23:47:46.8Z,1,REGULAR,foul,personal,[],200768,,,1610612755,7,10,2022-03-21T23:47:52Z,560000,,,0,,K. Lowry personal FOUL (1 PF),"[200768, 1627777]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,201246.0,1.0,0.0,Niang,1627777.0,,,,,,
58,PT07M08.00S,2022-03-21T23:48:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200794,95.18725361366623,45.833333333333336,1610612755,7,10,2022-03-21T23:50:32Z,580000,-21.0,-7.0,1,right,MISS P. Millsap reverse Layup,[200794],1610612755.0,PHI,reverse,,,Millsap,P. Millsap,,,,,,,,2.2,Missed,,,,,,,,,,,,,,,,
59,PT07M06.00S,2022-03-21T23:48:21.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,10,2022-03-21T23:48:25Z,590000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,
60,PT06M49.00S,2022-03-21T23:48:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.66425755584757,52.69607843137255,1610612748,7,12,2022-03-21T23:48:43Z,600000,-13.0,67.0,1,left,B. Adebayo 6' driving floating Jump Shot (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,,,,6.79,Made,2.0,,,,,,,,,,K. Lowry,200768.0,1.0,,,
62,PT06M36.00S,2022-03-21T23:48:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,93.2161629434954,50.98039215686275,1610612755,7,12,2022-03-21T23:51:29Z,620000,5.0,11.0,1,right,MISS T. Harris driving Layup - blocked,"[202699, 1628389]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,,1.23,Missed,,,,,,,,,,,,,,Adebayo,1628389.0,
63,PT06M36.00S,2022-03-21T23:48:52.0Z,1,REGULAR,block,,[],1628389,,,1610612755,7,12,2022-03-21T23:48:54Z,630000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M31.00S,2022-03-21T23:48:57.0Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612755,7,12,2022-03-21T23:49:01Z,640000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,
65,PT06M30.00S,2022-03-21T23:48:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630178,90.5880420499343,50.245098039215684,1610612755,9,12,2022-03-21T23:49:04Z,650000,1.0,36.0,1,right,T. Maxey driving finger roll Layup (4 PTS) (M. Thybulle 1 AST),"[1630178, 1629680]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,,,,3.6,Made,4.0,,,,,,,,,,M. Thybulle,1629680.0,1.0,,,
67,PT06M14.00S,2022-03-21T23:49:13.3Z,1,REGULAR,3pt,Jump Shot,[],200768,33.295006570302235,60.294117647058826,1610612748,9,15,2022-03-21T23:49:17Z,670000,-51.0,260.0,1,left,K. Lowry 26' 3PT pullup (5 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,26.55,Made,5.0,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-03-21T23:49:31.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627777,92.82194480946123,57.1078431372549,1610612755,11,15,2022-03-21T23:49:37Z,680000,36.0,15.0,1,right,G. Niang driving bank Hook (5 PTS),[1627777],1610612755.0,PHI,driving bank,,,Niang,G. Niang,,,,,,,,3.85,Made,5.0,,,,,,,,,,,,,,,
70,PT05M36.00S,2022-03-21T23:49:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,13.584099868593952,54.90196078431372,1610612748,11,17,2022-03-21T23:49:56Z,700000,-25.0,75.0,1,left,B. Adebayo 7' driving Layup (4 PTS) (D. Robinson 1 AST),"[1628389, 1629130]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,,,,7.91,Made,4.0,,,,,,,,,,D. Robinson,1629130.0,1.0,,,
72,PT05M31.00S,2022-03-21T23:49:57.9Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612755,11,17,2022-03-21T23:50:05Z,720000,,,0,,K. Lowry shooting personal FOUL (2 PF) (Maxey 2 FT),"[200768, 1630178]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,,,,,202053.0,2.0,0.0,Maxey,1630178.0,,,,,,
74,PT05M31.00S,2022-03-21T23:50:10.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,17,2022-03-21T23:50:10Z,740000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,out,[],1627777,,,1610612755,11,17,2022-03-21T23:52:57Z,750000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,out,[],200794,,,1610612755,11,17,2022-03-21T23:52:57Z,760000,,,0,,SUB out: P. Millsap,[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,out,[],200768,,,1610612755,11,17,2022-03-21T23:52:57Z,770000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,in,[],201599,,,1610612755,11,17,2022-03-21T23:52:57Z,780000,,,0,,SUB in: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,11,17,2022-03-21T23:52:57Z,790000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M31.00S,2022-03-21T23:52:37.3Z,1,REGULAR,substitution,in,[],1629639,,,1610612755,11,17,2022-03-21T23:52:57Z,800000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2022-03-21T23:53:26.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630178,,,1610612755,12,17,2022-03-21T23:53:26Z,810000,,,0,,T. Maxey Free Throw 1 of 2 (5 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
82,PT05M31.00S,2022-03-21T23:53:43.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630178,,,1610612755,13,17,2022-03-21T23:53:43Z,820000,,,0,,T. Maxey Free Throw 2 of 2 (6 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
83,PT05M14.00S,2022-03-21T23:54:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.619579500657039,54.411764705882355,1610612748,13,19,2022-03-21T23:54:08Z,830000,-22.0,10.0,1,left,T. Herro cutting Layup (2 PTS) (J. Butler 2 AST),"[1629639, 202710]",1610612748.0,MIA,cutting,,,Herro,T. Herro,,,,,,,,2.41,Made,2.0,,,,,,,,,,J. Butler,202710.0,2.0,,,
85,PT05M02.00S,2022-03-21T23:54:15.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202699,93.74178712220763,50.0,1610612755,15,19,2022-03-21T23:54:19Z,850000,0.0,6.0,1,right,T. Harris cutting DUNK (4 PTS) (M. Thybulle 2 AST),"[202699, 1629680]",1610612755.0,PHI,cutting,,,Harris,T. Harris,,,,,,,,0.63,Made,4.0,,,,,,,,,,M. Thybulle,1629680.0,2.0,,,
87,PT04M49.00S,2022-03-21T23:54:28.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,26.987516425755587,62.5,1610612748,15,19,2022-03-21T23:54:35Z,870000,-62.0,201.0,1,left,MISS B. Adebayo 21' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,21.07,Missed,,,,,,,,,,,,,,,,
88,PT04M46.00S,2022-03-21T23:54:31.4Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,15,19,2022-03-21T23:54:35Z,880000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,
89,PT04M30.00S,2022-03-21T23:54:47.5Z,1,REGULAR,3pt,Jump Shot,[],1629003,89.27398160315374,96.81372549019608,1610612755,18,19,2022-03-21T23:54:51Z,890000,234.0,48.0,1,right,S. Milton 3PT  (3 PTS) (T. Harris 2 AST),"[1629003, 202699]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,23.9,Made,3.0,,,,,,,,,,T. Harris,202699.0,2.0,,,
91,PT04M09.00S,2022-03-21T23:55:08.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,29.352825229960573,23.039215686274503,1610612748,18,19,2022-03-21T23:55:14Z,910000,135.0,223.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,26.09,Missed,,,,,,,,,,,,,,,,
92,PT04M04.00S,2022-03-21T23:55:13.7Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,18,19,2022-03-21T23:55:14Z,920000,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,
93,PT03M44.00S,2022-03-21T23:55:33.6Z,1,REGULAR,3pt,Jump Shot,[],1629003,64.96386333771353,54.411764705882355,1610612755,18,19,2022-03-21T23:55:38Z,930000,22.0,277.0,1,right,MISS S. Milton 27' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,27.77,Missed,,,,,,,,,,,,,,,,
94,PT03M40.00S,2022-03-21T23:55:37.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,18,19,2022-03-21T23:55:38Z,940000,,,0,,J. Butler REBOUND (Off:0 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,93.0,3.0,3.0,0.0,,,,,,,,,,,
