actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M18.00S,2022-04-09T17:12:37.9Z,1,REGULAR,block,,[],202699,,,1610612754,1,0,2022-04-09T17:12:40Z,160000,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M18.00S,2022-04-09T17:12:37.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,1,0,2022-04-09T17:12:43Z,170000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
18,PT11M18.00S,2022-04-09T17:12:42.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,1,0,2022-04-09T17:12:42Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M13.00S,2022-04-09T17:13:00.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629052,96.92838370565046,5.88235294117647,1610612754,1,3,2022-04-09T17:13:17Z,190000,-221.0,-24.0,1,right,O. Brissett 3PT  (3 PTS) (T. McConnell 1 AST),"[1629052, 204456]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,Made,,3.0,22.19,,,T. McConnell,204456.0,1.0,,,,,,
21,PT10M59.00S,2022-04-09T17:13:16.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,7.835085413929041,48.529411764705884,1610612755,3,3,2022-04-09T17:14:10Z,210000,7.0,21.0,1,left,J. Embiid turnaround Hook (3 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,,,,,,Made,,3.0,2.24,,,J. Harden,201935.0,1.0,,,,,,
23,PT10M59.00S,2022-04-09T17:13:20.1Z,1,REGULAR,foul,personal,['1freethrow'],1629052,,,1610612755,3,3,2022-04-09T17:13:42Z,230000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Embiid 1 FT),"[1629052, 203954]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,1627962.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
25,PT10M59.00S,2022-04-09T17:13:43.0Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,4,3,2022-04-09T17:13:43Z,250000,,,0,,J. Embiid Free Throw 1 of 1 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
26,PT10M40.00S,2022-04-09T17:14:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,94.82588699080158,53.92156862745098,1610612754,4,3,2022-04-09T17:14:05Z,260000,20.0,-4.0,1,right,MISS I. Jackson Layup,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,Missed,,,2.0,,,,,,,,,,,
27,PT10M38.00S,2022-04-09T17:14:02.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,3,2022-04-09T17:14:05Z,270000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,26.0,,,,,,,,1.0,1.0,0.0,,,
28,PT10M33.00S,2022-04-09T17:14:07.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201980,8.492115637319317,97.79411764705883,1610612755,4,3,2022-04-09T17:14:22Z,280000,-239.0,27.0,1,left,MISS D. Green 24' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,Missed,,,24.06,,,,,,,,,,,
29,PT10M31.00S,2022-04-09T17:14:09.6Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,4,3,2022-04-09T17:14:22Z,290000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,28.0,,,,,,,,2.0,1.0,1.0,,,
30,PT10M31.00S,2022-04-09T17:14:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612755,4,3,2022-04-09T17:14:35Z,300000,,,0,,B. Hield shooting personal FOUL (1 PF) (Embiid 2 FT),"[1627741, 203954]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,200832.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
32,PT10M31.00S,2022-04-09T17:14:39.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,5,3,2022-04-09T17:14:39Z,320000,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
33,PT10M31.00S,2022-04-09T17:15:01.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,6,3,2022-04-09T17:15:01Z,330000,,,0,,J. Embiid Free Throw 2 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
34,PT10M20.00S,2022-04-09T17:15:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,89.70105124835742,46.568627450980394,1610612754,6,3,2022-04-09T17:15:20Z,340000,-17.0,44.0,1,right,MISS O. Brissett driving finger roll Layup,[1629052],1610612754.0,IND,driving finger roll,,,Brissett,O. Brissett,,,,,,,,,,Missed,,,4.75,,,,,,,,,,,
36,PT10M20.00S,2022-04-09T17:15:13.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,3,2022-04-09T17:15:20Z,360000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,
37,PT10M20.00S,2022-04-09T17:15:20.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,6,3,2022-04-09T17:15:20Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT10M04.00S,2022-04-09T17:15:38.1Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612755,6,3,2022-04-09T17:20:04Z,380000,,,0,,J. Harden bad pass out-of-bounds TURNOVER (1 TO),[201935],1610612755.0,PHI,bad pass,,,Harden,J. Harden,,,,,1627962.0,,,,,,,,,,,,,,,,,1.0,,
39,PT09M51.00S,2022-04-09T17:15:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629052,72.48685939553219,13.970588235294118,1610612754,6,3,2022-04-09T17:16:00Z,390000,-180.0,206.0,1,right,MISS O. Brissett 27' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,Missed,,,27.37,,,,,,,,,,,
40,PT09M46.00S,2022-04-09T17:16:00.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,6,3,2022-04-09T17:16:00Z,400000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,39.0,,,,,,,,1.0,1.0,0.0,,,
41,PT09M43.00S,2022-04-09T17:16:04.9Z,1,REGULAR,foul,personal,[],1629052,,,1610612755,6,3,2022-04-09T17:16:14Z,410000,,,0,,O. Brissett personal FOUL (2 PF),"[1629052, 202699]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,1627962.0,2.0,0.0,Harris,202699.0,,,,,,,,,,,,,,,
43,PT09M43.00S,2022-04-09T17:16:16.1Z,1,REGULAR,substitution,out,[],1629052,,,1610612755,6,3,2022-04-09T17:16:22Z,430000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M43.00S,2022-04-09T17:16:16.1Z,1,REGULAR,substitution,in,[],1630678,,,1610612755,6,3,2022-04-09T17:16:22Z,440000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M33.00S,2022-04-09T17:16:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.075558475689881,50.49019607843137,1610612755,8,3,2022-04-09T17:16:43Z,450000,-2.0,-5.0,1,left,J. Harden driving finger roll Layup (2 PTS),[201935],1610612755.0,PHI,driving finger roll,,,Harden,J. Harden,,,,,,,,,,Made,,2.0,0.54,,,,,,,,,,,
46,PT09M17.00S,2022-04-09T17:16:54.1Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612754,8,3,2022-04-09T17:16:58Z,460000,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 1630178]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,1.0,Maxey,1630178.0
47,PT09M17.00S,2022-04-09T17:16:54.1Z,1,REGULAR,steal,,[],1630178,,,1610612755,8,3,2022-04-09T17:16:56Z,470000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
48,PT09M14.00S,2022-04-09T17:16:58.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,5.601182654402102,50.245098039215684,1610612755,10,3,2022-04-09T17:17:13Z,480000,-1.0,0.0,1,left,T. Harris running DUNK (2 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,,,,,,Made,,2.0,0.12,,,T. Maxey,1630178.0,1.0,,,,,,
50,PT09M14.00S,2022-04-09T17:17:08.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,10,3,2022-04-09T17:17:08Z,500000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M52.00S,2022-04-09T17:20:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630543,86.94152431011827,53.92156862745098,1610612754,10,3,2022-04-09T17:20:29Z,510000,20.0,70.0,1,right,MISS I. Jackson 7' Jump Shot,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,Missed,,,7.29,,,,,,,,,,,
52,PT08M48.00S,2022-04-09T17:20:27.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,3,2022-04-09T17:20:29Z,520000,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,51.0,,,,,,,,3.0,2.0,1.0,,,
53,PT08M42.00S,2022-04-09T17:20:32.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201980,6.389618922470433,4.166666666666666,1610612755,13,3,2022-04-09T17:20:45Z,530000,229.0,8.0,1,left,D. Green 3PT running (3 PTS) (T. Maxey 2 AST),"[201980, 1630178]",1610612755.0,PHI,running,,,Green,D. Green,,,,,,,,,,Made,,3.0,22.93,,,T. Maxey,1630178.0,2.0,,,,,,
55,PT08M22.00S,2022-04-09T17:20:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630678,87.72996057818659,43.13725490196079,1610612754,13,3,2022-04-09T17:20:58Z,550000,-34.0,63.0,1,right,MISS T. Taylor 7' Jump Shot,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,Missed,,,7.16,,,,,,,,,,,
56,PT08M19.00S,2022-04-09T17:20:56.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,13,3,2022-04-09T17:20:58Z,560000,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,55.0,,,,,,,,4.0,3.0,1.0,,,
57,PT08M09.00S,2022-04-09T17:21:05.6Z,1,REGULAR,3pt,Jump Shot,[],201980,4.28712220762155,97.30392156862744,1610612755,13,3,2022-04-09T17:21:17Z,570000,-237.0,-12.0,1,left,MISS D. Green 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,Missed,,,23.68,,,,,,,,,,,
58,PT08M07.00S,2022-04-09T17:21:08.4Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,13,3,2022-04-09T17:21:08Z,580000,,,0,,J. Embiid REBOUND (Off:2 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,57.0,,,,,,,,5.0,3.0,2.0,,,
59,PT08M06.00S,2022-04-09T17:21:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,8.492115637319317,45.588235294117645,1610612755,13,3,2022-04-09T17:21:20Z,590000,22.0,27.0,1,left,MISS J. Embiid Layup,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,3.51,,,,,,,,,,,
60,PT08M02.00S,2022-04-09T17:21:13.4Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,13,3,2022-04-09T17:21:13Z,600000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,59.0,,,,,,,,1.0,1.0,0.0,,,
61,PT08M01.00S,2022-04-09T17:21:14.1Z,1,REGULAR,turnover,bad pass,[],1630543,,,1610612754,13,3,2022-04-09T17:21:27Z,610000,,,0,,I. Jackson bad pass TURNOVER (1 TO),"[1630543, 201980]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,1.0,Green,201980.0
62,PT08M01.00S,2022-04-09T17:21:14.1Z,1,REGULAR,steal,,[],201980,,,1610612755,13,3,2022-04-09T17:21:17Z,620000,,,0,,D. Green STEAL (1 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M56.00S,2022-04-09T17:21:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,6.783837056504599,47.05882352941176,1610612755,15,3,2022-04-09T17:21:30Z,630000,15.0,11.0,1,left,J. Embiid Layup (8 PTS) (D. Green 1 AST),"[203954, 201980]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,8.0,1.85,,,D. Green,201980.0,1.0,,,,,,
65,PT07M53.00S,2022-04-09T17:21:29.6Z,1,REGULAR,foul,personal,[],1630178,,,1610612754,15,3,2022-04-09T17:21:39Z,650000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1630169]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,200832.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
67,PT07M48.00S,2022-04-09T17:21:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,92.19776609724047,44.85294117647059,1610612754,15,5,2022-04-09T17:21:55Z,670000,-26.0,21.0,1,right,I. Jackson alley-oop Layup (2 PTS) (T. McConnell 2 AST),"[1630543, 204456]",1610612754.0,IND,alley-oop,,,Jackson,I. Jackson,,,,,,,,,,Made,,2.0,3.31,,,T. McConnell,204456.0,2.0,,,,,,
69,PT07M48.00S,2022-04-09T17:21:54.3Z,1,REGULAR,foul,personal,['1freethrow'],202699,,,1610612754,15,5,2022-04-09T17:22:07Z,690000,,,0,,T. Harris shooting personal FOUL (1 PF) (Jackson 1 FT),"[202699, 1630543]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,1628953.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,,,,,,,
71,PT07M48.00S,2022-04-09T17:22:28.1Z,1,REGULAR,freethrow,1 of 1,[],1630543,,,1610612754,15,6,2022-04-09T17:22:28Z,710000,,,0,,I. Jackson Free Throw 1 of 1 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
72,PT07M27.00S,2022-04-09T17:22:49.7Z,1,REGULAR,3pt,Jump Shot,[],201935,23.209592641261498,89.4607843137255,1610612755,15,6,2022-04-09T17:22:54Z,720000,-197.0,166.0,1,left,MISS J. Harden 25' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Missed,,,25.77,,,,,,,,,,,
73,PT07M24.00S,2022-04-09T17:22:52.7Z,1,REGULAR,rebound,offensive,[],201980,,,1610612755,15,6,2022-04-09T17:22:54Z,730000,,,0,,D. Green REBOUND (Off:1 Def:0),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,72.0,,,,,,,,1.0,0.0,1.0,,,
74,PT07M18.00S,2022-04-09T17:22:58.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202699,21.50131406044678,49.01960784313725,1610612755,17,6,2022-04-09T17:23:02Z,740000,5.0,150.0,1,left,T. Harris 14' pullup Jump Shot (4 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,,,,,,Made,,4.0,14.97,,,J. Embiid,203954.0,1.0,,,,,,
76,PT07M00.00S,2022-04-09T17:23:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630543,95.74572930354796,2.450980392156863,1610612754,17,9,2022-04-09T17:23:21Z,760000,-238.0,-13.0,1,right,I. Jackson 3PT  (6 PTS) (T. McConnell 3 AST),"[1630543, 204456]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,Made,,6.0,23.8,,,T. McConnell,204456.0,3.0,,,,,,
78,PT06M47.00S,2022-04-09T17:23:36.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,17,9,2022-04-09T17:23:36Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M35.00S,2022-04-09T17:23:57.1Z,1,REGULAR,3pt,Jump Shot,[],202699,11.645860709592641,96.81372549019608,1610612755,20,9,2022-04-09T17:24:05Z,790000,-234.0,57.0,1,left,T. Harris 24' 3PT step back (7 PTS) (J. Harden 2 AST),"[202699, 201935]",1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,,,,,,Made,,7.0,24.09,,,J. Harden,201935.0,2.0,,,,,,
81,PT06M21.00S,2022-04-09T17:24:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,20,9,2022-04-09T17:24:20Z,810000,,,0,,T. Maxey shooting personal FOUL (2 PF) (Haliburton 2 FT),"[1630178, 1630169]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,1628953.0,2.0,0.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
83,PT06M21.00S,2022-04-09T17:24:40.9Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,20,9,2022-04-09T17:24:40Z,830000,,,0,,MISS T. Haliburton Free Throw 1 of 2,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Missed,,,,,,,,,,,,,,
84,PT06M21.00S,2022-04-09T17:24:40.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,20,9,2022-04-09T17:24:40Z,840000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,
85,PT06M21.00S,2022-04-09T17:24:43.2Z,1,REGULAR,substitution,out,[],1630178,,,1610612754,20,9,2022-04-09T17:24:51Z,850000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M21.00S,2022-04-09T17:24:43.2Z,1,REGULAR,substitution,in,[],1629003,,,1610612754,20,9,2022-04-09T17:24:51Z,860000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M21.00S,2022-04-09T17:25:05.2Z,1,REGULAR,substitution,out,[],1630543,,,1610612754,20,9,2022-04-09T17:25:14Z,870000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M21.00S,2022-04-09T17:25:05.2Z,1,REGULAR,substitution,in,[],1630613,,,1610612754,20,9,2022-04-09T17:25:14Z,880000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M21.00S,2022-04-09T17:25:26.4Z,1,REGULAR,freethrow,2 of 2,[],1630169,,,1610612754,20,10,2022-04-09T17:25:26Z,890000,,,0,,T. Haliburton Free Throw 2 of 2 (1 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
90,PT06M05.00S,2022-04-09T17:25:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,18.873193166885677,42.8921568627451,1610612755,22,10,2022-04-09T17:25:47Z,900000,36.0,125.0,1,left,T. Harris 12' Jump Shot (9 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,Made,,9.0,12.98,,,,,,,,,,,
91,PT05M53.00S,2022-04-09T17:25:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630678,86.41590013140605,38.970588235294116,1610612754,22,12,2022-04-09T17:26:00Z,910000,-55.0,75.0,1,right,T. Taylor 9' floating Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1630678, 1630169]",1610612754.0,IND,floating,,,Taylor,T. Taylor,,,,,,,,,,Made,,2.0,9.32,,,T. Haliburton,1630169.0,1.0,,,,,,
93,PT05M40.00S,2022-04-09T17:26:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,4.418528252299605,48.03921568627451,1610612755,24,12,2022-04-09T17:26:12Z,930000,10.0,-11.0,1,left,J. Embiid driving Layup (10 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,,,,Made,,10.0,1.47,,,,,,,,,,,
94,PT05M30.00S,2022-04-09T17:26:17.6Z,1,REGULAR,2pt,Jump Shot,[],1627741,94.82588699080158,21.323529411764707,1610612754,24,12,2022-04-09T17:26:22Z,940000,-143.0,-4.0,1,right,MISS B. Hield 14' Jump Shot,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,Missed,,,14.35,,,,,,,,,,,
95,PT05M27.00S,2022-04-09T17:26:20.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,24,12,2022-04-09T17:26:22Z,950000,,,0,,J. Embiid REBOUND (Off:2 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,94.0,,,,,,,,6.0,4.0,2.0,,,
96,PT05M17.00S,2022-04-09T17:26:30.2Z,1,REGULAR,3pt,Jump Shot,[],201935,26.757555847568987,12.990196078431374,1610612755,24,12,2022-04-09T17:26:34Z,960000,185.0,199.0,1,left,MISS J. Harden 27' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Missed,,,27.17,,,,,,,,,,,
