actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M00.00S,2021-12-16T00:12:17.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,2,0,2021-12-16T00:12:17Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2021-12-16T00:12:35.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203473,92.85479632063075,73.0392156862745,1610612748,2,2,2021-12-16T00:12:41Z,160000,115.0,15.0,1,right,D. Dedmon 11' fadeaway Jump Shot (2 PTS) (K. Lowry 1 AST),"[203473, 200768]",1610612748.0,MIA,fadeaway,,,Dedmon,D. Dedmon,,,,,,,,11.61,Made,,,,,2.0,,,K. Lowry,200768.0,1.0,,,,,
18,PT10M38.00S,2021-12-16T00:12:55.1Z,1,REGULAR,foul,offensive,[],1629680,,,1610612755,2,2,2021-12-16T00:13:04Z,180000,,,0,,M. Thybulle charge offensive FOUL (1 PF),"[1629680, 203473]",1610612755.0,PHI,charge,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Dedmon,203473.0
20,PT10M38.00S,2021-12-16T00:12:55.1Z,1,REGULAR,turnover,offensive foul,[],1629680,,,1610612755,2,2,2021-12-16T00:12:55Z,200000,,,0,,M. Thybulle offensive foul TURNOVER (1 TO),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,1.0,,,,,,,,,,,,,,,200832.0,,,,
21,PT10M21.00S,2021-12-16T00:13:20.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,86.94152431011827,2.941176470588235,1610612748,2,2,2021-12-16T00:13:25Z,210000,-235.0,70.0,1,right,MISS K. Lowry 24' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,24.55,Missed,,,,,,,,,,,,,,,
22,PT10M19.00S,2021-12-16T00:13:22.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,2,2021-12-16T00:13:28Z,220000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M10.00S,2021-12-16T00:13:32.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,6.389618922470433,46.81372549019608,1610612755,4,2,2021-12-16T00:13:38Z,230000,16.0,8.0,1,left,T. Harris driving Hook (2 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,,1.76,Made,,,,,2.0,,,J. Embiid,203954.0,1.0,,,,,
25,PT09M59.00S,2021-12-16T00:13:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629216,76.16622864651774,89.4607843137255,1610612748,4,2,2021-12-16T00:15:48Z,250000,197.0,172.0,1,right,MISS G. Vincent 26' step back 3PT,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,,,,26.14,Missed,,,,,,,,,,,,,,,
26,PT09M57.00S,2021-12-16T00:13:45.1Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,4,2,2021-12-16T00:13:53Z,260000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,
27,PT09M53.00S,2021-12-16T00:13:48.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629216,77.61169513797634,91.17647058823529,1610612748,4,5,2021-12-16T00:13:56Z,270000,206.0,158.0,1,right,G. Vincent 25' 3PT  (3 PTS) (P. Tucker 1 AST),"[1629216, 200782]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,25.95,Made,,,,,3.0,,,P. Tucker,200782.0,1.0,,,,,
29,PT09M41.00S,2021-12-16T00:14:03.5Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612755,4,5,2021-12-16T00:14:09Z,290000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629216, 203954]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Embiid,203954.0
31,PT09M41.00S,2021-12-16T00:14:35.3Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,5,5,2021-12-16T00:14:35Z,310000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
32,PT09M41.00S,2021-12-16T00:14:52.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,6,5,2021-12-16T00:14:52Z,320000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
33,PT09M31.00S,2021-12-16T00:15:06.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,6,5,2021-12-16T00:15:06Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M30.00S,2021-12-16T00:15:26.5Z,1,REGULAR,foul,personal,['2freethrow'],203552,,,1610612748,6,5,2021-12-16T00:15:33Z,340000,,,0,,S. Curry shooting personal FOUL (1 PF) (Vincent 2 FT),"[203552, 1629216]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Vincent,1629216.0
36,PT09M30.00S,2021-12-16T00:15:53.4Z,1,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,6,6,2021-12-16T00:16:11Z,360000,,,0,,G. Vincent Free Throw 1 of 2 (4 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
37,PT09M30.00S,2021-12-16T00:15:53.4Z,1,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,6,6,2021-12-16T00:16:11Z,370000,,,0,,MISS G. Vincent Free Throw 2 of 2,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,Missed,,,,,,,,,,,,,,,
38,PT09M28.00S,2021-12-16T00:15:55.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,6,2021-12-16T00:16:11Z,380000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,
39,PT09M21.00S,2021-12-16T00:16:18.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,6,6,2021-12-16T00:16:18Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M11.00S,2021-12-16T00:16:41.0Z,1,REGULAR,3pt,Jump Shot,[],202699,26.363337713534822,81.86274509803921,1610612755,9,6,2021-12-16T00:16:44Z,400000,-159.0,195.0,1,left,T. Harris 25' 3PT  (5 PTS) (S. Curry 1 AST),"[202699, 203552]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,25.2,Made,,,,,5.0,,,S. Curry,203552.0,1.0,,,,,
42,PT09M00.00S,2021-12-16T00:16:52.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,68.28186596583443,63.48039215686274,1610612748,9,6,2021-12-16T00:16:56Z,420000,67.0,246.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,25.48,Missed,,,,,,,,,,,,,,,
43,PT08M58.00S,2021-12-16T00:16:54.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,6,2021-12-16T00:16:56Z,430000,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,
44,PT08M53.00S,2021-12-16T00:16:59.6Z,1,REGULAR,3pt,Jump Shot,[],203954,31.488173455978973,43.627450980392155,1610612755,9,6,2021-12-16T00:17:05Z,440000,32.0,243.0,1,left,MISS J. Embiid 24' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,,,,24.56,Missed,,,,,,,,,,,,,,,
45,PT08M50.00S,2021-12-16T00:17:02.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,9,6,2021-12-16T00:17:05Z,450000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT08M45.00S,2021-12-16T00:17:07.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,68.41327201051249,60.29411764705882,1610612748,9,9,2021-12-16T00:17:13Z,460000,51.0,244.0,1,right,D. Robinson 24' 3PT  (3 PTS) (K. Lowry 2 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,24.98,Made,,,,,3.0,,,K. Lowry,200768.0,2.0,,,,,
48,PT08M31.00S,2021-12-16T00:17:21.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.86005256241787,83.33333333333334,1610612755,9,9,2021-12-16T00:17:25Z,480000,-167.0,219.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,27.51,Missed,,,,,,,,,,,,,,,
49,PT08M29.00S,2021-12-16T00:17:23.3Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,9,9,2021-12-16T00:17:25Z,490000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,
50,PT08M14.00S,2021-12-16T00:17:41.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,9,9,2021-12-16T00:17:41Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M11.00S,2021-12-16T00:17:57.0Z,1,REGULAR,2pt,Jump Shot,[],203473,87.33574244415243,71.56862745098039,1610612748,9,9,2021-12-16T00:18:03Z,510000,108.0,67.0,1,right,MISS D. Dedmon 12' bank Shot,[203473],1610612748.0,MIA,bank,,,Dedmon,D. Dedmon,,,,,,,,12.67,Missed,,,,,,,,,,,,,,,
52,PT08M09.00S,2021-12-16T00:17:59.0Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612748,9,9,2021-12-16T00:18:03Z,520000,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,
53,PT08M07.00S,2021-12-16T00:18:01.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629130,74.98357424441524,45.83333333333333,1610612748,9,9,2021-12-16T00:18:06Z,530000,-21.0,183.0,1,right,MISS D. Robinson 18' pullup Shot,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,18.39,Missed,,,,,,,,,,,,,,,
54,PT08M07.00S,2021-12-16T00:18:01.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,9,2021-12-16T00:18:06Z,540000,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,53.0,4.0,3.0,1.0,,,,,,,,,,,
55,PT07M59.00S,2021-12-16T00:18:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,5.863994743758213,55.14705882352941,1610612755,9,9,2021-12-16T00:18:13Z,550000,-26.0,3.0,1,left,MISS T. Harris driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,,,,2.58,Missed,,,,,,,,,,,,,,,
56,PT07M57.00S,2021-12-16T00:18:11.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,9,9,2021-12-16T00:18:13Z,560000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,,
57,PT07M44.00S,2021-12-16T00:18:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,89.17542706964521,43.872549019607845,1610612748,9,9,2021-12-16T00:18:28Z,570000,-31.0,49.0,1,right,MISS G. Vincent Jump Shot,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,5.8,Missed,,,,,,,,,,,,,,,
59,PT07M44.00S,2021-12-16T00:18:24.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,9,2021-12-16T00:18:28Z,590000,,,0,,J. Embiid REBOUND (Off:1 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,57.0,5.0,4.0,1.0,,,,,,,,,,,
60,PT07M44.00S,2021-12-16T00:18:30.1Z,1,REGULAR,foul,personal,[],203473,,,1610612755,9,9,2021-12-16T00:18:44Z,600000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 203954]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Embiid,203954.0
62,PT07M44.00S,2021-12-16T00:18:39.5Z,1,REGULAR,substitution,out,[],200782,,,1610612755,9,9,2021-12-16T00:18:51Z,620000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M44.00S,2021-12-16T00:18:39.5Z,1,REGULAR,substitution,in,[],1629644,,,1610612755,9,9,2021-12-16T00:18:51Z,630000,,,0,,SUB in: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M28.00S,2021-12-16T00:19:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,4.944152431011826,50.49019607843137,1610612755,9,9,2021-12-16T00:19:14Z,640000,-2.0,-6.0,1,left,MISS J. Embiid finger roll Layup - blocked,"[203954, 1629644]",1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,,,,0.65,Missed,,,,,,Okpala,1629644.0,,,,,,,,
65,PT07M28.00S,2021-12-16T00:19:08.6Z,1,REGULAR,block,,[],1629644,,,1610612755,9,9,2021-12-16T00:19:10Z,650000,,,0,,K. Okpala BLOCK (1 BLK),[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M26.00S,2021-12-16T00:19:10.6Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,9,9,2021-12-16T00:19:14Z,660000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,
67,PT07M18.00S,2021-12-16T00:19:18.6Z,1,REGULAR,2pt,Jump Shot,[],200768,73.66951379763469,47.30392156862745,1610612748,9,11,2021-12-16T00:19:23Z,670000,-13.0,195.0,1,right,K. Lowry 19' pullup Jump Shot (2 PTS) (D. Dedmon 1 AST),"[200768, 203473]",1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,19.55,Made,,,,,2.0,,,D. Dedmon,203473.0,1.0,,,,,
69,PT06M51.00S,2021-12-16T00:19:44.9Z,1,REGULAR,3pt,Jump Shot,[],203954,23.340998685939553,14.460784313725492,1610612755,9,11,2021-12-16T00:19:55Z,690000,178.0,167.0,1,left,MISS J. Embiid 24' step back 3PT,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,,,,24.38,Missed,,,,,,,,,,,,,,,
70,PT06M50.00S,2021-12-16T00:19:49.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,9,11,2021-12-16T00:19:49Z,700000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,
71,PT06M50.00S,2021-12-16T00:19:50.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,9,11,2021-12-16T00:19:50Z,710000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M50.00S,2021-12-16T00:19:54.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,9,11,2021-12-16T00:19:54Z,720000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2021-12-16T00:23:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,73.14388961892247,10.784313725490197,1610612748,9,14,2021-12-16T00:23:22Z,730000,-196.0,200.0,1,right,D. Robinson 28' 3PT  (6 PTS) (D. Dedmon 2 AST),"[1629130, 203473]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,28.0,Made,,,,,6.0,,,D. Dedmon,203473.0,2.0,,,,,
75,PT06M13.00S,2021-12-16T00:23:38.1Z,1,REGULAR,foul,technical,['1freethrow'],203473,,,1610612755,9,14,2021-12-16T00:23:45Z,750000,,,0,,D. Dedmon defensive-3-second technical FOUL (1 Tech),[203473],1610612748.0,MIA,defensive-3-second,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,200832.0,1.0,1.0,,
76,PT06M13.00S,2021-12-16T00:24:00.0Z,1,REGULAR,freethrow,1 of 1,[],203552,,,1610612755,9,14,2021-12-16T00:24:02Z,760000,,,0,,MISS S. Curry technical Free Throw 1 of 1,[203552],1610612755.0,PHI,technical,,,Curry,S. Curry,,,,,,,,,Missed,,,,,,,,,,,,,,,
77,PT06M13.00S,2021-12-16T00:24:00.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,9,14,2021-12-16T00:24:02Z,770000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,
78,PT06M13.00S,2021-12-16T00:24:03.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,9,14,2021-12-16T00:24:06Z,780000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2021-12-16T00:24:03.5Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,9,14,2021-12-16T00:24:06Z,790000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M00.00S,2021-12-16T00:24:30.2Z,1,REGULAR,2pt,Jump Shot,[],203954,15.850854139290407,71.81372549019608,1610612755,11,14,2021-12-16T00:24:34Z,800000,-109.0,96.0,1,left,J. Embiid 14' Jump Shot (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,14.57,Made,,,,,6.0,,,,,,,,,,
81,PT05M47.00S,2021-12-16T00:24:43.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203473,91.67214191852825,55.88235294117647,1610612748,11,16,2021-12-16T00:24:47Z,810000,29.0,26.0,1,right,D. Dedmon turnaround Hook (4 PTS) (K. Lowry 3 AST),"[203473, 200768]",1610612748.0,MIA,turnaround,,,Dedmon,D. Dedmon,,,,,,,,3.91,Made,,,,,4.0,,,K. Lowry,200768.0,3.0,,,,,
83,PT05M32.00S,2021-12-16T00:24:57.4Z,1,REGULAR,3pt,Jump Shot,[],1629680,5.469776609724048,4.411764705882353,1610612755,11,16,2021-12-16T00:25:02Z,830000,228.0,-1.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,22.79,Missed,,,,,,,,,,,,,,,
84,PT05M29.00S,2021-12-16T00:25:00.4Z,1,REGULAR,rebound,defensive,[],1629644,,,1610612748,11,16,2021-12-16T00:25:02Z,840000,,,0,,K. Okpala REBOUND (Off:0 Def:1),[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,
85,PT05M21.00S,2021-12-16T00:25:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612748,11,16,2021-12-16T00:25:15Z,850000,,,0,,M. Thybulle shooting personal FOUL (2 PF) (Robinson 2 FT),"[1629680, 1629130]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,203593.0,2.0,0.0,Robinson,1629130.0
87,PT05M21.00S,2021-12-16T00:25:36.2Z,1,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,11,17,2021-12-16T00:25:36Z,870000,,,0,,D. Robinson Free Throw 1 of 2 (7 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,Made,,,,,7.0,,,,,,,,,,
88,PT05M21.00S,2021-12-16T00:25:36.9Z,1,REGULAR,substitution,out,[],1629680,,,1610612748,11,17,2021-12-16T00:25:44Z,880000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M21.00S,2021-12-16T00:25:36.9Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,11,17,2021-12-16T00:25:44Z,890000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M21.00S,2021-12-16T00:25:36.9Z,1,REGULAR,substitution,in,[],201980,,,1610612748,11,17,2021-12-16T00:25:44Z,900000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M21.00S,2021-12-16T00:25:36.9Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,11,17,2021-12-16T00:25:44Z,910000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M21.00S,2021-12-16T00:26:00.8Z,1,REGULAR,freethrow,2 of 2,[],1629130,,,1610612748,11,18,2021-12-16T00:26:00Z,920000,,,0,,D. Robinson Free Throw 2 of 2 (8 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,Made,,,,,8.0,,,,,,,,,,
93,PT05M03.00S,2021-12-16T00:26:20.1Z,1,REGULAR,3pt,Jump Shot,[],201980,5.206964520367937,5.147058823529411,1610612755,11,18,2021-12-16T00:26:23Z,930000,224.0,-4.0,1,left,MISS D. Green 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,22.43,Missed,,,,,,,,,,,,,,,
