actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
18,PT10M39.00S,2023-11-09T01:12:43.1Z,1,REGULAR,block,,[],201142,,,1610612741,2,5,2023-11-09T01:12:45Z,180000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612756.0,PHX,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2023-11-09T01:12:43.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,2,5,2023-11-09T01:12:48Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,17.0,,,,,,,,,,,,,,
21,PT10M25.00S,2023-11-09T01:13:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.64323258869908,49.26470588235294,1610612756,2,7,2023-11-09T01:13:15Z,210000,False,-4.0,7.0,1,right,J. Nurkic Layup (4 PTS) (B. Beal 2 AST),"[203994, 203078]",1610612756.0,PHX,,,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,Nurkic,J. Nurkic,B. Beal,203078.0,2.0,,,,,,,,,,,,,,,
23,PT10M16.00S,2023-11-09T01:13:20.6Z,1,REGULAR,3pt,Jump Shot,[],202696,32.802233902759525,35.53921568627451,1610612741,2,7,2023-11-09T01:13:24Z,230000,False,72.0,256.0,1,left,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,26.58,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2023-11-09T01:13:22.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,2,7,2023-11-09T01:13:24Z,240000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Center,,,,Allen,G. Allen,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT10M04.00S,2023-11-09T01:13:32.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,94.1688567674113,49.01960784313725,1610612756,2,9,2023-11-09T01:13:39Z,250000,False,-5.0,2.0,1,right,K. Durant cutting DUNK (2 PTS) (J. Nurkic 2 AST),"[201142, 203994]",1610612756.0,PHX,cutting,,,,,,Restricted Area,0-8 Center,0.54,Made,2.0,Durant,K. Durant,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,,
27,PT10M03.00S,2023-11-09T01:13:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,2,9,2023-11-09T01:13:37Z,270000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2023-11-09T01:16:47.7Z,1,REGULAR,2pt,Jump Shot,[],201942,13.354139290407357,23.52941176470588,1610612741,2,9,2023-11-09T01:17:06Z,280000,False,132.0,73.0,1,left,MISS D. DeRozan 15' turnaround fadeaway Shot - blocked,"[201942, 1628966]",1610612741.0,CHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,15.12,Missed,,DeRozan,D. DeRozan,,,,,,,,Bates-Diop,1628966.0,,,,,,,,,
29,PT09M46.00S,2023-11-09T01:16:47.7Z,1,REGULAR,block,,[],1628966,,,1610612741,2,9,2023-11-09T01:16:50Z,290000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612756.0,PHX,,,,,,,Mid-Range,8-16 Right,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2023-11-09T01:16:50.7Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612756,2,9,2023-11-09T01:16:51Z,300000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612756.0,PHX,,,,,,,Mid-Range,8-16 Right,,,,Bates-Diop,K. Bates-Diop,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT09M34.00S,2023-11-09T01:17:06.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,71.43561103810775,17.15686274509804,1610612756,2,9,2023-11-09T01:17:15Z,310000,False,-164.0,216.0,1,right,MISS G. Allen 27' 3PT,[1628960],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Left Center,27.13,Missed,,Allen,G. Allen,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2023-11-09T01:17:09.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,2,9,2023-11-09T01:17:15Z,320000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,31.0,,,,,,,,,,,,,,
34,PT09M21.00S,2023-11-09T01:17:20.0Z,1,REGULAR,2pt,Jump Shot,[],201942,25.04927726675427,30.637254901960787,1610612741,2,9,2023-11-09T01:17:24Z,340000,False,97.0,183.0,1,left,MISS D. DeRozan 20' Jump Shot,[201942],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right Center,20.7,Missed,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
35,PT09M18.00S,2023-11-09T01:17:23.0Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,2,9,2023-11-09T01:17:24Z,350000,False,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612756.0,PHX,,,,,,,Mid-Range,16-24 Right Center,,,,Allen,G. Allen,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT09M10.00S,2023-11-09T01:17:30.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,94.03745072273325,48.03921568627451,1610612756,2,11,2023-11-09T01:17:35Z,360000,False,-10.0,4.0,1,right,J. Nurkic cutting DUNK (6 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,cutting,,,,,,Restricted Area,0-8 Center,1.04,Made,6.0,Nurkic,J. Nurkic,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
38,PT08M49.00S,2023-11-09T01:17:51.6Z,1,REGULAR,2pt,Jump Shot,[],1629632,15.850854139290407,69.85294117647058,1610612741,2,11,2023-11-09T01:17:56Z,380000,False,-99.0,96.0,1,left,MISS C. White 13' driving floating Shot,[1629632],1610612741.0,CHI,driving floating,,,,,,Mid-Range,8-16 Left,13.85,Missed,,White,C. White,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2023-11-09T01:17:53.6Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612756,2,11,2023-11-09T01:17:56Z,390000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:2),[1628966],1610612756.0,PHX,,,,,,,Mid-Range,8-16 Left,,,,Bates-Diop,K. Bates-Diop,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,
41,PT08M34.00S,2023-11-09T01:18:19.3Z,1,REGULAR,3pt,Jump Shot,[],203078,96.00854139290408,5.147058823529411,1610612756,2,14,2023-11-09T01:18:24Z,410000,False,-224.0,-15.0,1,right,B. Beal 3PT  (3 PTS) (K. Durant 2 AST),"[203078, 201142]",1610612756.0,PHX,,,,,,,Left Corner 3,24+ Left,22.48,Made,3.0,Beal,B. Beal,K. Durant,201142.0,2.0,,,,,,,,,,,,,,,
43,PT08M11.00S,2023-11-09T01:18:42.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.12023653088042,49.50980392156863,1610612741,4,14,2023-11-09T01:18:46Z,430000,False,2.0,52.0,1,left,N. Vucevic driving Hook (4 PTS) (C. White 2 AST),"[202696, 1629632]",1610612741.0,CHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,4.0,Vucevic,N. Vucevic,C. White,1629632.0,2.0,,,,,,,,,,,,,,,
45,PT07M54.00S,2023-11-09T01:18:59.4Z,1,REGULAR,3pt,Jump Shot,[],203078,78.79434954007884,11.27450980392157,1610612756,4,17,2023-11-09T01:19:05Z,450000,False,-194.0,147.0,1,right,B. Beal 24' 3PT  (6 PTS) (G. Allen 1 AST),"[203078, 1628960]",1610612756.0,PHX,,,,,,,Above the Break 3,24+ Left Center,24.3,Made,6.0,Beal,B. Beal,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,,
47,PT07M40.00S,2023-11-09T01:19:13.4Z,1,REGULAR,3pt,Jump Shot,[],1628470,3.3672798948751645,95.58823529411765,1610612741,4,17,2023-11-09T01:19:20Z,470000,False,-228.0,-21.0,1,left,MISS T. Craig 3PT,[1628470],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,22.88,Missed,,Craig,T. Craig,,,,,,,,,,,,,,,,,,
48,PT07M38.00S,2023-11-09T01:19:15.4Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,4,17,2023-11-09T01:19:20Z,480000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,,,,Left Corner 3,24+ Left,,,,Beal,B. Beal,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT07M36.00S,2023-11-09T01:19:19.9Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612756,4,17,2023-11-09T01:19:31Z,490000,False,,,0,,C. White shooting personal FOUL (1 PF) (Durant 2 FT),"[1629632, 201142]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,White,C. White,,,,,,,,,,1629178.0,1.0,0.0,Durant,201142.0,,,,
51,PT07M36.00S,2023-11-09T01:19:46.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201142,,,1610612756,4,18,2023-11-09T01:19:46Z,510000,False,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612756.0,PHX,,,,,,,,,,Made,3.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,
52,PT07M36.00S,2023-11-09T01:19:48.1Z,1,REGULAR,substitution,out,[],201942,,,1610612756,4,18,2023-11-09T01:19:58Z,520000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2023-11-09T01:19:48.1Z,1,REGULAR,substitution,in,[],1627936,,,1610612756,4,18,2023-11-09T01:19:58Z,530000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,
54,PT07M36.00S,2023-11-09T01:20:06.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201142,,,1610612756,4,19,2023-11-09T01:20:06Z,540000,False,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612756.0,PHX,,,,,,,,,,Made,4.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,
55,PT07M22.00S,2023-11-09T01:20:22.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,31.750985545335087,47.05882352941176,1610612741,4,19,2023-11-09T01:20:28Z,550000,False,15.0,246.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,24.64,Missed,,White,C. White,,,,,,,,,,,,,,,,,,
56,PT07M19.00S,2023-11-09T01:20:25.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,4,19,2023-11-09T01:20:28Z,560000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Center,,,,Nurkic,J. Nurkic,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,
57,PT07M10.00S,2023-11-09T01:20:34.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.54467805519053,65.68627450980392,1610612756,4,19,2023-11-09T01:20:56Z,570000,False,78.0,243.0,1,right,MISS G. Allen 25' step back 3PT,[1628960],1610612756.0,PHX,step back,,,,,,Above the Break 3,24+ Center,25.55,Missed,,Allen,G. Allen,,,,,,,,,,,,,,,,,,
58,PT07M07.00S,2023-11-09T01:20:38.2Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,4,19,2023-11-09T01:20:38Z,580000,False,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612756.0,PHX,,,,,,,Above the Break 3,24+ Center,,,,Durant,K. Durant,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,
59,PT06M59.00S,2023-11-09T01:20:45.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203078,91.80354796320631,75.24509803921569,1610612756,4,19,2023-11-09T01:20:49Z,590000,False,126.0,25.0,1,right,MISS B. Beal 12' fadeaway Shot,[203078],1610612756.0,PHX,fadeaway,,,,,,Mid-Range,8-16 Right,12.86,Missed,,Beal,B. Beal,,,,,,,,,,,,,,,,,,
60,PT06M58.00S,2023-11-09T01:20:46.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,4,19,2023-11-09T01:20:49Z,600000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Right,,,,LaVine,Z. LaVine,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,
61,PT06M48.00S,2023-11-09T01:20:57.5Z,1,REGULAR,2pt,Jump Shot,[],203897,6.915243101182654,19.11764705882353,1610612741,4,19,2023-11-09T01:21:35Z,610000,False,154.0,13.0,1,left,MISS Z. LaVine 15' step back Shot,[203897],1610612741.0,CHI,step back,,,,,,Mid-Range,8-16 Right,15.49,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2023-11-09T01:20:59.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,4,19,2023-11-09T01:21:01Z,620000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612756.0,PHX,,,,,,,Mid-Range,8-16 Right,,,,Durant,K. Durant,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,
63,PT06M29.00S,2023-11-09T01:21:16.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,94.95729303547962,96.32352941176471,1610612756,4,22,2023-11-09T01:21:21Z,630000,False,232.0,-5.0,1,right,G. Allen 3PT  (6 PTS) (J. Nurkic 3 AST),"[1628960, 203994]",1610612756.0,PHX,,,,,,,Right Corner 3,24+ Right,23.17,Made,6.0,Allen,G. Allen,J. Nurkic,203994.0,3.0,,,,,,,,,,,,,,,
65,PT06M09.00S,2023-11-09T01:21:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,5.206964520367937,48.03921568627451,1610612741,6,22,2023-11-09T01:21:40Z,650000,False,10.0,-4.0,1,left,C. White driving Layup (2 PTS) (T. Craig 1 AST),"[1629632, 1628470]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,White,C. White,T. Craig,1628470.0,1.0,,,,,,,,,,,,,,,
67,PT05M52.00S,2023-11-09T01:21:55.7Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612756,6,22,2023-11-09T01:22:04Z,670000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Durant 2 FT),"[1628470, 201142]",1610612741.0,CHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Craig,T. Craig,,,,,,,,,,1155.0,1.0,0.0,Durant,201142.0,,,,
69,PT05M52.00S,2023-11-09T01:22:25.9Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,6,23,2023-11-09T01:22:25Z,690000,False,,,0,,K. Durant Free Throw 1 of 2 (5 PTS),[201142],1610612756.0,PHX,,,,,,,,,,Made,5.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,
70,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,out,[],202696,,,1610612756,6,23,2023-11-09T01:22:36Z,700000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,out,[],1628470,,,1610612756,6,23,2023-11-09T01:22:36Z,710000,False,,,0,,SUB out: T. Craig,[1628470],1610612741.0,CHI,,,,,,,,,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,
72,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,out,[],203078,,,1610612756,6,23,2023-11-09T01:22:36Z,720000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,,,,,,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,
73,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,in,[],1630172,,,1610612756,6,23,2023-11-09T01:22:36Z,730000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,in,[],203083,,,1610612756,6,23,2023-11-09T01:22:36Z,740000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
75,PT05M52.00S,2023-11-09T01:22:26.6Z,1,REGULAR,substitution,in,[],201569,,,1610612756,6,23,2023-11-09T01:22:36Z,750000,False,,,0,,SUB in: E. Gordon,[201569],1610612756.0,PHX,,,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2023-11-09T01:22:58.4Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,6,24,2023-11-09T01:22:58Z,760000,False,,,0,,K. Durant Free Throw 2 of 2 (6 PTS),[201142],1610612756.0,PHX,,,,,,,,,,Made,6.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,
77,PT05M43.00S,2023-11-09T01:23:12.8Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612741,6,24,2023-11-09T01:23:20Z,770000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (LaVine 2 FT),"[203994, 203897]",1610612756.0,PHX,shooting,,,,,,Restricted Area,0-8 Center,,,,Nurkic,J. Nurkic,,,,,,,,,,1629178.0,1.0,0.0,LaVine,203897.0,,,,
79,PT05M43.00S,2023-11-09T01:23:38.5Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,7,24,2023-11-09T01:23:38Z,790000,False,,,0,,Z. LaVine Free Throw 1 of 2 (1 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,1.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
80,PT05M43.00S,2023-11-09T01:23:56.4Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,8,24,2023-11-09T01:23:56Z,800000,False,,,0,,Z. LaVine Free Throw 2 of 2 (2 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,2.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
81,PT05M30.00S,2023-11-09T01:24:14.5Z,1,REGULAR,foul,technical,['1freethrow'],203897,,,1610612756,8,24,2023-11-09T01:24:26Z,810000,False,,,0,,Z. LaVine defensive-3-second technical FOUL (1 Tech),[203897],1610612741.0,CHI,defensive-3-second,,,,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,201246.0,0.0,1.0,,,,,,
82,PT05M30.00S,2023-11-09T01:24:38.9Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612756,8,25,2023-11-09T01:24:39Z,820000,False,,,0,,K. Durant technical Free Throw 1 of 1 (7 PTS),[201142],1610612756.0,PHX,technical,,,,,,,,,Made,7.0,Durant,K. Durant,,,,,,,,,,,,,,,,,,
83,PT05M24.00S,2023-11-09T01:24:58.4Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612756,8,25,2023-11-09T01:25:01Z,830000,False,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 203897]",1610612756.0,PHX,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Durant,K. Durant,,,,,,,,,,,,,,,1.0,LaVine,203897.0,
84,PT05M24.00S,2023-11-09T01:24:58.4Z,1,REGULAR,steal,,[],203897,,,1610612741,8,25,2023-11-09T01:25:00Z,840000,False,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2023-11-09T01:25:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203897,6.389618922470433,50.49019607843137,1610612741,10,25,2023-11-09T01:25:11Z,850000,False,-2.0,8.0,1,left,Z. LaVine running Layup (4 PTS),[203897],1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,0.8,Made,4.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
86,PT05M21.00S,2023-11-09T01:25:08.8Z,1,REGULAR,foul,personal,['1freethrow'],1628966,,,1610612741,10,25,2023-11-09T01:25:13Z,860000,False,,,0,,K. Bates-Diop shooting personal FOUL (1 PF) (LaVine 1 FT),"[1628966, 203897]",1610612756.0,PHX,shooting,,,,,,Restricted Area,0-8 Center,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,201246.0,1.0,0.0,LaVine,203897.0,,,,
88,PT05M21.00S,2023-11-09T01:25:16.7Z,1,REGULAR,substitution,out,[],1628966,,,1610612741,10,25,2023-11-09T01:25:53Z,880000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,,,,,,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,
90,PT05M21.00S,2023-11-09T01:25:16.7Z,1,REGULAR,substitution,in,[],1629006,,,1610612741,10,25,2023-11-09T01:25:53Z,900000,False,,,0,,SUB in: J. Okogie,[1629006],1610612756.0,PHX,,,,,,,,,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,
91,PT05M21.00S,2023-11-09T01:25:39.7Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203897,,,1610612741,11,25,2023-11-09T01:25:39Z,910000,False,,,0,,Z. LaVine Free Throw 1 of 1 (5 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,5.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
