actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M22.00S,2024-04-02T00:12:09.8Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,4,0,2024-04-02T00:12:16Z,180000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 201942]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,
19,PT10M22.00S,2024-04-02T00:12:09.8Z,1,REGULAR,steal,,[],201942,,,1610612741,4,0,2024-04-02T00:12:11Z,190000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-04-02T00:12:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201942,5.469776609724048,47.05882352941176,1610612741,6,0,2024-04-02T00:12:20Z,200000,False,15.0,-1.0,1,left,D. DeRozan running Layup (2 PTS),[201942],1610612741.0,CHI,running,,,DeRozan,D. DeRozan,,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,2.0,,,,,,,,,,,,
21,PT10M05.00S,2024-04-02T00:12:26.4Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,6,0,2024-04-02T00:12:31Z,210000,False,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1627936]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Caruso,1627936.0,,,,,,,,,
22,PT10M05.00S,2024-04-02T00:12:26.4Z,1,REGULAR,steal,,[],1627936,,,1610612741,6,0,2024-04-02T00:12:28Z,220000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
23,PT10M02.00S,2024-04-02T00:12:29.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,5.732588699080158,50.0,1610612741,8,0,2024-04-02T00:12:34Z,230000,False,0.0,1.0,1,left,A. Caruso running DUNK (2 PTS),[1627936],1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,,Restricted Area,0-8 Center,0.14,Made,,,,,2.0,,,,,,,,,,,,
24,PT10M02.00S,2024-04-02T00:12:34.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,0,2024-04-02T00:12:34Z,240000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2024-04-02T00:15:46.0Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,8,0,2024-04-02T00:15:49Z,250000,False,,,0,,D. Murray bad pass TURNOVER (2 TO),"[1627749, 1627936]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,,Above the Break 3,24+ Center,,,,,,,,2.0,Caruso,1627936.0,,,,,,,,,
26,PT09M45.00S,2024-04-02T00:15:46.0Z,1,REGULAR,steal,,[],1627936,,,1610612741,8,0,2024-04-02T00:15:48Z,260000,False,,,0,,A. Caruso STEAL (2 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2024-04-02T00:16:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629632,14.273981603153747,1.2254901960784315,1610612741,11,0,2024-04-02T00:16:07Z,270000,False,244.0,82.0,1,left,C. White 25' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,,Right Corner 3,24+ Right,25.72,Made,,,,,3.0,,,,N. Vucevic,202696.0,1.0,,,,,,
29,PT09M16.00S,2024-04-02T00:16:19.7Z,1,REGULAR,foul,personal,[],201942,,,1610612737,11,0,2024-04-02T00:16:27Z,290000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 203992]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,1628953.0,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1.0,0.0,Bogdanovic,203992.0,,
31,PT09M11.00S,2024-04-02T00:16:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.11760840998686,49.26470588235294,1610612737,11,2,2024-04-02T00:16:40Z,310000,False,-4.0,12.0,1,right,C. Capela driving finger roll Layup (2 PTS) (B. Bogdanovic 1 AST),"[203991, 203992]",1610612737.0,ATL,driving finger roll,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,2.0,,,,B. Bogdanovic,203992.0,1.0,,,,,,
33,PT08M57.00S,2024-04-02T00:16:49.3Z,1,REGULAR,2pt,Jump Shot,[],201942,22.421156373193167,57.59803921568627,1610612741,11,2,2024-04-02T00:16:53Z,330000,False,-38.0,158.0,1,left,MISS D. DeRozan 16' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,Mid-Range,16-24 Center,16.28,Missed,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2024-04-02T00:16:51.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,2,2024-04-02T00:16:53Z,340000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Mid-Range,16-24 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M50.00S,2024-04-02T00:16:58.6Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612737,11,2,2024-04-02T00:17:05Z,350000,False,,,0,,C. White shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1629632, 203992]",1610612741.0,CHI,shooting,,,White,C. White,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Bogdanovic,203992.0,,
37,PT08M50.00S,2024-04-02T00:17:23.9Z,1,REGULAR,freethrow,1 of 2,[],203992,,,1610612737,11,3,2024-04-02T00:17:23Z,370000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
38,PT08M50.00S,2024-04-02T00:17:23.9Z,1,REGULAR,freethrow,2 of 2,[],203992,,,1610612737,11,4,2024-04-02T00:18:04Z,380000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
39,PT08M32.00S,2024-04-02T00:18:03.9Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,11,4,2024-04-02T00:18:09Z,390000,False,,,0,,D. DeRozan step out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,step,,,DeRozan,D. DeRozan,,,,,1627961.0,In The Paint (Non-RA),8-16 Left,,,,,,,,1.0,,,,,,,,,,,
40,PT08M14.00S,2024-04-02T00:18:28.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203991,93.11760840998686,51.470588235294116,1610612737,11,6,2024-04-02T00:18:32Z,400000,False,7.0,12.0,1,right,C. Capela cutting DUNK (4 PTS) (D. Hunter 1 AST),"[203991, 1629631]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,4.0,,,,D. Hunter,1629631.0,1.0,,,,,,
42,PT07M54.00S,2024-04-02T00:18:47.6Z,1,REGULAR,2pt,Jump Shot,[],1630245,18.610381077529567,28.431372549019606,1610612741,11,6,2024-04-02T00:18:51Z,420000,False,108.0,122.0,1,left,MISS A. Dosunmu 16' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,,Mid-Range,16-24 Right Center,16.31,Missed,,,,,,,,,,,,,,,,,
43,PT07M52.00S,2024-04-02T00:18:49.6Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,11,6,2024-04-02T00:18:51Z,430000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Mid-Range,16-24 Right Center,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT07M44.00S,2024-04-02T00:18:57.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,91.80354796320631,23.774509803921568,1610612737,11,6,2024-04-02T00:19:02Z,440000,False,-131.0,25.0,1,right,MISS D. Murray 13' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,,Mid-Range,8-16 Left,13.34,Missed,,,,,,,,,,,,,,,,,
45,PT07M40.00S,2024-04-02T00:19:01.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,11,6,2024-04-02T00:19:02Z,450000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Mid-Range,8-16 Left,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,
46,PT07M39.00S,2024-04-02T00:19:02.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,90.48948751642575,40.68627450980392,1610612737,11,6,2024-04-02T00:19:29Z,460000,False,-47.0,37.0,1,right,MISS C. Capela putback Layup,[203991],1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,
47,PT07M37.00S,2024-04-02T00:19:04.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,6,2024-04-02T00:19:04Z,470000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,
48,PT07M30.00S,2024-04-02T00:19:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,10.33180026281209,42.40196078431372,1610612741,11,6,2024-04-02T00:20:12Z,480000,False,38.0,45.0,1,left,MISS C. White driving floating Shot,[1629632],1610612741.0,CHI,driving floating,,,White,C. White,,,,,,In The Paint (Non-RA),0-8 Center,5.86,Missed,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2024-04-02T00:19:12.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,11,6,2024-04-02T00:20:12Z,490000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,In The Paint (Non-RA),0-8 Center,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,
51,PT07M21.00S,2024-04-02T00:19:32.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201942,13.485545335085414,34.068627450980394,1610612741,11,6,2024-04-02T00:19:36Z,510000,False,80.0,74.0,1,left,MISS D. DeRozan 10' driving floating bank Shot,[201942],1610612741.0,CHI,driving floating bank,,,DeRozan,D. DeRozan,,,,,,In The Paint (Non-RA),8-16 Right,10.9,Missed,,,,,,,,,,,,,,,,,
52,PT07M19.00S,2024-04-02T00:19:34.9Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,11,6,2024-04-02T00:19:34Z,520000,False,,,0,,A. Caruso REBOUND (Off:1 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,In The Paint (Non-RA),8-16 Right,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,
53,PT07M18.00S,2024-04-02T00:19:36.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202696,5.863994743758213,48.529411764705884,1610612741,13,6,2024-04-02T00:21:15Z,530000,False,7.0,3.0,1,left,N. Vucevic DUNK (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,2.0,,,,D. DeRozan,201942.0,1.0,,,,,,
55,PT07M04.00S,2024-04-02T00:19:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,94.30026281208936,4.166666666666666,1610612737,13,9,2024-04-02T00:19:55Z,550000,False,-229.0,1.0,1,right,D. Hunter 3PT  (3 PTS) (D. Murray 1 AST),"[1629631, 1627749]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Left Corner 3,24+ Left,22.92,Made,,,,,3.0,,,,D. Murray,1627749.0,1.0,,,,,,
57,PT06M54.00S,2024-04-02T00:20:00.3Z,1,REGULAR,3pt,Jump Shot,[],1630245,28.07161629434954,21.323529411764707,1610612741,13,9,2024-04-02T00:20:05Z,570000,False,143.0,211.0,1,left,MISS A. Dosunmu 25' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2024-04-02T00:20:05.3Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,13,9,2024-04-02T00:20:05Z,580000,False,,,0,,V. Krejci REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,,Above the Break 3,24+ Right Center,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT06M41.00S,2024-04-02T00:20:13.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.9060446780552,49.754901960784316,1610612737,13,11,2024-04-02T00:20:18Z,590000,False,-1.0,5.0,1,right,C. Capela cutting DUNK (6 PTS) (B. Bogdanovic 2 AST),"[203991, 203992]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,6.0,,,,B. Bogdanovic,203992.0,2.0,,,,,,
61,PT06M40.00S,2024-04-02T00:20:20.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,13,11,2024-04-02T00:20:23Z,610000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M40.00S,2024-04-02T00:22:47.9Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,13,11,2024-04-02T00:23:10Z,620000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M40.00S,2024-04-02T00:22:47.9Z,1,REGULAR,substitution,out,[],203992,,,1610612741,13,11,2024-04-02T00:23:10Z,630000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M40.00S,2024-04-02T00:22:47.9Z,1,REGULAR,substitution,in,[],1631207,,,1610612741,13,11,2024-04-02T00:23:10Z,640000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M40.00S,2024-04-02T00:22:47.9Z,1,REGULAR,substitution,in,[],1629726,,,1610612741,13,11,2024-04-02T00:23:10Z,650000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2024-04-02T00:23:24.1Z,1,REGULAR,3pt,Jump Shot,[],202696,31.488173455978973,45.83333333333333,1610612741,16,11,2024-04-02T00:23:32Z,660000,False,21.0,243.0,1,left,N. Vucevic 24' 3PT  (5 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Above the Break 3,24+ Center,24.44,Made,,,,,5.0,,,,D. DeRozan,201942.0,2.0,,,,,,
68,PT06M14.00S,2024-04-02T00:23:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629726,68.41327201051249,62.254901960784316,1610612737,16,11,2024-04-02T00:23:42Z,680000,False,61.0,244.0,1,right,MISS G. Mathews 25' 3PT,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,Above the Break 3,24+ Center,25.2,Missed,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2024-04-02T00:23:40.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,16,11,2024-04-02T00:23:40Z,690000,False,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Above the Break 3,24+ Center,,,68.0,3.0,1.0,2.0,,,,,,,,,,,,,
70,PT06M08.00S,2024-04-02T00:23:44.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,86.81011826544021,24.754901960784316,1610612737,16,11,2024-04-02T00:23:50Z,700000,False,-126.0,71.0,1,right,MISS D. Hunter 14' fadeaway Shot,[1629631],1610612737.0,ATL,fadeaway,,,Hunter,D. Hunter,,,,,,Mid-Range,8-16 Left,14.5,Missed,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2024-04-02T00:23:49.6Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,16,11,2024-04-02T00:23:50Z,710000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Mid-Range,8-16 Left,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,
72,PT05M52.00S,2024-04-02T00:24:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,12.171484888304862,42.15686274509804,1610612741,18,11,2024-04-02T00:24:03Z,720000,False,39.0,62.0,1,left,D. DeRozan 7' turnaround fadeaway Jump Shot (4 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,,In The Paint (Non-RA),0-8 Center,7.33,Made,,,,,4.0,,,,,,,,,,,,
73,PT05M41.00S,2024-04-02T00:24:11.3Z,1,REGULAR,3pt,Jump Shot,[],1629726,92.32917214191852,2.941176470588235,1610612737,18,14,2024-04-02T00:24:15Z,730000,False,-235.0,20.0,1,right,G. Mathews 3PT  (3 PTS) (C. Capela 1 AST),"[1629726, 203991]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,Left Corner 3,24+ Left,23.61,Made,,,,,3.0,,,,C. Capela,203991.0,1.0,,,,,,
75,PT05M18.00S,2024-04-02T00:24:34.0Z,1,REGULAR,2pt,Jump Shot,[],201942,7.703679369250986,75.49019607843137,1610612741,20,14,2024-04-02T00:24:37Z,750000,False,-127.0,20.0,1,left,D. DeRozan 12' pullup Jump Shot (6 PTS) (C. White 1 AST),"[201942, 1629632]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,Mid-Range,8-16 Left,12.9,Made,,,,,6.0,,,,C. White,1629632.0,1.0,,,,,,
77,PT05M03.00S,2024-04-02T00:24:48.8Z,1,REGULAR,3pt,Jump Shot,[],1630249,95.22010512483574,4.166666666666666,1610612737,20,17,2024-04-02T00:24:54Z,770000,False,-229.0,-8.0,1,right,V. Krejci 3PT  (3 PTS) (G. Mathews 1 AST),"[1630249, 1629726]",1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,3.0,,,,G. Mathews,1629726.0,1.0,,,,,,
79,PT04M46.00S,2024-04-02T00:25:08.7Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612741,20,17,2024-04-02T00:25:17Z,790000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (DeRozan 2 FT),"[203991, 201942]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,
81,PT04M46.00S,2024-04-02T00:25:34.2Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,21,17,2024-04-02T00:25:34Z,810000,False,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
82,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,21,17,2024-04-02T00:25:51Z,820000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,out,[],203991,,,1610612741,21,17,2024-04-02T00:25:51Z,830000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,out,[],1630249,,,1610612741,21,17,2024-04-02T00:25:51Z,840000,False,,,0,,SUB out: V. Krejci,[1630249],1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,,,,,
