actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M37.00S,2023-12-03T01:12:50.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,3,2023-12-03T01:12:54Z,190000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M23.00S,2023-12-03T01:13:04.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,14.536793692509855,32.84313725490196,1610612740,2,3,2023-12-03T01:13:08Z,200000,False,86.0,84.0,1,left,MISS B. Ingram 12' pullup Shot - blocked,"[1627742, 1627936]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,12.01,,,,Caruso,1627936.0,,,
21,PT10M23.00S,2023-12-03T01:13:04.4Z,1,REGULAR,block,,[],1627936,,,1610612740,2,3,2023-12-03T01:13:06Z,210000,False,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2023-12-03T01:13:07.4Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,3,2023-12-03T01:13:08Z,220000,False,,,0,,A. Caruso REBOUND (Off:0 Def:2),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,
23,PT10M14.00S,2023-12-03T01:13:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,68.80749014454665,67.15686274509804,1610612741,2,3,2023-12-03T01:13:18Z,230000,False,86.0,241.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.55,,,,,,,,
24,PT10M11.00S,2023-12-03T01:13:16.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,3,2023-12-03T01:13:18Z,240000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M08.00S,2023-12-03T01:13:22.2Z,1,REGULAR,foul,offensive,[],1627742,,,1610612740,2,3,2023-12-03T01:13:28Z,250000,False,,,0,,B. Ingram charge offensive FOUL (1 PF),"[1627742, 1629632]",1610612740.0,NOP,charge,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,202035.0,1.0,0.0,White,1629632.0,,,,,,,,,,,,,,,
27,PT10M08.00S,2023-12-03T01:13:22.2Z,1,REGULAR,turnover,offensive foul,[],1627742,,,1610612740,2,3,2023-12-03T01:13:22Z,270000,False,,,0,,B. Ingram offensive foul TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,202035.0,,,,,,,,,,,,,,,,,1.0,,
28,PT09M50.00S,2023-12-03T01:13:55.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,92.9862023653088,49.50980392156863,1610612741,4,3,2023-12-03T01:29:41Z,280000,False,-2.0,13.0,1,right,N. Vucevic driving Hook (4 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,1.36,D. DeRozan,201942.0,1.0,,,,,
30,PT09M37.00S,2023-12-03T01:14:08.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,4.155716162943495,95.83333333333334,1610612740,4,3,2023-12-03T01:14:14Z,300000,False,-229.0,-13.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.96,,,,,,,,
31,PT09M33.00S,2023-12-03T01:14:13.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,4,3,2023-12-03T01:14:13Z,310000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,
32,PT09M33.00S,2023-12-03T01:14:13.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,5.590000152587891,50.0,1610612740,4,3,2023-12-03T01:14:16Z,320000,False,0.0,0.0,1,left,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,0.0,,,,,,,,
33,PT09M33.00S,2023-12-03T01:14:13.3Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,4,3,2023-12-03T01:14:16Z,330000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,
34,PT09M30.00S,2023-12-03T01:14:15.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630529,5.590000152587891,50.0,1610612740,4,5,2023-12-03T01:14:19Z,340000,False,0.0,0.0,1,left,H. Jones putback DUNK (2 PTS),[1630529],1610612740.0,NOP,putback,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,0.0,,,,,,,,
35,PT09M22.00S,2023-12-03T01:14:23.5Z,1,REGULAR,3pt,Jump Shot,[],202696,68.80749014454665,24.754901960784316,1610612741,4,5,2023-12-03T01:14:27Z,350000,False,-126.0,241.0,1,right,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,27.18,,,,,,,,
36,PT09M20.00S,2023-12-03T01:14:25.5Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,4,5,2023-12-03T01:14:27Z,360000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,
37,PT09M02.00S,2023-12-03T01:14:46.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,12.828515111695138,33.088235294117645,1610612740,4,5,2023-12-03T01:14:49Z,370000,False,85.0,68.0,1,left,MISS B. Ingram 10' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,10.86,,,,,,,,
38,PT09M02.00S,2023-12-03T01:14:48.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,4,5,2023-12-03T01:14:48Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,37.0,,,,,,,,,,,,
40,PT08M59.00S,2023-12-03T01:15:07.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,3.630091984231275,11.519607843137255,1610612740,4,7,2023-12-03T01:30:01Z,400000,False,192.0,-18.0,1,left,B. Ingram 19' Jump Shot (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right,,,,,,Made,2.0,,,,,19.33,H. Jones,1630529.0,1.0,,,,,
42,PT08M38.00S,2023-12-03T01:15:28.1Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,4,7,2023-12-03T01:15:31Z,420000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1630529]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0
43,PT08M38.00S,2023-12-03T01:15:28.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,4,7,2023-12-03T01:15:29Z,430000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M30.00S,2023-12-03T01:15:35.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,32.40801576872536,42.64705882352941,1610612740,4,7,2023-12-03T01:15:40Z,440000,False,37.0,252.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.48,,,,,,,,
45,PT08M29.00S,2023-12-03T01:15:36.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,4,7,2023-12-03T01:15:40Z,450000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,44.0,,,,,,,,,,,,
47,PT08M12.00S,2023-12-03T01:16:02.5Z,1,REGULAR,3pt,Jump Shot,[],201942,68.77258541392905,32.80867034313725,1610612741,7,7,2023-12-03T01:16:08Z,470000,False,-86.0,241.0,1,right,D. DeRozan 25' 3PT  (3 PTS) (C. White 1 AST),"[201942, 1629632]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,25.59,C. White,1629632.0,1.0,,,,,
49,PT07M47.00S,2023-12-03T01:16:27.3Z,1,REGULAR,2pt,Hook,[],202685,13.61695137976347,33.57843137254902,1610612740,7,9,2023-12-03T01:16:34Z,490000,False,82.0,75.0,1,left,J. Valanciunas 11' bank Hook (4 PTS),[202685],1610612740.0,NOP,bank,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,,,,Made,4.0,,,,,11.15,,,,,,,,
51,PT07M38.00S,2023-12-03T01:16:35.8Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,7,9,2023-12-03T01:16:41Z,510000,False,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1630700]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Daniels,1630700.0
52,PT07M38.00S,2023-12-03T01:16:35.8Z,1,REGULAR,steal,,[],1630700,,,1610612740,7,9,2023-12-03T01:16:37Z,520000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT07M35.00S,2023-12-03T01:16:38.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630700,6.258212877792378,48.77450980392157,1610612740,7,11,2023-12-03T01:16:51Z,530000,False,6.0,6.0,1,left,D. Daniels running finger roll Layup (2 PTS),[1630700],1610612740.0,NOP,running finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,0.88,,,,,,,,
54,PT07M22.00S,2023-12-03T01:16:52.2Z,1,REGULAR,3pt,Jump Shot,[],1627936,95.6143232588699,97.05882352941177,1610612741,10,11,2023-12-03T01:16:56Z,540000,False,235.0,-11.0,1,right,A. Caruso 3PT  (3 PTS) (P. Williams 1 AST),"[1627936, 1630172]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,23.56,P. Williams,1630172.0,1.0,,,,,
56,PT07M08.00S,2023-12-03T01:17:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,5.863994743758213,53.431372549019606,1610612740,10,13,2023-12-03T01:17:09Z,560000,False,-17.0,3.0,1,left,D. Daniels driving finger roll Layup (4 PTS),[1630700],1610612740.0,NOP,driving finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,1.74,,,,,,,,
57,PT06M57.00S,2023-12-03T01:17:17.5Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,10,13,2023-12-03T01:17:22Z,570000,False,,,0,,A. Caruso bad pass TURNOVER (1 TO),"[1627936, 1627742]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,1.0,Ingram,1627742.0
58,PT06M57.00S,2023-12-03T01:17:17.5Z,1,REGULAR,steal,,[],1627742,,,1610612740,10,13,2023-12-03T01:17:19Z,580000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2023-12-03T01:17:22.8Z,1,REGULAR,foul,personal,['2freethrow'],1627936,,,1610612740,10,13,2023-12-03T01:20:35Z,590000,False,,,0,,A. Caruso shooting personal FOUL (1 PF) (Jones 2 FT),"[1627936, 1630529]",1610612741.0,CHI,shooting,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,202035.0,1.0,0.0,Jones,1630529.0,,,,,,,,,,,,,,,
62,PT06M54.00S,2023-12-03T01:18:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,13,2023-12-03T01:18:06Z,620000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2023-12-03T01:20:02.9Z,1,REGULAR,substitution,out,[],1627936,,,1610612740,10,13,2023-12-03T01:20:17Z,630000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M54.00S,2023-12-03T01:20:02.9Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,10,13,2023-12-03T01:20:17Z,640000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M54.00S,2023-12-03T01:20:02.9Z,1,REGULAR,substitution,in,[],1630245,,,1610612740,10,13,2023-12-03T01:20:17Z,650000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M54.00S,2023-12-03T01:20:02.9Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,10,13,2023-12-03T01:20:17Z,660000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2023-12-03T01:20:36.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630529,,,1610612740,10,14,2023-12-03T01:20:36Z,670000,False,,,0,,H. Jones Free Throw 1 of 2 (3 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
68,PT06M54.00S,2023-12-03T01:20:49.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630529,,,1610612740,10,15,2023-12-03T01:20:49Z,680000,False,,,0,,H. Jones Free Throw 2 of 2 (4 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
69,PT06M35.00S,2023-12-03T01:21:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,88.51839684625493,4.166666666666666,1610612741,10,15,2023-12-03T01:21:17Z,690000,False,-229.0,55.0,1,right,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,23.58,,,,,,,,
70,PT06M33.00S,2023-12-03T01:21:14.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,15,2023-12-03T01:21:17Z,700000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,
71,PT06M21.00S,2023-12-03T01:21:26.2Z,1,REGULAR,3pt,Jump Shot,[],1641722,29.122864651773984,76.9607843137255,1610612740,10,18,2023-12-03T01:21:31Z,710000,False,-135.0,221.0,1,left,J. Hawkins 25' 3PT  (3 PTS) (B. Ingram 1 AST),"[1641722, 1627742]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,25.91,B. Ingram,1627742.0,1.0,,,,,
73,PT06M11.00S,2023-12-03T01:21:38.1Z,1,REGULAR,foul,personal,[],1630700,,,1610612741,10,18,2023-12-03T01:21:49Z,730000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 202696]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,1151.0,1.0,0.0,Vucevic,202696.0,,,,,,,,,,,,,,,
75,PT06M11.00S,2023-12-03T01:21:46.3Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,10,18,2023-12-03T01:21:50Z,750000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2023-12-03T01:21:46.3Z,1,REGULAR,substitution,in,[],1628470,,,1610612741,10,18,2023-12-03T01:21:50Z,760000,False,,,0,,SUB in: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M05.00S,2023-12-03T01:22:04.6Z,1,REGULAR,2pt,Jump Shot,[],201942,91.5407358738502,24.264705882352942,1610612741,12,18,2023-12-03T01:30:16Z,770000,False,-129.0,27.0,1,right,D. DeRozan 13' Jump Shot (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,Made,5.0,,,,,13.15,,,,,,,,
78,PT05M42.00S,2023-12-03T01:22:26.7Z,1,REGULAR,2pt,Jump Shot,[],202685,6.307490144546649,70.12101715686273,1610612740,12,18,2023-12-03T01:22:32Z,780000,False,-101.0,7.0,1,left,MISS J. Valanciunas 10' step back Shot,[202685],1610612740.0,NOP,step back,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,10.08,,,,,,,,
79,PT05M41.00S,2023-12-03T01:22:27.7Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,12,18,2023-12-03T01:22:32Z,790000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Left,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,
80,PT05M28.00S,2023-12-03T01:22:40.7Z,1,REGULAR,2pt,Jump Shot,[],201942,78.3180026281209,35.78048406862745,1610612741,12,18,2023-12-03T01:22:48Z,800000,False,-71.0,151.0,1,right,MISS D. DeRozan 16' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,,,,16.72,,,,,,,,
81,PT05M27.00S,2023-12-03T01:22:41.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,12,18,2023-12-03T01:22:48Z,810000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left Center,,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,,
82,PT05M20.00S,2023-12-03T01:22:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629632,94.03745072273325,53.431372549019606,1610612741,12,18,2023-12-03T01:30:25Z,820000,False,17.0,4.0,1,right,MISS C. White driving finger roll Layup,[1629632],1610612741.0,CHI,driving finger roll,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.76,,,,,,,,
83,PT05M18.00S,2023-12-03T01:22:52.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,12,18,2023-12-03T01:22:53Z,830000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,
84,PT05M14.00S,2023-12-03T01:22:57.5Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612740,12,18,2023-12-03T01:23:03Z,840000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Ingram 2 FT),"[1630245, 1627742]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,202035.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,
86,PT05M14.00S,2023-12-03T01:23:26.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627742,,,1610612740,12,18,2023-12-03T01:23:26Z,860000,False,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
87,PT05M14.00S,2023-12-03T01:23:26.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,12,18,2023-12-03T01:23:26Z,870000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,
88,PT05M14.00S,2023-12-03T01:23:27.8Z,1,REGULAR,substitution,out,[],201942,,,1610612740,12,18,2023-12-03T01:23:48Z,880000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
