actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
20,PT09M51.00S,2024-03-15T00:12:37.4Z,1,REGULAR,2pt,Jump Shot,[],1629611,5.338370565045992,72.54901960784314,1610612746,5,2,2024-03-15T00:12:42Z,200000,False,-113.0,-2.0,1,left,MISS T. Mann 11' step back Shot,[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,11.27,Missed,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2024-03-15T00:12:40.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,5,2,2024-03-15T00:12:42Z,210000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT09M27.00S,2024-03-15T00:13:00.9Z,1,REGULAR,2pt,Jump Shot,[],1627936,81.15965834428384,73.2843137254902,1610612741,5,2,2024-03-15T00:13:06Z,220000,False,116.0,125.0,1,right,MISS A. Caruso 17' pullup Shot,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,Mid-Range,16-24 Right Center,17.05,Missed,,,,,,,,,,,,,,,,,,
23,PT09M23.00S,2024-03-15T00:13:04.9Z,1,REGULAR,rebound,offensive,[],1630245,,,1610612741,5,2,2024-03-15T00:13:06Z,230000,False,,,0,,A. Dosunmu REBOUND (Off:1 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,
24,PT09M16.00S,2024-03-15T00:13:11.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202696,78.0059132720105,48.77450980392157,1610612741,5,2,2024-03-15T00:13:56Z,240000,False,-6.0,154.0,1,right,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,15.43,Missed,,,,,,,,,,,,,,,,,,
25,PT09M13.00S,2024-03-15T00:13:14.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,5,2,2024-03-15T00:13:16Z,250000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,8-16 Center,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT08M54.00S,2024-03-15T00:13:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630538,30.305519053876477,68.87254901960785,1610612746,5,5,2024-03-15T00:14:08Z,260000,False,-94.0,232.0,1,left,B. Hyland 25' 3PT pullup (3 PTS),[1630538],1610612746.0,LAC,pullup,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Left Center,25.08,Made,3.0,,,,,,,,,,,,,,,,,
27,PT08M30.00S,2024-03-15T00:13:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,92.59198423127464,53.18627450980392,1610612741,5,5,2024-03-15T00:14:53Z,270000,False,16.0,17.0,1,right,MISS T. Craig driving Layup,[1628470],1610612741.0,CHI,driving,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
28,PT08M28.00S,2024-03-15T00:13:59.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,5,5,2024-03-15T00:14:53Z,280000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT08M26.00S,2024-03-15T00:14:04.0Z,1,REGULAR,foul,personal,['2freethrow'],1627936,,,1610612746,5,5,2024-03-15T00:14:17Z,290000,False,,,0,,A. Caruso shooting personal FOUL (1 PF) (Zubac 2 FT),"[1627936, 1627826]",1610612741.0,CHI,shooting,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,1193.0,,,,,,,,,,,1.0,0.0,Zubac,1627826.0,,
31,PT08M26.00S,2024-03-15T00:14:33.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627826,,,1610612746,5,6,2024-03-15T00:14:33Z,310000,False,,,0,,I. Zubac Free Throw 1 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT08M26.00S,2024-03-15T00:14:54.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627826,,,1610612746,5,7,2024-03-15T00:14:54Z,320000,False,,,0,,I. Zubac Free Throw 2 of 2 (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M12.00S,2024-03-15T00:15:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1630538,,,1610612741,5,7,2024-03-15T00:15:22Z,330000,False,,,0,,B. Hyland shooting personal FOUL (1 PF) (Craig 2 FT),"[1630538, 1628470]",1610612746.0,LAC,shooting,,,Hyland,B. Hyland,,,,,Restricted Area,0-8 Center,,,,1193.0,,,,,,,,,,,1.0,0.0,Craig,1628470.0,,
35,PT08M12.00S,2024-03-15T00:15:42.2Z,1,REGULAR,freethrow,1 of 2,[],1628470,,,1610612741,5,7,2024-03-15T00:16:00Z,350000,False,,,0,,MISS T. Craig Free Throw 1 of 2,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT08M12.00S,2024-03-15T00:15:42.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,5,7,2024-03-15T00:16:00Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,
37,PT08M12.00S,2024-03-15T00:15:42.2Z,1,REGULAR,freethrow,2 of 2,[],1628470,,,1610612741,5,7,2024-03-15T00:16:00Z,370000,False,,,0,,MISS T. Craig Free Throw 2 of 2,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT08M10.00S,2024-03-15T00:15:44.2Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,5,7,2024-03-15T00:16:00Z,380000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT07M55.00S,2024-03-15T00:16:13.6Z,1,REGULAR,2pt,Jump Shot,[],202695,24.52365308804205,50.49019607843137,1610612746,5,9,2024-03-15T00:16:37Z,390000,False,-2.0,178.0,1,left,K. Leonard 17' Jump Shot (2 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Center,17.8,Made,2.0,,,P. George,202331.0,1.0,,,,,,,,,,,,
41,PT07M34.00S,2024-03-15T00:16:34.3Z,1,REGULAR,turnover,lost ball,[],1627936,,,1610612741,5,9,2024-03-15T00:16:39Z,410000,False,,,0,,A. Caruso lost ball TURNOVER (1 TO),"[1627936, 1630538]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,,,,,,Hyland,1630538.0,,,,,,
42,PT07M34.00S,2024-03-15T00:16:34.3Z,1,REGULAR,steal,,[],1630538,,,1610612746,5,9,2024-03-15T00:16:36Z,420000,False,,,0,,B. Hyland STEAL (2 STL),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M24.00S,2024-03-15T00:16:44.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629611,8.09789750328515,48.28431372549019,1610612746,5,9,2024-03-15T00:17:22Z,430000,False,9.0,24.0,1,left,MISS T. Mann driving floating Shot,[1629611],1610612746.0,LAC,driving floating,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.51,Missed,,,,,,,,,,,,,,,,,,
44,PT07M24.00S,2024-03-15T00:16:44.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,9,2024-03-15T00:16:52Z,440000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
46,PT07M12.00S,2024-03-15T00:17:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,85.3646517739816,38.970588235294116,1610612741,5,9,2024-03-15T00:17:11Z,460000,False,-55.0,85.0,1,right,MISS A. Dosunmu 10' driving floating Shot - blocked,"[1630245, 202331]",1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Left,10.14,Missed,,,,,,,,,,,,,,,,,George,202331.0
47,PT07M12.00S,2024-03-15T00:17:05.7Z,1,REGULAR,block,,[],202331,,,1610612741,5,9,2024-03-15T00:19:20Z,470000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
48,PT07M08.00S,2024-03-15T00:17:09.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,9,2024-03-15T00:19:20Z,480000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
49,PT07M05.00S,2024-03-15T00:17:11.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629611,6.389618922470433,49.754901960784316,1610612746,5,9,2024-03-15T00:17:22Z,490000,False,1.0,8.0,1,left,MISS T. Mann running Layup,[1629611],1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,0.77,Missed,,,,,,,,,,,,,,,,,,
50,PT07M03.00S,2024-03-15T00:17:13.8Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,5,9,2024-03-15T00:17:20Z,500000,False,,,0,,K. Leonard REBOUND (Off:1 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,
51,PT07M03.00S,2024-03-15T00:17:14.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",202695,5.590000152587891,50.0,1610612746,5,11,2024-03-15T00:19:31Z,510000,False,0.0,0.0,1,left,K. Leonard tip DUNK (4 PTS),[202695],1610612746.0,LAC,tip,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2024-03-15T00:17:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1630538,,,1610612741,5,11,2024-03-15T00:20:46Z,520000,False,,,0,,B. Hyland shooting personal FOUL (2 PF) (DeRozan 2 FT),"[1630538, 201942]",1610612746.0,LAC,shooting,,,Hyland,B. Hyland,,,,,Mid-Range,8-16 Right,,,,201246.0,,,,,,,,,,,2.0,0.0,DeRozan,201942.0,,
54,PT06M49.00S,2024-03-15T00:17:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,5,11,2024-03-15T00:17:42Z,540000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2024-03-15T00:20:15.6Z,1,REGULAR,substitution,out,[],1628470,,,1610612741,5,11,2024-03-15T00:20:20Z,550000,False,,,0,,SUB out: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2024-03-15T00:20:15.6Z,1,REGULAR,substitution,in,[],1641931,,,1610612741,5,11,2024-03-15T00:20:20Z,560000,False,,,0,,SUB in: O. Bitim,[1641931],1610612741.0,CHI,,,,Bitim,O. Bitim,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M49.00S,2024-03-15T00:20:26.9Z,1,REGULAR,substitution,out,[],1630538,,,1610612741,5,11,2024-03-15T00:20:42Z,570000,False,,,0,,SUB out: B. Hyland,[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2024-03-15T00:20:26.9Z,1,REGULAR,substitution,in,[],1626181,,,1610612741,5,11,2024-03-15T00:20:42Z,580000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2024-03-15T00:20:47.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,5,11,2024-03-15T00:20:47Z,590000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2024-03-15T00:20:47.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,5,11,2024-03-15T00:20:47Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,
61,PT06M49.00S,2024-03-15T00:21:00.1Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,6,11,2024-03-15T00:21:00Z,610000,False,,,0,,D. DeRozan Free Throw 2 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
62,PT06M27.00S,2024-03-15T00:21:25.8Z,1,REGULAR,2pt,Jump Shot,[],202695,11.383048620236531,67.8921568627451,1610612746,6,13,2024-03-15T00:21:52Z,620000,False,-89.0,55.0,1,left,K. Leonard 10' fadeaway Jump Shot (6 PTS),[202695],1610612746.0,LAC,fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Left,10.48,Made,6.0,,,,,,,,,,,,,,,,,
63,PT06M11.00S,2024-03-15T00:21:40.8Z,1,REGULAR,3pt,Jump Shot,[],1627936,95.22010512483574,96.81372549019608,1610612741,9,13,2024-03-15T00:21:45Z,630000,False,234.0,-8.0,1,right,A. Caruso 3PT  (3 PTS) (A. Dosunmu 2 AST),"[1627936, 1630245]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.42,Made,3.0,,,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,,
65,PT05M53.00S,2024-03-15T00:21:58.9Z,1,REGULAR,3pt,Jump Shot,[],202331,27.54599211563732,21.813725490196077,1610612746,9,16,2024-03-15T00:22:03Z,650000,False,141.0,206.0,1,left,P. George 24' 3PT  (5 PTS) (K. Leonard 1 AST),"[202331, 202695]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,24.99,Made,5.0,,,K. Leonard,202695.0,1.0,,,,,,,,,,,,
67,PT05M32.00S,2024-03-15T00:22:19.9Z,1,REGULAR,3pt,Jump Shot,[],1627936,95.6143232588699,96.07843137254902,1610612741,12,16,2024-03-15T00:22:23Z,670000,False,230.0,-11.0,1,right,A. Caruso 3PT  (6 PTS) (O. Bitim 1 AST),"[1627936, 1641931]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.07,Made,6.0,,,O. Bitim,1641931.0,1.0,,,,,,,,,,,,
69,PT05M18.00S,2024-03-15T00:22:34.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,6.258212877792378,54.41176470588235,1610612746,12,16,2024-03-15T00:22:40Z,690000,False,-22.0,6.0,1,left,MISS I. Zubac cutting DUNK,[1627826],1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.3,Missed,,,,,,,,,,,,,,,,,,
70,PT05M15.00S,2024-03-15T00:22:37.5Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,12,16,2024-03-15T00:22:40Z,700000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,
71,PT05M07.00S,2024-03-15T00:22:45.8Z,1,REGULAR,2pt,Jump Shot,[],201942,92.32917214191852,71.07843137254902,1610612741,12,16,2024-03-15T00:22:50Z,710000,False,105.0,20.0,1,right,MISS D. DeRozan 10' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,10.72,Missed,,,,,,,,,,,,,,,,,,
72,PT05M05.00S,2024-03-15T00:22:47.8Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,12,16,2024-03-15T00:22:50Z,720000,False,,,0,,K. Leonard REBOUND (Off:1 Def:2),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,,,,,,,,,71.0,3.0,2.0,1.0,,,,,,,,
73,PT04M56.00S,2024-03-15T00:22:57.1Z,1,REGULAR,2pt,Jump Shot,[],202331,24.917871222076215,47.549019607843135,1610612746,12,18,2024-03-15T00:23:02Z,730000,False,12.0,182.0,1,left,P. George 18' step back Jump Shot (7 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Center,18.21,Made,7.0,,,,,,,,,,,,,,,,,
74,PT04M47.00S,2024-03-15T00:23:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612741,12,18,2024-03-15T00:23:14Z,740000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Caruso 2 FT),"[1627826, 1627936]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,1193.0,,,,,,,,,,,1.0,0.0,Caruso,1627936.0,,
76,PT04M47.00S,2024-03-15T00:23:39.9Z,1,REGULAR,freethrow,1 of 2,[],1627936,,,1610612741,13,18,2024-03-15T00:23:39Z,760000,False,,,0,,A. Caruso Free Throw 1 of 2 (7 PTS),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
77,PT04M47.00S,2024-03-15T00:23:40.7Z,1,REGULAR,substitution,out,[],201942,,,1610612741,13,18,2024-03-15T00:23:47Z,770000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M47.00S,2024-03-15T00:23:40.7Z,1,REGULAR,substitution,in,[],1631207,,,1610612741,13,18,2024-03-15T00:23:47Z,780000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M47.00S,2024-03-15T00:24:03.6Z,1,REGULAR,freethrow,2 of 2,[],1627936,,,1610612741,14,18,2024-03-15T00:24:03Z,790000,False,,,0,,A. Caruso Free Throw 2 of 2 (8 PTS),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
80,PT04M37.00S,2024-03-15T00:24:15.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,32.276609724047304,46.07843137254902,1610612746,14,21,2024-03-15T00:24:21Z,800000,False,20.0,251.0,1,left,N. Powell 25' 3PT  (3 PTS) (P. George 2 AST),"[1626181, 202331]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,25.17,Made,3.0,,,P. George,202331.0,2.0,,,,,,,,,,,,
82,PT04M26.00S,2024-03-15T00:24:26.5Z,1,REGULAR,2pt,Jump Shot,[],202696,73.9323258869908,65.68627450980392,1610612741,14,21,2024-03-15T00:24:45Z,820000,False,78.0,193.0,1,right,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,20.79,Missed,,,,,,,,,,,,,,,,,,
83,PT04M23.00S,2024-03-15T00:24:29.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,14,21,2024-03-15T00:24:31Z,830000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,
84,PT04M14.00S,2024-03-15T00:24:37.4Z,1,REGULAR,2pt,Jump Shot,[],202331,23.603810775295663,31.127450980392158,1610612746,14,23,2024-03-15T00:25:16Z,840000,False,94.0,169.0,1,left,P. George 19' step back Jump Shot (9 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Right Center,19.39,Made,9.0,,,,,,,,,,,,,,,,,
