actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
20,PT10M31.00S,2024-03-02T03:15:05.2Z,1,REGULAR,3pt,Jump Shot,[],201572,64.86530880420499,26.715686274509803,1610612749,6,9,2024-03-02T03:15:11Z,190000,False,-116.0,278.0,1,right,B. Lopez 30' 3PT  (3 PTS) (G. Antetokounmpo 3 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,30.12,Made,3.0,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,,,,,
22,PT10M18.00S,2024-03-02T03:15:18.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,29.77989487516426,26.47058823529412,1610612741,6,9,2024-03-02T03:15:43Z,210000,False,118.0,227.0,1,left,MISS C. White 25' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2024-03-02T03:15:21.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,9,2024-03-02T03:15:25Z,220000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M07.00S,2024-03-02T03:15:29.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.9060446780552,49.50980392156863,1610612749,6,11,2024-03-02T03:15:34Z,230000,False,-2.0,5.0,1,right,G. Antetokounmpo driving DUNK (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.54,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2024-03-02T03:15:48.5Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,6,11,2024-03-02T03:15:52Z,240000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 203109]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Crowder,203109.0,,,,,,
26,PT09M49.00S,2024-03-02T03:15:48.5Z,1,REGULAR,steal,,[],203109,,,1610612749,6,11,2024-03-02T03:15:50Z,250000,False,,,0,,J. Crowder STEAL (1 STL),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2024-03-02T03:16:04.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,66.5735873850197,67.8921568627451,1610612749,6,11,2024-03-02T03:16:09Z,260000,False,89.0,262.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,27.66,Missed,,,,,,,,,,,,,,,,,,
28,PT09M29.00S,2024-03-02T03:16:08.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,6,11,2024-03-02T03:16:09Z,270000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M22.00S,2024-03-02T03:16:14.8Z,1,REGULAR,3pt,Jump Shot,[],202696,31.35676741130092,50.245098039215684,1610612741,9,11,2024-03-02T03:16:22Z,280000,False,-1.0,242.0,1,left,N. Vucevic 24' 3PT  (7 PTS) (D. DeRozan 3 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,24.23,Made,7.0,D. DeRozan,201942.0,3.0,,,,,,,,,,,,,,
31,PT09M12.00S,2024-03-02T03:16:27.8Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612749,9,11,2024-03-02T03:16:40Z,300000,False,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[202696, 203507]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,1155.0,,,,,,,,1.0,0.0,Antetokounmpo,203507.0,,
33,PT09M12.00S,2024-03-02T03:17:08.9Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,9,12,2024-03-02T03:17:09Z,320000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
34,PT09M12.00S,2024-03-02T03:17:37.9Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,9,13,2024-03-02T03:17:37Z,330000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M53.00S,2024-03-02T03:17:58.8Z,1,REGULAR,2pt,Jump Shot,[],201942,5.863994743758213,73.2843137254902,1610612741,9,13,2024-03-02T03:18:02Z,340000,False,-116.0,3.0,1,left,MISS D. DeRozan 11' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,11.64,Missed,,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2024-03-02T03:18:00.8Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,9,13,2024-03-02T03:18:02Z,350000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Left,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
37,PT08M42.00S,2024-03-02T03:18:09.7Z,1,REGULAR,3pt,Jump Shot,[],201572,70.29812746386334,74.04258578431373,1610612749,9,16,2024-03-02T03:18:16Z,360000,False,120.0,227.0,1,right,B. Lopez 25' 3PT  (6 PTS) (G. Antetokounmpo 4 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.66,Made,6.0,G. Antetokounmpo,203507.0,4.0,,,,,,,,,,,,,,
39,PT08M26.00S,2024-03-02T03:18:25.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,12.828515111695138,49.26470588235294,1610612741,9,16,2024-03-02T03:18:29Z,380000,False,4.0,68.0,1,left,MISS N. Vucevic 6' driving Hook,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,6.82,Missed,,,,,,,,,,,,,,,,,,
40,PT08M24.00S,2024-03-02T03:18:28.1Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,9,16,2024-03-02T03:18:28Z,390000,False,,,0,,M. Beasley REBOUND (Off:0 Def:2),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,
41,PT08M19.00S,2024-03-02T03:18:33.7Z,1,REGULAR,3pt,Jump Shot,[],203081,70.25295663600527,23.03921568627451,1610612749,9,16,2024-03-02T03:19:06Z,400000,False,-135.0,227.0,1,right,MISS D. Lillard 26' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
42,PT08M15.00S,2024-03-02T03:18:37.7Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,9,16,2024-03-02T03:18:39Z,410000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
43,PT08M05.00S,2024-03-02T03:18:46.8Z,1,REGULAR,2pt,Jump Shot,[],1627936,21.156373193166885,35.77282475490196,1610612741,9,16,2024-03-02T03:18:51Z,420000,False,71.0,146.0,1,left,MISS A. Caruso 16' pullup Shot,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,Mid-Range,16-24 Right Center,16.28,Missed,,,,,,,,,,,,,,,,,,
44,PT08M04.00S,2024-03-02T03:18:47.8Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,9,16,2024-03-02T03:18:51Z,430000,False,,,0,,M. Beasley REBOUND (Off:0 Def:3),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Right Center,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,
45,PT07M53.00S,2024-03-02T03:19:03.8Z,1,REGULAR,turnover,out-of-bounds,[],1627736,,,1610612749,9,16,2024-03-02T03:19:11Z,440000,False,,,0,,M. Beasley lost ball out-of-bounds TURNOVER (1 TO),[1627736],1610612749.0,MIL,lost ball,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,1.0,,,,,,,,
46,PT07M53.00S,2024-03-02T03:19:10.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,9,16,2024-03-02T03:19:10Z,450000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2024-03-02T03:21:59.9Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,9,16,2024-03-02T03:22:15Z,460000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2024-03-02T03:21:59.9Z,1,REGULAR,substitution,in,[],203083,,,1610612741,9,16,2024-03-02T03:22:15Z,470000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M40.00S,2024-03-02T03:22:53.6Z,1,REGULAR,foul,personal,[],203109,,,1610612741,9,16,2024-03-02T03:23:00Z,480000,False,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 201942]",1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Mid-Range,16-24 Left Center,,,,,,,1155.0,,,,,,,,1.0,0.0,DeRozan,201942.0,,
51,PT07M32.00S,2024-03-02T03:23:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201942,8.09789750328515,49.50980392156863,1610612741,9,16,2024-03-02T03:23:20Z,500000,False,2.0,24.0,1,left,MISS D. DeRozan driving Layup,[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
52,PT07M30.00S,2024-03-02T03:23:18.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,16,2024-03-02T03:23:20Z,510000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT07M24.00S,2024-03-02T03:23:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,94.03745072273325,53.18627450980392,1610612749,9,16,2024-03-02T03:23:30Z,520000,False,16.0,4.0,1,right,MISS G. Antetokounmpo running Layup - blocked,"[203507, 203083]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,Drummond,203083.0
54,PT07M24.00S,2024-03-02T03:23:24.1Z,1,REGULAR,block,,[],203083,,,1610612749,9,16,2024-03-02T03:23:26Z,530000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M21.00S,2024-03-02T03:23:27.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,9,16,2024-03-02T03:32:13Z,540000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,
56,PT07M16.00S,2024-03-02T03:23:32.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203083,6.521024967148489,36.27450980392157,1610612741,9,16,2024-03-02T03:25:19Z,550000,False,69.0,9.0,1,left,MISS A. Drummond 6' running Shot,[203083],1610612741.0,CHI,running,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,6.92,Missed,,,,,,,,,,,,,,,,,,
57,PT07M14.00S,2024-03-02T03:23:34.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,9,16,2024-03-02T03:25:19Z,560000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,,
58,PT07M14.00S,2024-03-02T03:23:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201942,5.863994743758213,48.03921568627451,1610612741,9,16,2024-03-02T03:23:53Z,570000,False,10.0,3.0,1,left,MISS D. DeRozan Layup - blocked,"[201942, 203507]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
59,PT07M14.00S,2024-03-02T03:23:38.6Z,1,REGULAR,block,,[],203507,,,1610612741,9,16,2024-03-02T03:23:40Z,580000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT07M13.00S,2024-03-02T03:23:39.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,9,16,2024-03-02T03:23:53Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,58.0,,,,,,,,,,,,
62,PT07M03.00S,2024-03-02T03:24:03.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,28.597240473061763,74.75490196078431,1610612741,12,16,2024-03-02T03:24:14Z,610000,False,-124.0,216.0,1,left,C. White 24' 3PT step back (3 PTS),[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.92,Made,3.0,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2024-03-02T03:24:20.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,74.24441524310119,16.44454656862745,1610612749,12,16,2024-03-02T03:24:26Z,620000,False,-168.0,190.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2024-03-02T03:24:22.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,12,16,2024-03-02T03:24:26Z,630000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,
65,PT06M36.00S,2024-03-02T03:24:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,5.469776609724048,49.754901960784316,1610612741,14,16,2024-03-02T03:24:35Z,640000,False,1.0,-1.0,1,left,A. Drummond cutting Layup (2 PTS) (N. Vucevic 1 AST),"[203083, 202696]",1610612741.0,CHI,cutting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,0.16,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
67,PT06M22.00S,2024-03-02T03:24:43.6Z,1,REGULAR,3pt,Jump Shot,[],203507,67.49342969776609,46.32352941176471,1610612749,14,19,2024-03-02T03:26:56Z,660000,False,-18.0,253.0,1,right,G. Antetokounmpo 25' 3PT pullup (7 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,25.38,Made,7.0,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2024-03-02T03:25:10.1Z,1,REGULAR,turnover,lost ball,[],1629632,,,1610612741,14,19,2024-03-02T03:25:14Z,670000,False,,,0,,C. White lost ball TURNOVER (2 TO),"[1629632, 203507]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,2.0,Antetokounmpo,203507.0,,,,,,
69,PT05M56.00S,2024-03-02T03:25:10.1Z,1,REGULAR,steal,,[],203507,,,1610612749,14,19,2024-03-02T03:25:11Z,680000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2024-03-02T03:25:16.0Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612749,14,19,2024-03-02T03:25:24Z,690000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[201942, 203507]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,1155.0,,,,,,,,1.0,0.0,Antetokounmpo,203507.0,,
72,PT05M55.00S,2024-03-02T03:25:56.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,14,20,2024-03-02T03:26:30Z,710000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2024-03-02T03:25:56.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,14,20,2024-03-02T03:26:30Z,720000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2024-03-02T03:25:59.7Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,14,20,2024-03-02T03:26:30Z,730000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,
75,PT05M45.00S,2024-03-02T03:26:34.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203081,92.85479632063075,48.77450980392157,1610612749,14,20,2024-03-02T03:26:38Z,740000,False,-6.0,15.0,1,right,MISS D. Lillard driving DUNK,[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
76,PT05M44.00S,2024-03-02T03:26:36.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,14,20,2024-03-02T03:26:36Z,750000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,
77,PT05M44.00S,2024-03-02T03:26:39.1Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612749,14,20,2024-03-02T03:26:48Z,760000,False,,,0,,A. Drummond shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203083, 203507]",1610612741.0,CHI,shooting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,,,,1.0,0.0,Antetokounmpo,203507.0,,
79,PT05M44.00S,2024-03-02T03:27:16.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203507,,,1610612749,14,21,2024-03-02T03:27:50Z,780000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (9 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
80,PT05M44.00S,2024-03-02T03:27:20.2Z,1,REGULAR,substitution,out,[],201942,,,1610612749,14,21,2024-03-02T03:27:22Z,790000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M44.00S,2024-03-02T03:27:20.2Z,1,REGULAR,substitution,in,[],1641931,,,1610612749,14,21,2024-03-02T03:27:22Z,800000,False,,,0,,SUB in: O. Bitim,[1641931],1610612741.0,CHI,,,,Bitim,O. Bitim,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M44.00S,2024-03-02T03:27:16.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203507,,,1610612749,14,21,2024-03-02T03:27:50Z,810000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT05M40.00S,2024-03-02T03:27:20.8Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,14,21,2024-03-02T03:27:50Z,820000,False,,,0,,B. Lopez REBOUND (Off:2 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,82.0,2.0,0.0,2.0,,,,,,,,,
